"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"193123","mat","22","26","2",",1156758,",",836707,836708,",0,"[{'id': 1156758, 'book_id': 'mat', 'chapter': '22', 'verse': '26', 'word_num': 3, 'word': 'δεύτερος', 'occurrence': 1, 'strong': 'G12080', 'lemma': 'δεύτερος', 'morph': 'Gr,NS,,,,NMS,'}]","δεύτερος",1,1,"[{'id': 836707, 'book_id': 'mat', 'chapter': '22', 'verse': '26', 'word_num': 2, 'word': 'second', 'occurrence': 1}, {'id': 836708, 'book_id': 'mat', 'chapter': '22', 'verse': '26', 'word_num': 3, 'word': 'brother', 'occurrence': 1}]","second brother",2,"δεύτερος = second brother",0.02564102564102564,0,0
"193276","mat","22","39","1",",1156919,",",836912,836913,836914,",0,"[{'id': 1156919, 'book_id': 'mat', 'chapter': '22', 'verse': '39', 'word_num': 0, 'word': 'δευτέρα', 'occurrence': 1, 'strong': 'G12080', 'lemma': 'δεύτερος', 'morph': 'Gr,NS,,,,NFS,'}]","δευτέρα",1,2,"[{'id': 836912, 'book_id': 'mat', 'chapter': '22', 'verse': '39', 'word_num': 1, 'word': 'a', 'occurrence': 1}, {'id': 836913, 'book_id': 'mat', 'chapter': '22', 'verse': '39', 'word_num': 2, 'word': 'second', 'occurrence': 1}, {'id': 836914, 'book_id': 'mat', 'chapter': '22', 'verse': '39', 'word_num': 3, 'word': 'commandment', 'occurrence': 1}]","a second commandment",3,"δευτέρα = a second commandment",0.02564102564102564,0,0
"196039","mat","26","42","1",",1159917,1159918,",",840886,840887,840888,",1,"[{'id': 1159917, 'book_id': 'mat', 'chapter': '26', 'verse': '42', 'word_num': 1, 'word': 'ἐκ', 'occurrence': 1, 'strong': 'G15370', 'lemma': 'ἐκ', 'morph': 'Gr,P,,,,,G,,,'}, {'id': 1159918, 'book_id': 'mat', 'chapter': '26', 'verse': '42', 'word_num': 2, 'word': 'δευτέρου', 'occurrence': 1, 'strong': 'G12080', 'lemma': 'δεύτερος', 'morph': 'Gr,NS,,,,GNS,'}]","ἐκ δευτέρου",2,2,"[{'id': 840886, 'book_id': 'mat', 'chapter': '26', 'verse': '42', 'word_num': 3, 'word': 'a', 'occurrence': 1}, {'id': 840887, 'book_id': 'mat', 'chapter': '26', 'verse': '42', 'word_num': 4, 'word': 'second', 'occurrence': 1}, {'id': 840888, 'book_id': 'mat', 'chapter': '26', 'verse': '42', 'word_num': 5, 'word': 'time', 'occurrence': 1}]","a second time",3,"ἐκ δευτέρου = a second time",0.1282051282051282,0,0
"205305","mrk","12","21","2",",1169925,",",853990,",0,"[{'id': 1169925, 'book_id': 'mrk', 'chapter': '12', 'verse': '21', 'word_num': 2, 'word': 'δεύτερος', 'occurrence': 1, 'strong': 'G12080', 'lemma': 'δεύτερος', 'morph': 'Gr,NS,,,,NMS,'}]","δεύτερος",1,0,"[{'id': 853990, 'book_id': 'mrk', 'chapter': '12', 'verse': '21', 'word_num': 2, 'word': 'second', 'occurrence': 1}]","second",1,"δεύτερος = second",0.1794871794871795,0,0
"205469","mrk","12","31","0",",1170102,",",854211,854212,854213,",0,"[{'id': 1170102, 'book_id': 'mrk', 'chapter': '12', 'verse': '31', 'word_num': 0, 'word': 'δευτέρα', 'occurrence': 1, 'strong': 'G12080', 'lemma': 'δεύτερος', 'morph': 'Gr,NS,,,,NFS,'}]","δευτέρα",1,2,"[{'id': 854211, 'book_id': 'mrk', 'chapter': '12', 'verse': '31', 'word_num': 0, 'word': 'The', 'occurrence': 1}, {'id': 854212, 'book_id': 'mrk', 'chapter': '12', 'verse': '31', 'word_num': 1, 'word': 'second', 'occurrence': 1}, {'id': 854213, 'book_id': 'mrk', 'chapter': '12', 'verse': '31', 'word_num': 2, 'word': 'commandment', 'occurrence': 1}]","The second commandment",3,"δευτέρα = The second commandment",0.02564102564102564,0,0
"207370","mrk","14","72","3",",1172150,1172151,",",856909,856910,856911,",1,"[{'id': 1172150, 'book_id': 'mrk', 'chapter': '14', 'verse': '72', 'word_num': 2, 'word': 'ἐκ', 'occurrence': 1, 'strong': 'G15370', 'lemma': 'ἐκ', 'morph': 'Gr,P,,,,,G,,,'}, {'id': 1172151, 'book_id': 'mrk', 'chapter': '14', 'verse': '72', 'word_num': 3, 'word': 'δευτέρου', 'occurrence': 1, 'strong': 'G12080', 'lemma': 'δεύτερος', 'morph': 'Gr,NS,,,,GNS,'}]","ἐκ δευτέρου",2,2,"[{'id': 856909, 'book_id': 'mrk', 'chapter': '14', 'verse': '72', 'word_num': 4, 'word': 'a', 'occurrence': 1}, {'id': 856910, 'book_id': 'mrk', 'chapter': '14', 'verse': '72', 'word_num': 5, 'word': 'second', 'occurrence': 1}, {'id': 856911, 'book_id': 'mrk', 'chapter': '14', 'verse': '72', 'word_num': 6, 'word': 'time', 'occurrence': 1}]","a second time",3,"ἐκ δευτέρου = a second time",0.1282051282051282,0,0
"218511","luk","12","38","4",",1183748,",",872392,",0,"[{'id': 1183748, 'book_id': 'luk', 'chapter': '12', 'verse': '38', 'word_num': 3, 'word': 'δευτέρᾳ', 'occurrence': 1, 'strong': 'G12080', 'lemma': 'δεύτερος', 'morph': 'Gr,NS,,,,DFS,'}]","δευτέρᾳ",1,0,"[{'id': 872392, 'book_id': 'luk', 'chapter': '12', 'verse': '38', 'word_num': 5, 'word': 'second', 'occurrence': 1}]","second",1,"δευτέρᾳ = second",0.02564102564102564,0,0
"222797","luk","19","18","2",",1188104,",",878327,",0,"[{'id': 1188104, 'book_id': 'luk', 'chapter': '19', 'verse': '18', 'word_num': 3, 'word': 'δεύτερος', 'occurrence': 1, 'strong': 'G12080', 'lemma': 'δεύτερος', 'morph': 'Gr,NS,,,,NMS,'}]","δεύτερος",1,0,"[{'id': 878327, 'book_id': 'luk', 'chapter': '19', 'verse': '18', 'word_num': 2, 'word': 'second', 'occurrence': 1}]","second",1,"δεύτερος = second",0.1794871794871795,0,0
"223750","luk","20","30","2",",1189051,",",879665,",0,"[{'id': 1189051, 'book_id': 'luk', 'chapter': '20', 'verse': '30', 'word_num': 2, 'word': 'δεύτερος', 'occurrence': 1, 'strong': 'G12080', 'lemma': 'δεύτερος', 'morph': 'Gr,NS,,,,NMS,'}]","δεύτερος",1,0,"[{'id': 879665, 'book_id': 'luk', 'chapter': '20', 'verse': '30', 'word_num': 2, 'word': 'second', 'occurrence': 1}]","second",1,"δεύτερος = second",0.1794871794871795,0,0
"229876","jhn","4","54","3",",1195443,1195444,",",887815,887816,887817,",1,"[{'id': 1195443, 'book_id': 'jhn', 'chapter': '4', 'verse': '54', 'word_num': 2, 'word': 'πάλιν', 'occurrence': 1, 'strong': 'G38250', 'lemma': 'πάλιν', 'morph': 'Gr,D,,,,,,,,,'}, {'id': 1195444, 'book_id': 'jhn', 'chapter': '4', 'verse': '54', 'word_num': 3, 'word': 'δεύτερον', 'occurrence': 1, 'strong': 'G12080', 'lemma': 'δεύτερος', 'morph': 'Gr,EO,,,,ANS,'}]","πάλιν δεύτερον",2,2,"[{'id': 887815, 'book_id': 'jhn', 'chapter': '4', 'verse': '54', 'word_num': 3, 'word': 'as', 'occurrence': 1}, {'id': 887816, 'book_id': 'jhn', 'chapter': '4', 'verse': '54', 'word_num': 4, 'word': 'a', 'occurrence': 1}, {'id': 887817, 'book_id': 'jhn', 'chapter': '4', 'verse': '54', 'word_num': 5, 'word': 'second', 'occurrence': 1}]","as a second",3,"πάλιν δεύτερον = as a second",0.02564102564102564,0,0
