"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"470980","luk","4","2","7",",1451724,",",1230139,",0,"[{'id': 1451724, 'book_id': 'luk', 'chapter': '4', 'verse': '2', 'word_num': 5, 'word': 'διαβόλου', 'occurrence': 1, 'strong': 'G12280', 'lemma': 'διάβολος', 'morph': 'Gr,NS,,,,GMS,'}]","διαβόλου",1,0,"[{'id': 1230139, 'book_id': 'luk', 'chapter': '4', 'verse': '2', 'word_num': 9, 'word': 'devil', 'occurrence': 1}]","devil",1,"διαβόλου = devil",0.16129032258064516,0,0
"470994","luk","4","3","2",",1451741,",",1230157,",0,"[{'id': 1451741, 'book_id': 'luk', 'chapter': '4', 'verse': '3', 'word_num': 4, 'word': 'διάβολος', 'occurrence': 1, 'strong': 'G12280', 'lemma': 'διάβολος', 'morph': 'Gr,NS,,,,NMS,'}]","διάβολος",1,0,"[{'id': 1230157, 'book_id': 'luk', 'chapter': '4', 'verse': '3', 'word_num': 2, 'word': 'devil', 'occurrence': 1}]","devil",1,"διάβολος = devil",0.25806451612903225,0,0
"471038","luk","4","6","2",",1451786,",",1230213,",0,"[{'id': 1451786, 'book_id': 'luk', 'chapter': '4', 'verse': '6', 'word_num': 4, 'word': 'διάβολος', 'occurrence': 1, 'strong': 'G12280', 'lemma': 'διάβολος', 'morph': 'Gr,NS,,,,NMS,'}]","διάβολος",1,0,"[{'id': 1230213, 'book_id': 'luk', 'chapter': '4', 'verse': '6', 'word_num': 2, 'word': 'devil', 'occurrence': 1}]","devil",1,"διάβολος = devil",0.25806451612903225,0,0
"471147","luk","4","13","7",",1451899,",",1230375,",0,"[{'id': 1451899, 'book_id': 'luk', 'chapter': '4', 'verse': '13', 'word_num': 5, 'word': 'διάβολος', 'occurrence': 1, 'strong': 'G12280', 'lemma': 'διάβολος', 'morph': 'Gr,NS,,,,NMS,'}]","διάβολος",1,0,"[{'id': 1230375, 'book_id': 'luk', 'chapter': '4', 'verse': '13', 'word_num': 8, 'word': 'devil', 'occurrence': 1}]","devil",1,"διάβολος = devil",0.25806451612903225,0,0
"474449","luk","8","12","10",",1455246,",",1234877,",0,"[{'id': 1455246, 'book_id': 'luk', 'chapter': '8', 'verse': '12', 'word_num': 11, 'word': 'διάβολος', 'occurrence': 1, 'strong': 'G12280', 'lemma': 'διάβολος', 'morph': 'Gr,NS,,,,NMS,'}]","διάβολος",1,0,"[{'id': 1234877, 'book_id': 'luk', 'chapter': '8', 'verse': '12', 'word_num': 14, 'word': 'devil', 'occurrence': 1}]","devil",1,"διάβολος = devil",0.25806451612903225,0,0
"492016","jhn","6","70","14",",1473419,",",1258710,1258711,",0,"[{'id': 1473419, 'book_id': 'jhn', 'chapter': '6', 'verse': '70', 'word_num': 14, 'word': 'διάβολός', 'occurrence': 1, 'strong': 'G12280', 'lemma': 'διάβολος', 'morph': 'Gr,NP,,,,NMS,'}]","διάβολός",1,1,"[{'id': 1258710, 'book_id': 'jhn', 'chapter': '6', 'verse': '70', 'word_num': 16, 'word': 'a', 'occurrence': 1}, {'id': 1258711, 'book_id': 'jhn', 'chapter': '6', 'verse': '70', 'word_num': 17, 'word': 'devil', 'occurrence': 1}]","a devil",2,"διάβολός = a devil",0.03225806451612903,0,0
"493412","jhn","8","44","6",",1475053,",",1260712,",0,"[{'id': 1475053, 'book_id': 'jhn', 'chapter': '8', 'verse': '44', 'word_num': 5, 'word': 'διαβόλου', 'occurrence': 1, 'strong': 'G12280', 'lemma': 'διάβολος', 'morph': 'Gr,AR,,,,GMS,'}]","διαβόλου",1,0,"[{'id': 1260712, 'book_id': 'jhn', 'chapter': '8', 'verse': '44', 'word_num': 6, 'word': 'devil', 'occurrence': 1}]","devil",1,"διαβόλου = devil",0.16129032258064516,0,0
"496733","jhn","13","2","4",",1478614,",",1265191,",0,"[{'id': 1478614, 'book_id': 'jhn', 'chapter': '13', 'verse': '2', 'word_num': 4, 'word': 'διαβόλου', 'occurrence': 1, 'strong': 'G12280', 'lemma': 'διάβολος', 'morph': 'Gr,NS,,,,GMS,'}]","διαβόλου",1,0,"[{'id': 1265191, 'book_id': 'jhn', 'chapter': '13', 'verse': '2', 'word_num': 6, 'word': 'devil', 'occurrence': 1}]","devil",1,"διαβόλου = devil",0.16129032258064516,0,0
"508594","act","10","38","22",",1491007,",",1281290,",0,"[{'id': 1491007, 'book_id': 'act', 'chapter': '10', 'verse': '38', 'word_num': 23, 'word': 'διαβόλου', 'occurrence': 1, 'strong': 'G12280', 'lemma': 'διάβολος', 'morph': 'Gr,NS,,,,GMS,'}]","διαβόλου",1,0,"[{'id': 1281290, 'book_id': 'act', 'chapter': '10', 'verse': '38', 'word_num': 30, 'word': 'devil', 'occurrence': 1}]","devil",1,"διαβόλου = devil",0.16129032258064516,0,0
"509929","act","13","10","2",",1492385,",",1283085,1283086,1283087,",0,"[{'id': 1492385, 'book_id': 'act', 'chapter': '13', 'verse': '10', 'word_num': 9, 'word': 'διαβόλου', 'occurrence': 1, 'strong': 'G12280', 'lemma': 'διάβολος', 'morph': 'Gr,NS,,,,GMS,'}]","διαβόλου",1,2,"[{'id': 1283085, 'book_id': 'act', 'chapter': '13', 'verse': '10', 'word_num': 4, 'word': 'of', 'occurrence': 1}, {'id': 1283086, 'book_id': 'act', 'chapter': '13', 'verse': '10', 'word_num': 5, 'word': 'the', 'occurrence': 1}, {'id': 1283087, 'book_id': 'act', 'chapter': '13', 'verse': '10', 'word_num': 6, 'word': 'devil', 'occurrence': 1}]","of the devil",3,"διαβόλου = of the devil",0.03225806451612903,0,0
"541000","eph","4","27","3",",1524746,",",1328173,",0,"[{'id': 1524746, 'book_id': 'eph', 'chapter': '4', 'verse': '27', 'word_num': 4, 'word': 'διαβόλῳ', 'occurrence': 1, 'strong': 'G12280', 'lemma': 'διάβολος', 'morph': 'Gr,NS,,,,DMS,'}]","διαβόλῳ",1,0,"[{'id': 1328173, 'book_id': 'eph', 'chapter': '4', 'verse': '27', 'word_num': 4, 'word': 'to', 'occurrence': 1}]","to",1,"διαβόλῳ = to",0.03225806451612903,0,0
"541707","eph","6","11","11",",1525454,",",1329048,",0,"[{'id': 1525454, 'book_id': 'eph', 'chapter': '6', 'verse': '11', 'word_num': 14, 'word': 'διαβόλου', 'occurrence': 1, 'strong': 'G12280', 'lemma': 'διάβολος', 'morph': 'Gr,NS,,,,GMS,'}]","διαβόλου",1,0,"[{'id': 1329048, 'book_id': 'eph', 'chapter': '6', 'verse': '11', 'word_num': 15, 'word': 'of', 'occurrence': 2}]","of",1,"διαβόλου = of",0.12903225806451613,0,0
"547710","1ti","3","6","10",",1531751,",",1337673,",0,"[{'id': 1531751, 'book_id': '1ti', 'chapter': '3', 'verse': '6', 'word_num': 9, 'word': 'διαβόλου', 'occurrence': 1, 'strong': 'G12280', 'lemma': 'διάβολος', 'morph': 'Gr,NS,,,,GMS,'}]","διαβόλου",1,0,"[{'id': 1337673, 'book_id': '1ti', 'chapter': '3', 'verse': '6', 'word_num': 21, 'word': 'of', 'occurrence': 1}]","of",1,"διαβόλου = of",0.12903225806451613,0,0
"547730","1ti","3","7","17",",1531769,",",1337697,",0,"[{'id': 1531769, 'book_id': '1ti', 'chapter': '3', 'verse': '7', 'word_num': 17, 'word': 'διαβόλου', 'occurrence': 1, 'strong': 'G12280', 'lemma': 'διάβολος', 'morph': 'Gr,NS,,,,GMS,'}]","διαβόλου",1,0,"[{'id': 1337697, 'book_id': '1ti', 'chapter': '3', 'verse': '7', 'word_num': 21, 'word': 'of', 'occurrence': 1}]","of",1,"διαβόλου = of",0.12903225806451613,0,0
"547766","1ti","3","11","4",",1531802,",",1337745,",0,"[{'id': 1531802, 'book_id': '1ti', 'chapter': '3', 'verse': '11', 'word_num': 4, 'word': 'διαβόλους', 'occurrence': 1, 'strong': 'G12280', 'lemma': 'διάβολος', 'morph': 'Gr,NS,,,,AFP,'}]","διαβόλους",1,0,"[{'id': 1337745, 'book_id': '1ti', 'chapter': '3', 'verse': '11', 'word_num': 9, 'word': 'slanderers', 'occurrence': 1}]","slanderers",1,"διαβόλους = slanderers",0.06451612903225806,0,0
"549438","2ti","2","26","5",",1533449,",",1340090,",0,"[{'id': 1533449, 'book_id': '2ti', 'chapter': '2', 'verse': '26', 'word_num': 5, 'word': 'διαβόλου', 'occurrence': 1, 'strong': 'G12280', 'lemma': 'διάβολος', 'morph': 'Gr,NS,,,,GMS,'}]","διαβόλου",1,0,"[{'id': 1340090, 'book_id': '2ti', 'chapter': '2', 'verse': '26', 'word_num': 12, 'word': 'of', 'occurrence': 2}]","of",1,"διαβόλου = of",0.12903225806451613,0,0
"549472","2ti","3","3","2",",1533483,",",1340141,",0,"[{'id': 1533483, 'book_id': '2ti', 'chapter': '3', 'verse': '3', 'word_num': 2, 'word': 'διάβολοι', 'occurrence': 1, 'strong': 'G12280', 'lemma': 'διάβολος', 'morph': 'Gr,NS,,,,NMP,'}]","διάβολοι",1,0,"[{'id': 1340141, 'book_id': '2ti', 'chapter': '3', 'verse': '3', 'word_num': 6, 'word': 'slanderers', 'occurrence': 1}]","slanderers",1,"διάβολοι = slanderers",0.03225806451612903,0,0
"550263","tit","2","3","6",",1534296,",",1341253,",0,"[{'id': 1534296, 'book_id': 'tit', 'chapter': '2', 'verse': '3', 'word_num': 6, 'word': 'διαβόλους', 'occurrence': 1, 'strong': 'G12280', 'lemma': 'διάβολος', 'morph': 'Gr,NS,,,,AFP,'}]","διαβόλους",1,0,"[{'id': 1341253, 'book_id': 'tit', 'chapter': '2', 'verse': '3', 'word_num': 10, 'word': 'slanderers', 'occurrence': 1}]","slanderers",1,"διαβόλους = slanderers",0.06451612903225806,0,0
"551453","heb","2","14","25",",1535527,",",1342991,",0,"[{'id': 1535527, 'book_id': 'heb', 'chapter': '2', 'verse': '14', 'word_num': 28, 'word': 'διάβολον', 'occurrence': 1, 'strong': 'G12280', 'lemma': 'διάβολος', 'morph': 'Gr,NS,,,,AMS,'}]","διάβολον",1,0,"[{'id': 1342991, 'book_id': 'heb', 'chapter': '2', 'verse': '14', 'word_num': 33, 'word': 'devil', 'occurrence': 1}]","devil",1,"διάβολον = devil",0.03225806451612903,0,0
"556844","jas","4","7","7",",1541190,",",1351098,",0,"[{'id': 1541190, 'book_id': 'jas', 'chapter': '4', 'verse': '7', 'word_num': 7, 'word': 'διαβόλῳ', 'occurrence': 1, 'strong': 'G12280', 'lemma': 'διάβολος', 'morph': 'Gr,NS,,,,DMS,'}]","διαβόλῳ",1,0,"[{'id': 1351098, 'book_id': 'jas', 'chapter': '4', 'verse': '7', 'word_num': 7, 'word': 'devil', 'occurrence': 1}]","devil",1,"διαβόλῳ = devil",0.06451612903225806,0,0
"558794","1pe","5","8","4",",1543277,",",1354246,1354247,",0,"[{'id': 1543277, 'book_id': '1pe', 'chapter': '5', 'verse': '8', 'word_num': 5, 'word': 'διάβολος', 'occurrence': 1, 'strong': 'G12280', 'lemma': 'διάβολος', 'morph': 'Gr,NS,,,,NMS,'}]","διάβολος",1,1,"[{'id': 1354246, 'book_id': '1pe', 'chapter': '5', 'verse': '8', 'word_num': 6, 'word': 'the', 'occurrence': 1}, {'id': 1354247, 'book_id': '1pe', 'chapter': '5', 'verse': '8', 'word_num': 7, 'word': 'devil', 'occurrence': 1}]","the devil",2,"διάβολος = the devil",0.03225806451612903,0,0
