"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"466938","mrk","14","24","7",",1447315,",",1224245,",0,"[{'id': 1447315, 'book_id': 'mrk', 'chapter': '14', 'verse': '24', 'word_num': 9, 'word': 'διαθήκης', 'occurrence': 1, 'strong': 'G12420', 'lemma': 'διαθήκη', 'morph': 'Gr,N,,,,,GFS,'}]","διαθήκης",1,0,"[{'id': 1224245, 'book_id': 'mrk', 'chapter': '14', 'verse': '24', 'word_num': 10, 'word': 'covenant', 'occurrence': 1}]","covenant",1,"διαθήκης = covenant",0.3125,0,0
"469461","luk","1","72","9",",1450166,",",1228115,",0,"[{'id': 1450166, 'book_id': 'luk', 'chapter': '1', 'verse': '72', 'word_num': 8, 'word': 'διαθήκης', 'occurrence': 1, 'strong': 'G12420', 'lemma': 'διαθήκη', 'morph': 'Gr,N,,,,,GFS,'}]","διαθήκης",1,0,"[{'id': 1228115, 'book_id': 'luk', 'chapter': '1', 'verse': '72', 'word_num': 11, 'word': 'covenant', 'occurrence': 1}]","covenant",1,"διαθήκης = covenant",0.3125,0,0
"485102","luk","22","20","12",",1466063,",",1249481,",0,"[{'id': 1466063, 'book_id': 'luk', 'chapter': '22', 'verse': '20', 'word_num': 13, 'word': 'διαθήκη', 'occurrence': 1, 'strong': 'G12420', 'lemma': 'διαθήκη', 'morph': 'Gr,N,,,,,NFS,'}]","διαθήκη",1,0,"[{'id': 1249481, 'book_id': 'luk', 'chapter': '22', 'verse': '20', 'word_num': 18, 'word': 'covenant', 'occurrence': 1}]","covenant",1,"διαθήκη = covenant",0.15625,0,0
"503661","act","3","25","8",",1485954,",",1274701,",0,"[{'id': 1485954, 'book_id': 'act', 'chapter': '3', 'verse': '25', 'word_num': 8, 'word': 'διαθήκης', 'occurrence': 1, 'strong': 'G12420', 'lemma': 'διαθήκη', 'morph': 'Gr,N,,,,,GFS,'}]","διαθήκης",1,0,"[{'id': 1274701, 'book_id': 'act', 'chapter': '3', 'verse': '25', 'word_num': 8, 'word': 'of', 'occurrence': 2}]","of",1,"διαθήκης = of",0.03125,0,0
"505555","act","7","8","3",",1487889,",",1277199,1277200,",0,"[{'id': 1487889, 'book_id': 'act', 'chapter': '7', 'verse': '8', 'word_num': 3, 'word': 'διαθήκην', 'occurrence': 1, 'strong': 'G12420', 'lemma': 'διαθήκη', 'morph': 'Gr,N,,,,,AFS,'}]","διαθήκην",1,1,"[{'id': 1277199, 'book_id': 'act', 'chapter': '7', 'verse': '8', 'word_num': 4, 'word': 'the', 'occurrence': 1}, {'id': 1277200, 'book_id': 'act', 'chapter': '7', 'verse': '8', 'word_num': 5, 'word': 'covenant', 'occurrence': 1}]","the covenant",2,"διαθήκην = the covenant",0.0625,0,0
"523386","rom","9","4","11",",1506425,",",1302185,",0,"[{'id': 1506425, 'book_id': 'rom', 'chapter': '9', 'verse': '4', 'word_num': 11, 'word': 'διαθῆκαι', 'occurrence': 1, 'strong': 'G12420', 'lemma': 'διαθήκη', 'morph': 'Gr,N,,,,,NFP,'}]","διαθῆκαι",1,0,"[{'id': 1302185, 'book_id': 'rom', 'chapter': '9', 'verse': '4', 'word_num': 12, 'word': 'covenants', 'occurrence': 1}]","covenants",1,"διαθῆκαι = covenants",0.0625,0,0
"524549","rom","11","27","3",",1507693,",",1304004,",0,"[{'id': 1507693, 'book_id': 'rom', 'chapter': '11', 'verse': '27', 'word_num': 6, 'word': 'διαθήκη', 'occurrence': 1, 'strong': 'G12420', 'lemma': 'διαθήκη', 'morph': 'Gr,N,,,,,NFS,'}]","διαθήκη",1,0,"[{'id': 1304004, 'book_id': 'rom', 'chapter': '11', 'verse': '27', 'word_num': 5, 'word': 'covenant', 'occurrence': 1}]","covenant",1,"διαθήκη = covenant",0.15625,0,0
"530530","1co","11","25","11",",1513988,",",1312947,",0,"[{'id': 1513988, 'book_id': '1co', 'chapter': '11', 'verse': '25', 'word_num': 13, 'word': 'διαθήκη', 'occurrence': 1, 'strong': 'G12420', 'lemma': 'διαθήκη', 'morph': 'Gr,N,,,,,NFS,'}]","διαθήκη",1,0,"[{'id': 1312947, 'book_id': '1co', 'chapter': '11', 'verse': '25', 'word_num': 17, 'word': 'covenant', 'occurrence': 1}]","covenant",1,"διαθήκη = covenant",0.15625,0,0
"533872","2co","3","6","7",",1517428,",",1317764,",0,"[{'id': 1517428, 'book_id': '2co', 'chapter': '3', 'verse': '6', 'word_num': 6, 'word': 'διαθήκης', 'occurrence': 1, 'strong': 'G12420', 'lemma': 'διαθήκη', 'morph': 'Gr,N,,,,,GFS,'}]","διαθήκης",1,0,"[{'id': 1317764, 'book_id': '2co', 'chapter': '3', 'verse': '6', 'word_num': 10, 'word': 'covenant', 'occurrence': 1}]","covenant",1,"διαθήκης = covenant",0.3125,0,0
"534011","2co","3","14","18",",1517571,",",1317955,",0,"[{'id': 1517571, 'book_id': '2co', 'chapter': '3', 'verse': '14', 'word_num': 18, 'word': 'διαθήκης', 'occurrence': 1, 'strong': 'G12420', 'lemma': 'διαθήκη', 'morph': 'Gr,N,,,,,GFS,'}]","διαθήκης",1,0,"[{'id': 1317955, 'book_id': '2co', 'chapter': '3', 'verse': '14', 'word_num': 20, 'word': 'covenant', 'occurrence': 1}]","covenant",1,"διαθήκης = covenant",0.3125,0,0
