"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"477147","luk","10","40","5",",1458003,",",1238456,1238457,",0,"[{'id': 1458003, 'book_id': 'luk', 'chapter': '10', 'verse': '40', 'word_num': 6, 'word': 'διακονίαν', 'occurrence': 1, 'strong': 'G12480', 'lemma': 'διακονία', 'morph': 'Gr,N,,,,,AFS,'}]","διακονίαν",1,1,"[{'id': 1238456, 'book_id': 'luk', 'chapter': '10', 'verse': '40', 'word_num': 6, 'word': 'the', 'occurrence': 1}, {'id': 1238457, 'book_id': 'luk', 'chapter': '10', 'verse': '40', 'word_num': 7, 'word': 'preparations', 'occurrence': 1}]","the preparations",2,"διακονίαν = the preparations",0.029411764705882353,0,0
"502270","act","1","17","11",",1484495,",",1272858,",0,"[{'id': 1484495, 'book_id': 'act', 'chapter': '1', 'verse': '17', 'word_num': 10, 'word': 'διακονίας', 'occurrence': 1, 'strong': 'G12480', 'lemma': 'διακονία', 'morph': 'Gr,N,,,,,GFS,'}]","διακονίας",1,0,"[{'id': 1272858, 'book_id': 'act', 'chapter': '1', 'verse': '17', 'word_num': 12, 'word': 'ministry', 'occurrence': 1}]","ministry",1,"διακονίας = ministry",0.11764705882352941,0,0
"502406","act","1","25","5",",1484631,",",1273044,",0,"[{'id': 1484631, 'book_id': 'act', 'chapter': '1', 'verse': '25', 'word_num': 4, 'word': 'διακονίας', 'occurrence': 1, 'strong': 'G12480', 'lemma': 'διακονία', 'morph': 'Gr,N,,,,,GFS,'}]","διακονίας",1,0,"[{'id': 1273044, 'book_id': 'act', 'chapter': '1', 'verse': '25', 'word_num': 6, 'word': 'ministry', 'occurrence': 1}]","ministry",1,"διακονίας = ministry",0.11764705882352941,0,0
"505153","act","6","1","23",",1487473,",",1276676,1276677,1276678,",0,"[{'id': 1487473, 'book_id': 'act', 'chapter': '6', 'verse': '1', 'word_num': 19, 'word': 'διακονίᾳ', 'occurrence': 1, 'strong': 'G12480', 'lemma': 'διακονία', 'morph': 'Gr,N,,,,,DFS,'}]","διακονίᾳ",1,2,"[{'id': 1276676, 'book_id': 'act', 'chapter': '6', 'verse': '1', 'word_num': 28, 'word': 'distribution', 'occurrence': 1}, {'id': 1276677, 'book_id': 'act', 'chapter': '6', 'verse': '1', 'word_num': 29, 'word': 'of', 'occurrence': 1}, {'id': 1276678, 'book_id': 'act', 'chapter': '6', 'verse': '1', 'word_num': 30, 'word': 'food', 'occurrence': 1}]","distribution of food",3,"διακονίᾳ = distribution of food",0.029411764705882353,0,0
"505198","act","6","4","6",",1487523,",",1276740,",0,"[{'id': 1487523, 'book_id': 'act', 'chapter': '6', 'verse': '4', 'word_num': 6, 'word': 'διακονίᾳ', 'occurrence': 1, 'strong': 'G12480', 'lemma': 'διακονία', 'morph': 'Gr,N,,,,,DFS,'}]","διακονίᾳ",1,0,"[{'id': 1276740, 'book_id': 'act', 'chapter': '6', 'verse': '4', 'word_num': 7, 'word': 'in', 'occurrence': 2}]","in",1,"διακονίᾳ = in",0.029411764705882353,0,0
"509266","act","11","29","10",",1491697,1491698,",",1282172,",1,"[{'id': 1491697, 'book_id': 'act', 'chapter': '11', 'verse': '29', 'word_num': 9, 'word': 'εἰς', 'occurrence': 1, 'strong': 'G15190', 'lemma': 'εἰς', 'morph': 'Gr,P,,,,,A,,,'}, {'id': 1491698, 'book_id': 'act', 'chapter': '11', 'verse': '29', 'word_num': 10, 'word': 'διακονίαν', 'occurrence': 1, 'strong': 'G12480', 'lemma': 'διακονία', 'morph': 'Gr,N,,,,,AFS,'}]","εἰς διακονίαν",2,0,"[{'id': 1282172, 'book_id': 'act', 'chapter': '11', 'verse': '29', 'word_num': 14, 'word': 'help', 'occurrence': 1}]","help",1,"εἰς διακονίαν = help",0.029411764705882353,0,0
"509752","act","12","25","7",",1492203,",",1282847,",0,"[{'id': 1492203, 'book_id': 'act', 'chapter': '12', 'verse': '25', 'word_num': 9, 'word': 'διακονίαν', 'occurrence': 1, 'strong': 'G12480', 'lemma': 'διακονία', 'morph': 'Gr,N,,,,,AFS,'}]","διακονίαν",1,0,"[{'id': 1282847, 'book_id': 'act', 'chapter': '12', 'verse': '25', 'word_num': 8, 'word': 'mission', 'occurrence': 1}]","mission",1,"διακονίαν = mission",0.029411764705882353,0,0
"514785","act","20","24","18",",1497397,",",1289672,",0,"[{'id': 1497397, 'book_id': 'act', 'chapter': '20', 'verse': '24', 'word_num': 15, 'word': 'διακονίαν', 'occurrence': 1, 'strong': 'G12480', 'lemma': 'διακονία', 'morph': 'Gr,N,,,,,AFS,'}]","διακονίαν",1,0,"[{'id': 1289672, 'book_id': 'act', 'chapter': '20', 'verse': '24', 'word_num': 23, 'word': 'ministry', 'occurrence': 1}]","ministry",1,"διακονίαν = ministry",0.14705882352941177,0,0
"515342","act","21","19","12",",1497984,1497985,",",1290435,",1,"[{'id': 1497984, 'book_id': 'act', 'chapter': '21', 'verse': '19', 'word_num': 15, 'word': 'τῆς', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,GFS,'}, {'id': 1497985, 'book_id': 'act', 'chapter': '21', 'verse': '19', 'word_num': 16, 'word': 'διακονίας', 'occurrence': 1, 'strong': 'G12480', 'lemma': 'διακονία', 'morph': 'Gr,N,,,,,GFS,'}]","τῆς διακονίας",2,0,"[{'id': 1290435, 'book_id': 'act', 'chapter': '21', 'verse': '19', 'word_num': 20, 'word': 'ministry', 'occurrence': 1}]","ministry",1,"τῆς διακονίας = ministry",0.029411764705882353,0,0
"524331","rom","11","13","10",",1507459,1507460,",",1303645,",1,"[{'id': 1507459, 'book_id': 'rom', 'chapter': '11', 'verse': '13', 'word_num': 13, 'word': 'τὴν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AFS,'}, {'id': 1507460, 'book_id': 'rom', 'chapter': '11', 'verse': '13', 'word_num': 14, 'word': 'διακονίαν', 'occurrence': 1, 'strong': 'G12480', 'lemma': 'διακονία', 'morph': 'Gr,N,,,,,AFS,'}]","τὴν διακονίαν",2,0,"[{'id': 1303645, 'book_id': 'rom', 'chapter': '11', 'verse': '13', 'word_num': 22, 'word': 'in', 'occurrence': 1}]","in",1,"τὴν διακονίαν = in",0.029411764705882353,0,0
