"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"461844","mrk","6","49","7",",1441783,",",1216985,1216986,",0,"[{'id': 1441783, 'book_id': 'mrk', 'chapter': '6', 'verse': '49', 'word_num': 8, 'word': 'ἔδοξαν', 'occurrence': 1, 'strong': 'G13800', 'lemma': 'δοκέω', 'morph': 'Gr,V,IAA3,,P,'}]","ἔδοξαν",1,1,"[{'id': 1216985, 'book_id': 'mrk', 'chapter': '6', 'verse': '49', 'word_num': 9, 'word': 'they', 'occurrence': 2}, {'id': 1216986, 'book_id': 'mrk', 'chapter': '6', 'verse': '49', 'word_num': 10, 'word': 'thought', 'occurrence': 1}]","they thought",2,"ἔδοξαν = they thought",0.5,1,0,0
"495187","jhn","11","13","8",",1476942,",",1263093,",0,"[{'id': 1476942, 'book_id': 'jhn', 'chapter': '11', 'verse': '13', 'word_num': 10, 'word': 'ἔδοξαν', 'occurrence': 1, 'strong': 'G13800', 'lemma': 'δοκέω', 'morph': 'Gr,V,IAA3,,P,'}]","ἔδοξαν",1,0,"[{'id': 1263093, 'book_id': 'jhn', 'chapter': '11', 'verse': '13', 'word_num': 9, 'word': 'thought', 'occurrence': 1}]","thought",1,"ἔδοξαν = thought",0.5,1,0,0
"464563","mrk","10","42","9",",1444735,1444736,",",1220853,1220854,1220855,1220856,",1,"[{'id': 1444735, 'book_id': 'mrk', 'chapter': '10', 'verse': '42', 'word_num': 9, 'word': 'οἱ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RD,,,,NMP,'}, {'id': 1444736, 'book_id': 'mrk', 'chapter': '10', 'verse': '42', 'word_num': 10, 'word': 'δοκοῦντες', 'occurrence': 1, 'strong': 'G13800', 'lemma': 'δοκέω', 'morph': 'Gr,V,PPA,NMP,'}]","οἱ δοκοῦντες",2,3,"[{'id': 1220853, 'book_id': 'mrk', 'chapter': '10', 'verse': '42', 'word_num': 13, 'word': 'those', 'occurrence': 1}, {'id': 1220854, 'book_id': 'mrk', 'chapter': '10', 'verse': '42', 'word_num': 14, 'word': 'who', 'occurrence': 1}, {'id': 1220855, 'book_id': 'mrk', 'chapter': '10', 'verse': '42', 'word_num': 15, 'word': 'are', 'occurrence': 1}, {'id': 1220856, 'book_id': 'mrk', 'chapter': '10', 'verse': '42', 'word_num': 16, 'word': 'considered', 'occurrence': 1}]","those who are considered",4,"οἱ δοκοῦντες = those who are considered",0.3333333333333333,1,0,0
"537834","gal","2","6","15",",1521504,1521505,",",1323599,1323600,1323601,1323602,",1,"[{'id': 1521504, 'book_id': 'gal', 'chapter': '2', 'verse': '6', 'word_num': 20, 'word': 'οἱ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RD,,,,NMP,'}, {'id': 1521505, 'book_id': 'gal', 'chapter': '2', 'verse': '6', 'word_num': 21, 'word': 'δοκοῦντες', 'occurrence': 1, 'strong': 'G13800', 'lemma': 'δοκέω', 'morph': 'Gr,V,PPA,NMP,'}]","οἱ δοκοῦντες",2,3,"[{'id': 1323599, 'book_id': 'gal', 'chapter': '2', 'verse': '6', 'word_num': 25, 'word': 'those', 'occurrence': 2}, {'id': 1323600, 'book_id': 'gal', 'chapter': '2', 'verse': '6', 'word_num': 26, 'word': 'who', 'occurrence': 2}, {'id': 1323601, 'book_id': 'gal', 'chapter': '2', 'verse': '6', 'word_num': 27, 'word': 'seemed', 'occurrence': 2}, {'id': 1323602, 'book_id': 'gal', 'chapter': '2', 'verse': '6', 'word_num': 28, 'word': 'important', 'occurrence': 2}]","those who seemed important",4,"οἱ δοκοῦντες = those who seemed important",0.3333333333333333,1,0,0
"537866","gal","2","9","5",",1521547,1521548,",",1323665,1323666,1323667,",1,"[{'id': 1521547, 'book_id': 'gal', 'chapter': '2', 'verse': '9', 'word_num': 12, 'word': 'οἱ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RD,,,,NMP,'}, {'id': 1521548, 'book_id': 'gal', 'chapter': '2', 'verse': '9', 'word_num': 13, 'word': 'δοκοῦντες', 'occurrence': 1, 'strong': 'G13800', 'lemma': 'δοκέω', 'morph': 'Gr,V,PPA,NMP,'}]","οἱ δοκοῦντες",2,2,"[{'id': 1323665, 'book_id': 'gal', 'chapter': '2', 'verse': '9', 'word_num': 5, 'word': 'who', 'occurrence': 1}, {'id': 1323666, 'book_id': 'gal', 'chapter': '2', 'verse': '9', 'word_num': 6, 'word': 'were', 'occurrence': 1}, {'id': 1323667, 'book_id': 'gal', 'chapter': '2', 'verse': '9', 'word_num': 7, 'word': 'recognized', 'occurrence': 1}]","who were recognized",3,"οἱ δοκοῦντες = who were recognized",0.3333333333333333,1,0,0
"468437","luk","1","3","0",",1449104,",",1226707,1226708,1226709,",0,"[{'id': 1449104, 'book_id': 'luk', 'chapter': '1', 'verse': '3', 'word_num': 0, 'word': 'ἔδοξε', 'occurrence': 1, 'strong': 'G13800', 'lemma': 'δοκέω', 'morph': 'Gr,V,IAA3,,S,'}]","ἔδοξε",1,2,"[{'id': 1226707, 'book_id': 'luk', 'chapter': '1', 'verse': '3', 'word_num': 0, 'word': 'it', 'occurrence': 1}, {'id': 1226708, 'book_id': 'luk', 'chapter': '1', 'verse': '3', 'word_num': 1, 'word': 'seemed', 'occurrence': 1}, {'id': 1226709, 'book_id': 'luk', 'chapter': '1', 'verse': '3', 'word_num': 2, 'word': 'good', 'occurrence': 1}]","it seemed good",3,"ἔδοξε = it seemed good",0.5,1,0,0
"511516","act","15","22","10",",1493999,",",1285242,",0,"[{'id': 1493999, 'book_id': 'act', 'chapter': '15', 'verse': '22', 'word_num': 1, 'word': 'ἔδοξε', 'occurrence': 1, 'strong': 'G13800', 'lemma': 'δοκέω', 'morph': 'Gr,V,IAA3,,S,'}]","ἔδοξε",1,0,"[{'id': 1285242, 'book_id': 'act', 'chapter': '15', 'verse': '22', 'word_num': 10, 'word': 'decided', 'occurrence': 1}]","decided",1,"ἔδοξε = decided",0.5,1,0,0
"474593","luk","8","18","15",",1455388,",",1235077,1235078,",0,"[{'id': 1455388, 'book_id': 'luk', 'chapter': '8', 'verse': '18', 'word_num': 17, 'word': 'δοκεῖ', 'occurrence': 1, 'strong': 'G13800', 'lemma': 'δοκέω', 'morph': 'Gr,V,IPA3,,S,'}]","δοκεῖ",1,1,"[{'id': 1235077, 'book_id': 'luk', 'chapter': '8', 'verse': '18', 'word_num': 22, 'word': 'he', 'occurrence': 1}, {'id': 1235078, 'book_id': 'luk', 'chapter': '8', 'verse': '18', 'word_num': 23, 'word': 'thinks', 'occurrence': 1}]","he thinks",2,"δοκεῖ = he thinks",0.07142857142857142,1,0,0
"477082","luk","10","36","6",",1457936,",",1238375,",0,"[{'id': 1457936, 'book_id': 'luk', 'chapter': '10', 'verse': '36', 'word_num': 5, 'word': 'δοκεῖ', 'occurrence': 1, 'strong': 'G13800', 'lemma': 'δοκέω', 'morph': 'Gr,V,IPA3,,S,'}]","δοκεῖ",1,0,"[{'id': 1238375, 'book_id': 'luk', 'chapter': '10', 'verse': '36', 'word_num': 6, 'word': 'think', 'occurrence': 1}]","think",1,"δοκεῖ = think",0.07142857142857142,1,0,0
"485165","luk","22","24","9",",1466127,",",1249565,1249566,",0,"[{'id': 1466127, 'book_id': 'luk', 'chapter': '22', 'verse': '24', 'word_num': 9, 'word': 'δοκεῖ', 'occurrence': 1, 'strong': 'G13800', 'lemma': 'δοκέω', 'morph': 'Gr,V,IPA3,,S,'}]","δοκεῖ",1,1,"[{'id': 1249565, 'book_id': 'luk', 'chapter': '22', 'verse': '24', 'word_num': 13, 'word': 'was', 'occurrence': 1}, {'id': 1249566, 'book_id': 'luk', 'chapter': '22', 'verse': '24', 'word_num': 14, 'word': 'considered', 'occurrence': 1}]","was considered",2,"δοκεῖ = was considered",0.07142857142857142,1,0,0
