"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"479098","luk","12","56","2",",1460006,",",1241171,1241172,",0,"[{'id': 1460006, 'book_id': 'luk', 'chapter': '12', 'verse': '56', 'word_num': 9, 'word': 'δοκιμάζειν', 'occurrence': 1, 'strong': 'G13810', 'lemma': 'δοκιμάζω', 'morph': 'Gr,V,NPA,,,,,'}]","δοκιμάζειν",1,1,"[{'id': 1241171, 'book_id': 'luk', 'chapter': '12', 'verse': '56', 'word_num': 4, 'word': 'to', 'occurrence': 1}, {'id': 1241172, 'book_id': 'luk', 'chapter': '12', 'verse': '56', 'word_num': 5, 'word': 'interpret', 'occurrence': 1}]","to interpret",2,"δοκιμάζειν = to interpret",0.09090909090909091,0,0
"479114","luk","12","56","18",",1460014,",",1241189,1241190,",0,"[{'id': 1460014, 'book_id': 'luk', 'chapter': '12', 'verse': '56', 'word_num': 17, 'word': 'δοκιμάζειν', 'occurrence': 2, 'strong': 'G13810', 'lemma': 'δοκιμάζω', 'morph': 'Gr,V,NPA,,,,,'}]","δοκιμάζειν",1,1,"[{'id': 1241189, 'book_id': 'luk', 'chapter': '12', 'verse': '56', 'word_num': 22, 'word': 'to', 'occurrence': 2}, {'id': 1241190, 'book_id': 'luk', 'chapter': '12', 'verse': '56', 'word_num': 23, 'word': 'interpret', 'occurrence': 2}]","to interpret",2,"δοκιμάζειν = to interpret",0.09090909090909091,0,0
"480157","luk","14","19","9",",1461049,",",1242618,1242619,",0,"[{'id': 1461049, 'book_id': 'luk', 'chapter': '14', 'verse': '19', 'word_num': 9, 'word': 'δοκιμάσαι', 'occurrence': 1, 'strong': 'G13810', 'lemma': 'δοκιμάζω', 'morph': 'Gr,V,NAA,,,,,'}]","δοκιμάσαι",1,1,"[{'id': 1242618, 'book_id': 'luk', 'chapter': '14', 'verse': '19', 'word_num': 14, 'word': 'to', 'occurrence': 1}, {'id': 1242619, 'book_id': 'luk', 'chapter': '14', 'verse': '19', 'word_num': 15, 'word': 'try', 'occurrence': 1}]","to try",2,"δοκιμάσαι = to try",0.045454545454545456,0,0
"520337","rom","1","28","1",",1503106,",",1297458,",0,"[{'id': 1503106, 'book_id': 'rom', 'chapter': '1', 'verse': '28', 'word_num': 3, 'word': 'ἐδοκίμασαν', 'occurrence': 1, 'strong': 'G13810', 'lemma': 'δοκιμάζω', 'morph': 'Gr,V,IAA3,,P,'}]","ἐδοκίμασαν",1,0,"[{'id': 1297458, 'book_id': 'rom', 'chapter': '1', 'verse': '28', 'word_num': 1, 'word': 'they', 'occurrence': 1}]","they",1,"ἐδοκίμασαν = they",0.045454545454545456,0,0
"520660","rom","2","18","5",",1503453,",",1297979,",0,"[{'id': 1503453, 'book_id': 'rom', 'chapter': '2', 'verse': '18', 'word_num': 5, 'word': 'δοκιμάζεις', 'occurrence': 1, 'strong': 'G13810', 'lemma': 'δοκιμάζω', 'morph': 'Gr,V,IPA2,,S,'}]","δοκιμάζεις",1,0,"[{'id': 1297979, 'book_id': 'rom', 'chapter': '2', 'verse': '18', 'word_num': 5, 'word': 'approve', 'occurrence': 1}]","approve",1,"δοκιμάζεις = approve",0.045454545454545456,0,0
"524696","rom","12","2","13",",1507851,",",1304231,1304232,",0,"[{'id': 1507851, 'book_id': 'rom', 'chapter': '12', 'verse': '2', 'word_num': 14, 'word': 'δοκιμάζειν', 'occurrence': 1, 'strong': 'G13810', 'lemma': 'δοκιμάζω', 'morph': 'Gr,V,NPA,,,,,'}]","δοκιμάζειν",1,1,"[{'id': 1304231, 'book_id': 'rom', 'chapter': '12', 'verse': '2', 'word_num': 20, 'word': 'will', 'occurrence': 1}, {'id': 1304232, 'book_id': 'rom', 'chapter': '12', 'verse': '2', 'word_num': 21, 'word': 'prove', 'occurrence': 1}]","will prove",2,"δοκιμάζειν = will prove",0.045454545454545456,0,0
"525499","rom","14","22","15",",1508749,",",1305493,1305494,",0,"[{'id': 1508749, 'book_id': 'rom', 'chapter': '14', 'verse': '22', 'word_num': 17, 'word': 'δοκιμάζει', 'occurrence': 1, 'strong': 'G13810', 'lemma': 'δοκιμάζω', 'morph': 'Gr,V,IPA3,,S,'}]","δοκιμάζει",1,1,"[{'id': 1305493, 'book_id': 'rom', 'chapter': '14', 'verse': '22', 'word_num': 20, 'word': 'he', 'occurrence': 1}, {'id': 1305494, 'book_id': 'rom', 'chapter': '14', 'verse': '22', 'word_num': 21, 'word': 'approves', 'occurrence': 1}]","he approves",2,"δοκιμάζει = he approves",0.045454545454545456,0,0
"527339","1co","3","13","16",",1510726,",",1308141,1308142,",0,"[{'id': 1510726, 'book_id': '1co', 'chapter': '3', 'verse': '13', 'word_num': 22, 'word': 'δοκιμάσει', 'occurrence': 1, 'strong': 'G13810', 'lemma': 'δοκιμάζω', 'morph': 'Gr,V,IFA3,,S,'}]","δοκιμάσει",1,1,"[{'id': 1308141, 'book_id': '1co', 'chapter': '3', 'verse': '13', 'word_num': 24, 'word': 'will', 'occurrence': 4}, {'id': 1308142, 'book_id': '1co', 'chapter': '3', 'verse': '13', 'word_num': 25, 'word': 'test', 'occurrence': 1}]","will test",2,"δοκιμάσει = will test",0.045454545454545456,0,0
"530578","1co","11","28","1",",1514044,",",1313012,",0,"[{'id': 1514044, 'book_id': '1co', 'chapter': '11', 'verse': '28', 'word_num': 0, 'word': 'δοκιμαζέτω', 'occurrence': 1, 'strong': 'G13810', 'lemma': 'δοκιμάζω', 'morph': 'Gr,V,MPA3,,S,'}]","δοκιμαζέτω",1,0,"[{'id': 1313012, 'book_id': '1co', 'chapter': '11', 'verse': '28', 'word_num': 1, 'word': 'let', 'occurrence': 1}]","let",1,"δοκιμαζέτω = let",0.045454545454545456,0,0
"532756","1co","16","3","4",",1516284,",",1316208,1316209,",0,"[{'id': 1516284, 'book_id': '1co', 'chapter': '16', 'verse': '3', 'word_num': 5, 'word': 'δοκιμάσητε', 'occurrence': 1, 'strong': 'G13810', 'lemma': 'δοκιμάζω', 'morph': 'Gr,V,SAA2,,P,'}]","δοκιμάσητε",1,1,"[{'id': 1316208, 'book_id': '1co', 'chapter': '16', 'verse': '3', 'word_num': 5, 'word': 'you', 'occurrence': 1}, {'id': 1316209, 'book_id': '1co', 'chapter': '16', 'verse': '3', 'word_num': 6, 'word': 'approve', 'occurrence': 1}]","you approve",2,"δοκιμάσητε = you approve",0.045454545454545456,0,0
"535406","2co","8","8","6",",1519023,",",1319981,1319982,",0,"[{'id': 1519023, 'book_id': '2co', 'chapter': '8', 'verse': '8', 'word_num': 15, 'word': 'δοκιμάζων', 'occurrence': 1, 'strong': 'G13810', 'lemma': 'δοκιμάζω', 'morph': 'Gr,V,PPA,NMS,'}]","δοκιμάζων",1,1,"[{'id': 1319981, 'book_id': '2co', 'chapter': '8', 'verse': '8', 'word_num': 9, 'word': 'to', 'occurrence': 1}, {'id': 1319982, 'book_id': '2co', 'chapter': '8', 'verse': '8', 'word_num': 10, 'word': 'test', 'occurrence': 1}]","to test",2,"δοκιμάζων = to test",0.045454545454545456,0,0
"535626","2co","8","22","7",",1519247,",",1320313,1320314,1320315,",0,"[{'id': 1519247, 'book_id': '2co', 'chapter': '8', 'verse': '22', 'word_num': 7, 'word': 'ἐδοκιμάσαμεν', 'occurrence': 1, 'strong': 'G13810', 'lemma': 'δοκιμάζω', 'morph': 'Gr,V,IAA1,,P,'}]","ἐδοκιμάσαμεν",1,2,"[{'id': 1320313, 'book_id': '2co', 'chapter': '8', 'verse': '22', 'word_num': 8, 'word': 'we', 'occurrence': 1}, {'id': 1320314, 'book_id': '2co', 'chapter': '8', 'verse': '22', 'word_num': 9, 'word': 'have', 'occurrence': 1}, {'id': 1320315, 'book_id': '2co', 'chapter': '8', 'verse': '22', 'word_num': 10, 'word': 'tested', 'occurrence': 1}]","we have tested",3,"ἐδοκιμάσαμεν = we have tested",0.045454545454545456,0,0
"537248","2co","13","5","7",",1520891,",",1322725,",0,"[{'id': 1520891, 'book_id': '2co', 'chapter': '13', 'verse': '5', 'word_num': 8, 'word': 'δοκιμάζετε', 'occurrence': 1, 'strong': 'G13810', 'lemma': 'δοκιμάζω', 'morph': 'Gr,V,MPA2,,P,'}]","δοκιμάζετε",1,0,"[{'id': 1322725, 'book_id': '2co', 'chapter': '13', 'verse': '5', 'word_num': 10, 'word': 'Test', 'occurrence': 1}]","Test",1,"δοκιμάζετε = Test",0.09090909090909091,0,0
"539313","gal","6","4","2",",1523045,",",1325935,1325936,",0,"[{'id': 1523045, 'book_id': 'gal', 'chapter': '6', 'verse': '4', 'word_num': 4, 'word': 'δοκιμαζέτω', 'occurrence': 1, 'strong': 'G13810', 'lemma': 'δοκιμάζω', 'morph': 'Gr,V,MPA3,,S,'}]","δοκιμαζέτω",1,1,"[{'id': 1325935, 'book_id': 'gal', 'chapter': '6', 'verse': '4', 'word_num': 3, 'word': 'should', 'occurrence': 1}, {'id': 1325936, 'book_id': 'gal', 'chapter': '6', 'verse': '4', 'word_num': 4, 'word': 'examine', 'occurrence': 1}]","should examine",2,"δοκιμαζέτω = should examine",0.045454545454545456,0,0
"541225","eph","5","10","0",",1524963,",",1328454,1328455,",0,"[{'id': 1524963, 'book_id': 'eph', 'chapter': '5', 'verse': '10', 'word_num': 0, 'word': 'δοκιμάζοντες', 'occurrence': 1, 'strong': 'G13810', 'lemma': 'δοκιμάζω', 'morph': 'Gr,V,PPA,NMP,'}]","δοκιμάζοντες",1,1,"[{'id': 1328454, 'book_id': 'eph', 'chapter': '5', 'verse': '10', 'word_num': 0, 'word': 'carefully', 'occurrence': 1}, {'id': 1328455, 'book_id': 'eph', 'chapter': '5', 'verse': '10', 'word_num': 1, 'word': 'testing', 'occurrence': 1}]","carefully testing",2,"δοκιμάζοντες = carefully testing",0.045454545454545456,0,0
"542078","php","1","10","2",",1525834,1525835,",",1329536,1329537,",1,"[{'id': 1525834, 'book_id': 'php', 'chapter': '1', 'verse': '10', 'word_num': 1, 'word': 'τὸ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RD,,,,ANS,'}, {'id': 1525835, 'book_id': 'php', 'chapter': '1', 'verse': '10', 'word_num': 2, 'word': 'δοκιμάζειν', 'occurrence': 1, 'strong': 'G13810', 'lemma': 'δοκιμάζω', 'morph': 'Gr,V,NPA,,,,,'}]","τὸ δοκιμάζειν",2,1,"[{'id': 1329536, 'book_id': 'php', 'chapter': '1', 'verse': '10', 'word_num': 3, 'word': 'may', 'occurrence': 1}, {'id': 1329537, 'book_id': 'php', 'chapter': '1', 'verse': '10', 'word_num': 4, 'word': 'approve', 'occurrence': 1}]","may approve",2,"τὸ δοκιμάζειν = may approve",0.045454545454545456,0,0
"545204","1th","2","4","2",",1529155,",",1334136,1334137,1334138,1334139,",0,"[{'id': 1529155, 'book_id': '1th', 'chapter': '2', 'verse': '4', 'word_num': 2, 'word': 'δεδοκιμάσμεθα', 'occurrence': 1, 'strong': 'G13810', 'lemma': 'δοκιμάζω', 'morph': 'Gr,V,IEP1,,P,'}]","δεδοκιμάσμεθα",1,3,"[{'id': 1334136, 'book_id': '1th', 'chapter': '2', 'verse': '4', 'word_num': 3, 'word': 'we', 'occurrence': 1}, {'id': 1334137, 'book_id': '1th', 'chapter': '2', 'verse': '4', 'word_num': 4, 'word': 'have', 'occurrence': 1}, {'id': 1334138, 'book_id': '1th', 'chapter': '2', 'verse': '4', 'word_num': 5, 'word': 'been', 'occurrence': 1}, {'id': 1334139, 'book_id': '1th', 'chapter': '2', 'verse': '4', 'word_num': 6, 'word': 'approved', 'occurrence': 1}]","we have been approved",4,"δεδοκιμάσμεθα = we have been approved",0.045454545454545456,0,0
"545218","1th","2","4","16",",1529170,1529171,",",1334157,1334158,1334159,1334160,1334161,1334162,",1,"[{'id': 1529170, 'book_id': '1th', 'chapter': '2', 'verse': '4', 'word_num': 17, 'word': 'τῷ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RD,,,,DMS,'}, {'id': 1529171, 'book_id': '1th', 'chapter': '2', 'verse': '4', 'word_num': 18, 'word': 'δοκιμάζοντι', 'occurrence': 1, 'strong': 'G13810', 'lemma': 'δοκιμάζω', 'morph': 'Gr,V,PPA,DMS,'}]","τῷ δοκιμάζοντι",2,5,"[{'id': 1334157, 'book_id': '1th', 'chapter': '2', 'verse': '4', 'word_num': 24, 'word': 'He', 'occurrence': 1}, {'id': 1334158, 'book_id': '1th', 'chapter': '2', 'verse': '4', 'word_num': 25, 'word': 'is', 'occurrence': 1}, {'id': 1334159, 'book_id': '1th', 'chapter': '2', 'verse': '4', 'word_num': 26, 'word': 'the', 'occurrence': 2}, {'id': 1334160, 'book_id': '1th', 'chapter': '2', 'verse': '4', 'word_num': 27, 'word': 'one', 'occurrence': 1}, {'id': 1334161, 'book_id': '1th', 'chapter': '2', 'verse': '4', 'word_num': 28, 'word': 'who', 'occurrence': 1}, {'id': 1334162, 'book_id': '1th', 'chapter': '2', 'verse': '4', 'word_num': 29, 'word': 'examines', 'occurrence': 1}]","He is the one who examines",6,"τῷ δοκιμάζοντι = He is the one who examines",0.045454545454545456,0,0
"546280","1th","5","21","0",",1530294,",",1335639,",0,"[{'id': 1530294, 'book_id': '1th', 'chapter': '5', 'verse': '21', 'word_num': 1, 'word': 'δοκιμάζετε', 'occurrence': 1, 'strong': 'G13810', 'lemma': 'δοκιμάζω', 'morph': 'Gr,V,MPA2,,P,'}]","δοκιμάζετε",1,0,"[{'id': 1335639, 'book_id': '1th', 'chapter': '5', 'verse': '21', 'word_num': 0, 'word': 'Test', 'occurrence': 1}]","Test",1,"δοκιμάζετε = Test",0.09090909090909091,0,0
"547756","1ti","3","10","2",",1531792,",",1337726,1337727,1337728,",0,"[{'id': 1531792, 'book_id': '1ti', 'chapter': '3', 'verse': '10', 'word_num': 3, 'word': 'δοκιμαζέσθωσαν', 'occurrence': 1, 'strong': 'G13810', 'lemma': 'δοκιμάζω', 'morph': 'Gr,V,MPP3,,P,'}]","δοκιμαζέσθωσαν",1,2,"[{'id': 1337726, 'book_id': '1ti', 'chapter': '3', 'verse': '10', 'word_num': 2, 'word': 'must', 'occurrence': 1}, {'id': 1337727, 'book_id': '1ti', 'chapter': '3', 'verse': '10', 'word_num': 3, 'word': 'be', 'occurrence': 1}, {'id': 1337728, 'book_id': '1ti', 'chapter': '3', 'verse': '10', 'word_num': 4, 'word': 'approved', 'occurrence': 1}]","must be approved",3,"δοκιμαζέσθωσαν = must be approved",0.045454545454545456,0,0
