"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"458899","mrk","2","12","15",",1438650,",",1212900,1212901,",0,"[{'id': 1438650, 'book_id': 'mrk', 'chapter': '2', 'verse': '12', 'word_num': 14, 'word': 'δοξάζειν', 'occurrence': 1, 'strong': 'G13920', 'lemma': 'δοξάζω', 'morph': 'Gr,V,NPA,,,,,'}]","δοξάζειν",1,1,"[{'id': 1212900, 'book_id': 'mrk', 'chapter': '2', 'verse': '12', 'word_num': 23, 'word': 'they', 'occurrence': 2}, {'id': 1212901, 'book_id': 'mrk', 'chapter': '2', 'verse': '12', 'word_num': 24, 'word': 'glorified', 'occurrence': 1}]","they glorified",2,"δοξάζειν = they glorified",1.0,1,0,0
"469838","luk","2","20","4",",1450565,",",1228662,",0,"[{'id': 1450565, 'book_id': 'luk', 'chapter': '2', 'verse': '20', 'word_num': 4, 'word': 'δοξάζοντες', 'occurrence': 1, 'strong': 'G13920', 'lemma': 'δοξάζω', 'morph': 'Gr,V,PPA,NMP,'}]","δοξάζοντες",1,0,"[{'id': 1228662, 'book_id': 'luk', 'chapter': '2', 'verse': '20', 'word_num': 4, 'word': 'glorifying', 'occurrence': 1}]","glorifying",1,"δοξάζοντες = glorifying",0.5,1,0,0
"535902","2co","9","13","6",",1519534,",",1320700,1320701,",0,"[{'id': 1519534, 'book_id': '2co', 'chapter': '9', 'verse': '13', 'word_num': 6, 'word': 'δοξάζοντες', 'occurrence': 1, 'strong': 'G13920', 'lemma': 'δοξάζω', 'morph': 'Gr,V,PPA,NMP,'}]","δοξάζοντες",1,1,"[{'id': 1320700, 'book_id': '2co', 'chapter': '9', 'verse': '13', 'word_num': 7, 'word': 'they', 'occurrence': 1}, {'id': 1320701, 'book_id': '2co', 'chapter': '9', 'verse': '13', 'word_num': 8, 'word': 'glorify', 'occurrence': 1}]","they glorify",2,"δοξάζοντες = they glorify",0.5,1,0,0
"471179","luk","4","15","6",",1451933,",",1230413,1230414,",0,"[{'id': 1451933, 'book_id': 'luk', 'chapter': '4', 'verse': '15', 'word_num': 7, 'word': 'δοξαζόμενος', 'occurrence': 1, 'strong': 'G13920', 'lemma': 'δοξάζω', 'morph': 'Gr,V,PPP,NMS,'}]","δοξαζόμενος",1,1,"[{'id': 1230413, 'book_id': 'luk', 'chapter': '4', 'verse': '15', 'word_num': 8, 'word': 'being', 'occurrence': 1}, {'id': 1230414, 'book_id': 'luk', 'chapter': '4', 'verse': '15', 'word_num': 9, 'word': 'praised', 'occurrence': 1}]","being praised",2,"δοξαζόμενος = being praised",1.0,1,0,0
"472195","luk","5","25","13",",1452968,",",1231785,",0,"[{'id': 1452968, 'book_id': 'luk', 'chapter': '5', 'verse': '25', 'word_num': 14, 'word': 'δοξάζων', 'occurrence': 1, 'strong': 'G13920', 'lemma': 'δοξάζω', 'morph': 'Gr,V,PPA,NMS,'}]","δοξάζων",1,0,"[{'id': 1231785, 'book_id': 'luk', 'chapter': '5', 'verse': '25', 'word_num': 22, 'word': 'glorifying', 'occurrence': 1}]","glorifying",1,"δοξάζων = glorifying",0.75,3,0,0
"481811","luk","17","15","12",",1462735,",",1244888,",0,"[{'id': 1462735, 'book_id': 'luk', 'chapter': '17', 'verse': '15', 'word_num': 11, 'word': 'δοξάζων', 'occurrence': 1, 'strong': 'G13920', 'lemma': 'δοξάζω', 'morph': 'Gr,V,PPA,NMS,'}]","δοξάζων",1,0,"[{'id': 1244888, 'book_id': 'luk', 'chapter': '17', 'verse': '15', 'word_num': 15, 'word': 'glorifying', 'occurrence': 1}]","glorifying",1,"δοξάζων = glorifying",0.75,3,0,0
"482791","luk","18","43","6",",1463740,",",1246264,",0,"[{'id': 1463740, 'book_id': 'luk', 'chapter': '18', 'verse': '43', 'word_num': 6, 'word': 'δοξάζων', 'occurrence': 1, 'strong': 'G13920', 'lemma': 'δοξάζω', 'morph': 'Gr,V,PPA,NMS,'}]","δοξάζων",1,0,"[{'id': 1246264, 'book_id': 'luk', 'chapter': '18', 'verse': '43', 'word_num': 9, 'word': 'glorifying', 'occurrence': 1}]","glorifying",1,"δοξάζων = glorifying",0.75,3,0,0
"493608","jhn","8","54","13",",1475264,1475265,",",1260959,1260960,",1,"[{'id': 1475264, 'book_id': 'jhn', 'chapter': '8', 'verse': '54', 'word_num': 15, 'word': 'ὁ', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RD,,,,NMS,'}, {'id': 1475265, 'book_id': 'jhn', 'chapter': '8', 'verse': '54', 'word_num': 16, 'word': 'δοξάζων', 'occurrence': 1, 'strong': 'G13920', 'lemma': 'δοξάζω', 'morph': 'Gr,V,PPA,NMS,'}]","ὁ δοξάζων",2,1,"[{'id': 1260959, 'book_id': 'jhn', 'chapter': '8', 'verse': '54', 'word_num': 14, 'word': 'who', 'occurrence': 1}, {'id': 1260960, 'book_id': 'jhn', 'chapter': '8', 'verse': '54', 'word_num': 15, 'word': 'glorifies', 'occurrence': 1}]","who glorifies",2,"ὁ δοξάζων = who glorifies",0.25,1,0,0
"472202","luk","5","26","5",",1452976,",",1231795,1231796,",0,"[{'id': 1452976, 'book_id': 'luk', 'chapter': '5', 'verse': '26', 'word_num': 5, 'word': 'ἐδόξαζον', 'occurrence': 1, 'strong': 'G13920', 'lemma': 'δοξάζω', 'morph': 'Gr,V,IIA3,,P,'}]","ἐδόξαζον",1,1,"[{'id': 1231795, 'book_id': 'luk', 'chapter': '5', 'verse': '26', 'word_num': 8, 'word': 'they', 'occurrence': 1}, {'id': 1231796, 'book_id': 'luk', 'chapter': '5', 'verse': '26', 'word_num': 9, 'word': 'glorified', 'occurrence': 1}]","they glorified",2,"ἐδόξαζον = they glorified",0.3333333333333333,2,0,0
"473642","luk","7","16","5",",1454424,",",1233752,1233753,1233754,",0,"[{'id': 1454424, 'book_id': 'luk', 'chapter': '7', 'verse': '16', 'word_num': 5, 'word': 'ἐδόξαζον', 'occurrence': 1, 'strong': 'G13920', 'lemma': 'δοξάζω', 'morph': 'Gr,V,IIA3,,P,'}]","ἐδόξαζον",1,2,"[{'id': 1233752, 'book_id': 'luk', 'chapter': '7', 'verse': '16', 'word_num': 7, 'word': 'they', 'occurrence': 1}, {'id': 1233753, 'book_id': 'luk', 'chapter': '7', 'verse': '16', 'word_num': 8, 'word': 'were', 'occurrence': 1}, {'id': 1233754, 'book_id': 'luk', 'chapter': '7', 'verse': '16', 'word_num': 9, 'word': 'praising', 'occurrence': 1}]","they were praising",3,"ἐδόξαζον = they were praising",0.16666666666666666,1,0,0
"504058","act","4","21","14",",1486362,",",1275226,1275227,",0,"[{'id': 1486362, 'book_id': 'act', 'chapter': '4', 'verse': '21', 'word_num': 16, 'word': 'ἐδόξαζον', 'occurrence': 1, 'strong': 'G13920', 'lemma': 'δοξάζω', 'morph': 'Gr,V,IIA3,,P,'}]","ἐδόξαζον",1,1,"[{'id': 1275226, 'book_id': 'act', 'chapter': '4', 'verse': '21', 'word_num': 22, 'word': 'they', 'occurrence': 3}, {'id': 1275227, 'book_id': 'act', 'chapter': '4', 'verse': '21', 'word_num': 23, 'word': 'were', 'occurrence': 1}]","they were",2,"ἐδόξαζον = they were",0.16666666666666666,1,0,0
"510612","act","13","48","6",",1493068,",",1284025,",0,"[{'id': 1493068, 'book_id': 'act', 'chapter': '13', 'verse': '48', 'word_num': 6, 'word': 'ἐδόξαζον', 'occurrence': 1, 'strong': 'G13920', 'lemma': 'δοξάζω', 'morph': 'Gr,V,IIA3,,P,'}]","ἐδόξαζον",1,0,"[{'id': 1284025, 'book_id': 'act', 'chapter': '13', 'verse': '48', 'word_num': 9, 'word': 'praised', 'occurrence': 1}]","praised",1,"ἐδόξαζον = praised",0.16666666666666666,1,0,0
"515346","act","21","20","3",",1497990,",",1290440,1290441,",0,"[{'id': 1497990, 'book_id': 'act', 'chapter': '21', 'verse': '20', 'word_num': 3, 'word': 'ἐδόξαζον', 'occurrence': 1, 'strong': 'G13920', 'lemma': 'δοξάζω', 'morph': 'Gr,V,IIA3,,P,'}]","ἐδόξαζον",1,1,"[{'id': 1290440, 'book_id': 'act', 'chapter': '21', 'verse': '20', 'word_num': 4, 'word': 'they', 'occurrence': 2}, {'id': 1290441, 'book_id': 'act', 'chapter': '21', 'verse': '20', 'word_num': 5, 'word': 'praised', 'occurrence': 1}]","they praised",2,"ἐδόξαζον = they praised",0.16666666666666666,1,0,0
"537731","gal","1","24","1",",1521396,",",1323430,1323431,",0,"[{'id': 1521396, 'book_id': 'gal', 'chapter': '1', 'verse': '24', 'word_num': 1, 'word': 'ἐδόξαζον', 'occurrence': 1, 'strong': 'G13920', 'lemma': 'δοξάζω', 'morph': 'Gr,V,IIA3,,P,'}]","ἐδόξαζον",1,1,"[{'id': 1323430, 'book_id': 'gal', 'chapter': '1', 'verse': '24', 'word_num': 1, 'word': 'they', 'occurrence': 1}, {'id': 1323431, 'book_id': 'gal', 'chapter': '1', 'verse': '24', 'word_num': 2, 'word': 'glorified', 'occurrence': 1}]","they glorified",2,"ἐδόξαζον = they glorified",0.3333333333333333,2,0,0
"479394","luk","13","13","9",",1460293,",",1241557,1241558,",0,"[{'id': 1460293, 'book_id': 'luk', 'chapter': '13', 'verse': '13', 'word_num': 9, 'word': 'ἐδόξαζεν', 'occurrence': 1, 'strong': 'G13920', 'lemma': 'δοξάζω', 'morph': 'Gr,V,IIA3,,S,'}]","ἐδόξαζεν",1,1,"[{'id': 1241557, 'book_id': 'luk', 'chapter': '13', 'verse': '13', 'word_num': 14, 'word': 'she', 'occurrence': 2}, {'id': 1241558, 'book_id': 'luk', 'chapter': '13', 'verse': '13', 'word_num': 15, 'word': 'glorified', 'occurrence': 1}]","she glorified",2,"ἐδόξαζεν = she glorified",0.5,1,0,0
"486597","luk","23","47","7",",1467572,",",1251461,1251462,1251463,",0,"[{'id': 1467572, 'book_id': 'luk', 'chapter': '23', 'verse': '47', 'word_num': 6, 'word': 'ἐδόξαζεν', 'occurrence': 1, 'strong': 'G13920', 'lemma': 'δοξάζω', 'morph': 'Gr,V,IIA3,,S,'}]","ἐδόξαζεν",1,2,"[{'id': 1251461, 'book_id': 'luk', 'chapter': '23', 'verse': '47', 'word_num': 7, 'word': 'he', 'occurrence': 1}, {'id': 1251462, 'book_id': 'luk', 'chapter': '23', 'verse': '47', 'word_num': 8, 'word': 'began', 'occurrence': 1}, {'id': 1251463, 'book_id': 'luk', 'chapter': '23', 'verse': '47', 'word_num': 9, 'word': 'glorifing', 'occurrence': 1}]","he began glorifing",3,"ἐδόξαζεν = he began glorifing",0.5,1,0,0
"492677","jhn","7","39","18",",1474102,",",1259551,",0,"[{'id': 1474102, 'book_id': 'jhn', 'chapter': '7', 'verse': '39', 'word_num': 20, 'word': 'ἐδοξάσθη', 'occurrence': 1, 'strong': 'G13920', 'lemma': 'δοξάζω', 'morph': 'Gr,V,IAP3,,S,'}]","ἐδοξάσθη",1,0,"[{'id': 1259551, 'book_id': 'jhn', 'chapter': '7', 'verse': '39', 'word_num': 27, 'word': 'was', 'occurrence': 1}]","was",1,"ἐδοξάσθη = was",0.2,1,0,0
