"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"458643","mrk","1","40","13",",1438378,",",1212532,1212533,",0,"[{'id': 1438378, 'book_id': 'mrk', 'chapter': '1', 'verse': '40', 'word_num': 14, 'word': 'δύνασαί', 'occurrence': 1, 'strong': 'G14100', 'lemma': 'δύναμαι', 'morph': 'Gr,V,IPM2,,S,'}]","δύνασαί",1,1,"[{'id': 1212532, 'book_id': 'mrk', 'chapter': '1', 'verse': '40', 'word_num': 19, 'word': 'you', 'occurrence': 2}, {'id': 1212533, 'book_id': 'mrk', 'chapter': '1', 'verse': '40', 'word_num': 20, 'word': 'can', 'occurrence': 1}]","you can",2,"δύνασαί = you can",0.6666666666666666,2,0,0
"471938","luk","5","12","28",",1452705,",",1231437,1231438,",0,"[{'id': 1452705, 'book_id': 'luk', 'chapter': '5', 'verse': '12', 'word_num': 28, 'word': 'δύνασαί', 'occurrence': 1, 'strong': 'G14100', 'lemma': 'δύναμαι', 'morph': 'Gr,V,IPM2,,S,'}]","δύνασαί",1,1,"[{'id': 1231437, 'book_id': 'luk', 'chapter': '5', 'verse': '12', 'word_num': 37, 'word': 'you', 'occurrence': 2}, {'id': 1231438, 'book_id': 'luk', 'chapter': '5', 'verse': '12', 'word_num': 38, 'word': 'can', 'occurrence': 1}]","you can",2,"δύνασαί = you can",0.6666666666666666,2,0,0
"497266","jhn","13","36","12",",1479188,1479189,",",1265950,1265951,",1,"[{'id': 1479188, 'book_id': 'jhn', 'chapter': '13', 'verse': '36', 'word_num': 12, 'word': 'οὐ', 'occurrence': 1, 'strong': 'G37560', 'lemma': 'οὐ', 'morph': 'Gr,D,,,,,,,,,'}, {'id': 1479189, 'book_id': 'jhn', 'chapter': '13', 'verse': '36', 'word_num': 13, 'word': 'δύνασαί', 'occurrence': 1, 'strong': 'G14100', 'lemma': 'δύναμαι', 'morph': 'Gr,V,IPM2,,S,'}]","οὐ δύνασαί",2,1,"[{'id': 1265950, 'book_id': 'jhn', 'chapter': '13', 'verse': '36', 'word_num': 17, 'word': 'you', 'occurrence': 2}, {'id': 1265951, 'book_id': 'jhn', 'chapter': '13', 'verse': '36', 'word_num': 18, 'word': 'cannot', 'occurrence': 1}]","you cannot",2,"οὐ δύνασαί = you cannot",0.3333333333333333,1,0,0
"458708","mrk","1","45","13",",1438446,",",1212627,",0,"[{'id': 1438446, 'book_id': 'mrk', 'chapter': '1', 'verse': '45', 'word_num': 13, 'word': 'δύνασθαι', 'occurrence': 1, 'strong': 'G14100', 'lemma': 'δύναμαι', 'morph': 'Gr,V,NPM,,,,,'}]","δύνασθαι",1,0,"[{'id': 1212627, 'book_id': 'mrk', 'chapter': '1', 'verse': '45', 'word_num': 19, 'word': 'could', 'occurrence': 1}]","could",1,"δύνασθαι = could",0.375,3,0,0
"459512","mrk","3","20","11",",1439305,",",1213750,",0,"[{'id': 1439305, 'book_id': 'mrk', 'chapter': '3', 'verse': '20', 'word_num': 11, 'word': 'δύνασθαι', 'occurrence': 1, 'strong': 'G14100', 'lemma': 'δύναμαι', 'morph': 'Gr,V,NPM,,,,,'}]","δύνασθαι",1,0,"[{'id': 1213750, 'book_id': 'mrk', 'chapter': '3', 'verse': '20', 'word_num': 15, 'word': 'could', 'occurrence': 1}]","could",1,"δύνασθαι = could",0.375,3,0,0
"460234","mrk","4","32","19",",1440075,",",1214747,",0,"[{'id': 1440075, 'book_id': 'mrk', 'chapter': '4', 'verse': '32', 'word_num': 15, 'word': 'δύνασθαι', 'occurrence': 1, 'strong': 'G14100', 'lemma': 'δύναμαι', 'morph': 'Gr,V,NPM,,,,,'}]","δύνασθαι",1,0,"[{'id': 1214747, 'book_id': 'mrk', 'chapter': '4', 'verse': '32', 'word_num': 27, 'word': 'can', 'occurrence': 1}]","can",1,"δύνασθαι = can",0.125,1,0,0
"529889","1co","10","13","27",",1513327,1513328,",",1311965,1311966,1311967,1311968,1311969,1311970,",1,"[{'id': 1513327, 'book_id': '1co', 'chapter': '10', 'verse': '13', 'word_num': 27, 'word': 'τοῦ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RD,,,,GNS,'}, {'id': 1513328, 'book_id': '1co', 'chapter': '10', 'verse': '13', 'word_num': 28, 'word': 'δύνασθαι', 'occurrence': 1, 'strong': 'G14100', 'lemma': 'δύναμαι', 'morph': 'Gr,V,NPM,,,,,'}]","τοῦ δύνασθαι",2,5,"[{'id': 1311965, 'book_id': '1co', 'chapter': '10', 'verse': '13', 'word_num': 40, 'word': 'so', 'occurrence': 1}, {'id': 1311966, 'book_id': '1co', 'chapter': '10', 'verse': '13', 'word_num': 41, 'word': 'that', 'occurrence': 1}, {'id': 1311967, 'book_id': '1co', 'chapter': '10', 'verse': '13', 'word_num': 42, 'word': 'you', 'occurrence': 4}, {'id': 1311968, 'book_id': '1co', 'chapter': '10', 'verse': '13', 'word_num': 43, 'word': 'will', 'occurrence': 3}, {'id': 1311969, 'book_id': '1co', 'chapter': '10', 'verse': '13', 'word_num': 44, 'word': 'be', 'occurrence': 2}, {'id': 1311970, 'book_id': '1co', 'chapter': '10', 'verse': '13', 'word_num': 45, 'word': 'able', 'occurrence': 2}]","so that you will be able",6,"τοῦ δύνασθαι = so that you will be able",0.125,1,0,0
"533101","2co","1","4","9",",1516634,",",1316691,1316692,",0,"[{'id': 1516634, 'book_id': '2co', 'chapter': '1', 'verse': '4', 'word_num': 10, 'word': 'δύνασθαι', 'occurrence': 1, 'strong': 'G14100', 'lemma': 'δύναμαι', 'morph': 'Gr,V,NPM,,,,,'}]","δύνασθαι",1,1,"[{'id': 1316691, 'book_id': '2co', 'chapter': '1', 'verse': '4', 'word_num': 12, 'word': 'are', 'occurrence': 1}, {'id': 1316692, 'book_id': '2co', 'chapter': '1', 'verse': '4', 'word_num': 13, 'word': 'able', 'occurrence': 1}]","are able",2,"δύνασθαι = are able",0.125,1,0,0
"533902","2co","3","7","17",",1517456,",",1317803,",0,"[{'id': 1517456, 'book_id': '2co', 'chapter': '3', 'verse': '7', 'word_num': 15, 'word': 'δύνασθαι', 'occurrence': 1, 'strong': 'G14100', 'lemma': 'δύναμαι', 'morph': 'Gr,V,NPM,,,,,'}]","δύνασθαι",1,0,"[{'id': 1317803, 'book_id': '2co', 'chapter': '3', 'verse': '7', 'word_num': 21, 'word': 'could', 'occurrence': 1}]","could",1,"δύνασθαι = could",0.375,3,0,0
"541701","eph","6","11","5",",1525445,1525446,1525447,",",1329040,1329041,",2,"[{'id': 1525445, 'book_id': 'eph', 'chapter': '6', 'verse': '11', 'word_num': 5, 'word': 'πρὸς', 'occurrence': 1, 'strong': 'G43140', 'lemma': 'πρός', 'morph': 'Gr,P,,,,,A,,,'}, {'id': 1525446, 'book_id': 'eph', 'chapter': '6', 'verse': '11', 'word_num': 6, 'word': 'τὸ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RD,,,,ANS,'}, {'id': 1525447, 'book_id': 'eph', 'chapter': '6', 'verse': '11', 'word_num': 7, 'word': 'δύνασθαι', 'occurrence': 1, 'strong': 'G14100', 'lemma': 'δύναμαι', 'morph': 'Gr,V,NPM,,,,,'}]","πρὸς τὸ δύνασθαι",3,1,"[{'id': 1329040, 'book_id': 'eph', 'chapter': '6', 'verse': '11', 'word_num': 7, 'word': 'to', 'occurrence': 1}, {'id': 1329041, 'book_id': 'eph', 'chapter': '6', 'verse': '11', 'word_num': 8, 'word': 'enable', 'occurrence': 1}]","to enable",2,"πρὸς τὸ δύνασθαι = to enable",0.125,1,0,0
"543151","php","3","21","13",",1526944,1526945,",",1331157,",1,"[{'id': 1526944, 'book_id': 'php', 'chapter': '3', 'verse': '21', 'word_num': 16, 'word': 'τοῦ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RD,,,,GNS,'}, {'id': 1526945, 'book_id': 'php', 'chapter': '3', 'verse': '21', 'word_num': 17, 'word': 'δύνασθαι', 'occurrence': 1, 'strong': 'G14100', 'lemma': 'δύναμαι', 'morph': 'Gr,V,NPM,,,,,'}]","τοῦ δύνασθαι",2,0,"[{'id': 1331157, 'book_id': 'php', 'chapter': '3', 'verse': '21', 'word_num': 19, 'word': 'power', 'occurrence': 1}]","power",1,"τοῦ δύνασθαι = power",0.125,1,0,0
"458764","mrk","2","4","1",",1438501,",",1212707,1212708,",0,"[{'id': 1438501, 'book_id': 'mrk', 'chapter': '2', 'verse': '4', 'word_num': 2, 'word': 'δυνάμενοι', 'occurrence': 1, 'strong': 'G14100', 'lemma': 'δύναμαι', 'morph': 'Gr,V,PPM,NMP,'}]","δυνάμενοι",1,1,"[{'id': 1212707, 'book_id': 'mrk', 'chapter': '2', 'verse': '4', 'word_num': 1, 'word': 'they', 'occurrence': 1}, {'id': 1212708, 'book_id': 'mrk', 'chapter': '2', 'verse': '4', 'word_num': 2, 'word': 'could', 'occurrence': 1}]","they could",2,"δυνάμενοι = they could",0.3333333333333333,1,0,0
"525729","rom","15","14","20",",1508998,",",1305831,",0,"[{'id': 1508998, 'book_id': 'rom', 'chapter': '15', 'verse': '14', 'word_num': 18, 'word': 'δυνάμενοι', 'occurrence': 1, 'strong': 'G14100', 'lemma': 'δύναμαι', 'morph': 'Gr,V,PPM,NMP,'}]","δυνάμενοι",1,0,"[{'id': 1305831, 'book_id': 'rom', 'chapter': '15', 'verse': '14', 'word_num': 22, 'word': 'able', 'occurrence': 1}]","able",1,"δυνάμενοι = able",0.3333333333333333,1,0,0
"545248","1th","2","7","0",",1529201,",",1334205,1334206,1334207,",0,"[{'id': 1529201, 'book_id': '1th', 'chapter': '2', 'verse': '7', 'word_num': 0, 'word': 'δυνάμενοι', 'occurrence': 1, 'strong': 'G14100', 'lemma': 'δύναμαι', 'morph': 'Gr,V,PPM,NMP,'}]","δυνάμενοι",1,2,"[{'id': 1334205, 'book_id': '1th', 'chapter': '2', 'verse': '7', 'word_num': 0, 'word': 'We', 'occurrence': 1}, {'id': 1334206, 'book_id': '1th', 'chapter': '2', 'verse': '7', 'word_num': 1, 'word': 'could', 'occurrence': 1}, {'id': 1334207, 'book_id': '1th', 'chapter': '2', 'verse': '7', 'word_num': 2, 'word': 'have', 'occurrence': 1}]","We could have",3,"δυνάμενοι = We could have",0.3333333333333333,1,0,0
"458815","mrk","2","7","6",",1438555,",",1212781,",0,"[{'id': 1438555, 'book_id': 'mrk', 'chapter': '2', 'verse': '7', 'word_num': 6, 'word': 'δύναται', 'occurrence': 1, 'strong': 'G14100', 'lemma': 'δύναμαι', 'morph': 'Gr,V,IPM3,,S,'}]","δύναται",1,0,"[{'id': 1212781, 'book_id': 'mrk', 'chapter': '2', 'verse': '7', 'word_num': 10, 'word': 'can', 'occurrence': 1}]","can",1,"δύναται = can",0.3442622950819672,21,0,0
"459554","mrk","3","23","9",",1439351,",",1213814,",0,"[{'id': 1439351, 'book_id': 'mrk', 'chapter': '3', 'verse': '23', 'word_num': 8, 'word': 'δύναται', 'occurrence': 1, 'strong': 'G14100', 'lemma': 'δύναμαι', 'morph': 'Gr,V,IPM3,,S,'}]","δύναται",1,0,"[{'id': 1213814, 'book_id': 'mrk', 'chapter': '3', 'verse': '23', 'word_num': 13, 'word': 'can', 'occurrence': 1}]","can",1,"δύναται = can",0.3442622950819672,21,0,0
"459565","mrk","3","24","7",",1439361,1439362,",",1213828,",1,"[{'id': 1439361, 'book_id': 'mrk', 'chapter': '3', 'verse': '24', 'word_num': 6, 'word': 'οὐ', 'occurrence': 1, 'strong': 'G37560', 'lemma': 'οὐ', 'morph': 'Gr,D,,,,,,,,,'}, {'id': 1439362, 'book_id': 'mrk', 'chapter': '3', 'verse': '24', 'word_num': 7, 'word': 'δύναται', 'occurrence': 1, 'strong': 'G14100', 'lemma': 'δύναμαι', 'morph': 'Gr,V,IPM3,,S,'}]","οὐ δύναται",2,0,"[{'id': 1213828, 'book_id': 'mrk', 'chapter': '3', 'verse': '24', 'word_num': 9, 'word': 'cannot', 'occurrence': 1}]","cannot",1,"οὐ δύναται = cannot",0.18032786885245902,11,0,0
