"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"460832","mrk","5","30","6",",1440703,",",1215585,",0,"[{'id': 1440703, 'book_id': 'mrk', 'chapter': '5', 'verse': '30', 'word_num': 10, 'word': 'δύναμιν', 'occurrence': 1, 'strong': 'G14110', 'lemma': 'δύναμις', 'morph': 'Gr,N,,,,,AFS,'}]","δύναμιν",1,0,"[{'id': 1215585, 'book_id': 'mrk', 'chapter': '5', 'verse': '30', 'word_num': 6, 'word': 'power', 'occurrence': 1}]","power",1,"δύναμιν = power",0.4482758620689655,13,0,0
"461147","mrk","6","5","4",",1441039,",",1216014,1216015,",0,"[{'id': 1441039, 'book_id': 'mrk', 'chapter': '6', 'verse': '5', 'word_num': 6, 'word': 'δύναμιν', 'occurrence': 1, 'strong': 'G14110', 'lemma': 'δύναμις', 'morph': 'Gr,N,,,,,AFS,'}]","δύναμιν",1,1,"[{'id': 1216014, 'book_id': 'mrk', 'chapter': '6', 'verse': '5', 'word_num': 7, 'word': 'mighty', 'occurrence': 1}, {'id': 1216015, 'book_id': 'mrk', 'chapter': '6', 'verse': '5', 'word_num': 8, 'word': 'work', 'occurrence': 1}]","mighty work",2,"δύναμιν = mighty work",0.034482758620689655,1,0,0
"463743","mrk","9","39","10",",1443832,",",1219638,1219639,1219640,",0,"[{'id': 1443832, 'book_id': 'mrk', 'chapter': '9', 'verse': '39', 'word_num': 12, 'word': 'δύναμιν', 'occurrence': 1, 'strong': 'G14110', 'lemma': 'δύναμις', 'morph': 'Gr,N,,,,,AFS,'}]","δύναμιν",1,2,"[{'id': 1219638, 'book_id': 'mrk', 'chapter': '9', 'verse': '39', 'word_num': 15, 'word': 'a', 'occurrence': 1}, {'id': 1219639, 'book_id': 'mrk', 'chapter': '9', 'verse': '39', 'word_num': 16, 'word': 'mighty', 'occurrence': 1}, {'id': 1219640, 'book_id': 'mrk', 'chapter': '9', 'verse': '39', 'word_num': 17, 'word': 'work', 'occurrence': 1}]","a mighty work",3,"δύναμιν = a mighty work",0.034482758620689655,1,0,0
"465630","mrk","12","24","14",",1445902,",",1222389,",0,"[{'id': 1445902, 'book_id': 'mrk', 'chapter': '12', 'verse': '24', 'word_num': 14, 'word': 'δύναμιν', 'occurrence': 1, 'strong': 'G14110', 'lemma': 'δύναμις', 'morph': 'Gr,N,,,,,AFS,'}]","δύναμιν",1,0,"[{'id': 1222389, 'book_id': 'mrk', 'chapter': '12', 'verse': '24', 'word_num': 21, 'word': 'power', 'occurrence': 1}]","power",1,"δύναμιν = power",0.4482758620689655,13,0,0
"475168","luk","8","46","9",",1455962,",",1235843,",0,"[{'id': 1455962, 'book_id': 'luk', 'chapter': '8', 'verse': '46', 'word_num': 10, 'word': 'δύναμιν', 'occurrence': 1, 'strong': 'G14110', 'lemma': 'δύναμις', 'morph': 'Gr,N,,,,,AFS,'}]","δύναμιν",1,0,"[{'id': 1235843, 'book_id': 'luk', 'chapter': '8', 'verse': '46', 'word_num': 10, 'word': 'power', 'occurrence': 1}]","power",1,"δύναμιν = power",0.4482758620689655,13,0,0
"475338","luk","9","1","7",",1456126,",",1236072,",0,"[{'id': 1456126, 'book_id': 'luk', 'chapter': '9', 'verse': '1', 'word_num': 6, 'word': 'δύναμιν', 'occurrence': 1, 'strong': 'G14110', 'lemma': 'δύναμις', 'morph': 'Gr,N,,,,,AFS,'}]","δύναμιν",1,0,"[{'id': 1236072, 'book_id': 'luk', 'chapter': '9', 'verse': '1', 'word_num': 11, 'word': 'power', 'occurrence': 1}]","power",1,"δύναμιν = power",0.4482758620689655,13,0,0
"476758","luk","10","19","13",",1457595,",",1237935,",0,"[{'id': 1457595, 'book_id': 'luk', 'chapter': '10', 'verse': '19', 'word_num': 15, 'word': 'δύναμιν', 'occurrence': 1, 'strong': 'G14110', 'lemma': 'δύναμις', 'morph': 'Gr,N,,,,,AFS,'}]","δύναμιν",1,0,"[{'id': 1237935, 'book_id': 'luk', 'chapter': '10', 'verse': '19', 'word_num': 16, 'word': 'power', 'occurrence': 1}]","power",1,"δύναμιν = power",0.4482758620689655,13,0,0
"487486","luk","24","49","18",",1468480,",",1252643,1252644,",0,"[{'id': 1468480, 'book_id': 'luk', 'chapter': '24', 'verse': '49', 'word_num': 21, 'word': 'δύναμιν', 'occurrence': 1, 'strong': 'G14110', 'lemma': 'δύναμις', 'morph': 'Gr,N,,,,,AFS,'}]","δύναμιν",1,1,"[{'id': 1252643, 'book_id': 'luk', 'chapter': '24', 'verse': '49', 'word_num': 22, 'word': 'with', 'occurrence': 1}, {'id': 1252644, 'book_id': 'luk', 'chapter': '24', 'verse': '49', 'word_num': 23, 'word': 'power', 'occurrence': 1}]","with power",2,"δύναμιν = with power",0.034482758620689655,1,0,0
"502071","act","1","8","2",",1484281,",",1272588,",0,"[{'id': 1484281, 'book_id': 'act', 'chapter': '1', 'verse': '8', 'word_num': 2, 'word': 'δύναμιν', 'occurrence': 1, 'strong': 'G14110', 'lemma': 'δύναμις', 'morph': 'Gr,N,,,,,AFS,'}]","δύναμιν",1,0,"[{'id': 1272588, 'book_id': 'act', 'chapter': '1', 'verse': '8', 'word_num': 4, 'word': 'power', 'occurrence': 1}]","power",1,"δύναμιν = power",0.4482758620689655,13,0,0
"526777","1co","1","24","8",",1510125,",",1307348,1307349,1307350,",0,"[{'id': 1510125, 'book_id': '1co', 'chapter': '1', 'verse': '24', 'word_num': 10, 'word': 'δύναμιν', 'occurrence': 1, 'strong': 'G14110', 'lemma': 'δύναμις', 'morph': 'Gr,N,,,,,AFS,'}]","δύναμιν",1,2,"[{'id': 1307348, 'book_id': '1co', 'chapter': '1', 'verse': '24', 'word_num': 11, 'word': 'is', 'occurrence': 1}, {'id': 1307349, 'book_id': '1co', 'chapter': '1', 'verse': '24', 'word_num': 12, 'word': 'the', 'occurrence': 1}, {'id': 1307350, 'book_id': '1co', 'chapter': '1', 'verse': '24', 'word_num': 13, 'word': 'power', 'occurrence': 1}]","is the power",3,"δύναμιν = is the power",0.034482758620689655,1,0,0
