"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"462141","mrk","7","11","17",",1442100,",",1217385,1217386,1217387,",0,"[{'id': 1442100, 'book_id': 'mrk', 'chapter': '7', 'verse': '11', 'word_num': 14, 'word': 'δῶρον', 'occurrence': 1, 'strong': 'G14350', 'lemma': 'δῶρον', 'morph': 'Gr,N,,,,,NNS,'}]","δῶρον",1,2,"[{'id': 1217385, 'book_id': 'mrk', 'chapter': '7', 'verse': '11', 'word_num': 23, 'word': 'Given', 'occurrence': 1}, {'id': 1217386, 'book_id': 'mrk', 'chapter': '7', 'verse': '11', 'word_num': 24, 'word': 'to', 'occurrence': 2}, {'id': 1217387, 'book_id': 'mrk', 'chapter': '7', 'verse': '11', 'word_num': 25, 'word': 'God', 'occurrence': 1}]","Given to God",3,"δῶρον = Given to God",0.5,1,0,0
"540055","eph","2","8","14",",1523803,",",1326941,",0,"[{'id': 1523803, 'book_id': 'eph', 'chapter': '2', 'verse': '8', 'word_num': 14, 'word': 'δῶρον', 'occurrence': 1, 'strong': 'G14350', 'lemma': 'δῶρον', 'morph': 'Gr,N,,,,,NNS,'}]","δῶρον",1,0,"[{'id': 1326941, 'book_id': 'eph', 'chapter': '2', 'verse': '8', 'word_num': 18, 'word': 'gift', 'occurrence': 1}]","gift",1,"δῶρον = gift",0.5,1,0,0
"484259","luk","21","1","7",",1465209,1465210,",",1248307,",1,"[{'id': 1465209, 'book_id': 'luk', 'chapter': '21', 'verse': '1', 'word_num': 8, 'word': 'τὰ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,ANP,'}, {'id': 1465210, 'book_id': 'luk', 'chapter': '21', 'verse': '1', 'word_num': 9, 'word': 'δῶρα', 'occurrence': 1, 'strong': 'G14350', 'lemma': 'δῶρον', 'morph': 'Gr,N,,,,,ANP,'}]","τὰ δῶρα",2,0,"[{'id': 1248307, 'book_id': 'luk', 'chapter': '21', 'verse': '1', 'word_num': 12, 'word': 'gifts', 'occurrence': 1}]","gifts",1,"τὰ δῶρα = gifts",0.25,1,0,0
"484290","luk","21","4","6",",1465246,",",1248346,",0,"[{'id': 1465246, 'book_id': 'luk', 'chapter': '21', 'verse': '4', 'word_num': 10, 'word': 'δῶρα', 'occurrence': 1, 'strong': 'G14350', 'lemma': 'δῶρον', 'morph': 'Gr,N,,,,,ANP,'}]","δῶρα",1,0,"[{'id': 1248346, 'book_id': 'luk', 'chapter': '21', 'verse': '4', 'word_num': 6, 'word': 'gifts', 'occurrence': 1}]","gifts",1,"δῶρα = gifts",0.5,2,0,0
"553056","heb","8","4","13",",1537210,",",1345402,",0,"[{'id': 1537210, 'book_id': 'heb', 'chapter': '8', 'verse': '4', 'word_num': 16, 'word': 'δῶρα', 'occurrence': 1, 'strong': 'G14350', 'lemma': 'δῶρον', 'morph': 'Gr,N,,,,,ANP,'}]","δῶρα",1,0,"[{'id': 1345402, 'book_id': 'heb', 'chapter': '8', 'verse': '4', 'word_num': 21, 'word': 'gifts', 'occurrence': 1}]","gifts",1,"δῶρα = gifts",0.5,2,0,0
"566656","rev","11","10","11",",1551926,1551927,",",1365413,",1,"[{'id': 1551926, 'book_id': 'rev', 'chapter': '11', 'verse': '10', 'word_num': 11, 'word': 'καὶ', 'occurrence': 3, 'strong': 'G25320', 'lemma': 'καί', 'morph': 'Gr,CC,,,,,,,,'}, {'id': 1551927, 'book_id': 'rev', 'chapter': '11', 'verse': '10', 'word_num': 12, 'word': 'δῶρα', 'occurrence': 1, 'strong': 'G14350', 'lemma': 'δῶρον', 'morph': 'Gr,N,,,,,ANP,'}]","καὶ δῶρα",2,0,"[{'id': 1365413, 'book_id': 'rev', 'chapter': '11', 'verse': '10', 'word_num': 16, 'word': 'gifts', 'occurrence': 1}]","gifts",1,"καὶ δῶρα = gifts",0.25,1,0,0
"552065","heb","5","1","14",",1536171,",",1343931,",0,"[{'id': 1536171, 'book_id': 'heb', 'chapter': '5', 'verse': '1', 'word_num': 15, 'word': 'δῶρά', 'occurrence': 1, 'strong': 'G14350', 'lemma': 'δῶρον', 'morph': 'Gr,N,,,,,ANP,'}]","δῶρά",1,0,"[{'id': 1343931, 'book_id': 'heb', 'chapter': '5', 'verse': '1', 'word_num': 27, 'word': 'gifts', 'occurrence': 1}]","gifts",1,"δῶρά = gifts",1.0,3,0,0
"553032","heb","8","3","6",",1537181,",",1345363,",0,"[{'id': 1537181, 'book_id': 'heb', 'chapter': '8', 'verse': '3', 'word_num': 6, 'word': 'δῶρά', 'occurrence': 1, 'strong': 'G14350', 'lemma': 'δῶρον', 'morph': 'Gr,N,,,,,ANP,'}]","δῶρά",1,0,"[{'id': 1345363, 'book_id': 'heb', 'chapter': '8', 'verse': '3', 'word_num': 9, 'word': 'gifts', 'occurrence': 1}]","gifts",1,"δῶρά = gifts",1.0,3,0,0
"553398","heb","9","9","9",",1537569,",",1345899,",0,"[{'id': 1537569, 'book_id': 'heb', 'chapter': '9', 'verse': '9', 'word_num': 9, 'word': 'δῶρά', 'occurrence': 1, 'strong': 'G14350', 'lemma': 'δῶρον', 'morph': 'Gr,N,,,,,NNP,'}]","δῶρά",1,0,"[{'id': 1345899, 'book_id': 'heb', 'chapter': '9', 'verse': '9', 'word_num': 11, 'word': 'gifts', 'occurrence': 1}]","gifts",1,"δῶρά = gifts",1.0,3,0,0
"554318","heb","11","4","19",",1538522,1538523,",",1347345,",1,"[{'id': 1538522, 'book_id': 'heb', 'chapter': '11', 'verse': '4', 'word_num': 16, 'word': 'τοῖς', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,DNP,'}, {'id': 1538523, 'book_id': 'heb', 'chapter': '11', 'verse': '4', 'word_num': 17, 'word': 'δώροις', 'occurrence': 1, 'strong': 'G14350', 'lemma': 'δῶρον', 'morph': 'Gr,N,,,,,DNP,'}]","τοῖς δώροις",2,0,"[{'id': 1347345, 'book_id': 'heb', 'chapter': '11', 'verse': '4', 'word_num': 27, 'word': 'offerings', 'occurrence': 1}]","offerings",1,"τοῖς δώροις = offerings",1.0,1,0,0
