"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"458135","mrk","1","6","1",",1437836,1437837,",",1211830,",1,"[{'id': 1437836, 'book_id': 'mrk', 'chapter': '1', 'verse': '6', 'word_num': 0, 'word': 'καὶ', 'occurrence': 1, 'strong': 'G25320', 'lemma': 'καί', 'morph': 'Gr,CC,,,,,,,,'}, {'id': 1437837, 'book_id': 'mrk', 'chapter': '1', 'verse': '6', 'word_num': 1, 'word': 'ἦν', 'occurrence': 1, 'strong': 'G15100', 'lemma': 'εἰμί', 'morph': 'Gr,V,IIA3,,S,'}]","καὶ ἦν",2,0,"[{'id': 1211830, 'book_id': 'mrk', 'chapter': '1', 'verse': '6', 'word_num': 1, 'word': 'was', 'occurrence': 1}]","was",1,"καὶ ἦν = was",0.0009233610341643582,0,0
"458167","mrk","1","7","14",",1437867,",",1211874,1211875,",0,"[{'id': 1437867, 'book_id': 'mrk', 'chapter': '1', 'verse': '7', 'word_num': 11, 'word': 'εἰμὶ', 'occurrence': 1, 'strong': 'G15100', 'lemma': 'εἰμί', 'morph': 'Gr,V,IPA1,,S,'}]","εἰμὶ",1,1,"[{'id': 1211874, 'book_id': 'mrk', 'chapter': '1', 'verse': '7', 'word_num': 21, 'word': 'I', 'occurrence': 2}, {'id': 1211875, 'book_id': 'mrk', 'chapter': '1', 'verse': '7', 'word_num': 22, 'word': 'am', 'occurrence': 1}]","I am",2,"εἰμὶ = I am",0.006925207756232687,0,0
"458227","mrk","1","11","7",",1437931,",",1211955,",0,"[{'id': 1437931, 'book_id': 'mrk', 'chapter': '1', 'verse': '11', 'word_num': 7, 'word': 'εἶ', 'occurrence': 1, 'strong': 'G15100', 'lemma': 'εἰμί', 'morph': 'Gr,V,IPA2,,S,'}]","εἶ",1,0,"[{'id': 1211955, 'book_id': 'mrk', 'chapter': '1', 'verse': '11', 'word_num': 9, 'word': 'are', 'occurrence': 1}]","are",1,"εἶ = are",0.018005540166204988,0,0
"458244","mrk","1","13","0",",1437949,1437950,",",1211977,1211978,",1,"[{'id': 1437949, 'book_id': 'mrk', 'chapter': '1', 'verse': '13', 'word_num': 0, 'word': 'καὶ', 'occurrence': 1, 'strong': 'G25320', 'lemma': 'καί', 'morph': 'Gr,CC,,,,,,,,'}, {'id': 1437950, 'book_id': 'mrk', 'chapter': '1', 'verse': '13', 'word_num': 1, 'word': 'ἦν', 'occurrence': 1, 'strong': 'G15100', 'lemma': 'εἰμί', 'morph': 'Gr,V,IIA3,,S,'}]","καὶ ἦν",2,1,"[{'id': 1211977, 'book_id': 'mrk', 'chapter': '1', 'verse': '13', 'word_num': 0, 'word': 'He', 'occurrence': 1}, {'id': 1211978, 'book_id': 'mrk', 'chapter': '1', 'verse': '13', 'word_num': 1, 'word': 'was', 'occurrence': 1}]","He was",2,"καὶ ἦν = He was",0.0013850415512465374,0,0
"458253","mrk","1","13","9",",1437960,1437961,",",1211988,1211989,",1,"[{'id': 1437960, 'book_id': 'mrk', 'chapter': '1', 'verse': '13', 'word_num': 11, 'word': 'καὶ', 'occurrence': 2, 'strong': 'G25320', 'lemma': 'καί', 'morph': 'Gr,CC,,,,,,,,'}, {'id': 1437961, 'book_id': 'mrk', 'chapter': '1', 'verse': '13', 'word_num': 12, 'word': 'ἦν', 'occurrence': 2, 'strong': 'G15100', 'lemma': 'εἰμί', 'morph': 'Gr,V,IIA3,,S,'}]","καὶ ἦν",2,1,"[{'id': 1211988, 'book_id': 'mrk', 'chapter': '1', 'verse': '13', 'word_num': 11, 'word': 'He', 'occurrence': 2}, {'id': 1211989, 'book_id': 'mrk', 'chapter': '1', 'verse': '13', 'word_num': 12, 'word': 'was', 'occurrence': 2}]","He was",2,"καὶ ἦν = He was",0.0013850415512465374,0,0
"458307","mrk","1","16","18",",1438023,",",1212057,1212058,",0,"[{'id': 1438023, 'book_id': 'mrk', 'chapter': '1', 'verse': '16', 'word_num': 18, 'word': 'ἦσαν', 'occurrence': 1, 'strong': 'G15100', 'lemma': 'εἰμί', 'morph': 'Gr,V,IIA3,,P,'}]","ἦσαν",1,1,"[{'id': 1212057, 'book_id': 'mrk', 'chapter': '1', 'verse': '16', 'word_num': 25, 'word': 'they', 'occurrence': 1}, {'id': 1212058, 'book_id': 'mrk', 'chapter': '1', 'verse': '16', 'word_num': 26, 'word': 'were', 'occurrence': 1}]","they were",2,"ἦσαν = they were",0.007848568790397045,0,0
"458381","mrk","1","22","5",",1438106,",",1212160,1212161,",0,"[{'id': 1438106, 'book_id': 'mrk', 'chapter': '1', 'verse': '22', 'word_num': 6, 'word': 'ἦν', 'occurrence': 1, 'strong': 'G15100', 'lemma': 'εἰμί', 'morph': 'Gr,V,IIA3,,S,'}]","ἦν",1,1,"[{'id': 1212160, 'book_id': 'mrk', 'chapter': '1', 'verse': '22', 'word_num': 7, 'word': 'he', 'occurrence': 1}, {'id': 1212161, 'book_id': 'mrk', 'chapter': '1', 'verse': '22', 'word_num': 8, 'word': 'was', 'occurrence': 1}]","he was",2,"ἦν = he was",0.013850415512465374,0,0
"458393","mrk","1","23","1",",1438120,",",1212176,1212177,",0,"[{'id': 1438120, 'book_id': 'mrk', 'chapter': '1', 'verse': '23', 'word_num': 2, 'word': 'ἦν', 'occurrence': 1, 'strong': 'G15100', 'lemma': 'εἰμί', 'morph': 'Gr,V,IIA3,,S,'}]","ἦν",1,1,"[{'id': 1212176, 'book_id': 'mrk', 'chapter': '1', 'verse': '23', 'word_num': 2, 'word': 'there', 'occurrence': 1}, {'id': 1212177, 'book_id': 'mrk', 'chapter': '1', 'verse': '23', 'word_num': 3, 'word': 'was', 'occurrence': 1}]","there was",2,"ἦν = there was",0.010156971375807941,0,0
"458415","mrk","1","24","11",",1438144,",",1212213,",0,"[{'id': 1438144, 'book_id': 'mrk', 'chapter': '1', 'verse': '24', 'word_num': 13, 'word': 'εἶ', 'occurrence': 1, 'strong': 'G15100', 'lemma': 'εἰμί', 'morph': 'Gr,V,IPA2,,S,'}]","εἶ",1,0,"[{'id': 1212213, 'book_id': 'mrk', 'chapter': '1', 'verse': '24', 'word_num': 22, 'word': 'are', 'occurrence': 1}]","are",1,"εἶ = are",0.018005540166204988,0,0
"458451","mrk","1","27","7",",1438183,",",1212263,",0,"[{'id': 1438183, 'book_id': 'mrk', 'chapter': '1', 'verse': '27', 'word_num': 9, 'word': 'ἐστιν', 'occurrence': 1, 'strong': 'G15100', 'lemma': 'εἰμί', 'morph': 'Gr,V,IPA3,,S,'}]","ἐστιν",1,0,"[{'id': 1212263, 'book_id': 'mrk', 'chapter': '1', 'verse': '27', 'word_num': 12, 'word': 'is', 'occurrence': 1}]","is",1,"ἐστιν = is",0.13619575253924285,0,0
