"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"458065","mrk","1","1","2",",1437759,",",1211733,",0,"[{'id': 1437759, 'book_id': 'mrk', 'chapter': '1', 'verse': '1', 'word_num': 2, 'word': 'εὐαγγελίου', 'occurrence': 1, 'strong': 'G20980', 'lemma': 'εὐαγγέλιον', 'morph': 'Gr,N,,,,,GNS,'}]","εὐαγγελίου",1,0,"[{'id': 1211733, 'book_id': 'mrk', 'chapter': '1', 'verse': '1', 'word_num': 6, 'word': 'gospel', 'occurrence': 1}]","gospel",1,"εὐαγγελίου = gospel",0.8260869565217391,19,0,0
"463074","mrk","8","35","16",",1443097,",",1218691,",0,"[{'id': 1443097, 'book_id': 'mrk', 'chapter': '8', 'verse': '35', 'word_num': 21, 'word': 'εὐαγγελίου', 'occurrence': 1, 'strong': 'G20980', 'lemma': 'εὐαγγέλιον', 'morph': 'Gr,N,,,,,GNS,'}]","εὐαγγελίου",1,0,"[{'id': 1218691, 'book_id': 'mrk', 'chapter': '8', 'verse': '35', 'word_num': 21, 'word': 'gospel', 'occurrence': 1}]","gospel",1,"εὐαγγελίου = gospel",0.8260869565217391,19,0,0
"464338","mrk","10","29","27",",1444494,",",1220509,",0,"[{'id': 1444494, 'book_id': 'mrk', 'chapter': '10', 'verse': '29', 'word_num': 27, 'word': 'εὐαγγελίου', 'occurrence': 1, 'strong': 'G20980', 'lemma': 'εὐαγγέλιον', 'morph': 'Gr,N,,,,,GNS,'}]","εὐαγγελίου",1,0,"[{'id': 1220509, 'book_id': 'mrk', 'chapter': '10', 'verse': '29', 'word_num': 33, 'word': 'gospel', 'occurrence': 1}]","gospel",1,"εὐαγγελίου = gospel",0.8260869565217391,19,0,0
"511302","act","15","7","27",",1493779,",",1284949,",0,"[{'id': 1493779, 'book_id': 'act', 'chapter': '15', 'verse': '7', 'word_num': 32, 'word': 'εὐαγγελίου', 'occurrence': 1, 'strong': 'G20980', 'lemma': 'εὐαγγέλιον', 'morph': 'Gr,N,,,,,GNS,'}]","εὐαγγελίου",1,0,"[{'id': 1284949, 'book_id': 'act', 'chapter': '15', 'verse': '7', 'word_num': 37, 'word': 'of', 'occurrence': 1}]","of",1,"εὐαγγελίου = of",0.13043478260869565,3,0,0
"527738","1co","4","15","22",",1511122,",",1308738,",0,"[{'id': 1511122, 'book_id': '1co', 'chapter': '4', 'verse': '15', 'word_num': 17, 'word': 'εὐαγγελίου', 'occurrence': 1, 'strong': 'G20980', 'lemma': 'εὐαγγέλιον', 'morph': 'Gr,N,,,,,GNS,'}]","εὐαγγελίου",1,0,"[{'id': 1308738, 'book_id': '1co', 'chapter': '4', 'verse': '15', 'word_num': 27, 'word': 'gospel', 'occurrence': 1}]","gospel",1,"εὐαγγελίου = gospel",0.8260869565217391,19,0,0
"529475","1co","9","14","11",",1512913,",",1311322,",0,"[{'id': 1512913, 'book_id': '1co', 'chapter': '9', 'verse': '14', 'word_num': 11, 'word': 'εὐαγγελίου', 'occurrence': 1, 'strong': 'G20980', 'lemma': 'εὐαγγέλιον', 'morph': 'Gr,N,,,,,GNS,'}]","εὐαγγελίου",1,0,"[{'id': 1311322, 'book_id': '1co', 'chapter': '9', 'verse': '14', 'word_num': 19, 'word': 'gospel', 'occurrence': 2}]","gospel",1,"εὐαγγελίου = gospel",0.8260869565217391,19,0,0
"534139","2co","4","4","19",",1517706,",",1318133,",0,"[{'id': 1517706, 'book_id': '2co', 'chapter': '4', 'verse': '4', 'word_num': 19, 'word': 'εὐαγγελίου', 'occurrence': 1, 'strong': 'G20980', 'lemma': 'εὐαγγέλιον', 'morph': 'Gr,N,,,,,GNS,'}]","εὐαγγελίου",1,0,"[{'id': 1318133, 'book_id': '2co', 'chapter': '4', 'verse': '4', 'word_num': 24, 'word': 'gospel', 'occurrence': 1}]","gospel",1,"εὐαγγελίου = gospel",0.8260869565217391,19,0,0
"537815","gal","2","5","12",",1521480,",",1323569,",0,"[{'id': 1521480, 'book_id': 'gal', 'chapter': '2', 'verse': '5', 'word_num': 11, 'word': 'εὐαγγελίου', 'occurrence': 1, 'strong': 'G20980', 'lemma': 'εὐαγγέλιον', 'morph': 'Gr,N,,,,,GNS,'}]","εὐαγγελίου",1,0,"[{'id': 1323569, 'book_id': 'gal', 'chapter': '2', 'verse': '5', 'word_num': 18, 'word': 'gospel', 'occurrence': 1}]","gospel",1,"εὐαγγελίου = gospel",0.8260869565217391,19,0,0
"537959","gal","2","14","11",",1521637,",",1323825,",0,"[{'id': 1521637, 'book_id': 'gal', 'chapter': '2', 'verse': '14', 'word_num': 10, 'word': 'εὐαγγελίου', 'occurrence': 1, 'strong': 'G20980', 'lemma': 'εὐαγγέλιον', 'morph': 'Gr,N,,,,,GNS,'}]","εὐαγγελίου",1,0,"[{'id': 1323825, 'book_id': 'gal', 'chapter': '2', 'verse': '14', 'word_num': 16, 'word': 'gospel', 'occurrence': 1}]","gospel",1,"εὐαγγελίου = gospel",0.8260869565217391,19,0,0
"540367","eph","3","6","17",",1524112,",",1327353,",0,"[{'id': 1524112, 'book_id': 'eph', 'chapter': '3', 'verse': '6', 'word_num': 15, 'word': 'εὐαγγελίου', 'occurrence': 1, 'strong': 'G20980', 'lemma': 'εὐαγγέλιον', 'morph': 'Gr,N,,,,,GNS,'}]","εὐαγγελίου",1,0,"[{'id': 1327353, 'book_id': 'eph', 'chapter': '3', 'verse': '6', 'word_num': 23, 'word': 'gospel', 'occurrence': 1}]","gospel",1,"εὐαγγελίου = gospel",0.8260869565217391,19,0,0
