"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"468722","luk","1","19","19",",1449389,",",1227102,1227103,",0,"[{'id': 1449389, 'book_id': 'luk', 'chapter': '1', 'verse': '19', 'word_num': 20, 'word': 'εὐαγγελίσασθαί', 'occurrence': 1, 'strong': 'G20970', 'lemma': 'εὐαγγελίζω', 'morph': 'Gr,V,NAM,,,,,'}]","εὐαγγελίσασθαί",1,1,"[{'id': 1227102, 'book_id': 'luk', 'chapter': '1', 'verse': '19', 'word_num': 27, 'word': 'to', 'occurrence': 4}, {'id': 1227103, 'book_id': 'luk', 'chapter': '1', 'verse': '19', 'word_num': 28, 'word': 'bring', 'occurrence': 1}]","to bring",2,"εὐαγγελίσασθαί = to bring",0.5,1,0,0
"471684","luk","4","43","8",",1452451,",",1231098,1231099,1231100,",0,"[{'id': 1452451, 'book_id': 'luk', 'chapter': '4', 'verse': '43', 'word_num': 10, 'word': 'εὐαγγελίσασθαί', 'occurrence': 1, 'strong': 'G20970', 'lemma': 'εὐαγγελίζω', 'morph': 'Gr,V,NAM,,,,,'}]","εὐαγγελίσασθαί",1,2,"[{'id': 1231098, 'book_id': 'luk', 'chapter': '4', 'verse': '43', 'word_num': 8, 'word': 'preach', 'occurrence': 1}, {'id': 1231099, 'book_id': 'luk', 'chapter': '4', 'verse': '43', 'word_num': 9, 'word': 'the', 'occurrence': 1}, {'id': 1231100, 'book_id': 'luk', 'chapter': '4', 'verse': '43', 'word_num': 10, 'word': 'gospel', 'occurrence': 1}]","preach the gospel",3,"εὐαγγελίσασθαί = preach the gospel",0.5,1,0,0
"469693","luk","2","10","9",",1450414,",",1228452,1228453,",0,"[{'id': 1450414, 'book_id': 'luk', 'chapter': '2', 'verse': '10', 'word_num': 9, 'word': 'εὐαγγελίζομαι', 'occurrence': 1, 'strong': 'G20970', 'lemma': 'εὐαγγελίζω', 'morph': 'Gr,V,IPM1,,S,'}]","εὐαγγελίζομαι",1,1,"[{'id': 1228452, 'book_id': 'luk', 'chapter': '2', 'verse': '10', 'word_num': 12, 'word': 'I', 'occurrence': 1}, {'id': 1228453, 'book_id': 'luk', 'chapter': '2', 'verse': '10', 'word_num': 13, 'word': 'bring', 'occurrence': 1}]","I bring",2,"εὐαγγελίζομαι = I bring",1.0,1,0,0
"470714","luk","3","18","5",",1451458,",",1229836,1229837,1229838,1229839,",0,"[{'id': 1451458, 'book_id': 'luk', 'chapter': '3', 'verse': '18', 'word_num': 6, 'word': 'εὐηγγελίζετο', 'occurrence': 1, 'strong': 'G20970', 'lemma': 'εὐαγγελίζω', 'morph': 'Gr,V,IIM3,,S,'}]","εὐηγγελίζετο",1,3,"[{'id': 1229836, 'book_id': 'luk', 'chapter': '3', 'verse': '18', 'word_num': 6, 'word': 'he', 'occurrence': 1}, {'id': 1229837, 'book_id': 'luk', 'chapter': '3', 'verse': '18', 'word_num': 7, 'word': 'preached', 'occurrence': 1}, {'id': 1229838, 'book_id': 'luk', 'chapter': '3', 'verse': '18', 'word_num': 8, 'word': 'the', 'occurrence': 1}, {'id': 1229839, 'book_id': 'luk', 'chapter': '3', 'verse': '18', 'word_num': 9, 'word': 'gospel', 'occurrence': 1}]","he preached the gospel",4,"εὐηγγελίζετο = he preached the gospel",0.3333333333333333,1,0,0
"507172","act","8","40","7",",1489558,",",1279360,1279361,1279362,",0,"[{'id': 1489558, 'book_id': 'act', 'chapter': '8', 'verse': '40', 'word_num': 7, 'word': 'εὐηγγελίζετο', 'occurrence': 1, 'strong': 'G20970', 'lemma': 'εὐαγγελίζω', 'morph': 'Gr,V,IIM3,,S,'}]","εὐηγγελίζετο",1,2,"[{'id': 1279360, 'book_id': 'act', 'chapter': '8', 'verse': '40', 'word_num': 10, 'word': 'proclaiming', 'occurrence': 1}, {'id': 1279361, 'book_id': 'act', 'chapter': '8', 'verse': '40', 'word_num': 11, 'word': 'the', 'occurrence': 1}, {'id': 1279362, 'book_id': 'act', 'chapter': '8', 'verse': '40', 'word_num': 12, 'word': 'gospel', 'occurrence': 1}]","proclaiming the gospel",3,"εὐηγγελίζετο = proclaiming the gospel",0.3333333333333333,1,0,0
"512860","act","17","18","29",",1495407,",",1287072,1287073,1287074,1287075,1287076,",0,"[{'id': 1495407, 'book_id': 'act', 'chapter': '17', 'verse': '18', 'word_num': 33, 'word': 'εὐηγγελίζετο', 'occurrence': 1, 'strong': 'G20970', 'lemma': 'εὐαγγελίζω', 'morph': 'Gr,V,IIM3,,S,'}]","εὐηγγελίζετο",1,4,"[{'id': 1287072, 'book_id': 'act', 'chapter': '17', 'verse': '18', 'word_num': 35, 'word': 'he', 'occurrence': 1}, {'id': 1287073, 'book_id': 'act', 'chapter': '17', 'verse': '18', 'word_num': 36, 'word': 'was', 'occurrence': 1}, {'id': 1287074, 'book_id': 'act', 'chapter': '17', 'verse': '18', 'word_num': 37, 'word': 'proclaiming', 'occurrence': 1}, {'id': 1287075, 'book_id': 'act', 'chapter': '17', 'verse': '18', 'word_num': 38, 'word': 'the', 'occurrence': 2}, {'id': 1287076, 'book_id': 'act', 'chapter': '17', 'verse': '18', 'word_num': 39, 'word': 'gospel', 'occurrence': 1}]","he was proclaiming the gospel",5,"εὐηγγελίζετο = he was proclaiming the gospel",0.3333333333333333,1,0,0
"471229","luk","4","18","7",",1451985,",",1230484,1230485,1230486,1230487,",0,"[{'id': 1451985, 'book_id': 'luk', 'chapter': '4', 'verse': '18', 'word_num': 8, 'word': 'εὐαγγελίσασθαι', 'occurrence': 1, 'strong': 'G20970', 'lemma': 'εὐαγγελίζω', 'morph': 'Gr,V,NAM,,,,,'}]","εὐαγγελίσασθαι",1,3,"[{'id': 1230484, 'book_id': 'luk', 'chapter': '4', 'verse': '18', 'word_num': 12, 'word': 'to', 'occurrence': 1}, {'id': 1230485, 'book_id': 'luk', 'chapter': '4', 'verse': '18', 'word_num': 13, 'word': 'preach', 'occurrence': 1}, {'id': 1230486, 'book_id': 'luk', 'chapter': '4', 'verse': '18', 'word_num': 14, 'word': 'the', 'occurrence': 2}, {'id': 1230487, 'book_id': 'luk', 'chapter': '4', 'verse': '18', 'word_num': 15, 'word': 'gospel', 'occurrence': 1}]","to preach the gospel",4,"εὐαγγελίσασθαι = to preach the gospel",0.2,1,0,0
"511981","act","16","10","15",",1494490,",",1285865,1285866,1285867,1285868,",0,"[{'id': 1494490, 'book_id': 'act', 'chapter': '16', 'verse': '10', 'word_num': 16, 'word': 'εὐαγγελίσασθαι', 'occurrence': 1, 'strong': 'G20970', 'lemma': 'εὐαγγελίζω', 'morph': 'Gr,V,NAM,,,,,'}]","εὐαγγελίσασθαι",1,3,"[{'id': 1285865, 'book_id': 'act', 'chapter': '16', 'verse': '10', 'word_num': 21, 'word': 'to', 'occurrence': 3}, {'id': 1285866, 'book_id': 'act', 'chapter': '16', 'verse': '10', 'word_num': 22, 'word': 'proclaim', 'occurrence': 1}, {'id': 1285867, 'book_id': 'act', 'chapter': '16', 'verse': '10', 'word_num': 23, 'word': 'the', 'occurrence': 2}, {'id': 1285868, 'book_id': 'act', 'chapter': '16', 'verse': '10', 'word_num': 24, 'word': 'gospel', 'occurrence': 1}]","to proclaim the gospel",4,"εὐαγγελίσασθαι = to proclaim the gospel",0.4,2,0,0
"520116","rom","1","15","4",",1502864,",",1297136,1297137,1297138,1297139,",0,"[{'id': 1502864, 'book_id': 'rom', 'chapter': '1', 'verse': '15', 'word_num': 10, 'word': 'εὐαγγελίσασθαι', 'occurrence': 1, 'strong': 'G20970', 'lemma': 'εὐαγγελίζω', 'morph': 'Gr,V,NAM,,,,,'}]","εὐαγγελίσασθαι",1,3,"[{'id': 1297136, 'book_id': 'rom', 'chapter': '1', 'verse': '15', 'word_num': 7, 'word': 'to', 'occurrence': 1}, {'id': 1297137, 'book_id': 'rom', 'chapter': '1', 'verse': '15', 'word_num': 8, 'word': 'proclaim', 'occurrence': 1}, {'id': 1297138, 'book_id': 'rom', 'chapter': '1', 'verse': '15', 'word_num': 9, 'word': 'the', 'occurrence': 1}, {'id': 1297139, 'book_id': 'rom', 'chapter': '1', 'verse': '15', 'word_num': 10, 'word': 'gospel', 'occurrence': 1}]","to proclaim the gospel",4,"εὐαγγελίσασθαι = to proclaim the gospel",0.4,2,0,0
"536214","2co","10","16","0",",1519863,",",1321148,1321149,1321150,1321151,1321152,1321153,1321154,",0,"[{'id': 1519863, 'book_id': '2co', 'chapter': '10', 'verse': '16', 'word_num': 4, 'word': 'εὐαγγελίσασθαι', 'occurrence': 1, 'strong': 'G20970', 'lemma': 'εὐαγγελίζω', 'morph': 'Gr,V,NAM,,,,,'}]","εὐαγγελίσασθαι",1,6,"[{'id': 1321148, 'book_id': '2co', 'chapter': '10', 'verse': '16', 'word_num': 0, 'word': 'so', 'occurrence': 1}, {'id': 1321149, 'book_id': '2co', 'chapter': '10', 'verse': '16', 'word_num': 1, 'word': 'that', 'occurrence': 1}, {'id': 1321150, 'book_id': '2co', 'chapter': '10', 'verse': '16', 'word_num': 2, 'word': 'we', 'occurrence': 1}, {'id': 1321151, 'book_id': '2co', 'chapter': '10', 'verse': '16', 'word_num': 3, 'word': 'may', 'occurrence': 1}, {'id': 1321152, 'book_id': '2co', 'chapter': '10', 'verse': '16', 'word_num': 4, 'word': 'preach', 'occurrence': 1}, {'id': 1321153, 'book_id': '2co', 'chapter': '10', 'verse': '16', 'word_num': 5, 'word': 'the', 'occurrence': 1}, {'id': 1321154, 'book_id': '2co', 'chapter': '10', 'verse': '16', 'word_num': 6, 'word': 'gospel', 'occurrence': 1}]","so that we may preach the gospel",7,"εὐαγγελίσασθαι = so that we may preach the gospel",0.2,1,0,0
