"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"503445","act","3","12","23",",1485717,",",1274390,",0,"[{'id': 1485717, 'book_id': 'act', 'chapter': '3', 'verse': '12', 'word_num': 22, 'word': 'εὐσεβείᾳ', 'occurrence': 1, 'strong': 'G21500', 'lemma': 'εὐσέβεια', 'morph': 'Gr,N,,,,,DFS,'}]","εὐσεβείᾳ",1,0,"[{'id': 1274390, 'book_id': 'act', 'chapter': '3', 'verse': '12', 'word_num': 38, 'word': 'godliness', 'occurrence': 1}]","godliness",1,"εὐσεβείᾳ = godliness",0.6666666666666666,2,0,0
"547480","1ti","2","2","14",",1531526,",",1337341,",0,"[{'id': 1531526, 'book_id': '1ti', 'chapter': '2', 'verse': '2', 'word_num': 16, 'word': 'εὐσεβείᾳ', 'occurrence': 1, 'strong': 'G21500', 'lemma': 'εὐσέβεια', 'morph': 'Gr,N,,,,,DFS,'}]","εὐσεβείᾳ",1,0,"[{'id': 1337341, 'book_id': '1ti', 'chapter': '2', 'verse': '2', 'word_num': 21, 'word': 'godliness', 'occurrence': 1}]","godliness",1,"εὐσεβείᾳ = godliness",0.6666666666666666,2,0,0
"558983","2pe","1","7","1",",1543498,1543499,",",1354553,",1,"[{'id': 1543498, 'book_id': '2pe', 'chapter': '1', 'verse': '7', 'word_num': 2, 'word': 'τῇ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,DFS,'}, {'id': 1543499, 'book_id': '2pe', 'chapter': '1', 'verse': '7', 'word_num': 3, 'word': 'εὐσεβείᾳ', 'occurrence': 1, 'strong': 'G21500', 'lemma': 'εὐσέβεια', 'morph': 'Gr,N,,,,,DFS,'}]","τῇ εὐσεβείᾳ",2,0,"[{'id': 1354553, 'book_id': '2pe', 'chapter': '1', 'verse': '7', 'word_num': 1, 'word': 'godliness', 'occurrence': 1}]","godliness",1,"τῇ εὐσεβείᾳ = godliness",0.3333333333333333,1,0,0
"547840","1ti","3","16","7",",1531872,",",1337845,",0,"[{'id': 1531872, 'book_id': '1ti', 'chapter': '3', 'verse': '16', 'word_num': 6, 'word': 'εὐσεβείας', 'occurrence': 1, 'strong': 'G21500', 'lemma': 'εὐσέβεια', 'morph': 'Gr,N,,,,,GFS,'}]","εὐσεβείας",1,0,"[{'id': 1337845, 'book_id': '1ti', 'chapter': '3', 'verse': '16', 'word_num': 7, 'word': 'godliness', 'occurrence': 1}]","godliness",1,"εὐσεβείας = godliness",0.5,1,0,0
"549485","2ti","3","5","2",",1533496,",",1340166,1340167,",0,"[{'id': 1533496, 'book_id': '2ti', 'chapter': '3', 'verse': '5', 'word_num': 2, 'word': 'εὐσεβείας', 'occurrence': 1, 'strong': 'G21500', 'lemma': 'εὐσέβεια', 'morph': 'Gr,N,,,,,GFS,'}]","εὐσεβείας",1,1,"[{'id': 1340166, 'book_id': '2ti', 'chapter': '3', 'verse': '5', 'word_num': 5, 'word': 'of', 'occurrence': 1}, {'id': 1340167, 'book_id': '2ti', 'chapter': '3', 'verse': '5', 'word_num': 6, 'word': 'godliness', 'occurrence': 1}]","of godliness",2,"εὐσεβείας = of godliness",0.5,1,0,0
"547958","1ti","4","7","10",",1531985,",",1338012,",0,"[{'id': 1531985, 'book_id': '1ti', 'chapter': '4', 'verse': '7', 'word_num': 11, 'word': 'εὐσέβειαν', 'occurrence': 1, 'strong': 'G21500', 'lemma': 'εὐσέβεια', 'morph': 'Gr,N,,,,,AFS,'}]","εὐσέβειαν",1,0,"[{'id': 1338012, 'book_id': '1ti', 'chapter': '4', 'verse': '7', 'word_num': 13, 'word': 'godliness', 'occurrence': 1}]","godliness",1,"εὐσέβειαν = godliness",0.7142857142857143,5,0,0
"548494","1ti","6","3","18",",1532506,",",1338776,",0,"[{'id': 1532506, 'book_id': '1ti', 'chapter': '6', 'verse': '3', 'word_num': 17, 'word': 'εὐσέβειαν', 'occurrence': 1, 'strong': 'G21500', 'lemma': 'εὐσέβεια', 'morph': 'Gr,N,,,,,AFS,'}]","εὐσέβειαν",1,0,"[{'id': 1338776, 'book_id': '1ti', 'chapter': '6', 'verse': '3', 'word_num': 25, 'word': 'godliness', 'occurrence': 1}]","godliness",1,"εὐσέβειαν = godliness",0.7142857142857143,5,0,0
"548521","1ti","6","5","8",",1532537,1532538,",",1338817,",1,"[{'id': 1532537, 'book_id': '1ti', 'chapter': '6', 'verse': '5', 'word_num': 12, 'word': 'τὴν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AFS,'}, {'id': 1532538, 'book_id': '1ti', 'chapter': '6', 'verse': '5', 'word_num': 13, 'word': 'εὐσέβειαν', 'occurrence': 1, 'strong': 'G21500', 'lemma': 'εὐσέβεια', 'morph': 'Gr,N,,,,,AFS,'}]","τὴν εὐσέβειαν",2,0,"[{'id': 1338817, 'book_id': '1ti', 'chapter': '6', 'verse': '5', 'word_num': 15, 'word': 'godliness', 'occurrence': 1}]","godliness",1,"τὴν εὐσέβειαν = godliness",0.14285714285714285,1,0,0
"548601","1ti","6","11","9",",1532618,",",1338932,",0,"[{'id': 1532618, 'book_id': '1ti', 'chapter': '6', 'verse': '11', 'word_num': 10, 'word': 'εὐσέβειαν', 'occurrence': 1, 'strong': 'G21500', 'lemma': 'εὐσέβεια', 'morph': 'Gr,N,,,,,AFS,'}]","εὐσέβειαν",1,0,"[{'id': 1338932, 'book_id': '1ti', 'chapter': '6', 'verse': '11', 'word_num': 12, 'word': 'godliness', 'occurrence': 1}]","godliness",1,"εὐσέβειαν = godliness",0.7142857142857143,5,0,0
"550003","tit","1","1","16",",1534035,",",1340881,",0,"[{'id': 1534035, 'book_id': 'tit', 'chapter': '1', 'verse': '1', 'word_num': 16, 'word': 'εὐσέβειαν', 'occurrence': 1, 'strong': 'G21500', 'lemma': 'εὐσέβεια', 'morph': 'Gr,N,,,,,AFS,'}]","εὐσέβειαν",1,0,"[{'id': 1340881, 'book_id': 'tit', 'chapter': '1', 'verse': '1', 'word_num': 29, 'word': 'godliness', 'occurrence': 1}]","godliness",1,"εὐσέβειαν = godliness",0.7142857142857143,5,0,0
"558924","2pe","1","3","9",",1543422,",",1354465,",0,"[{'id': 1543422, 'book_id': '2pe', 'chapter': '1', 'verse': '3', 'word_num': 11, 'word': 'εὐσέβειαν', 'occurrence': 1, 'strong': 'G21500', 'lemma': 'εὐσέβεια', 'morph': 'Gr,N,,,,,AFS,'}]","εὐσέβειαν",1,0,"[{'id': 1354465, 'book_id': '2pe', 'chapter': '1', 'verse': '3', 'word_num': 11, 'word': 'godliness', 'occurrence': 1}]","godliness",1,"εὐσέβειαν = godliness",0.7142857142857143,5,0,0
"558981","2pe","1","6","8",",1543494,1543495,",",1354550,1354551,",1,"[{'id': 1543494, 'book_id': '2pe', 'chapter': '1', 'verse': '6', 'word_num': 16, 'word': 'τὴν', 'occurrence': 3, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AFS,'}, {'id': 1543495, 'book_id': '2pe', 'chapter': '1', 'verse': '6', 'word_num': 17, 'word': 'εὐσέβειαν', 'occurrence': 1, 'strong': 'G21500', 'lemma': 'εὐσέβεια', 'morph': 'Gr,N,,,,,AFS,'}]","τὴν εὐσέβειαν",2,1,"[{'id': 1354550, 'book_id': '2pe', 'chapter': '1', 'verse': '6', 'word_num': 12, 'word': 'add', 'occurrence': 3}, {'id': 1354551, 'book_id': '2pe', 'chapter': '1', 'verse': '6', 'word_num': 13, 'word': 'godliness', 'occurrence': 1}]","add godliness",2,"τὴν εὐσέβειαν = add godliness",0.14285714285714285,1,0,0
"547967","1ti","4","8","8",",1531994,1531996,",",1338021,",2,"[{'id': 1531994, 'book_id': '1ti', 'chapter': '4', 'verse': '8', 'word_num': 8, 'word': 'ἡ', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NFS,'}, {'id': 1531996, 'book_id': '1ti', 'chapter': '4', 'verse': '8', 'word_num': 10, 'word': 'εὐσέβεια', 'occurrence': 1, 'strong': 'G21500', 'lemma': 'εὐσέβεια', 'morph': 'Gr,N,,,,,NFS,'}]","ἡ εὐσέβεια",2,0,"[{'id': 1338021, 'book_id': '1ti', 'chapter': '4', 'verse': '8', 'word_num': 8, 'word': 'godliness', 'occurrence': 1}]","godliness",1,"ἡ εὐσέβεια = godliness",1.0,2,1,0
"548525","1ti","6","6","1",",1532543,1532544,",",1338826,",1,"[{'id': 1532543, 'book_id': '1ti', 'chapter': '6', 'verse': '6', 'word_num': 4, 'word': 'ἡ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NFS,'}, {'id': 1532544, 'book_id': '1ti', 'chapter': '6', 'verse': '6', 'word_num': 5, 'word': 'εὐσέβεια', 'occurrence': 1, 'strong': 'G21500', 'lemma': 'εὐσέβεια', 'morph': 'Gr,N,,,,,NFS,'}]","ἡ εὐσέβεια",2,0,"[{'id': 1338826, 'book_id': '1ti', 'chapter': '6', 'verse': '6', 'word_num': 1, 'word': 'godliness', 'occurrence': 1}]","godliness",1,"ἡ εὐσέβεια = godliness",1.0,2,0,0
"559787","2pe","3","11","13",",1544337,",",1355820,",0,"[{'id': 1544337, 'book_id': '2pe', 'chapter': '3', 'verse': '11', 'word_num': 12, 'word': 'εὐσεβείαις', 'occurrence': 1, 'strong': 'G21500', 'lemma': 'εὐσέβεια', 'morph': 'Gr,N,,,,,DFP,'}]","εὐσεβείαις",1,0,"[{'id': 1355820, 'book_id': '2pe', 'chapter': '3', 'verse': '11', 'word_num': 21, 'word': 'godliness', 'occurrence': 1}]","godliness",1,"εὐσεβείαις = godliness",1.0,1,0,0
