"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"181444","mat","1","23","16",",1143877,1143878,",",820020,",1,"[{'id': 1143877, 'book_id': 'mat', 'chapter': '1', 'verse': '23', 'word_num': 20, 'word': 'ὁ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NMS,'}, {'id': 1143878, 'book_id': 'mat', 'chapter': '1', 'verse': '23', 'word_num': 21, 'word': 'Θεός', 'occurrence': 1, 'strong': 'G23160', 'lemma': 'θεός', 'morph': 'Gr,N,,,,,NMS,'}]","ὁ Θεός",2,0,"[{'id': 820020, 'book_id': 'mat', 'chapter': '1', 'verse': '23', 'word_num': 23, 'word': 'God', 'occurrence': 1}]","God",1,"ὁ Θεός = God",0.041158536585365856,0,0
"182021","mat","3","9","11",",1144515,1144516,",",820836,",1,"[{'id': 1144515, 'book_id': 'mat', 'chapter': '3', 'verse': '9', 'word_num': 15, 'word': 'ὁ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NMS,'}, {'id': 1144516, 'book_id': 'mat', 'chapter': '3', 'verse': '9', 'word_num': 16, 'word': 'Θεὸς', 'occurrence': 1, 'strong': 'G23160', 'lemma': 'θεός', 'morph': 'Gr,N,,,,,NMS,'}]","ὁ Θεὸς",2,0,"[{'id': 820836, 'book_id': 'mat', 'chapter': '3', 'verse': '9', 'word_num': 19, 'word': 'God', 'occurrence': 1}]","God",1,"ὁ Θεὸς = God",0.12728658536585366,0,0
"182165","mat","3","16","16",",1144677,1144678,",",821039,821040,",1,"[{'id': 1144677, 'book_id': 'mat', 'chapter': '3', 'verse': '16', 'word_num': 19, 'word': 'τοῦ', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,GMS,'}, {'id': 1144678, 'book_id': 'mat', 'chapter': '3', 'verse': '16', 'word_num': 20, 'word': 'Θεοῦ', 'occurrence': 1, 'strong': 'G23160', 'lemma': 'θεός', 'morph': 'Gr,N,,,,,GMS,'}]","τοῦ Θεοῦ",2,1,"[{'id': 821039, 'book_id': 'mat', 'chapter': '3', 'verse': '16', 'word_num': 23, 'word': 'of', 'occurrence': 1}, {'id': 821040, 'book_id': 'mat', 'chapter': '3', 'verse': '16', 'word_num': 24, 'word': 'God', 'occurrence': 1}]","of God",2,"τοῦ Θεοῦ = of God",0.1676829268292683,0,0
"182217","mat","4","3","9",",1144734,1144735,",",821113,821114,",1,"[{'id': 1144734, 'book_id': 'mat', 'chapter': '4', 'verse': '3', 'word_num': 9, 'word': 'τοῦ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,GMS,'}, {'id': 1144735, 'book_id': 'mat', 'chapter': '4', 'verse': '3', 'word_num': 10, 'word': 'Θεοῦ', 'occurrence': 1, 'strong': 'G23160', 'lemma': 'θεός', 'morph': 'Gr,N,,,,,GMS,'}]","τοῦ Θεοῦ",2,1,"[{'id': 821113, 'book_id': 'mat', 'chapter': '4', 'verse': '3', 'word_num': 13, 'word': 'of', 'occurrence': 1}, {'id': 821114, 'book_id': 'mat', 'chapter': '4', 'verse': '3', 'word_num': 14, 'word': 'God', 'occurrence': 1}]","of God",2,"τοῦ Θεοῦ = of God",0.1676829268292683,0,0
"182243","mat","4","4","19",",1144762,",",821147,821148,",0,"[{'id': 1144762, 'book_id': 'mat', 'chapter': '4', 'verse': '4', 'word_num': 19, 'word': 'Θεοῦ', 'occurrence': 1, 'strong': 'G23160', 'lemma': 'θεός', 'morph': 'Gr,N,,,,,GMS,'}]","Θεοῦ",1,1,"[{'id': 821147, 'book_id': 'mat', 'chapter': '4', 'verse': '4', 'word_num': 26, 'word': 'of', 'occurrence': 2}, {'id': 821148, 'book_id': 'mat', 'chapter': '4', 'verse': '4', 'word_num': 27, 'word': 'God', 'occurrence': 1}]","of God",2,"Θεοῦ = of God",0.07621951219512195,0,0
"182267","mat","4","6","6",",1144786,1144787,",",821178,821179,",1,"[{'id': 1144786, 'book_id': 'mat', 'chapter': '4', 'verse': '6', 'word_num': 6, 'word': 'τοῦ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,GMS,'}, {'id': 1144787, 'book_id': 'mat', 'chapter': '4', 'verse': '6', 'word_num': 7, 'word': 'Θεοῦ', 'occurrence': 1, 'strong': 'G23160', 'lemma': 'θεός', 'morph': 'Gr,N,,,,,GMS,'}]","τοῦ Θεοῦ",2,1,"[{'id': 821178, 'book_id': 'mat', 'chapter': '4', 'verse': '6', 'word_num': 9, 'word': 'of', 'occurrence': 1}, {'id': 821179, 'book_id': 'mat', 'chapter': '4', 'verse': '6', 'word_num': 10, 'word': 'God', 'occurrence': 1}]","of God",2,"τοῦ Θεοῦ = of God",0.1676829268292683,0,0
"182302","mat","4","7","10",",1144821,1144822,",",821232,",1,"[{'id': 1144821, 'book_id': 'mat', 'chapter': '4', 'verse': '7', 'word_num': 9, 'word': 'τὸν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AMS,'}, {'id': 1144822, 'book_id': 'mat', 'chapter': '4', 'verse': '7', 'word_num': 10, 'word': 'Θεόν', 'occurrence': 1, 'strong': 'G23160', 'lemma': 'θεός', 'morph': 'Gr,N,,,,,AMS,'}]","τὸν Θεόν",2,0,"[{'id': 821232, 'book_id': 'mat', 'chapter': '4', 'verse': '7', 'word_num': 15, 'word': 'God', 'occurrence': 1}]","God",1,"τὸν Θεόν = God",0.04344512195121951,0,0
"182345","mat","4","10","11",",1144866,1144867,",",821296,",1,"[{'id': 1144866, 'book_id': 'mat', 'chapter': '4', 'verse': '10', 'word_num': 10, 'word': 'τὸν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AMS,'}, {'id': 1144867, 'book_id': 'mat', 'chapter': '4', 'verse': '10', 'word_num': 11, 'word': 'Θεόν', 'occurrence': 1, 'strong': 'G23160', 'lemma': 'θεός', 'morph': 'Gr,N,,,,,AMS,'}]","τὸν Θεόν",2,0,"[{'id': 821296, 'book_id': 'mat', 'chapter': '4', 'verse': '10', 'word_num': 20, 'word': 'God', 'occurrence': 1}]","God",1,"τὸν Θεόν = God",0.04344512195121951,0,0
"182644","mat","5","8","7",",1145204,1145205,",",821718,",1,"[{'id': 1145204, 'book_id': 'mat', 'chapter': '5', 'verse': '8', 'word_num': 7, 'word': 'τὸν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AMS,'}, {'id': 1145205, 'book_id': 'mat', 'chapter': '5', 'verse': '8', 'word_num': 8, 'word': 'Θεὸν', 'occurrence': 1, 'strong': 'G23160', 'lemma': 'θεός', 'morph': 'Gr,N,,,,,AMS,'}]","τὸν Θεὸν",2,0,"[{'id': 821718, 'book_id': 'mat', 'chapter': '5', 'verse': '8', 'word_num': 10, 'word': 'God', 'occurrence': 1}]","God",1,"τὸν Θεὸν = God",0.03353658536585366,0,0
"182652","mat","5","9","7",",1145213,",",821729,821730,",0,"[{'id': 1145213, 'book_id': 'mat', 'chapter': '5', 'verse': '9', 'word_num': 6, 'word': 'Θεοῦ', 'occurrence': 1, 'strong': 'G23160', 'lemma': 'θεός', 'morph': 'Gr,N,,,,,GMS,'}]","Θεοῦ",1,1,"[{'id': 821729, 'book_id': 'mat', 'chapter': '5', 'verse': '9', 'word_num': 10, 'word': 'of', 'occurrence': 1}, {'id': 821730, 'book_id': 'mat', 'chapter': '5', 'verse': '9', 'word_num': 11, 'word': 'God', 'occurrence': 1}]","of God",2,"Θεοῦ = of God",0.07621951219512195,0,0
