"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"471409","luk","4","28","6",",1452171,",",1230730,1230731,",0,"[{'id': 1452171, 'book_id': 'luk', 'chapter': '4', 'verse': '28', 'word_num': 3, 'word': 'θυμοῦ', 'occurrence': 1, 'strong': 'G23720', 'lemma': 'θυμός', 'morph': 'Gr,N,,,,,GMS,'}]","θυμοῦ",1,1,"[{'id': 1230730, 'book_id': 'luk', 'chapter': '4', 'verse': '28', 'word_num': 7, 'word': 'with', 'occurrence': 1}, {'id': 1230731, 'book_id': 'luk', 'chapter': '4', 'verse': '28', 'word_num': 8, 'word': 'rage', 'occurrence': 1}]","with rage",2,"θυμοῦ = with rage",0.1,1,0,0
"514154","act","19","28","4",",1496745,",",1288770,1288771,",0,"[{'id': 1496745, 'book_id': 'act', 'chapter': '19', 'verse': '28', 'word_num': 5, 'word': 'θυμοῦ', 'occurrence': 1, 'strong': 'G23720', 'lemma': 'θυμός', 'morph': 'Gr,N,,,,,GMS,'}]","θυμοῦ",1,1,"[{'id': 1288770, 'book_id': 'act', 'chapter': '19', 'verse': '28', 'word_num': 5, 'word': 'with', 'occurrence': 1}, {'id': 1288771, 'book_id': 'act', 'chapter': '19', 'verse': '28', 'word_num': 6, 'word': 'anger', 'occurrence': 1}]","with anger",2,"θυμοῦ = with anger",0.1,1,0,0
"567874","rev","14","8","18",",1553285,1553286,",",1367048,",1,"[{'id': 1553285, 'book_id': 'rev', 'chapter': '14', 'verse': '8', 'word_num': 14, 'word': 'τοῦ', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,GMS,'}, {'id': 1553286, 'book_id': 'rev', 'chapter': '14', 'verse': '8', 'word_num': 15, 'word': 'θυμοῦ', 'occurrence': 1, 'strong': 'G23720', 'lemma': 'θυμός', 'morph': 'Gr,N,,,,,GMS,'}]","τοῦ θυμοῦ",2,0,"[{'id': 1367048, 'book_id': 'rev', 'chapter': '14', 'verse': '8', 'word_num': 23, 'word': 'of', 'occurrence': 1}]","of",1,"τοῦ θυμοῦ = of",0.2,2,0,0
"567914","rev","14","10","8",",1553332,",",1367092,",0,"[{'id': 1553332, 'book_id': 'rev', 'chapter': '14', 'verse': '10', 'word_num': 7, 'word': 'θυμοῦ', 'occurrence': 1, 'strong': 'G23720', 'lemma': 'θυμός', 'morph': 'Gr,N,,,,,GMS,'}]","θυμοῦ",1,0,"[{'id': 1367092, 'book_id': 'rev', 'chapter': '14', 'verse': '10', 'word_num': 9, 'word': 'wrath', 'occurrence': 1}]","wrath",1,"θυμοῦ = wrath",0.4,4,0,0
"568159","rev","14","19","21",",1553599,",",1367417,",0,"[{'id': 1553599, 'book_id': 'rev', 'chapter': '14', 'verse': '19', 'word_num': 22, 'word': 'θυμοῦ', 'occurrence': 1, 'strong': 'G23720', 'lemma': 'θυμός', 'morph': 'Gr,N,,,,,GMS,'}]","θυμοῦ",1,0,"[{'id': 1367417, 'book_id': 'rev', 'chapter': '14', 'verse': '19', 'word_num': 28, 'word': 'wrath', 'occurrence': 1}]","wrath",1,"θυμοῦ = wrath",0.4,4,0,0
"568344","rev","15","7","15",",1553803,",",1367654,",0,"[{'id': 1553803, 'book_id': 'rev', 'chapter': '15', 'verse': '7', 'word_num': 15, 'word': 'θυμοῦ', 'occurrence': 1, 'strong': 'G23720', 'lemma': 'θυμός', 'morph': 'Gr,N,,,,,GMS,'}]","θυμοῦ",1,0,"[{'id': 1367654, 'book_id': 'rev', 'chapter': '15', 'verse': '7', 'word_num': 18, 'word': 'wrath', 'occurrence': 1}]","wrath",1,"θυμοῦ = wrath",0.4,4,0,0
"568395","rev","16","1","19",",1553861,",",1367718,",0,"[{'id': 1553861, 'book_id': 'rev', 'chapter': '16', 'verse': '1', 'word_num': 18, 'word': 'θυμοῦ', 'occurrence': 1, 'strong': 'G23720', 'lemma': 'θυμός', 'morph': 'Gr,N,,,,,GMS,'}]","θυμοῦ",1,0,"[{'id': 1367718, 'book_id': 'rev', 'chapter': '16', 'verse': '1', 'word_num': 23, 'word': 'wrath', 'occurrence': 1}]","wrath",1,"θυμοῦ = wrath",0.4,4,0,0
"568773","rev","16","19","28",",1554270,",",1368235,",0,"[{'id': 1554270, 'book_id': 'rev', 'chapter': '16', 'verse': '19', 'word_num': 30, 'word': 'θυμοῦ', 'occurrence': 1, 'strong': 'G23720', 'lemma': 'θυμός', 'morph': 'Gr,N,,,,,GMS,'}]","θυμοῦ",1,0,"[{'id': 1368235, 'book_id': 'rev', 'chapter': '16', 'verse': '19', 'word_num': 34, 'word': 'fury', 'occurrence': 1}]","fury",1,"θυμοῦ = fury",0.2,2,0,0
"569278","rev","18","3","8",",1554804,1554805,",",1368904,",1,"[{'id': 1554804, 'book_id': 'rev', 'chapter': '18', 'verse': '3', 'word_num': 4, 'word': 'τοῦ', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,GMS,'}, {'id': 1554805, 'book_id': 'rev', 'chapter': '18', 'verse': '3', 'word_num': 5, 'word': 'θυμοῦ', 'occurrence': 1, 'strong': 'G23720', 'lemma': 'θυμός', 'morph': 'Gr,N,,,,,GMS,'}]","τοῦ θυμοῦ",2,0,"[{'id': 1368904, 'book_id': 'rev', 'chapter': '18', 'verse': '3', 'word_num': 9, 'word': 'of', 'occurrence': 1}]","of",1,"τοῦ θυμοῦ = of",0.2,2,0,0
"570061","rev","19","15","27",",1555716,",",1369974,",0,"[{'id': 1555716, 'book_id': 'rev', 'chapter': '19', 'verse': '15', 'word_num': 29, 'word': 'θυμοῦ', 'occurrence': 1, 'strong': 'G23720', 'lemma': 'θυμός', 'morph': 'Gr,N,,,,,GMS,'}]","θυμοῦ",1,0,"[{'id': 1369974, 'book_id': 'rev', 'chapter': '19', 'verse': '15', 'word_num': 33, 'word': 'fury', 'occurrence': 1}]","fury",1,"θυμοῦ = fury",0.2,2,0,0
