"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"458644","mrk","1","40","14",",1438380,",",1212534,",0,"[{'id': 1438380, 'book_id': 'mrk', 'chapter': '1', 'verse': '40', 'word_num': 16, 'word': 'καθαρίσαι', 'occurrence': 1, 'strong': 'G25110', 'lemma': 'καθαρίζω', 'morph': 'Gr,V,NAA,,,,,'}]","καθαρίσαι",1,0,"[{'id': 1212534, 'book_id': 'mrk', 'chapter': '1', 'verse': '40', 'word_num': 21, 'word': 'make', 'occurrence': 1}]","make",1,"καθαρίσαι = make",1.0,2,0,0
"471939","luk","5","12","29",",1452707,",",1231439,",0,"[{'id': 1452707, 'book_id': 'luk', 'chapter': '5', 'verse': '12', 'word_num': 30, 'word': 'καθαρίσαι', 'occurrence': 1, 'strong': 'G25110', 'lemma': 'καθαρίζω', 'morph': 'Gr,V,NAA,,,,,'}]","καθαρίσαι",1,0,"[{'id': 1231439, 'book_id': 'luk', 'chapter': '5', 'verse': '12', 'word_num': 39, 'word': 'make', 'occurrence': 1}]","make",1,"καθαρίσαι = make",1.0,2,0,0
"458656","mrk","1","41","9",",1438392,",",1212554,1212555,",0,"[{'id': 1438392, 'book_id': 'mrk', 'chapter': '1', 'verse': '41', 'word_num': 11, 'word': 'καθαρίσθητι', 'occurrence': 1, 'strong': 'G25110', 'lemma': 'καθαρίζω', 'morph': 'Gr,V,MAP2,,S,'}]","καθαρίσθητι",1,1,"[{'id': 1212554, 'book_id': 'mrk', 'chapter': '1', 'verse': '41', 'word_num': 17, 'word': 'Be', 'occurrence': 1}, {'id': 1212555, 'book_id': 'mrk', 'chapter': '1', 'verse': '41', 'word_num': 18, 'word': 'clean', 'occurrence': 1}]","Be clean",2,"καθαρίσθητι = Be clean",1.0,2,0,0
"471950","luk","5","13","8",",1452716,",",1231455,1231456,",0,"[{'id': 1452716, 'book_id': 'luk', 'chapter': '5', 'verse': '13', 'word_num': 8, 'word': 'καθαρίσθητι', 'occurrence': 1, 'strong': 'G25110', 'lemma': 'καθαρίζω', 'morph': 'Gr,V,MAP2,,S,'}]","καθαρίσθητι",1,1,"[{'id': 1231455, 'book_id': 'luk', 'chapter': '5', 'verse': '13', 'word_num': 13, 'word': 'Be', 'occurrence': 1}, {'id': 1231456, 'book_id': 'luk', 'chapter': '5', 'verse': '13', 'word_num': 14, 'word': 'clean', 'occurrence': 1}]","Be clean",2,"καθαρίσθητι = Be clean",1.0,2,0,0
"462257","mrk","7","19","16",",1442225,",",1217550,",0,"[{'id': 1442225, 'book_id': 'mrk', 'chapter': '7', 'verse': '19', 'word_num': 16, 'word': 'καθαρίζων', 'occurrence': 1, 'strong': 'G25110', 'lemma': 'καθαρίζω', 'morph': 'Gr,V,PPA,NMS,'}]","καθαρίζων",1,0,"[{'id': 1217550, 'book_id': 'mrk', 'chapter': '7', 'verse': '19', 'word_num': 19, 'word': 'Therefore', 'occurrence': 1}]","Therefore",1,"καθαρίζων = Therefore",1.0,1,0,0
"471398","luk","4","27","13",",1452162,",",1230717,1230718,",0,"[{'id': 1452162, 'book_id': 'luk', 'chapter': '4', 'verse': '27', 'word_num': 14, 'word': 'ἐκαθαρίσθη', 'occurrence': 1, 'strong': 'G25110', 'lemma': 'καθαρίζω', 'morph': 'Gr,V,IAP3,,S,'}]","ἐκαθαρίσθη",1,1,"[{'id': 1230717, 'book_id': 'luk', 'chapter': '4', 'verse': '27', 'word_num': 18, 'word': 'were', 'occurrence': 2}, {'id': 1230718, 'book_id': 'luk', 'chapter': '4', 'verse': '27', 'word_num': 19, 'word': 'healed', 'occurrence': 1}]","were healed",2,"ἐκαθαρίσθη = were healed",1.0,1,0,0
"473754","luk","7","22","16",",1454543,",",1233911,1233912,1233913,",0,"[{'id': 1454543, 'book_id': 'luk', 'chapter': '7', 'verse': '22', 'word_num': 16, 'word': 'καθαρίζονται', 'occurrence': 1, 'strong': 'G25110', 'lemma': 'καθαρίζω', 'morph': 'Gr,V,IPP3,,P,'}]","καθαρίζονται",1,2,"[{'id': 1233911, 'book_id': 'luk', 'chapter': '7', 'verse': '22', 'word_num': 33, 'word': 'are', 'occurrence': 3}, {'id': 1233912, 'book_id': 'luk', 'chapter': '7', 'verse': '22', 'word_num': 34, 'word': 'being', 'occurrence': 1}, {'id': 1233913, 'book_id': 'luk', 'chapter': '7', 'verse': '22', 'word_num': 35, 'word': 'cleansed', 'occurrence': 1}]","are being cleansed",3,"καθαρίζονται = are being cleansed",1.0,1,0,0
"477890","luk","11","39","9",",1458768,",",1239490,",0,"[{'id': 1458768, 'book_id': 'luk', 'chapter': '11', 'verse': '39', 'word_num': 17, 'word': 'καθαρίζετε', 'occurrence': 1, 'strong': 'G25110', 'lemma': 'καθαρίζω', 'morph': 'Gr,V,IPA2,,P,'}]","καθαρίζετε",1,0,"[{'id': 1239490, 'book_id': 'luk', 'chapter': '11', 'verse': '39', 'word_num': 9, 'word': 'clean', 'occurrence': 1}]","clean",1,"καθαρίζετε = clean",1.0,1,0,0
"481798","luk","17","14","15",",1462723,",",1244870,1244871,1244872,",0,"[{'id': 1462723, 'book_id': 'luk', 'chapter': '17', 'verse': '14', 'word_num': 15, 'word': 'ἐκαθαρίσθησαν', 'occurrence': 1, 'strong': 'G25110', 'lemma': 'καθαρίζω', 'morph': 'Gr,V,IAP3,,P,'}]","ἐκαθαρίσθησαν",1,2,"[{'id': 1244870, 'book_id': 'luk', 'chapter': '17', 'verse': '14', 'word_num': 23, 'word': 'they', 'occurrence': 2}, {'id': 1244871, 'book_id': 'luk', 'chapter': '17', 'verse': '14', 'word_num': 24, 'word': 'were', 'occurrence': 1}, {'id': 1244872, 'book_id': 'luk', 'chapter': '17', 'verse': '14', 'word_num': 25, 'word': 'cleansed', 'occurrence': 1}]","they were cleansed",3,"ἐκαθαρίσθησαν = they were cleansed",0.5,1,0,0
"481830","luk","17","17","4",",1462760,",",1244913,",0,"[{'id': 1462760, 'book_id': 'luk', 'chapter': '17', 'verse': '17', 'word_num': 8, 'word': 'ἐκαθαρίσθησαν', 'occurrence': 1, 'strong': 'G25110', 'lemma': 'καθαρίζω', 'morph': 'Gr,V,IAP3,,P,'}]","ἐκαθαρίσθησαν",1,0,"[{'id': 1244913, 'book_id': 'luk', 'chapter': '17', 'verse': '17', 'word_num': 5, 'word': 'Were', 'occurrence': 1}]","Were",1,"ἐκαθαρίσθησαν = Were",0.5,1,0,0
