"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"462063","mrk","7","6","7",",1442009,1442010,",",1217273,",1,"[{'id': 1442009, 'book_id': 'mrk', 'chapter': '7', 'verse': '6', 'word_num': 5, 'word': 'ὅτι', 'occurrence': 1, 'strong': 'G37540', 'lemma': 'ὅτι', 'morph': 'Gr,CS,,,,,,,,'}, {'id': 1442010, 'book_id': 'mrk', 'chapter': '7', 'verse': '6', 'word_num': 6, 'word': 'καλῶς', 'occurrence': 1, 'strong': 'G25730', 'lemma': 'καλῶς', 'morph': 'Gr,D,,,,,,,,,'}]","ὅτι καλῶς",2,0,"[{'id': 1217273, 'book_id': 'mrk', 'chapter': '7', 'verse': '6', 'word_num': 9, 'word': 'well', 'occurrence': 1}]","well",1,"ὅτι καλῶς = well",0.030303030303030304,0,0
"462100","mrk","7","9","4",",1442056,",",1217325,1217326,",0,"[{'id': 1442056, 'book_id': 'mrk', 'chapter': '7', 'verse': '9', 'word_num': 3, 'word': 'καλῶς', 'occurrence': 1, 'strong': 'G25730', 'lemma': 'καλῶς', 'morph': 'Gr,D,,,,,,,,,'}]","καλῶς",1,1,"[{'id': 1217325, 'book_id': 'mrk', 'chapter': '7', 'verse': '9', 'word_num': 5, 'word': 'How', 'occurrence': 1}, {'id': 1217326, 'book_id': 'mrk', 'chapter': '7', 'verse': '9', 'word_num': 6, 'word': 'well', 'occurrence': 1}]","How well",2,"καλῶς = How well",0.030303030303030304,0,0
"462521","mrk","7","37","6",",1442511,",",1217909,",0,"[{'id': 1442511, 'book_id': 'mrk', 'chapter': '7', 'verse': '37', 'word_num': 5, 'word': 'καλῶς', 'occurrence': 1, 'strong': 'G25730', 'lemma': 'καλῶς', 'morph': 'Gr,D,,,,,,,,,'}]","καλῶς",1,0,"[{'id': 1217909, 'book_id': 'mrk', 'chapter': '7', 'verse': '37', 'word_num': 10, 'word': 'well', 'occurrence': 1}]","well",1,"καλῶς = well",0.5757575757575758,0,0
"465702","mrk","12","28","12",",1445972,",",1222493,",0,"[{'id': 1445972, 'book_id': 'mrk', 'chapter': '12', 'verse': '28', 'word_num': 10, 'word': 'καλῶς', 'occurrence': 1, 'strong': 'G25730', 'lemma': 'καλῶς', 'morph': 'Gr,D,,,,,,,,,'}]","καλῶς",1,0,"[{'id': 1222493, 'book_id': 'mrk', 'chapter': '12', 'verse': '28', 'word_num': 19, 'word': 'well', 'occurrence': 1}]","well",1,"καλῶς = well",0.5757575757575758,0,0
"465760","mrk","12","32","4",",1446045,",",1222568,",0,"[{'id': 1446045, 'book_id': 'mrk', 'chapter': '12', 'verse': '32', 'word_num': 5, 'word': 'καλῶς', 'occurrence': 1, 'strong': 'G25730', 'lemma': 'καλῶς', 'morph': 'Gr,D,,,,,,,,,'}]","καλῶς",1,0,"[{'id': 1222568, 'book_id': 'mrk', 'chapter': '12', 'verse': '32', 'word_num': 5, 'word': 'Good', 'occurrence': 1}]","Good",1,"καλῶς = Good",0.030303030303030304,0,0
"472896","luk","6","26","5",",1453678,",",1232709,",0,"[{'id': 1453678, 'book_id': 'luk', 'chapter': '6', 'verse': '26', 'word_num': 3, 'word': 'καλῶς', 'occurrence': 1, 'strong': 'G25730', 'lemma': 'καλῶς', 'morph': 'Gr,D,,,,,,,,,'}]","καλῶς",1,0,"[{'id': 1232709, 'book_id': 'luk', 'chapter': '6', 'verse': '26', 'word_num': 7, 'word': 'well', 'occurrence': 1}]","well",1,"καλῶς = well",0.5757575757575758,0,0
"472916","luk","6","27","9",",1453702,",",1232736,",0,"[{'id': 1453702, 'book_id': 'luk', 'chapter': '6', 'verse': '27', 'word_num': 9, 'word': 'καλῶς', 'occurrence': 1, 'strong': 'G25730', 'lemma': 'καλῶς', 'morph': 'Gr,D,,,,,,,,,'}]","καλῶς",1,0,"[{'id': 1232736, 'book_id': 'luk', 'chapter': '6', 'verse': '27', 'word_num': 13, 'word': 'good', 'occurrence': 1}]","good",1,"καλῶς = good",0.06060606060606061,0,0
"473326","luk","6","48","31",",1454110,1454111,",",1233316,",1,"[{'id': 1454110, 'book_id': 'luk', 'chapter': '6', 'verse': '48', 'word_num': 30, 'word': 'τὸ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RD,,,,ANS,'}, {'id': 1454111, 'book_id': 'luk', 'chapter': '6', 'verse': '48', 'word_num': 31, 'word': 'καλῶς', 'occurrence': 1, 'strong': 'G25730', 'lemma': 'καλῶς', 'morph': 'Gr,D,,,,,,,,,'}]","τὸ καλῶς",2,0,"[{'id': 1233316, 'book_id': 'luk', 'chapter': '6', 'verse': '48', 'word_num': 43, 'word': 'well', 'occurrence': 1}]","well",1,"τὸ καλῶς = well",0.030303030303030304,0,0
"484149","luk","20","39","9",",1465097,",",1248167,",0,"[{'id': 1465097, 'book_id': 'luk', 'chapter': '20', 'verse': '39', 'word_num': 7, 'word': 'καλῶς', 'occurrence': 1, 'strong': 'G25730', 'lemma': 'καλῶς', 'morph': 'Gr,D,,,,,,,,,'}]","καλῶς",1,0,"[{'id': 1248167, 'book_id': 'luk', 'chapter': '20', 'verse': '39', 'word_num': 12, 'word': 'well', 'occurrence': 1}]","well",1,"καλῶς = well",0.5757575757575758,0,0
"489570","jhn","4","17","13",",1470737,",",1255391,1255392,1255393,",0,"[{'id': 1470737, 'book_id': 'jhn', 'chapter': '4', 'verse': '17', 'word_num': 13, 'word': 'καλῶς', 'occurrence': 1, 'strong': 'G25730', 'lemma': 'καλῶς', 'morph': 'Gr,D,,,,,,,,,'}]","καλῶς",1,2,"[{'id': 1255391, 'book_id': 'jhn', 'chapter': '4', 'verse': '17', 'word_num': 17, 'word': 'You', 'occurrence': 1}, {'id': 1255392, 'book_id': 'jhn', 'chapter': '4', 'verse': '17', 'word_num': 18, 'word': 'are', 'occurrence': 1}, {'id': 1255393, 'book_id': 'jhn', 'chapter': '4', 'verse': '17', 'word_num': 19, 'word': 'right', 'occurrence': 1}]","You are right",3,"καλῶς = You are right",0.030303030303030304,0,0
