"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"458808","mrk","2","6","11",",1438546,1438547,",",1212770,",1,"[{'id': 1438546, 'book_id': 'mrk', 'chapter': '2', 'verse': '6', 'word_num': 10, 'word': 'ταῖς', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,DFP,'}, {'id': 1438547, 'book_id': 'mrk', 'chapter': '2', 'verse': '6', 'word_num': 11, 'word': 'καρδίαις', 'occurrence': 1, 'strong': 'G25880', 'lemma': 'καρδία', 'morph': 'Gr,N,,,,,DFP,'}]","ταῖς καρδίαις",2,0,"[{'id': 1212770, 'book_id': 'mrk', 'chapter': '2', 'verse': '6', 'word_num': 13, 'word': 'hearts', 'occurrence': 1}]","hearts",1,"ταῖς καρδίαις = hearts",0.12056737588652482,0,0
"458839","mrk","2","8","18",",1438582,1438583,",",1212813,",1,"[{'id': 1438582, 'book_id': 'mrk', 'chapter': '2', 'verse': '8', 'word_num': 19, 'word': 'ταῖς', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,DFP,'}, {'id': 1438583, 'book_id': 'mrk', 'chapter': '2', 'verse': '8', 'word_num': 20, 'word': 'καρδίαις', 'occurrence': 1, 'strong': 'G25880', 'lemma': 'καρδία', 'morph': 'Gr,N,,,,,DFP,'}]","ταῖς καρδίαις",2,0,"[{'id': 1212813, 'book_id': 'mrk', 'chapter': '2', 'verse': '8', 'word_num': 26, 'word': 'hearts', 'occurrence': 1}]","hearts",1,"ταῖς καρδίαις = hearts",0.12056737588652482,0,0
"459292","mrk","3","5","9",",1439065,1439066,",",1213451,",1,"[{'id': 1439065, 'book_id': 'mrk', 'chapter': '3', 'verse': '5', 'word_num': 9, 'word': 'τῆς', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,GFS,'}, {'id': 1439066, 'book_id': 'mrk', 'chapter': '3', 'verse': '5', 'word_num': 10, 'word': 'καρδίας', 'occurrence': 1, 'strong': 'G25880', 'lemma': 'καρδία', 'morph': 'Gr,N,,,,,GFS,'}]","τῆς καρδίας",2,0,"[{'id': 1213451, 'book_id': 'mrk', 'chapter': '3', 'verse': '5', 'word_num': 12, 'word': 'of', 'occurrence': 1}]","of",1,"τῆς καρδίας = of",0.014184397163120567,0,0
"461895","mrk","6","52","9",",1441834,1441835,",",1217048,",1,"[{'id': 1441834, 'book_id': 'mrk', 'chapter': '6', 'verse': '52', 'word_num': 9, 'word': 'ἡ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NFS,'}, {'id': 1441835, 'book_id': 'mrk', 'chapter': '6', 'verse': '52', 'word_num': 10, 'word': 'καρδία', 'occurrence': 1, 'strong': 'G25880', 'lemma': 'καρδία', 'morph': 'Gr,N,,,,,NFS,'}]","ἡ καρδία",2,0,"[{'id': 1217048, 'book_id': 'mrk', 'chapter': '6', 'verse': '52', 'word_num': 10, 'word': 'hearts', 'occurrence': 1}]","hearts",1,"ἡ καρδία = hearts",0.0070921985815602835,0,0
"462075","mrk","7","6","19",",1442027,1442028,1442029,",",1217288,",2,"[{'id': 1442027, 'book_id': 'mrk', 'chapter': '7', 'verse': '6', 'word_num': 23, 'word': 'ἡ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NFS,'}, {'id': 1442028, 'book_id': 'mrk', 'chapter': '7', 'verse': '6', 'word_num': 24, 'word': 'δὲ', 'occurrence': 2, 'strong': 'G11610', 'lemma': 'δέ', 'morph': 'Gr,CC,,,,,,,,'}, {'id': 1442029, 'book_id': 'mrk', 'chapter': '7', 'verse': '6', 'word_num': 25, 'word': 'καρδία', 'occurrence': 1, 'strong': 'G25880', 'lemma': 'καρδία', 'morph': 'Gr,N,,,,,NFS,'}]","ἡ δὲ καρδία",3,0,"[{'id': 1217288, 'book_id': 'mrk', 'chapter': '7', 'verse': '6', 'word_num': 24, 'word': 'but', 'occurrence': 1}]","but",1,"ἡ δὲ καρδία = but",0.0070921985815602835,0,0
"462247","mrk","7","19","6",",1442214,1442215,",",1217538,",1,"[{'id': 1442214, 'book_id': 'mrk', 'chapter': '7', 'verse': '19', 'word_num': 5, 'word': 'τὴν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AFS,'}, {'id': 1442215, 'book_id': 'mrk', 'chapter': '7', 'verse': '19', 'word_num': 6, 'word': 'καρδίαν', 'occurrence': 1, 'strong': 'G25880', 'lemma': 'καρδία', 'morph': 'Gr,N,,,,,AFS,'}]","τὴν καρδίαν",2,0,"[{'id': 1217538, 'book_id': 'mrk', 'chapter': '7', 'verse': '19', 'word_num': 7, 'word': 'heart', 'occurrence': 1}]","heart",1,"τὴν καρδίαν = heart",0.05673758865248227,0,0
"462278","mrk","7","21","6",",1442245,",",1217577,",0,"[{'id': 1442245, 'book_id': 'mrk', 'chapter': '7', 'verse': '21', 'word_num': 4, 'word': 'καρδίας', 'occurrence': 1, 'strong': 'G25880', 'lemma': 'καρδία', 'morph': 'Gr,N,,,,,GFS,'}]","καρδίας",1,0,"[{'id': 1217577, 'book_id': 'mrk', 'chapter': '7', 'verse': '21', 'word_num': 8, 'word': 'heart', 'occurrence': 1}]","heart",1,"καρδίας = heart",0.06382978723404255,0,0
"462775","mrk","8","17","19",",1442772,1442773,",",1218283,",1,"[{'id': 1442772, 'book_id': 'mrk', 'chapter': '8', 'verse': '17', 'word_num': 18, 'word': 'τὴν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AFS,'}, {'id': 1442773, 'book_id': 'mrk', 'chapter': '8', 'verse': '17', 'word_num': 19, 'word': 'καρδίαν', 'occurrence': 1, 'strong': 'G25880', 'lemma': 'καρδία', 'morph': 'Gr,N,,,,,AFS,'}]","τὴν καρδίαν",2,0,"[{'id': 1218283, 'book_id': 'mrk', 'chapter': '8', 'verse': '17', 'word_num': 28, 'word': 'hearts', 'occurrence': 1}]","hearts",1,"τὴν καρδίαν = hearts",0.014184397163120567,0,0
"465091","mrk","11","23","20",",1445308,1445309,",",1221611,",1,"[{'id': 1445308, 'book_id': 'mrk', 'chapter': '11', 'verse': '23', 'word_num': 20, 'word': 'τῇ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,DFS,'}, {'id': 1445309, 'book_id': 'mrk', 'chapter': '11', 'verse': '23', 'word_num': 21, 'word': 'καρδίᾳ', 'occurrence': 1, 'strong': 'G25880', 'lemma': 'καρδία', 'morph': 'Gr,N,,,,,DFS,'}]","τῇ καρδίᾳ",2,0,"[{'id': 1221611, 'book_id': 'mrk', 'chapter': '11', 'verse': '23', 'word_num': 25, 'word': 'heart', 'occurrence': 1}]","heart",1,"τῇ καρδίᾳ = heart",0.0851063829787234,0,0
"465729","mrk","12","30","7",",1446005,1446006,",",1222529,",1,"[{'id': 1446005, 'book_id': 'mrk', 'chapter': '12', 'verse': '30', 'word_num': 8, 'word': 'τῆς', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,GFS,'}, {'id': 1446006, 'book_id': 'mrk', 'chapter': '12', 'verse': '30', 'word_num': 9, 'word': 'καρδίας', 'occurrence': 1, 'strong': 'G25880', 'lemma': 'καρδία', 'morph': 'Gr,N,,,,,GFS,'}]","τῆς καρδίας",2,0,"[{'id': 1222529, 'book_id': 'mrk', 'chapter': '12', 'verse': '30', 'word_num': 10, 'word': 'heart', 'occurrence': 1}]","heart",1,"τῆς καρδίας = heart",0.014184397163120567,0,0
