"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"471670","luk","4","42","18",",1452434,",",1231081,1231082,",0,"[{'id': 1452434, 'book_id': 'luk', 'chapter': '4', 'verse': '42', 'word_num': 18, 'word': 'κατεῖχον', 'occurrence': 1, 'strong': 'G27220', 'lemma': 'κατέχω', 'morph': 'Gr,V,IIA3,,P,'}]","κατεῖχον",1,1,"[{'id': 1231081, 'book_id': 'luk', 'chapter': '4', 'verse': '42', 'word_num': 24, 'word': 'they', 'occurrence': 1}, {'id': 1231082, 'book_id': 'luk', 'chapter': '4', 'verse': '42', 'word_num': 25, 'word': 'restrained', 'occurrence': 1}]","they restrained",2,"κατεῖχον = they restrained",0.5,1,0,0
"519232","act","27","40","22",",1501936,",",1295884,1295885,",0,"[{'id': 1501936, 'book_id': 'act', 'chapter': '27', 'verse': '40', 'word_num': 20, 'word': 'κατεῖχον', 'occurrence': 1, 'strong': 'G27220', 'lemma': 'κατέχω', 'morph': 'Gr,V,IIA3,,P,'}]","κατεῖχον",1,1,"[{'id': 1295884, 'book_id': 'act', 'chapter': '27', 'verse': '40', 'word_num': 30, 'word': 'they', 'occurrence': 2}, {'id': 1295885, 'book_id': 'act', 'chapter': '27', 'verse': '40', 'word_num': 31, 'word': 'headed', 'occurrence': 1}]","they headed",2,"κατεῖχον = they headed",0.5,1,0,0
"474534","luk","8","15","18",",1455327,",",1234993,1234994,1234995,",0,"[{'id': 1455327, 'book_id': 'luk', 'chapter': '8', 'verse': '15', 'word_num': 17, 'word': 'κατέχουσιν', 'occurrence': 1, 'strong': 'G27220', 'lemma': 'κατέχω', 'morph': 'Gr,V,IPA3,,P,'}]","κατέχουσιν",1,2,"[{'id': 1234993, 'book_id': 'luk', 'chapter': '8', 'verse': '15', 'word_num': 22, 'word': 'hold', 'occurrence': 1}, {'id': 1234994, 'book_id': 'luk', 'chapter': '8', 'verse': '15', 'word_num': 23, 'word': 'it', 'occurrence': 1}, {'id': 1234995, 'book_id': 'luk', 'chapter': '8', 'verse': '15', 'word_num': 24, 'word': 'securely', 'occurrence': 1}]","hold it securely",3,"κατέχουσιν = hold it securely",1.0,1,0,0
"479970","luk","14","9","18",",1460869,",",1242345,1242346,",0,"[{'id': 1460869, 'book_id': 'luk', 'chapter': '14', 'verse': '9', 'word_num': 20, 'word': 'κατέχειν', 'occurrence': 1, 'strong': 'G27220', 'lemma': 'κατέχω', 'morph': 'Gr,V,NPA,,,,,'}]","κατέχειν",1,1,"[{'id': 1242345, 'book_id': 'luk', 'chapter': '14', 'verse': '9', 'word_num': 27, 'word': 'to', 'occurrence': 2}, {'id': 1242346, 'book_id': 'luk', 'chapter': '14', 'verse': '9', 'word_num': 28, 'word': 'take', 'occurrence': 1}]","to take",2,"κατέχειν = to take",0.5,1,0,0
"550810","phm","1","13","2",",1534849,",",1342029,1342030,1342031,1342032,",0,"[{'id': 1534849, 'book_id': 'phm', 'chapter': '1', 'verse': '13', 'word_num': 5, 'word': 'κατέχειν', 'occurrence': 1, 'strong': 'G27220', 'lemma': 'κατέχω', 'morph': 'Gr,V,NPA,,,,,'}]","κατέχειν",1,3,"[{'id': 1342029, 'book_id': 'phm', 'chapter': '1', 'verse': '13', 'word_num': 2, 'word': 'I', 'occurrence': 2}, {'id': 1342030, 'book_id': 'phm', 'chapter': '1', 'verse': '13', 'word_num': 3, 'word': 'could', 'occurrence': 1}, {'id': 1342031, 'book_id': 'phm', 'chapter': '1', 'verse': '13', 'word_num': 4, 'word': 'have', 'occurrence': 1}, {'id': 1342032, 'book_id': 'phm', 'chapter': '1', 'verse': '13', 'word_num': 5, 'word': 'kept', 'occurrence': 1}]","I could have kept",4,"κατέχειν = I could have kept",0.5,1,0,0
"520173","rom","1","18","15",",1502919,",",1297219,1297220,",0,"[{'id': 1502919, 'book_id': 'rom', 'chapter': '1', 'verse': '18', 'word_num': 17, 'word': 'κατεχόντων', 'occurrence': 1, 'strong': 'G27220', 'lemma': 'κατέχω', 'morph': 'Gr,V,PPA,GMP,'}]","κατεχόντων",1,1,"[{'id': 1297219, 'book_id': 'rom', 'chapter': '1', 'verse': '18', 'word_num': 19, 'word': 'hold', 'occurrence': 1}, {'id': 1297220, 'book_id': 'rom', 'chapter': '1', 'verse': '18', 'word_num': 20, 'word': 'back', 'occurrence': 1}]","hold back",2,"κατεχόντων = hold back",1.0,1,0,0
"522378","rom","7","6","8",",1505374,",",1300665,1300666,1300667,",0,"[{'id': 1505374, 'book_id': 'rom', 'chapter': '7', 'verse': '6', 'word_num': 9, 'word': 'κατειχόμεθα', 'occurrence': 1, 'strong': 'G27220', 'lemma': 'κατέχω', 'morph': 'Gr,V,IIP1,,P,'}]","κατειχόμεθα",1,2,"[{'id': 1300665, 'book_id': 'rom', 'chapter': '7', 'verse': '6', 'word_num': 16, 'word': 'we', 'occurrence': 2}, {'id': 1300666, 'book_id': 'rom', 'chapter': '7', 'verse': '6', 'word_num': 17, 'word': 'were', 'occurrence': 1}, {'id': 1300667, 'book_id': 'rom', 'chapter': '7', 'verse': '6', 'word_num': 18, 'word': 'held', 'occurrence': 1}]","we were held",3,"κατειχόμεθα = we were held",1.0,1,0,0
"528842","1co","7","30","15",",1512255,",",1310377,1310378,",0,"[{'id': 1512255, 'book_id': '1co', 'chapter': '7', 'verse': '30', 'word_num': 17, 'word': 'κατέχοντες', 'occurrence': 1, 'strong': 'G27220', 'lemma': 'κατέχω', 'morph': 'Gr,V,PPA,NMP,'}]","κατέχοντες",1,1,"[{'id': 1310377, 'book_id': '1co', 'chapter': '7', 'verse': '30', 'word_num': 26, 'word': 'they', 'occurrence': 3}, {'id': 1310378, 'book_id': '1co', 'chapter': '7', 'verse': '30', 'word_num': 27, 'word': 'did', 'occurrence': 1}]","they did",2,"κατέχοντες = they did",0.5,1,0,0
"534843","2co","6","10","15",",1518435,",",1319166,",0,"[{'id': 1518435, 'book_id': '2co', 'chapter': '6', 'verse': '10', 'word_num': 15, 'word': 'κατέχοντες', 'occurrence': 1, 'strong': 'G27220', 'lemma': 'κατέχω', 'morph': 'Gr,V,PPA,NMP,'}]","κατέχοντες",1,0,"[{'id': 1319166, 'book_id': '2co', 'chapter': '6', 'verse': '10', 'word_num': 17, 'word': 'possessing', 'occurrence': 1}]","possessing",1,"κατέχοντες = possessing",0.5,1,0,0
"530167","1co","11","2","8",",1513618,",",1312410,1312411,1312412,",0,"[{'id': 1513618, 'book_id': '1co', 'chapter': '11', 'verse': '2', 'word_num': 13, 'word': 'κατέχετε', 'occurrence': 1, 'strong': 'G27220', 'lemma': 'κατέχω', 'morph': 'Gr,V,IPA2,,P,'}]","κατέχετε",1,2,"[{'id': 1312410, 'book_id': '1co', 'chapter': '11', 'verse': '2', 'word_num': 11, 'word': 'you', 'occurrence': 3}, {'id': 1312411, 'book_id': '1co', 'chapter': '11', 'verse': '2', 'word_num': 12, 'word': 'hold', 'occurrence': 1}, {'id': 1312412, 'book_id': '1co', 'chapter': '11', 'verse': '2', 'word_num': 13, 'word': 'firmly', 'occurrence': 1}]","you hold firmly",3,"κατέχετε = you hold firmly",0.6666666666666666,2,0,0
