"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"464419","mrk","10","33","13",",1444580,1444581,",",1220625,1220626,1220627,",1,"[{'id': 1444580, 'book_id': 'mrk', 'chapter': '10', 'verse': '33', 'word_num': 15, 'word': 'καὶ', 'occurrence': 3, 'strong': 'G25320', 'lemma': 'καί', 'morph': 'Gr,CC,,,,,,,,'}, {'id': 1444581, 'book_id': 'mrk', 'chapter': '10', 'verse': '33', 'word_num': 16, 'word': 'κατακρινοῦσιν', 'occurrence': 1, 'strong': 'G26320', 'lemma': 'κατακρίνω', 'morph': 'Gr,V,IFA3,,P,'}]","καὶ κατακρινοῦσιν",2,2,"[{'id': 1220625, 'book_id': 'mrk', 'chapter': '10', 'verse': '33', 'word_num': 22, 'word': 'They', 'occurrence': 1}, {'id': 1220626, 'book_id': 'mrk', 'chapter': '10', 'verse': '33', 'word_num': 23, 'word': 'will', 'occurrence': 2}, {'id': 1220627, 'book_id': 'mrk', 'chapter': '10', 'verse': '33', 'word_num': 24, 'word': 'condemn', 'occurrence': 1}]","They will condemn",3,"καὶ κατακρινοῦσιν = They will condemn",0.5,1,0,0
"477761","luk","11","32","10",",1458629,",",1239315,1239316,",0,"[{'id': 1458629, 'book_id': 'luk', 'chapter': '11', 'verse': '32', 'word_num': 11, 'word': 'κατακρινοῦσιν', 'occurrence': 1, 'strong': 'G26320', 'lemma': 'κατακρίνω', 'morph': 'Gr,V,IFA3,,P,'}]","κατακρινοῦσιν",1,1,"[{'id': 1239315, 'book_id': 'luk', 'chapter': '11', 'verse': '32', 'word_num': 14, 'word': 'will', 'occurrence': 2}, {'id': 1239316, 'book_id': 'luk', 'chapter': '11', 'verse': '32', 'word_num': 15, 'word': 'condemn', 'occurrence': 1}]","will condemn",2,"κατακρινοῦσιν = will condemn",0.5,1,0,0
"467523","mrk","14","64","8",",1447947,",",1225066,",0,"[{'id': 1447947, 'book_id': 'mrk', 'chapter': '14', 'verse': '64', 'word_num': 9, 'word': 'κατέκριναν', 'occurrence': 1, 'strong': 'G26320', 'lemma': 'κατακρίνω', 'morph': 'Gr,V,IAA3,,P,'}]","κατέκριναν",1,0,"[{'id': 1225066, 'book_id': 'mrk', 'chapter': '14', 'verse': '64', 'word_num': 11, 'word': 'condemned', 'occurrence': 1}]","condemned",1,"κατέκριναν = condemned",1.0,1,0,0
"477732","luk","11","31","13",",1458600,",",1239276,",0,"[{'id': 1458600, 'book_id': 'luk', 'chapter': '11', 'verse': '31', 'word_num': 13, 'word': 'κατακρινεῖ', 'occurrence': 1, 'strong': 'G26320', 'lemma': 'κατακρίνω', 'morph': 'Gr,V,IFA3,,S,'}]","κατακρινεῖ",1,0,"[{'id': 1239276, 'book_id': 'luk', 'chapter': '11', 'verse': '31', 'word_num': 18, 'word': 'condemn', 'occurrence': 1}]","condemn",1,"κατακρινεῖ = condemn",1.0,1,0,0
"520414","rom","2","1","11",",1503187,",",1297584,1297585,",0,"[{'id': 1503187, 'book_id': 'rom', 'chapter': '2', 'verse': '1', 'word_num': 15, 'word': 'κατακρίνεις', 'occurrence': 1, 'strong': 'G26320', 'lemma': 'κατακρίνω', 'morph': 'Gr,V,IPA2,,S,'}]","κατακρίνεις",1,1,"[{'id': 1297584, 'book_id': 'rom', 'chapter': '2', 'verse': '1', 'word_num': 16, 'word': 'you', 'occurrence': 3}, {'id': 1297585, 'book_id': 'rom', 'chapter': '2', 'verse': '1', 'word_num': 17, 'word': 'condemn', 'occurrence': 1}]","you condemn",2,"κατακρίνεις = you condemn",1.0,1,0,0
"522750","rom","8","3","22",",1505768,",",1301218,1301219,1301220,",0,"[{'id': 1505768, 'book_id': 'rom', 'chapter': '8', 'verse': '3', 'word_num': 24, 'word': 'κατέκρινε', 'occurrence': 1, 'strong': 'G26320', 'lemma': 'κατακρίνω', 'morph': 'Gr,V,IAA3,,S,'}]","κατέκρινε",1,2,"[{'id': 1301218, 'book_id': 'rom', 'chapter': '8', 'verse': '3', 'word_num': 34, 'word': 'and', 'occurrence': 1}, {'id': 1301219, 'book_id': 'rom', 'chapter': '8', 'verse': '3', 'word_num': 35, 'word': 'he', 'occurrence': 1}, {'id': 1301220, 'book_id': 'rom', 'chapter': '8', 'verse': '3', 'word_num': 36, 'word': 'condemned', 'occurrence': 1}]","and he condemned",3,"κατέκρινε = and he condemned",1.0,1,0,0
"523236","rom","8","34","1",",1506267,1506268,",",1301965,1301966,1301967,1301968,",1,"[{'id': 1506267, 'book_id': 'rom', 'chapter': '8', 'verse': '34', 'word_num': 1, 'word': 'ὁ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RD,,,,NMS,'}, {'id': 1506268, 'book_id': 'rom', 'chapter': '8', 'verse': '34', 'word_num': 2, 'word': 'κατακρινῶν', 'occurrence': 1, 'strong': 'G26320', 'lemma': 'κατακρίνω', 'morph': 'Gr,V,PPA,NMS,'}]","ὁ κατακρινῶν",2,3,"[{'id': 1301965, 'book_id': 'rom', 'chapter': '8', 'verse': '34', 'word_num': 2, 'word': 'the', 'occurrence': 1}, {'id': 1301966, 'book_id': 'rom', 'chapter': '8', 'verse': '34', 'word_num': 3, 'word': 'one', 'occurrence': 1}, {'id': 1301967, 'book_id': 'rom', 'chapter': '8', 'verse': '34', 'word_num': 4, 'word': 'who', 'occurrence': 1}, {'id': 1301968, 'book_id': 'rom', 'chapter': '8', 'verse': '34', 'word_num': 5, 'word': 'condemns', 'occurrence': 1}]","the one who condemns",4,"ὁ κατακρινῶν = the one who condemns",1.0,1,0,0
"525503","rom","14","23","3",",1508755,",",1305499,1305500,",0,"[{'id': 1508755, 'book_id': 'rom', 'chapter': '14', 'verse': '23', 'word_num': 5, 'word': 'κατακέκριται', 'occurrence': 1, 'strong': 'G26320', 'lemma': 'κατακρίνω', 'morph': 'Gr,V,IEP3,,S,'}]","κατακέκριται",1,1,"[{'id': 1305499, 'book_id': 'rom', 'chapter': '14', 'verse': '23', 'word_num': 4, 'word': 'is', 'occurrence': 1}, {'id': 1305500, 'book_id': 'rom', 'chapter': '14', 'verse': '23', 'word_num': 5, 'word': 'condemned', 'occurrence': 1}]","is condemned",2,"κατακέκριται = is condemned",1.0,1,0,0
"530630","1co","11","32","6",",1514101,",",1313088,1313089,",0,"[{'id': 1514101, 'book_id': '1co', 'chapter': '11', 'verse': '32', 'word_num': 10, 'word': 'κατακριθῶμεν', 'occurrence': 1, 'strong': 'G26320', 'lemma': 'κατακρίνω', 'morph': 'Gr,V,SAP1,,P,'}]","κατακριθῶμεν",1,1,"[{'id': 1313088, 'book_id': '1co', 'chapter': '11', 'verse': '32', 'word_num': 13, 'word': 'we', 'occurrence': 3}, {'id': 1313089, 'book_id': '1co', 'chapter': '11', 'verse': '32', 'word_num': 14, 'word': 'would', 'occurrence': 1}]","we would",2,"κατακριθῶμεν = we would",1.0,1,0,0
"554380","heb","11","7","16",",1538593,",",1347450,1347451,",0,"[{'id': 1538593, 'book_id': 'heb', 'chapter': '11', 'verse': '7', 'word_num': 17, 'word': 'κατέκρινεν', 'occurrence': 1, 'strong': 'G26320', 'lemma': 'κατακρίνω', 'morph': 'Gr,V,IAA3,,S,'}]","κατέκρινεν",1,1,"[{'id': 1347450, 'book_id': 'heb', 'chapter': '11', 'verse': '7', 'word_num': 27, 'word': 'he', 'occurrence': 1}, {'id': 1347451, 'book_id': 'heb', 'chapter': '11', 'verse': '7', 'word_num': 28, 'word': 'condemned', 'occurrence': 1}]","he condemned",2,"κατέκρινεν = he condemned",0.5,1,0,0
"559325","2pe","2","6","8",",1543857,",",1355072,1355073,1355074,",0,"[{'id': 1543857, 'book_id': '2pe', 'chapter': '2', 'verse': '6', 'word_num': 7, 'word': 'κατέκρινεν', 'occurrence': 1, 'strong': 'G26320', 'lemma': 'κατακρίνω', 'morph': 'Gr,V,IAA3,,S,'}]","κατέκρινεν",1,2,"[{'id': 1355072, 'book_id': '2pe', 'chapter': '2', 'verse': '6', 'word_num': 11, 'word': 'and', 'occurrence': 2}, {'id': 1355073, 'book_id': '2pe', 'chapter': '2', 'verse': '6', 'word_num': 12, 'word': 'condemned', 'occurrence': 1}, {'id': 1355074, 'book_id': '2pe', 'chapter': '2', 'verse': '6', 'word_num': 13, 'word': 'them', 'occurrence': 1}]","and condemned them",3,"κατέκρινεν = and condemned them",0.5,1,0,0
