"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"458343","mrk","1","19","14",",1438065,",",1212111,",0,"[{'id': 1438065, 'book_id': 'mrk', 'chapter': '1', 'verse': '19', 'word_num': 18, 'word': 'καταρτίζοντας', 'occurrence': 1, 'strong': 'G26750', 'lemma': 'καταρτίζω', 'morph': 'Gr,V,PPA,AMP,'}]","καταρτίζοντας",1,0,"[{'id': 1212111, 'book_id': 'mrk', 'chapter': '1', 'verse': '19', 'word_num': 24, 'word': 'mending', 'occurrence': 1}]","mending",1,"καταρτίζοντας = mending",0.09090909090909091,0,0
"473128","luk","6","40","9",",1453911,",",1233046,1233047,",0,"[{'id': 1453911, 'book_id': 'luk', 'chapter': '6', 'verse': '40', 'word_num': 6, 'word': 'κατηρτισμένος', 'occurrence': 1, 'strong': 'G26750', 'lemma': 'καταρτίζω', 'morph': 'Gr,V,PEP,NMS,'}]","κατηρτισμένος",1,1,"[{'id': 1233046, 'book_id': 'luk', 'chapter': '6', 'verse': '40', 'word_num': 13, 'word': 'fully', 'occurrence': 1}, {'id': 1233047, 'book_id': 'luk', 'chapter': '6', 'verse': '40', 'word_num': 14, 'word': 'trained', 'occurrence': 1}]","fully trained",2,"κατηρτισμένος = fully trained",0.09090909090909091,0,0
"523647","rom","9","22","17",",1506722,",",1302610,",0,"[{'id': 1506722, 'book_id': 'rom', 'chapter': '9', 'verse': '22', 'word_num': 19, 'word': 'κατηρτισμένα', 'occurrence': 1, 'strong': 'G26750', 'lemma': 'καταρτίζω', 'morph': 'Gr,V,PEP,ANP,'}]","κατηρτισμένα",1,0,"[{'id': 1302610, 'book_id': 'rom', 'chapter': '9', 'verse': '22', 'word_num': 24, 'word': 'prepared', 'occurrence': 1}]","prepared",1,"κατηρτισμένα = prepared",0.09090909090909091,0,0
"526574","1co","1","10","25",",1509909,",",1307055,1307056,",0,"[{'id': 1509909, 'book_id': '1co', 'chapter': '1', 'verse': '10', 'word_num': 25, 'word': 'κατηρτισμένοι', 'occurrence': 1, 'strong': 'G26750', 'lemma': 'καταρτίζω', 'morph': 'Gr,V,PEP,NMP,'}]","κατηρτισμένοι",1,1,"[{'id': 1307055, 'book_id': '1co', 'chapter': '1', 'verse': '10', 'word_num': 29, 'word': 'joined', 'occurrence': 1}, {'id': 1307056, 'book_id': '1co', 'chapter': '1', 'verse': '10', 'word_num': 30, 'word': 'together', 'occurrence': 1}]","joined together",2,"κατηρτισμένοι = joined together",0.09090909090909091,0,0
"537352","2co","13","11","3",",1520993,",",1322878,1322879,",0,"[{'id': 1520993, 'book_id': '2co', 'chapter': '13', 'verse': '11', 'word_num': 3, 'word': 'καταρτίζεσθε', 'occurrence': 1, 'strong': 'G26750', 'lemma': 'καταρτίζω', 'morph': 'Gr,V,MPP2,,P,'}]","καταρτίζεσθε",1,1,"[{'id': 1322878, 'book_id': '2co', 'chapter': '13', 'verse': '11', 'word_num': 3, 'word': 'Be', 'occurrence': 1}, {'id': 1322879, 'book_id': '2co', 'chapter': '13', 'verse': '11', 'word_num': 4, 'word': 'restored', 'occurrence': 1}]","Be restored",2,"καταρτίζεσθε = Be restored",0.09090909090909091,0,0
"539279","gal","6","1","9",",1523008,",",1325887,1325888,",0,"[{'id': 1523008, 'book_id': 'gal', 'chapter': '6', 'verse': '1', 'word_num': 11, 'word': 'καταρτίζετε', 'occurrence': 1, 'strong': 'G26750', 'lemma': 'καταρτίζω', 'morph': 'Gr,V,MPA2,,P,'}]","καταρτίζετε",1,1,"[{'id': 1325887, 'book_id': 'gal', 'chapter': '6', 'verse': '1', 'word_num': 12, 'word': 'should', 'occurrence': 1}, {'id': 1325888, 'book_id': 'gal', 'chapter': '6', 'verse': '1', 'word_num': 13, 'word': 'restore', 'occurrence': 1}]","should restore",2,"καταρτίζετε = should restore",0.09090909090909091,0,0
"545688","1th","3","10","7",",1529672,",",1334811,1334812,",0,"[{'id': 1529672, 'book_id': '1th', 'chapter': '3', 'verse': '10', 'word_num': 14, 'word': 'καταρτίσαι', 'occurrence': 1, 'strong': 'G26750', 'lemma': 'καταρτίζω', 'morph': 'Gr,V,NAA,,,,,'}]","καταρτίσαι",1,1,"[{'id': 1334811, 'book_id': '1th', 'chapter': '3', 'verse': '10', 'word_num': 8, 'word': 'we', 'occurrence': 2}, {'id': 1334812, 'book_id': '1th', 'chapter': '3', 'verse': '10', 'word_num': 9, 'word': 'may', 'occurrence': 1}]","we may",2,"καταρτίσαι = we may",0.09090909090909091,0,0
"553817","heb","10","5","14",",1537999,",",1346566,1346567,1346568,",0,"[{'id': 1537999, 'book_id': 'heb', 'chapter': '10', 'verse': '5', 'word_num': 13, 'word': 'κατηρτίσω', 'occurrence': 1, 'strong': 'G26750', 'lemma': 'καταρτίζω', 'morph': 'Gr,V,IAM2,,S,'}]","κατηρτίσω",1,2,"[{'id': 1346566, 'book_id': 'heb', 'chapter': '10', 'verse': '5', 'word_num': 19, 'word': 'you', 'occurrence': 2}, {'id': 1346567, 'book_id': 'heb', 'chapter': '10', 'verse': '5', 'word_num': 20, 'word': 'have', 'occurrence': 1}, {'id': 1346568, 'book_id': 'heb', 'chapter': '10', 'verse': '5', 'word_num': 21, 'word': 'prepared', 'occurrence': 1}]","you have prepared",3,"κατηρτίσω = you have prepared",0.09090909090909091,0,0
"554288","heb","11","3","4",",1538493,",",1347298,1347299,",0,"[{'id': 1538493, 'book_id': 'heb', 'chapter': '11', 'verse': '3', 'word_num': 2, 'word': 'κατηρτίσθαι', 'occurrence': 1, 'strong': 'G26750', 'lemma': 'καταρτίζω', 'morph': 'Gr,V,NEP,,,,,'}]","κατηρτίσθαι",1,1,"[{'id': 1347298, 'book_id': 'heb', 'chapter': '11', 'verse': '3', 'word_num': 7, 'word': 'was', 'occurrence': 1}, {'id': 1347299, 'book_id': 'heb', 'chapter': '11', 'verse': '3', 'word_num': 8, 'word': 'created', 'occurrence': 1}]","was created",2,"κατηρτίσθαι = was created",0.09090909090909091,0,0
"555627","heb","13","21","0",",1539881,",",1349346,",0,"[{'id': 1539881, 'book_id': 'heb', 'chapter': '13', 'verse': '21', 'word_num': 0, 'word': 'καταρτίσαι', 'occurrence': 1, 'strong': 'G26750', 'lemma': 'καταρτίζω', 'morph': 'Gr,V,OAA3,,S,'}]","καταρτίσαι",1,0,"[{'id': 1349346, 'book_id': 'heb', 'chapter': '13', 'verse': '21', 'word_num': 0, 'word': 'equip', 'occurrence': 1}]","equip",1,"καταρτίσαι = equip",0.09090909090909091,0,0
