"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"521200","rom","4","2","7",",1504066,",",1298863,1298864,1298865,1298866,",0,"[{'id': 1504066, 'book_id': 'rom', 'chapter': '4', 'verse': '2', 'word_num': 7, 'word': 'καύχημα', 'occurrence': 1, 'strong': 'G27450', 'lemma': 'καύχημα', 'morph': 'Gr,N,,,,,ANS,'}]","καύχημα",1,3,"[{'id': 1298863, 'book_id': 'rom', 'chapter': '4', 'verse': '2', 'word_num': 12, 'word': 'a', 'occurrence': 1}, {'id': 1298864, 'book_id': 'rom', 'chapter': '4', 'verse': '2', 'word_num': 13, 'word': 'reason', 'occurrence': 1}, {'id': 1298865, 'book_id': 'rom', 'chapter': '4', 'verse': '2', 'word_num': 14, 'word': 'to', 'occurrence': 1}, {'id': 1298866, 'book_id': 'rom', 'chapter': '4', 'verse': '2', 'word_num': 15, 'word': 'boast', 'occurrence': 1}]","a reason to boast",4,"καύχημα = a reason to boast",0.09090909090909091,0,0
"527916","1co","5","6","1",",1511310,1511311,",",1308999,",1,"[{'id': 1511310, 'book_id': '1co', 'chapter': '5', 'verse': '6', 'word_num': 2, 'word': 'τὸ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NNS,'}, {'id': 1511311, 'book_id': '1co', 'chapter': '5', 'verse': '6', 'word_num': 3, 'word': 'καύχημα', 'occurrence': 1, 'strong': 'G27450', 'lemma': 'καύχημα', 'morph': 'Gr,N,,,,,NNS,'}]","τὸ καύχημα",2,0,"[{'id': 1308999, 'book_id': '1co', 'chapter': '5', 'verse': '6', 'word_num': 1, 'word': 'boasting', 'occurrence': 1}]","boasting",1,"τὸ καύχημα = boasting",0.18181818181818182,0,0
"529501","1co","9","15","25",",1512936,1512937,",",1311362,",1,"[{'id': 1512936, 'book_id': '1co', 'chapter': '9', 'verse': '15', 'word_num': 21, 'word': 'τὸ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,ANS,'}, {'id': 1512937, 'book_id': '1co', 'chapter': '9', 'verse': '15', 'word_num': 22, 'word': 'καύχημά', 'occurrence': 1, 'strong': 'G27450', 'lemma': 'καύχημα', 'morph': 'Gr,N,,,,,ANS,'}]","τὸ καύχημά",2,0,"[{'id': 1311362, 'book_id': '1co', 'chapter': '9', 'verse': '15', 'word_num': 39, 'word': 'of', 'occurrence': 2}]","of",1,"τὸ καύχημά = of",0.09090909090909091,0,0
"529509","1co","9","16","5",",1512947,",",1311374,",0,"[{'id': 1512947, 'book_id': '1co', 'chapter': '9', 'verse': '16', 'word_num': 6, 'word': 'καύχημα', 'occurrence': 1, 'strong': 'G27450', 'lemma': 'καύχημα', 'morph': 'Gr,N,,,,,NNS,'}]","καύχημα",1,0,"[{'id': 1311374, 'book_id': '1co', 'chapter': '9', 'verse': '16', 'word_num': 9, 'word': 'reason', 'occurrence': 1}]","reason",1,"καύχημα = reason",0.09090909090909091,0,0
"533316","2co","1","14","10",",1516857,",",1316982,1316983,1316984,",0,"[{'id': 1516857, 'book_id': '2co', 'chapter': '1', 'verse': '14', 'word_num': 7, 'word': 'καύχημα', 'occurrence': 1, 'strong': 'G27450', 'lemma': 'καύχημα', 'morph': 'Gr,N,,,,,NNS,'}]","καύχημα",1,2,"[{'id': 1316982, 'book_id': '2co', 'chapter': '1', 'verse': '14', 'word_num': 14, 'word': 'reason', 'occurrence': 1}, {'id': 1316983, 'book_id': '2co', 'chapter': '1', 'verse': '14', 'word_num': 15, 'word': 'for', 'occurrence': 1}, {'id': 1316984, 'book_id': '2co', 'chapter': '1', 'verse': '14', 'word_num': 16, 'word': 'boasting', 'occurrence': 1}]","reason for boasting",3,"καύχημα = reason for boasting",0.09090909090909091,0,0
"534544","2co","5","12","10",",1518132,",",1318729,1318730,",0,"[{'id': 1518132, 'book_id': '2co', 'chapter': '5', 'verse': '12', 'word_num': 9, 'word': 'καυχήματος', 'occurrence': 1, 'strong': 'G27450', 'lemma': 'καύχημα', 'morph': 'Gr,N,,,,,GNS,'}]","καυχήματος",1,1,"[{'id': 1318729, 'book_id': '2co', 'chapter': '5', 'verse': '12', 'word_num': 14, 'word': 'to', 'occurrence': 2}, {'id': 1318730, 'book_id': '2co', 'chapter': '5', 'verse': '12', 'word_num': 15, 'word': 'boast', 'occurrence': 1}]","to boast",2,"καυχήματος = to boast",0.09090909090909091,0,0
"535714","2co","9","3","6",",1519339,1519340,",",1320444,",1,"[{'id': 1519339, 'book_id': '2co', 'chapter': '9', 'verse': '3', 'word_num': 6, 'word': 'τὸ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NNS,'}, {'id': 1519340, 'book_id': '2co', 'chapter': '9', 'verse': '3', 'word_num': 7, 'word': 'καύχημα', 'occurrence': 1, 'strong': 'G27450', 'lemma': 'καύχημα', 'morph': 'Gr,N,,,,,NNS,'}]","τὸ καύχημα",2,0,"[{'id': 1320444, 'book_id': '2co', 'chapter': '9', 'verse': '3', 'word_num': 9, 'word': 'boasting', 'occurrence': 1}]","boasting",1,"τὸ καύχημα = boasting",0.18181818181818182,0,0
"539319","gal","6","4","8",",1523052,1523053,",",1325945,1325946,1325947,",1,"[{'id': 1523052, 'book_id': 'gal', 'chapter': '6', 'verse': '4', 'word_num': 11, 'word': 'τὸ', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,ANS,'}, {'id': 1523053, 'book_id': 'gal', 'chapter': '6', 'verse': '4', 'word_num': 12, 'word': 'καύχημα', 'occurrence': 1, 'strong': 'G27450', 'lemma': 'καύχημα', 'morph': 'Gr,N,,,,,ANS,'}]","τὸ καύχημα",2,2,"[{'id': 1325945, 'book_id': 'gal', 'chapter': '6', 'verse': '4', 'word_num': 13, 'word': 'reason', 'occurrence': 1}, {'id': 1325946, 'book_id': 'gal', 'chapter': '6', 'verse': '4', 'word_num': 14, 'word': 'to', 'occurrence': 1}, {'id': 1325947, 'book_id': 'gal', 'chapter': '6', 'verse': '4', 'word_num': 15, 'word': 'boast', 'occurrence': 1}]","reason to boast",3,"τὸ καύχημα = reason to boast",0.09090909090909091,0,0
"542319","php","1","26","5",",1526086,1526087,",",1329888,1329889,",1,"[{'id': 1526086, 'book_id': 'php', 'chapter': '1', 'verse': '26', 'word_num': 1, 'word': 'τὸ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NNS,'}, {'id': 1526087, 'book_id': 'php', 'chapter': '1', 'verse': '26', 'word_num': 2, 'word': 'καύχημα', 'occurrence': 1, 'strong': 'G27450', 'lemma': 'καύχημα', 'morph': 'Gr,N,,,,,NNS,'}]","τὸ καύχημα",2,1,"[{'id': 1329888, 'book_id': 'php', 'chapter': '1', 'verse': '26', 'word_num': 9, 'word': 'to', 'occurrence': 1}, {'id': 1329889, 'book_id': 'php', 'chapter': '1', 'verse': '26', 'word_num': 10, 'word': 'boast', 'occurrence': 1}]","to boast",2,"τὸ καύχημα = to boast",0.09090909090909091,0,0
"542621","php","2","16","8",",1526402,",",1330345,1330346,",0,"[{'id': 1526402, 'book_id': 'php', 'chapter': '2', 'verse': '16', 'word_num': 4, 'word': 'καύχημα', 'occurrence': 1, 'strong': 'G27450', 'lemma': 'καύχημα', 'morph': 'Gr,N,,,,,ANS,'}]","καύχημα",1,1,"[{'id': 1330345, 'book_id': 'php', 'chapter': '2', 'verse': '16', 'word_num': 15, 'word': 'may', 'occurrence': 1}, {'id': 1330346, 'book_id': 'php', 'chapter': '2', 'verse': '16', 'word_num': 16, 'word': 'boast', 'occurrence': 1}]","may boast",2,"καύχημα = may boast",0.09090909090909091,0,0
"551594","heb","3","6","19",",1535670,1535671,",",1343233,1343234,1343235,1343236,",1,"[{'id': 1535670, 'book_id': 'heb', 'chapter': '3', 'verse': '6', 'word_num': 16, 'word': 'τὸ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,ANS,'}, {'id': 1535671, 'book_id': 'heb', 'chapter': '3', 'verse': '6', 'word_num': 17, 'word': 'καύχημα', 'occurrence': 1, 'strong': 'G27450', 'lemma': 'καύχημα', 'morph': 'Gr,N,,,,,ANS,'}]","τὸ καύχημα",2,3,"[{'id': 1343233, 'book_id': 'heb', 'chapter': '3', 'verse': '6', 'word_num': 29, 'word': 'of', 'occurrence': 2}, {'id': 1343234, 'book_id': 'heb', 'chapter': '3', 'verse': '6', 'word_num': 30, 'word': 'which', 'occurrence': 1}, {'id': 1343235, 'book_id': 'heb', 'chapter': '3', 'verse': '6', 'word_num': 31, 'word': 'we', 'occurrence': 2}, {'id': 1343236, 'book_id': 'heb', 'chapter': '3', 'verse': '6', 'word_num': 32, 'word': 'boast', 'occurrence': 1}]","of which we boast",4,"τὸ καύχημα = of which we boast",0.09090909090909091,0,0
