"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"521132","rom","3","27","2",",1503992,1503993,",",1298751,1298752,",1,"[{'id': 1503992, 'book_id': 'rom', 'chapter': '3', 'verse': '27', 'word_num': 2, 'word': 'ἡ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NFS,'}, {'id': 1503993, 'book_id': 'rom', 'chapter': '3', 'verse': '27', 'word_num': 3, 'word': 'καύχησις', 'occurrence': 1, 'strong': 'G27460', 'lemma': 'καύχησις', 'morph': 'Gr,N,,,,,NFS,'}]","ἡ καύχησις",2,1,"[{'id': 1298751, 'book_id': 'rom', 'chapter': '3', 'verse': '27', 'word_num': 2, 'word': 'is', 'occurrence': 1}, {'id': 1298752, 'book_id': 'rom', 'chapter': '3', 'verse': '27', 'word_num': 3, 'word': 'boasting', 'occurrence': 1}]","is boasting",2,"ἡ καύχησις = is boasting",0.09090909090909091,0,0
"525779","rom","15","17","6",",1509048,",",1305911,1305912,1305913,",0,"[{'id': 1509048, 'book_id': 'rom', 'chapter': '15', 'verse': '17', 'word_num': 2, 'word': 'καύχησιν', 'occurrence': 1, 'strong': 'G27460', 'lemma': 'καύχησις', 'morph': 'Gr,N,,,,,AFS,'}]","καύχησιν",1,2,"[{'id': 1305911, 'book_id': 'rom', 'chapter': '15', 'verse': '17', 'word_num': 6, 'word': 'reason', 'occurrence': 1}, {'id': 1305912, 'book_id': 'rom', 'chapter': '15', 'verse': '17', 'word_num': 7, 'word': 'to', 'occurrence': 1}, {'id': 1305913, 'book_id': 'rom', 'chapter': '15', 'verse': '17', 'word_num': 8, 'word': 'boast', 'occurrence': 1}]","reason to boast",3,"καύχησιν = reason to boast",0.09090909090909091,0,0
"532315","1co","15","31","5",",1515829,",",1315573,",0,"[{'id': 1515829, 'book_id': '1co', 'chapter': '15', 'verse': '31', 'word_num': 6, 'word': 'καύχησιν', 'occurrence': 1, 'strong': 'G27460', 'lemma': 'καύχησις', 'morph': 'Gr,N,,,,,AFS,'}]","καύχησιν",1,0,"[{'id': 1315573, 'book_id': '1co', 'chapter': '15', 'verse': '31', 'word_num': 8, 'word': 'boasting', 'occurrence': 1}]","boasting",1,"καύχησιν = boasting",0.09090909090909091,0,0
"533255","2co","1","12","0",",1516797,1516798,1516799,",",1316902,",2,"[{'id': 1516797, 'book_id': '2co', 'chapter': '1', 'verse': '12', 'word_num': 0, 'word': 'ἡ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NFS,'}, {'id': 1516798, 'book_id': '2co', 'chapter': '1', 'verse': '12', 'word_num': 1, 'word': 'γὰρ', 'occurrence': 1, 'strong': 'G10630', 'lemma': 'γάρ', 'morph': 'Gr,CC,,,,,,,,'}, {'id': 1516799, 'book_id': '2co', 'chapter': '1', 'verse': '12', 'word_num': 2, 'word': 'καύχησις', 'occurrence': 1, 'strong': 'G27460', 'lemma': 'καύχησις', 'morph': 'Gr,N,,,,,NFS,'}]","ἡ γὰρ καύχησις",3,0,"[{'id': 1316902, 'book_id': '2co', 'chapter': '1', 'verse': '12', 'word_num': 0, 'word': 'For', 'occurrence': 1}]","For",1,"ἡ γὰρ καύχησις = For",0.09090909090909091,0,0
"535021","2co","7","4","7",",1518610,",",1319416,",0,"[{'id': 1518610, 'book_id': '2co', 'chapter': '7', 'verse': '4', 'word_num': 7, 'word': 'καύχησις', 'occurrence': 1, 'strong': 'G27460', 'lemma': 'καύχησις', 'morph': 'Gr,N,,,,,NFS,'}]","καύχησις",1,0,"[{'id': 1319416, 'book_id': '2co', 'chapter': '7', 'verse': '4', 'word_num': 9, 'word': 'boasting', 'occurrence': 1}]","boasting",1,"καύχησις = boasting",0.18181818181818182,0,0
"535255","2co","7","14","20",",1518852,1518853,",",1319765,",1,"[{'id': 1518852, 'book_id': '2co', 'chapter': '7', 'verse': '14', 'word_num': 18, 'word': 'ἡ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NFS,'}, {'id': 1518853, 'book_id': '2co', 'chapter': '7', 'verse': '14', 'word_num': 19, 'word': 'καύχησις', 'occurrence': 1, 'strong': 'G27460', 'lemma': 'καύχησις', 'morph': 'Gr,N,,,,,NFS,'}]","ἡ καύχησις",2,0,"[{'id': 1319765, 'book_id': '2co', 'chapter': '7', 'verse': '14', 'word_num': 30, 'word': 'boasting', 'occurrence': 1}]","boasting",1,"ἡ καύχησις = boasting",0.18181818181818182,0,0
"535673","2co","8","24","13",",1519286,",",1320383,",0,"[{'id': 1519286, 'book_id': '2co', 'chapter': '8', 'verse': '24', 'word_num': 8, 'word': 'καυχήσεως', 'occurrence': 1, 'strong': 'G27460', 'lemma': 'καύχησις', 'morph': 'Gr,N,,,,,GFS,'}]","καυχήσεως",1,0,"[{'id': 1320383, 'book_id': '2co', 'chapter': '8', 'verse': '24', 'word_num': 14, 'word': 'boasting', 'occurrence': 1}]","boasting",1,"καυχήσεως = boasting",0.09090909090909091,0,0
"536412","2co","11","10","7",",1520054,1520055,",",1321456,",1,"[{'id': 1520054, 'book_id': '2co', 'chapter': '11', 'verse': '10', 'word_num': 6, 'word': 'ἡ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NFS,'}, {'id': 1520055, 'book_id': '2co', 'chapter': '11', 'verse': '10', 'word_num': 7, 'word': 'καύχησις', 'occurrence': 1, 'strong': 'G27460', 'lemma': 'καύχησις', 'morph': 'Gr,N,,,,,NFS,'}]","ἡ καύχησις",2,0,"[{'id': 1321456, 'book_id': '2co', 'chapter': '11', 'verse': '10', 'word_num': 10, 'word': 'boasting', 'occurrence': 1}]","boasting",1,"ἡ καύχησις = boasting",0.18181818181818182,0,0
"536523","2co","11","17","14",",1520172,1520173,",",1321617,",1,"[{'id': 1520172, 'book_id': '2co', 'chapter': '11', 'verse': '17', 'word_num': 14, 'word': 'τῆς', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,GFS,'}, {'id': 1520173, 'book_id': '2co', 'chapter': '11', 'verse': '17', 'word_num': 15, 'word': 'καυχήσεως', 'occurrence': 1, 'strong': 'G27460', 'lemma': 'καύχησις', 'morph': 'Gr,N,,,,,GFS,'}]","τῆς καυχήσεως",2,0,"[{'id': 1321617, 'book_id': '2co', 'chapter': '11', 'verse': '17', 'word_num': 18, 'word': 'boastful', 'occurrence': 1}]","boastful",1,"τῆς καυχήσεως = boastful",0.09090909090909091,0,0
"545505","1th","2","19","8",",1529470,",",1334558,1334559,",0,"[{'id': 1529470, 'book_id': '1th', 'chapter': '2', 'verse': '19', 'word_num': 8, 'word': 'καυχήσεως', 'occurrence': 1, 'strong': 'G27460', 'lemma': 'καύχησις', 'morph': 'Gr,N,,,,,GFS,'}]","καυχήσεως",1,1,"[{'id': 1334558, 'book_id': '1th', 'chapter': '2', 'verse': '19', 'word_num': 9, 'word': 'of', 'occurrence': 1}, {'id': 1334559, 'book_id': '1th', 'chapter': '2', 'verse': '19', 'word_num': 10, 'word': 'pride', 'occurrence': 1}]","of pride",2,"καυχήσεως = of pride",0.09090909090909091,0,0
