"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"465299","mrk","12","3","6",",1445551,",",1221929,1221930,",0,"[{'id': 1445551, 'book_id': 'mrk', 'chapter': '12', 'verse': '3', 'word_num': 6, 'word': 'κενόν', 'occurrence': 1, 'strong': 'G27560', 'lemma': 'κενός', 'morph': 'Gr,NS,,,,AMS,'}]","κενόν",1,1,"[{'id': 1221929, 'book_id': 'mrk', 'chapter': '12', 'verse': '3', 'word_num': 10, 'word': 'with', 'occurrence': 1}, {'id': 1221930, 'book_id': 'mrk', 'chapter': '12', 'verse': '3', 'word_num': 11, 'word': 'nothing', 'occurrence': 1}]","with nothing",2,"κενόν = with nothing",0.3333333333333333,1,0,0
"483711","luk","20","10","23",",1464661,",",1247555,1247556,",0,"[{'id': 1464661, 'book_id': 'luk', 'chapter': '20', 'verse': '10', 'word_num': 21, 'word': 'κενόν', 'occurrence': 1, 'strong': 'G27560', 'lemma': 'κενός', 'morph': 'Gr,NS,,,,AMS,'}]","κενόν",1,1,"[{'id': 1247555, 'book_id': 'luk', 'chapter': '20', 'verse': '10', 'word_num': 35, 'word': 'empty', 'occurrence': 1}, {'id': 1247556, 'book_id': 'luk', 'chapter': '20', 'verse': '10', 'word_num': 36, 'word': 'handed', 'occurrence': 1}]","empty handed",2,"κενόν = empty handed",0.6666666666666666,2,0,0
"483725","luk","20","11","13",",1464674,",",1247578,1247579,",0,"[{'id': 1464674, 'book_id': 'luk', 'chapter': '20', 'verse': '11', 'word_num': 12, 'word': 'κενόν', 'occurrence': 1, 'strong': 'G27560', 'lemma': 'κενός', 'morph': 'Gr,NS,,,,AMS,'}]","κενόν",1,1,"[{'id': 1247578, 'book_id': 'luk', 'chapter': '20', 'verse': '11', 'word_num': 21, 'word': 'empty', 'occurrence': 1}, {'id': 1247579, 'book_id': 'luk', 'chapter': '20', 'verse': '11', 'word_num': 22, 'word': 'handed', 'occurrence': 1}]","empty handed",2,"κενόν = empty handed",0.6666666666666666,2,0,0
"469216","luk","1","53","6",",1449907,",",1227792,",0,"[{'id': 1449907, 'book_id': 'luk', 'chapter': '1', 'verse': '53', 'word_num': 6, 'word': 'κενούς', 'occurrence': 1, 'strong': 'G27560', 'lemma': 'κενός', 'morph': 'Gr,NS,,,,AMP,'}]","κενούς",1,0,"[{'id': 1227792, 'book_id': 'luk', 'chapter': '1', 'verse': '53', 'word_num': 15, 'word': 'empty', 'occurrence': 1}]","empty",1,"κενούς = empty",1.0,1,0,0
"504144","act","4","25","21",",1486447,",",1275333,1275334,",0,"[{'id': 1486447, 'book_id': 'act', 'chapter': '4', 'verse': '25', 'word_num': 19, 'word': 'κενά', 'occurrence': 1, 'strong': 'G27560', 'lemma': 'κενός', 'morph': 'Gr,NS,,,,ANP,'}]","κενά",1,1,"[{'id': 1275333, 'book_id': 'act', 'chapter': '4', 'verse': '25', 'word_num': 24, 'word': 'useless', 'occurrence': 1}, {'id': 1275334, 'book_id': 'act', 'chapter': '4', 'verse': '25', 'word_num': 25, 'word': 'things', 'occurrence': 1}]","useless things",2,"κενά = useless things",1.0,1,0,0
"532031","1co","15","10","14",",1515530,",",1315162,1315163,",0,"[{'id': 1515530, 'book_id': '1co', 'chapter': '15', 'verse': '10', 'word_num': 14, 'word': 'κενὴ', 'occurrence': 1, 'strong': 'G27560', 'lemma': 'κενός', 'morph': 'Gr,NP,,,,NFS,'}]","κενὴ",1,1,"[{'id': 1315162, 'book_id': '1co', 'chapter': '15', 'verse': '10', 'word_num': 20, 'word': 'in', 'occurrence': 2}, {'id': 1315163, 'book_id': '1co', 'chapter': '15', 'verse': '10', 'word_num': 21, 'word': 'vain', 'occurrence': 1}]","in vain",2,"κενὴ = in vain",0.3333333333333333,1,0,0
"532096","1co","15","14","13",",1515594,",",1315253,1315254,1315255,",0,"[{'id': 1515594, 'book_id': '1co', 'chapter': '15', 'verse': '14', 'word_num': 10, 'word': 'κενὴ', 'occurrence': 1, 'strong': 'G27560', 'lemma': 'κενός', 'morph': 'Gr,NP,,,,NFS,'}]","κενὴ",1,2,"[{'id': 1315253, 'book_id': '1co', 'chapter': '15', 'verse': '14', 'word_num': 16, 'word': 'is', 'occurrence': 2}, {'id': 1315254, 'book_id': '1co', 'chapter': '15', 'verse': '14', 'word_num': 17, 'word': 'in', 'occurrence': 2}, {'id': 1315255, 'book_id': '1co', 'chapter': '15', 'verse': '14', 'word_num': 18, 'word': 'vain', 'occurrence': 2}]","is in vain",3,"κενὴ = is in vain",0.3333333333333333,1,0,0
"545167","1th","2","1","12",",1529115,",",1334088,",0,"[{'id': 1529115, 'book_id': '1th', 'chapter': '2', 'verse': '1', 'word_num': 12, 'word': 'κενὴ', 'occurrence': 1, 'strong': 'G27560', 'lemma': 'κενός', 'morph': 'Gr,NP,,,,NFS,'}]","κενὴ",1,0,"[{'id': 1334088, 'book_id': '1th', 'chapter': '2', 'verse': '1', 'word_num': 12, 'word': 'useless', 'occurrence': 1}]","useless",1,"κενὴ = useless",0.3333333333333333,1,0,0
"532092","1co","15","14","9",",1515589,",",1315247,1315248,1315249,",0,"[{'id': 1515589, 'book_id': '1co', 'chapter': '15', 'verse': '14', 'word_num': 5, 'word': 'κενὸν', 'occurrence': 1, 'strong': 'G27560', 'lemma': 'κενός', 'morph': 'Gr,NP,,,,NNS,'}]","κενὸν",1,2,"[{'id': 1315247, 'book_id': '1co', 'chapter': '15', 'verse': '14', 'word_num': 10, 'word': 'is', 'occurrence': 1}, {'id': 1315248, 'book_id': '1co', 'chapter': '15', 'verse': '14', 'word_num': 11, 'word': 'in', 'occurrence': 1}, {'id': 1315249, 'book_id': '1co', 'chapter': '15', 'verse': '14', 'word_num': 12, 'word': 'vain', 'occurrence': 1}]","is in vain",3,"κενὸν = is in vain",0.16666666666666666,1,0,0
"534710","2co","6","1","12",",1518299,",",1318990,",0,"[{'id': 1518299, 'book_id': '2co', 'chapter': '6', 'verse': '1', 'word_num': 6, 'word': 'κενὸν', 'occurrence': 1, 'strong': 'G27560', 'lemma': 'κενός', 'morph': 'Gr,NS,,,,ANS,'}]","κενὸν",1,0,"[{'id': 1318990, 'book_id': '2co', 'chapter': '6', 'verse': '1', 'word_num': 17, 'word': 'vain', 'occurrence': 1}]","vain",1,"κενὸν = vain",0.8333333333333334,5,0,0
