"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"469725","luk","2","12","9",",1450444,",",1228505,",0,"[{'id': 1450444, 'book_id': 'luk', 'chapter': '2', 'verse': '12', 'word_num': 9, 'word': 'κείμενον', 'occurrence': 1, 'strong': 'G27490', 'lemma': 'κεῖμαι', 'morph': 'Gr,V,PPM,ANS,'}]","κείμενον",1,0,"[{'id': 1228505, 'book_id': 'luk', 'chapter': '2', 'verse': '12', 'word_num': 19, 'word': 'lying', 'occurrence': 1}]","lying",1,"κείμενον = lying",0.25,1,0,0
"469795","luk","2","16","11",",1450518,",",1228601,1228602,1228603,",0,"[{'id': 1450518, 'book_id': 'luk', 'chapter': '2', 'verse': '16', 'word_num': 14, 'word': 'κείμενον', 'occurrence': 1, 'strong': 'G27490', 'lemma': 'κεῖμαι', 'morph': 'Gr,V,PPM,ANS,'}]","κείμενον",1,2,"[{'id': 1228601, 'book_id': 'luk', 'chapter': '2', 'verse': '16', 'word_num': 13, 'word': 'who', 'occurrence': 1}, {'id': 1228602, 'book_id': 'luk', 'chapter': '2', 'verse': '16', 'word_num': 14, 'word': 'was', 'occurrence': 1}, {'id': 1228603, 'book_id': 'luk', 'chapter': '2', 'verse': '16', 'word_num': 15, 'word': 'lying', 'occurrence': 1}]","who was lying",3,"κείμενον = who was lying",0.25,1,0,0
"500973","jhn","20","7","8",",1483121,",",1271076,1271077,",0,"[{'id': 1483121, 'book_id': 'jhn', 'chapter': '20', 'verse': '7', 'word_num': 13, 'word': 'κείμενον', 'occurrence': 1, 'strong': 'G27490', 'lemma': 'κεῖμαι', 'morph': 'Gr,V,PPM,ANS,'}]","κείμενον",1,1,"[{'id': 1271076, 'book_id': 'jhn', 'chapter': '20', 'verse': '7', 'word_num': 9, 'word': 'It', 'occurrence': 1}, {'id': 1271077, 'book_id': 'jhn', 'chapter': '20', 'verse': '7', 'word_num': 10, 'word': 'was', 'occurrence': 1}]","It was",2,"κείμενον = It was",0.25,1,0,0
"527304","1co","3","11","7",",1510684,1510685,",",1308091,1308092,1308093,1308094,1308095,1308096,",1,"[{'id': 1510684, 'book_id': '1co', 'chapter': '3', 'verse': '11', 'word_num': 7, 'word': 'τὸν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RD,,,,AMS,'}, {'id': 1510685, 'book_id': '1co', 'chapter': '3', 'verse': '11', 'word_num': 8, 'word': 'κείμενον', 'occurrence': 1, 'strong': 'G27490', 'lemma': 'κεῖμαι', 'morph': 'Gr,V,PPM,AMS,'}]","τὸν κείμενον",2,5,"[{'id': 1308091, 'book_id': '1co', 'chapter': '3', 'verse': '11', 'word_num': 9, 'word': 'the', 'occurrence': 1}, {'id': 1308092, 'book_id': '1co', 'chapter': '3', 'verse': '11', 'word_num': 10, 'word': 'one', 'occurrence': 2}, {'id': 1308093, 'book_id': '1co', 'chapter': '3', 'verse': '11', 'word_num': 11, 'word': 'that', 'occurrence': 1}, {'id': 1308094, 'book_id': '1co', 'chapter': '3', 'verse': '11', 'word_num': 12, 'word': 'has', 'occurrence': 1}, {'id': 1308095, 'book_id': '1co', 'chapter': '3', 'verse': '11', 'word_num': 13, 'word': 'been', 'occurrence': 1}, {'id': 1308096, 'book_id': '1co', 'chapter': '3', 'verse': '11', 'word_num': 14, 'word': 'laid', 'occurrence': 1}]","the one that has been laid",6,"τὸν κείμενον = the one that has been laid",0.25,1,0,0
"470065","luk","2","34","12",",1450803,",",1228959,1228960,",0,"[{'id': 1450803, 'book_id': 'luk', 'chapter': '2', 'verse': '34', 'word_num': 13, 'word': 'κεῖται', 'occurrence': 1, 'strong': 'G27490', 'lemma': 'κεῖμαι', 'morph': 'Gr,V,IPM3,,S,'}]","κεῖται",1,1,"[{'id': 1228959, 'book_id': 'luk', 'chapter': '2', 'verse': '34', 'word_num': 13, 'word': 'is', 'occurrence': 1}, {'id': 1228960, 'book_id': 'luk', 'chapter': '2', 'verse': '34', 'word_num': 14, 'word': 'appointed', 'occurrence': 1}]","is appointed",2,"κεῖται = is appointed",0.16666666666666666,1,0,0
"470538","luk","3","9","4",",1451289,",",1229598,",0,"[{'id': 1451289, 'book_id': 'luk', 'chapter': '3', 'verse': '9', 'word_num': 10, 'word': 'κεῖται', 'occurrence': 1, 'strong': 'G27490', 'lemma': 'κεῖμαι', 'morph': 'Gr,V,IPM3,,S,'}]","κεῖται",1,0,"[{'id': 1229598, 'book_id': 'luk', 'chapter': '3', 'verse': '9', 'word_num': 4, 'word': 'is', 'occurrence': 1}]","is",1,"κεῖται = is",0.3333333333333333,2,0,0
"534026","2co","3","15","7",",1517591,",",1317978,",0,"[{'id': 1517591, 'book_id': '2co', 'chapter': '3', 'verse': '15', 'word_num': 12, 'word': 'κεῖται', 'occurrence': 1, 'strong': 'G27490', 'lemma': 'κεῖμαι', 'morph': 'Gr,V,IPM3,,S,'}]","κεῖται",1,0,"[{'id': 1317978, 'book_id': '2co', 'chapter': '3', 'verse': '15', 'word_num': 9, 'word': 'lies', 'occurrence': 1}]","lies",1,"κεῖται = lies",0.3333333333333333,2,0,0
"547262","1ti","1","9","4",",1531305,",",1337025,",0,"[{'id': 1531305, 'book_id': '1ti', 'chapter': '1', 'verse': '9', 'word_num': 6, 'word': 'κεῖται', 'occurrence': 1, 'strong': 'G27490', 'lemma': 'κεῖμαι', 'morph': 'Gr,V,IPM3,,S,'}]","κεῖται",1,0,"[{'id': 1337025, 'book_id': '1ti', 'chapter': '1', 'verse': '9', 'word_num': 5, 'word': 'is', 'occurrence': 1}]","is",1,"κεῖται = is",0.3333333333333333,2,0,0
"561792","1jn","5","19","9",",1546571,",",1358567,",0,"[{'id': 1546571, 'book_id': '1jn', 'chapter': '5', 'verse': '19', 'word_num': 13, 'word': 'κεῖται', 'occurrence': 1, 'strong': 'G27490', 'lemma': 'κεῖμαι', 'morph': 'Gr,V,IPM3,,S,'}]","κεῖται",1,0,"[{'id': 1358567, 'book_id': '1jn', 'chapter': '5', 'verse': '19', 'word_num': 14, 'word': 'lies', 'occurrence': 1}]","lies",1,"κεῖται = lies",0.3333333333333333,2,0,0
"570915","rev","21","16","2",",1556663,",",1371120,1371121,1371122,",0,"[{'id': 1556663, 'book_id': 'rev', 'chapter': '21', 'verse': '16', 'word_num': 4, 'word': 'κεῖται', 'occurrence': 1, 'strong': 'G27490', 'lemma': 'κεῖμαι', 'morph': 'Gr,V,IPM3,,S,'}]","κεῖται",1,2,"[{'id': 1371120, 'book_id': 'rev', 'chapter': '21', 'verse': '16', 'word_num': 2, 'word': 'was', 'occurrence': 1}, {'id': 1371121, 'book_id': 'rev', 'chapter': '21', 'verse': '16', 'word_num': 3, 'word': 'laid', 'occurrence': 1}, {'id': 1371122, 'book_id': 'rev', 'chapter': '21', 'verse': '16', 'word_num': 4, 'word': 'out', 'occurrence': 1}]","was laid out",3,"κεῖται = was laid out",0.16666666666666666,1,0,0
