"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"464137","mrk","10","17","17",",1444275,",",1220226,",0,"[{'id': 1444275, 'book_id': 'mrk', 'chapter': '10', 'verse': '17', 'word_num': 19, 'word': 'κληρονομήσω', 'occurrence': 1, 'strong': 'G28160', 'lemma': 'κληρονομέω', 'morph': 'Gr,V,SAA1,,S,'}]","κληρονομήσω",1,0,"[{'id': 1220226, 'book_id': 'mrk', 'chapter': '10', 'verse': '17', 'word_num': 28, 'word': 'inherit', 'occurrence': 1}]","inherit",1,"κληρονομήσω = inherit",0.06666666666666667,0,0
"476903","luk","10","25","12",",1457749,",",1238126,1238127,",0,"[{'id': 1457749, 'book_id': 'luk', 'chapter': '10', 'verse': '25', 'word_num': 13, 'word': 'κληρονομήσω', 'occurrence': 1, 'strong': 'G28160', 'lemma': 'κληρονομέω', 'morph': 'Gr,V,IFA1,,S,'}]","κληρονομήσω",1,1,"[{'id': 1238126, 'book_id': 'luk', 'chapter': '10', 'verse': '25', 'word_num': 20, 'word': 'to', 'occurrence': 2}, {'id': 1238127, 'book_id': 'luk', 'chapter': '10', 'verse': '25', 'word_num': 21, 'word': 'inherit', 'occurrence': 1}]","to inherit",2,"κληρονομήσω = to inherit",0.13333333333333333,0,0
"482458","luk","18","18","11",",1463395,",",1245767,1245768,",0,"[{'id': 1463395, 'book_id': 'luk', 'chapter': '18', 'verse': '18', 'word_num': 12, 'word': 'κληρονομήσω', 'occurrence': 1, 'strong': 'G28160', 'lemma': 'κληρονομέω', 'morph': 'Gr,V,IFA1,,S,'}]","κληρονομήσω",1,1,"[{'id': 1245767, 'book_id': 'luk', 'chapter': '18', 'verse': '18', 'word_num': 13, 'word': 'to', 'occurrence': 1}, {'id': 1245768, 'book_id': 'luk', 'chapter': '18', 'verse': '18', 'word_num': 14, 'word': 'inherit', 'occurrence': 1}]","to inherit",2,"κληρονομήσω = to inherit",0.13333333333333333,0,0
"528163","1co","6","9","7",",1511560,",",1309371,",0,"[{'id': 1511560, 'book_id': '1co', 'chapter': '6', 'verse': '9', 'word_num': 8, 'word': 'κληρονομήσουσιν', 'occurrence': 1, 'strong': 'G28160', 'lemma': 'κληρονομέω', 'morph': 'Gr,V,IFA3,,P,'}]","κληρονομήσουσιν",1,0,"[{'id': 1309371, 'book_id': '1co', 'chapter': '6', 'verse': '9', 'word_num': 8, 'word': 'will', 'occurrence': 1}]","will",1,"κληρονομήσουσιν = will",0.13333333333333333,0,0
"528191","1co","6","10","10",",1511585,",",1309409,1309410,",0,"[{'id': 1511585, 'book_id': '1co', 'chapter': '6', 'verse': '10', 'word_num': 12, 'word': 'κληρονομήσουσιν', 'occurrence': 1, 'strong': 'G28160', 'lemma': 'κληρονομέω', 'morph': 'Gr,V,IFA3,,P,'}]","κληρονομήσουσιν",1,1,"[{'id': 1309409, 'book_id': '1co', 'chapter': '6', 'verse': '10', 'word_num': 11, 'word': 'will', 'occurrence': 1}, {'id': 1309410, 'book_id': '1co', 'chapter': '6', 'verse': '10', 'word_num': 12, 'word': 'inherit', 'occurrence': 1}]","will inherit",2,"κληρονομήσουσιν = will inherit",0.06666666666666667,0,0
"532587","1co","15","50","9",",1516103,",",1315969,",0,"[{'id': 1516103, 'book_id': '1co', 'chapter': '15', 'verse': '50', 'word_num': 10, 'word': 'κληρονομῆσαι', 'occurrence': 1, 'strong': 'G28160', 'lemma': 'κληρονομέω', 'morph': 'Gr,V,NAA,,,,,'}]","κληρονομῆσαι",1,0,"[{'id': 1315969, 'book_id': '1co', 'chapter': '15', 'verse': '50', 'word_num': 10, 'word': 'inherit', 'occurrence': 1}]","inherit",1,"κληρονομῆσαι = inherit",0.06666666666666667,0,0
"532593","1co","15","50","15",",1516111,",",1315978,",0,"[{'id': 1516111, 'book_id': '1co', 'chapter': '15', 'verse': '50', 'word_num': 18, 'word': 'κληρονομεῖ', 'occurrence': 1, 'strong': 'G28160', 'lemma': 'κληρονομέω', 'morph': 'Gr,V,IPA3,,S,'}]","κληρονομεῖ",1,0,"[{'id': 1315978, 'book_id': '1co', 'chapter': '15', 'verse': '50', 'word_num': 19, 'word': 'inherit', 'occurrence': 2}]","inherit",1,"κληρονομεῖ = inherit",0.06666666666666667,0,0
"538942","gal","4","30","17",",1522665,",",1325378,",0,"[{'id': 1522665, 'book_id': 'gal', 'chapter': '4', 'verse': '30', 'word_num': 15, 'word': 'κληρονομήσει', 'occurrence': 1, 'strong': 'G28160', 'lemma': 'κληρονομέω', 'morph': 'Gr,V,IFA3,,S,'}]","κληρονομήσει",1,0,"[{'id': 1325378, 'book_id': 'gal', 'chapter': '4', 'verse': '30', 'word_num': 21, 'word': 'will', 'occurrence': 1}]","will",1,"κληρονομήσει = will",0.06666666666666667,0,0
"539219","gal","5","21","16",",1522948,",",1325802,",0,"[{'id': 1522948, 'book_id': 'gal', 'chapter': '5', 'verse': '21', 'word_num': 20, 'word': 'κληρονομήσουσιν', 'occurrence': 1, 'strong': 'G28160', 'lemma': 'κληρονομέω', 'morph': 'Gr,V,IFA3,,P,'}]","κληρονομήσουσιν",1,0,"[{'id': 1325802, 'book_id': 'gal', 'chapter': '5', 'verse': '21', 'word_num': 25, 'word': 'will', 'occurrence': 1}]","will",1,"κληρονομήσουσιν = will",0.13333333333333333,0,0
"551031","heb","1","4","6",",1535086,",",1342381,1342382,1342383,",0,"[{'id': 1535086, 'book_id': 'heb', 'chapter': '1', 'verse': '4', 'word_num': 9, 'word': 'κεκληρονόμηκεν', 'occurrence': 1, 'strong': 'G28160', 'lemma': 'κληρονομέω', 'morph': 'Gr,V,IEA3,,S,'}]","κεκληρονόμηκεν",1,2,"[{'id': 1342381, 'book_id': 'heb', 'chapter': '1', 'verse': '4', 'word_num': 10, 'word': 'he', 'occurrence': 1}, {'id': 1342382, 'book_id': 'heb', 'chapter': '1', 'verse': '4', 'word_num': 11, 'word': 'has', 'occurrence': 2}, {'id': 1342383, 'book_id': 'heb', 'chapter': '1', 'verse': '4', 'word_num': 12, 'word': 'inherited', 'occurrence': 1}]","he has inherited",3,"κεκληρονόμηκεν = he has inherited",0.06666666666666667,0,0
