"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"465353","mrk","12","7","15",",1445612,",",1222012,",0,"[{'id': 1445612, 'book_id': 'mrk', 'chapter': '12', 'verse': '7', 'word_num': 19, 'word': 'κληρονομία', 'occurrence': 1, 'strong': 'G28170', 'lemma': 'κληρονομία', 'morph': 'Gr,N,,,,,NFS,'}]","κληρονομία",1,0,"[{'id': 1222012, 'book_id': 'mrk', 'chapter': '12', 'verse': '7', 'word_num': 19, 'word': 'inheritance', 'occurrence': 1}]","inheritance",1,"κληρονομία = inheritance",1.0,3,0,0
"483770","luk","20","14","18",",1464721,",",1247642,",0,"[{'id': 1464721, 'book_id': 'luk', 'chapter': '20', 'verse': '14', 'word_num': 19, 'word': 'κληρονομία', 'occurrence': 1, 'strong': 'G28170', 'lemma': 'κληρονομία', 'morph': 'Gr,N,,,,,NFS,'}]","κληρονομία",1,0,"[{'id': 1247642, 'book_id': 'luk', 'chapter': '20', 'verse': '14', 'word_num': 23, 'word': 'inheritance', 'occurrence': 1}]","inheritance",1,"κληρονομία = inheritance",1.0,3,0,0
"538372","gal","3","18","3",",1522068,",",1324464,",0,"[{'id': 1522068, 'book_id': 'gal', 'chapter': '3', 'verse': '18', 'word_num': 5, 'word': 'κληρονομία', 'occurrence': 1, 'strong': 'G28170', 'lemma': 'κληρονομία', 'morph': 'Gr,N,,,,,NFS,'}]","κληρονομία",1,0,"[{'id': 1324464, 'book_id': 'gal', 'chapter': '3', 'verse': '18', 'word_num': 3, 'word': 'inheritance', 'occurrence': 1}]","inheritance",1,"κληρονομία = inheritance",1.0,3,0,0
"478396","luk","12","13","13",",1459275,",",1240172,",0,"[{'id': 1459275, 'book_id': 'luk', 'chapter': '12', 'verse': '13', 'word_num': 16, 'word': 'κληρονομίαν', 'occurrence': 1, 'strong': 'G28170', 'lemma': 'κληρονομία', 'morph': 'Gr,N,,,,,AFS,'}]","κληρονομίαν",1,0,"[{'id': 1240172, 'book_id': 'luk', 'chapter': '12', 'verse': '13', 'word_num': 15, 'word': 'inheritance', 'occurrence': 1}]","inheritance",1,"κληρονομίαν = inheritance",0.5,3,0,0
"505487","act","7","5","5",",1487820,",",1277103,1277104,",0,"[{'id': 1487820, 'book_id': 'act', 'chapter': '7', 'verse': '5', 'word_num': 4, 'word': 'κληρονομίαν', 'occurrence': 1, 'strong': 'G28170', 'lemma': 'κληρονομία', 'morph': 'Gr,N,,,,,AFS,'}]","κληρονομίαν",1,1,"[{'id': 1277103, 'book_id': 'act', 'chapter': '7', 'verse': '5', 'word_num': 6, 'word': 'an', 'occurrence': 1}, {'id': 1277104, 'book_id': 'act', 'chapter': '7', 'verse': '5', 'word_num': 7, 'word': 'inheritance', 'occurrence': 1}]","an inheritance",2,"κληρονομίαν = an inheritance",0.5,3,0,0
"514928","act","20","32","18",",1497547,",",1289856,",0,"[{'id': 1497547, 'book_id': 'act', 'chapter': '20', 'verse': '32', 'word_num': 19, 'word': 'κληρονομίαν', 'occurrence': 1, 'strong': 'G28170', 'lemma': 'κληρονομία', 'morph': 'Gr,N,,,,,AFS,'}]","κληρονομίαν",1,0,"[{'id': 1289856, 'book_id': 'act', 'chapter': '20', 'verse': '32', 'word_num': 25, 'word': 'inheritance', 'occurrence': 1}]","inheritance",1,"κληρονομίαν = inheritance",0.5,3,0,0
"541166","eph","5","5","16",",1524907,",",1328383,",0,"[{'id': 1524907, 'book_id': 'eph', 'chapter': '5', 'verse': '5', 'word_num': 16, 'word': 'κληρονομίαν', 'occurrence': 1, 'strong': 'G28170', 'lemma': 'κληρονομία', 'morph': 'Gr,N,,,,,AFS,'}]","κληρονομίαν",1,0,"[{'id': 1328383, 'book_id': 'eph', 'chapter': '5', 'verse': '5', 'word_num': 20, 'word': 'inheritance', 'occurrence': 1}]","inheritance",1,"κληρονομίαν = inheritance",0.5,3,0,0
"554401","heb","11","8","11",",1538614,",",1347487,1347488,",0,"[{'id': 1538614, 'book_id': 'heb', 'chapter': '11', 'verse': '8', 'word_num': 11, 'word': 'κληρονομίαν', 'occurrence': 1, 'strong': 'G28170', 'lemma': 'κληρονομία', 'morph': 'Gr,N,,,,,AFS,'}]","κληρονομίαν",1,1,"[{'id': 1347487, 'book_id': 'heb', 'chapter': '11', 'verse': '8', 'word_num': 21, 'word': 'an', 'occurrence': 1}, {'id': 1347488, 'book_id': 'heb', 'chapter': '11', 'verse': '8', 'word_num': 22, 'word': 'inheritance', 'occurrence': 1}]","an inheritance",2,"κληρονομίαν = an inheritance",0.5,3,0,0
"557389","1pe","1","4","1",",1541760,",",1351906,1351907,",0,"[{'id': 1541760, 'book_id': '1pe', 'chapter': '1', 'verse': '4', 'word_num': 1, 'word': 'κληρονομίαν', 'occurrence': 1, 'strong': 'G28170', 'lemma': 'κληρονομία', 'morph': 'Gr,N,,,,,AFS,'}]","κληρονομίαν",1,1,"[{'id': 1351906, 'book_id': '1pe', 'chapter': '1', 'verse': '4', 'word_num': 3, 'word': 'an', 'occurrence': 1}, {'id': 1351907, 'book_id': '1pe', 'chapter': '1', 'verse': '4', 'word_num': 4, 'word': 'inheritance', 'occurrence': 1}]","an inheritance",2,"κληρονομίαν = an inheritance",0.5,3,0,0
"539737","eph","1","14","5",",1523486,",",1326545,",0,"[{'id': 1523486, 'book_id': 'eph', 'chapter': '1', 'verse': '14', 'word_num': 4, 'word': 'κληρονομίας', 'occurrence': 1, 'strong': 'G28170', 'lemma': 'κληρονομία', 'morph': 'Gr,N,,,,,GFS,'}]","κληρονομίας",1,0,"[{'id': 1326545, 'book_id': 'eph', 'chapter': '1', 'verse': '14', 'word_num': 7, 'word': 'inheritance', 'occurrence': 1}]","inheritance",1,"κληρονομίας = inheritance",0.75,3,0,0
