"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"503143","act","2","42","10",",1485406,1485407,",",1274000,",1,"[{'id': 1485406, 'book_id': 'act', 'chapter': '2', 'verse': '42', 'word_num': 8, 'word': 'τῇ', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,DFS,'}, {'id': 1485407, 'book_id': 'act', 'chapter': '2', 'verse': '42', 'word_num': 9, 'word': 'κοινωνίᾳ', 'occurrence': 1, 'strong': 'G28420', 'lemma': 'κοινωνία', 'morph': 'Gr,N,,,,,DFS,'}]","τῇ κοινωνίᾳ",2,0,"[{'id': 1274000, 'book_id': 'act', 'chapter': '2', 'verse': '42', 'word_num': 11, 'word': 'fellowship', 'occurrence': 1}]","fellowship",1,"τῇ κοινωνίᾳ = fellowship",0.5,1,0,0
"541987","php","1","5","2",",1525738,1525739,",",1329417,",1,"[{'id': 1525738, 'book_id': 'php', 'chapter': '1', 'verse': '5', 'word_num': 1, 'word': 'τῇ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,DFS,'}, {'id': 1525739, 'book_id': 'php', 'chapter': '1', 'verse': '5', 'word_num': 2, 'word': 'κοινωνίᾳ', 'occurrence': 1, 'strong': 'G28420', 'lemma': 'κοινωνία', 'morph': 'Gr,N,,,,,DFS,'}]","τῇ κοινωνίᾳ",2,0,"[{'id': 1329417, 'book_id': 'php', 'chapter': '1', 'verse': '5', 'word_num': 3, 'word': 'partnership', 'occurrence': 1}]","partnership",1,"τῇ κοινωνίᾳ = partnership",0.5,1,0,0
"525911","rom","15","26","6",",1509187,",",1306134,",0,"[{'id': 1509187, 'book_id': 'rom', 'chapter': '15', 'verse': '26', 'word_num': 5, 'word': 'κοινωνίαν', 'occurrence': 1, 'strong': 'G28420', 'lemma': 'κοινωνία', 'morph': 'Gr,N,,,,,AFS,'}]","κοινωνίαν",1,0,"[{'id': 1306134, 'book_id': 'rom', 'chapter': '15', 'verse': '26', 'word_num': 12, 'word': 'a', 'occurrence': 1}]","a",1,"κοινωνίαν = a",0.14285714285714285,1,0,0
"526541","1co","1","9","6",",1509875,",",1307017,1307018,",0,"[{'id': 1509875, 'book_id': '1co', 'chapter': '1', 'verse': '9', 'word_num': 7, 'word': 'κοινωνίαν', 'occurrence': 1, 'strong': 'G28420', 'lemma': 'κοινωνία', 'morph': 'Gr,N,,,,,AFS,'}]","κοινωνίαν",1,1,"[{'id': 1307017, 'book_id': '1co', 'chapter': '1', 'verse': '9', 'word_num': 9, 'word': 'the', 'occurrence': 1}, {'id': 1307018, 'book_id': '1co', 'chapter': '1', 'verse': '9', 'word_num': 10, 'word': 'fellowship', 'occurrence': 1}]","the fellowship",2,"κοινωνίαν = the fellowship",0.2857142857142857,2,0,0
"535336","2co","8","4","9",",1518942,",",1319877,",0,"[{'id': 1518942, 'book_id': '2co', 'chapter': '8', 'verse': '4', 'word_num': 9, 'word': 'κοινωνίαν', 'occurrence': 1, 'strong': 'G28420', 'lemma': 'κοινωνία', 'morph': 'Gr,N,,,,,AFS,'}]","κοινωνίαν",1,0,"[{'id': 1319877, 'book_id': '2co', 'chapter': '8', 'verse': '4', 'word_num': 12, 'word': 'fellowship', 'occurrence': 1}]","fellowship",1,"κοινωνίαν = fellowship",0.5714285714285714,4,0,0
"542988","php","3","10","9",",1526774,",",1330917,1330918,",0,"[{'id': 1526774, 'book_id': 'php', 'chapter': '3', 'verse': '10', 'word_num': 10, 'word': 'κοινωνίαν', 'occurrence': 1, 'strong': 'G28420', 'lemma': 'κοινωνία', 'morph': 'Gr,N,,,,,AFS,'}]","κοινωνίαν",1,1,"[{'id': 1330917, 'book_id': 'php', 'chapter': '3', 'verse': '10', 'word_num': 14, 'word': 'the', 'occurrence': 2}, {'id': 1330918, 'book_id': 'php', 'chapter': '3', 'verse': '10', 'word_num': 15, 'word': 'fellowship', 'occurrence': 1}]","the fellowship",2,"κοινωνίαν = the fellowship",0.2857142857142857,2,0,0
"559966","1jn","1","3","11",",1544532,",",1356102,",0,"[{'id': 1544532, 'book_id': '1jn', 'chapter': '1', 'verse': '3', 'word_num': 10, 'word': 'κοινωνίαν', 'occurrence': 1, 'strong': 'G28420', 'lemma': 'κοινωνία', 'morph': 'Gr,N,,,,,AFS,'}]","κοινωνίαν",1,0,"[{'id': 1356102, 'book_id': '1jn', 'chapter': '1', 'verse': '3', 'word_num': 17, 'word': 'fellowship', 'occurrence': 1}]","fellowship",1,"κοινωνίαν = fellowship",0.5714285714285714,4,0,0
"560015","1jn","1","6","4",",1544589,",",1356166,",0,"[{'id': 1544589, 'book_id': '1jn', 'chapter': '1', 'verse': '6', 'word_num': 3, 'word': 'κοινωνίαν', 'occurrence': 1, 'strong': 'G28420', 'lemma': 'κοινωνία', 'morph': 'Gr,N,,,,,AFS,'}]","κοινωνίαν",1,0,"[{'id': 1356166, 'book_id': '1jn', 'chapter': '1', 'verse': '6', 'word_num': 6, 'word': 'fellowship', 'occurrence': 1}]","fellowship",1,"κοινωνίαν = fellowship",0.5714285714285714,4,0,0
"560042","1jn","1","7","13",",1544616,",",1356197,",0,"[{'id': 1544616, 'book_id': '1jn', 'chapter': '1', 'verse': '7', 'word_num': 12, 'word': 'κοινωνίαν', 'occurrence': 1, 'strong': 'G28420', 'lemma': 'κοινωνία', 'morph': 'Gr,N,,,,,AFS,'}]","κοινωνίαν",1,0,"[{'id': 1356197, 'book_id': '1jn', 'chapter': '1', 'verse': '7', 'word_num': 15, 'word': 'fellowship', 'occurrence': 1}]","fellowship",1,"κοινωνίαν = fellowship",0.5714285714285714,4,0,0
"529911","1co","10","16","7",",1513351,",",1312003,1312004,",0,"[{'id': 1513351, 'book_id': '1co', 'chapter': '10', 'verse': '16', 'word_num': 7, 'word': 'κοινωνία', 'occurrence': 1, 'strong': 'G28420', 'lemma': 'κοινωνία', 'morph': 'Gr,N,,,,,NFS,'}]","κοινωνία",1,1,"[{'id': 1312003, 'book_id': '1co', 'chapter': '10', 'verse': '16', 'word_num': 10, 'word': 'a', 'occurrence': 1}, {'id': 1312004, 'book_id': '1co', 'chapter': '10', 'verse': '16', 'word_num': 11, 'word': 'sharing', 'occurrence': 1}]","a sharing",2,"κοινωνία = a sharing",0.2857142857142857,2,0,0
