"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"469193","luk","1","51","1",",1449885,",",1227744,1227745,",0,"[{'id': 1449885, 'book_id': 'luk', 'chapter': '1', 'verse': '51', 'word_num': 1, 'word': 'κράτος', 'occurrence': 1, 'strong': 'G29040', 'lemma': 'κράτος', 'morph': 'Gr,N,,,,,ANS,'}]","κράτος",1,1,"[{'id': 1227744, 'book_id': 'luk', 'chapter': '1', 'verse': '51', 'word_num': 3, 'word': 'mighty', 'occurrence': 1}, {'id': 1227745, 'book_id': 'luk', 'chapter': '1', 'verse': '51', 'word_num': 4, 'word': 'deeds', 'occurrence': 1}]","mighty deeds",2,"κράτος = mighty deeds",0.1,1,0,0
"514001","act","19","20","10",",1496571,",",1288573,",0,"[{'id': 1496571, 'book_id': 'act', 'chapter': '19', 'verse': '20', 'word_num': 2, 'word': 'κράτος', 'occurrence': 1, 'strong': 'G29040', 'lemma': 'κράτος', 'morph': 'Gr,N,,,,,ANS,'}]","κράτος",1,0,"[{'id': 1288573, 'book_id': 'act', 'chapter': '19', 'verse': '20', 'word_num': 11, 'word': 'power', 'occurrence': 1}]","power",1,"κράτος = power",0.5,5,0,0
"543679","col","1","11","6",",1527496,",",1331964,",0,"[{'id': 1527496, 'book_id': 'col', 'chapter': '1', 'verse': '11', 'word_num': 6, 'word': 'κράτος', 'occurrence': 1, 'strong': 'G29040', 'lemma': 'κράτος', 'morph': 'Gr,N,,,,,ANS,'}]","κράτος",1,0,"[{'id': 1331964, 'book_id': 'col', 'chapter': '1', 'verse': '11', 'word_num': 12, 'word': 'power', 'occurrence': 1}]","power",1,"κράτος = power",0.5,5,0,0
"548698","1ti","6","16","19",",1532712,",",1339053,",0,"[{'id': 1532712, 'book_id': '1ti', 'chapter': '6', 'verse': '16', 'word_num': 17, 'word': 'κράτος', 'occurrence': 1, 'strong': 'G29040', 'lemma': 'κράτος', 'morph': 'Gr,N,,,,,NNS,'}]","κράτος",1,0,"[{'id': 1339053, 'book_id': '1ti', 'chapter': '6', 'verse': '16', 'word_num': 26, 'word': 'power', 'occurrence': 1}]","power",1,"κράτος = power",0.5,5,0,0
"551448","heb","2","14","20",",1535520,",",1342985,",0,"[{'id': 1535520, 'book_id': 'heb', 'chapter': '2', 'verse': '14', 'word_num': 21, 'word': 'κράτος', 'occurrence': 1, 'strong': 'G29040', 'lemma': 'κράτος', 'morph': 'Gr,N,,,,,ANS,'}]","κράτος",1,0,"[{'id': 1342985, 'book_id': 'heb', 'chapter': '2', 'verse': '14', 'word_num': 27, 'word': 'power', 'occurrence': 1}]","power",1,"κράτος = power",0.5,5,0,0
"558590","1pe","4","11","25",",1543028,1543029,",",1353880,",1,"[{'id': 1543028, 'book_id': '1pe', 'chapter': '4', 'verse': '11', 'word_num': 30, 'word': 'τὸ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NNS,'}, {'id': 1543029, 'book_id': '1pe', 'chapter': '4', 'verse': '11', 'word_num': 31, 'word': 'κράτος', 'occurrence': 1, 'strong': 'G29040', 'lemma': 'κράτος', 'morph': 'Gr,N,,,,,NNS,'}]","τὸ κράτος",2,0,"[{'id': 1353880, 'book_id': '1pe', 'chapter': '4', 'verse': '11', 'word_num': 45, 'word': 'power', 'occurrence': 1}]","power",1,"τὸ κράτος = power",0.1,1,0,0
"558836","1pe","5","11","2",",1543326,",",1354319,",0,"[{'id': 1543326, 'book_id': '1pe', 'chapter': '5', 'verse': '11', 'word_num': 2, 'word': 'κράτος', 'occurrence': 1, 'strong': 'G29040', 'lemma': 'κράτος', 'morph': 'Gr,N,,,,,NNS,'}]","κράτος",1,0,"[{'id': 1354319, 'book_id': '1pe', 'chapter': '5', 'verse': '11', 'word_num': 4, 'word': 'dominion', 'occurrence': 1}]","dominion",1,"κράτος = dominion",0.2,2,0,0
"562709","jud","1","25","12",",1547520,",",1359919,",0,"[{'id': 1547520, 'book_id': 'jud', 'chapter': '1', 'verse': '25', 'word_num': 12, 'word': 'κράτος', 'occurrence': 1, 'strong': 'G29040', 'lemma': 'κράτος', 'morph': 'Gr,N,,,,,NNS,'}]","κράτος",1,0,"[{'id': 1359919, 'book_id': 'jud', 'chapter': '1', 'verse': '25', 'word_num': 14, 'word': 'dominion', 'occurrence': 1}]","dominion",1,"κράτος = dominion",0.2,2,0,0
"562843","rev","1","6","14",",1547675,",",1360107,",0,"[{'id': 1547675, 'book_id': 'rev', 'chapter': '1', 'verse': '6', 'word_num': 15, 'word': 'κράτος', 'occurrence': 1, 'strong': 'G29040', 'lemma': 'κράτος', 'morph': 'Gr,N,,,,,NNS,'}]","κράτος",1,0,"[{'id': 1360107, 'book_id': 'rev', 'chapter': '1', 'verse': '6', 'word_num': 19, 'word': 'power', 'occurrence': 1}]","power",1,"κράτος = power",0.5,5,0,0
"564704","rev","5","13","39",",1549761,",",1362747,1362748,1362749,",0,"[{'id': 1549761, 'book_id': 'rev', 'chapter': '5', 'verse': '13', 'word_num': 44, 'word': 'κράτος', 'occurrence': 1, 'strong': 'G29040', 'lemma': 'κράτος', 'morph': 'Gr,N,,,,,NNS,'}]","κράτος",1,2,"[{'id': 1362747, 'book_id': 'rev', 'chapter': '5', 'verse': '13', 'word_num': 49, 'word': 'power', 'occurrence': 1}, {'id': 1362748, 'book_id': 'rev', 'chapter': '5', 'verse': '13', 'word_num': 50, 'word': 'to', 'occurrence': 2}, {'id': 1362749, 'book_id': 'rev', 'chapter': '5', 'verse': '13', 'word_num': 51, 'word': 'rule', 'occurrence': 1}]","power to rule",3,"κράτος = power to rule",0.1,1,0,0
