"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"473064","luk","6","37","2",",1453855,",",1232947,",0,"[{'id': 1453855, 'book_id': 'luk', 'chapter': '6', 'verse': '37', 'word_num': 2, 'word': 'κρίνετε', 'occurrence': 1, 'strong': 'G29190', 'lemma': 'κρίνω', 'morph': 'Gr,V,MPA2,,P,'}]","κρίνετε",1,0,"[{'id': 1232947, 'book_id': 'luk', 'chapter': '6', 'verse': '37', 'word_num': 3, 'word': 'judge', 'occurrence': 1}]","judge",1,"κρίνετε = judge",0.046296296296296294,0,0
"473066","luk","6","37","4",",1453859,",",1232949,1232950,",0,"[{'id': 1453859, 'book_id': 'luk', 'chapter': '6', 'verse': '37', 'word_num': 6, 'word': 'κριθῆτε', 'occurrence': 1, 'strong': 'G29190', 'lemma': 'κρίνω', 'morph': 'Gr,V,SAP2,,P,'}]","κριθῆτε",1,1,"[{'id': 1232949, 'book_id': 'luk', 'chapter': '6', 'verse': '37', 'word_num': 5, 'word': 'you', 'occurrence': 1}, {'id': 1232950, 'book_id': 'luk', 'chapter': '6', 'verse': '37', 'word_num': 6, 'word': 'will', 'occurrence': 1}]","you will",2,"κριθῆτε = you will",0.009259259259259259,0,0
"474128","luk","7","43","13",",1454917,",",1234449,1234450,1234451,",0,"[{'id': 1454917, 'book_id': 'luk', 'chapter': '7', 'verse': '43', 'word_num': 14, 'word': 'ἔκρινας', 'occurrence': 1, 'strong': 'G29190', 'lemma': 'κρίνω', 'morph': 'Gr,V,IAA2,,S,'}]","ἔκρινας",1,2,"[{'id': 1234449, 'book_id': 'luk', 'chapter': '7', 'verse': '43', 'word_num': 20, 'word': 'You', 'occurrence': 1}, {'id': 1234450, 'book_id': 'luk', 'chapter': '7', 'verse': '43', 'word_num': 21, 'word': 'have', 'occurrence': 1}, {'id': 1234451, 'book_id': 'luk', 'chapter': '7', 'verse': '43', 'word_num': 22, 'word': 'judged', 'occurrence': 1}]","You have judged",3,"ἔκρινας = You have judged",0.009259259259259259,0,0
"479121","luk","12","57","3",",1460021,",",1241197,",0,"[{'id': 1460021, 'book_id': 'luk', 'chapter': '12', 'verse': '57', 'word_num': 6, 'word': 'κρίνετε', 'occurrence': 1, 'strong': 'G29190', 'lemma': 'κρίνω', 'morph': 'Gr,V,IPA2,,P,'}]","κρίνετε",1,0,"[{'id': 1241197, 'book_id': 'luk', 'chapter': '12', 'verse': '57', 'word_num': 3, 'word': 'you', 'occurrence': 1}]","you",1,"κρίνετε = you",0.009259259259259259,0,0
"483129","luk","19","22","5",",1464084,",",1246738,1246739,1246740,",0,"[{'id': 1464084, 'book_id': 'luk', 'chapter': '19', 'verse': '22', 'word_num': 6, 'word': 'κρίνω', 'occurrence': 1, 'strong': 'G29190', 'lemma': 'κρίνω', 'morph': 'Gr,V,IFA1,,S,'}]","κρίνω",1,2,"[{'id': 1246738, 'book_id': 'luk', 'chapter': '19', 'verse': '22', 'word_num': 7, 'word': 'I', 'occurrence': 1}, {'id': 1246739, 'book_id': 'luk', 'chapter': '19', 'verse': '22', 'word_num': 8, 'word': 'will', 'occurrence': 1}, {'id': 1246740, 'book_id': 'luk', 'chapter': '19', 'verse': '22', 'word_num': 9, 'word': 'judge', 'occurrence': 1}]","I will judge",3,"κρίνω = I will judge",0.009259259259259259,0,0
"485257","luk","22","30","14",",1466225,",",1249705,",0,"[{'id': 1466225, 'book_id': 'luk', 'chapter': '22', 'verse': '30', 'word_num': 19, 'word': 'κρίνοντες', 'occurrence': 1, 'strong': 'G29190', 'lemma': 'κρίνω', 'morph': 'Gr,V,PPA,NMP,'}]","κρίνοντες",1,0,"[{'id': 1249705, 'book_id': 'luk', 'chapter': '22', 'verse': '30', 'word_num': 19, 'word': 'judging', 'occurrence': 1}]","judging",1,"κρίνοντες = judging",0.009259259259259259,0,0
"488959","jhn","3","17","10",",1470080,",",1254595,",0,"[{'id': 1470080, 'book_id': 'jhn', 'chapter': '3', 'verse': '17', 'word_num': 11, 'word': 'κρίνῃ', 'occurrence': 1, 'strong': 'G29190', 'lemma': 'κρίνω', 'morph': 'Gr,V,SAA3,,S,'}]","κρίνῃ",1,0,"[{'id': 1254595, 'book_id': 'jhn', 'chapter': '3', 'verse': '17', 'word_num': 13, 'word': 'condemn', 'occurrence': 1}]","condemn",1,"κρίνῃ = condemn",0.009259259259259259,0,0
"488972","jhn","3","18","3",",1470095,",",1254612,",0,"[{'id': 1470095, 'book_id': 'jhn', 'chapter': '3', 'verse': '18', 'word_num': 5, 'word': 'κρίνεται', 'occurrence': 1, 'strong': 'G29190', 'lemma': 'κρίνω', 'morph': 'Gr,V,IPP3,,S,'}]","κρίνεται",1,0,"[{'id': 1254612, 'book_id': 'jhn', 'chapter': '3', 'verse': '18', 'word_num': 5, 'word': 'is', 'occurrence': 1}]","is",1,"κρίνεται = is",0.009259259259259259,0,0
"488980","jhn","3","18","11",",1470101,",",1254621,",0,"[{'id': 1470101, 'book_id': 'jhn', 'chapter': '3', 'verse': '18', 'word_num': 11, 'word': 'κέκριται', 'occurrence': 1, 'strong': 'G29190', 'lemma': 'κρίνω', 'morph': 'Gr,V,IEP3,,S,'}]","κέκριται",1,0,"[{'id': 1254621, 'book_id': 'jhn', 'chapter': '3', 'verse': '18', 'word_num': 14, 'word': 'is', 'occurrence': 2}]","is",1,"κέκριται = is",0.009259259259259259,0,0
"490489","jhn","5","22","4",",1471762,",",1256650,",0,"[{'id': 1471762, 'book_id': 'jhn', 'chapter': '5', 'verse': '22', 'word_num': 4, 'word': 'κρίνει', 'occurrence': 1, 'strong': 'G29190', 'lemma': 'κρίνω', 'morph': 'Gr,V,IPA3,,S,'}]","κρίνει",1,0,"[{'id': 1256650, 'book_id': 'jhn', 'chapter': '5', 'verse': '22', 'word_num': 5, 'word': 'judges', 'occurrence': 1}]","judges",1,"κρίνει = judges",0.027777777777777776,0,0
"490633","jhn","5","30","8",",1471917,",",1256851,1256852,",0,"[{'id': 1471917, 'book_id': 'jhn', 'chapter': '5', 'verse': '30', 'word_num': 9, 'word': 'κρίνω', 'occurrence': 1, 'strong': 'G29190', 'lemma': 'κρίνω', 'morph': 'Gr,V,IPA1,,S,'}]","κρίνω",1,1,"[{'id': 1256851, 'book_id': 'jhn', 'chapter': '5', 'verse': '30', 'word_num': 9, 'word': 'I', 'occurrence': 3}, {'id': 1256852, 'book_id': 'jhn', 'chapter': '5', 'verse': '30', 'word_num': 10, 'word': 'judge', 'occurrence': 1}]","I judge",2,"κρίνω = I judge",0.009259259259259259,0,0
"492388","jhn","7","24","1",",1473817,",",1259181,",0,"[{'id': 1473817, 'book_id': 'jhn', 'chapter': '7', 'verse': '24', 'word_num': 1, 'word': 'κρίνετε', 'occurrence': 1, 'strong': 'G29190', 'lemma': 'κρίνω', 'morph': 'Gr,V,MPA2,,P,'}]","κρίνετε",1,0,"[{'id': 1259181, 'book_id': 'jhn', 'chapter': '7', 'verse': '24', 'word_num': 2, 'word': 'judge', 'occurrence': 1}]","judge",1,"κρίνετε = judge",0.046296296296296294,0,0
"492392","jhn","7","24","5",",1473824,",",1259186,",0,"[{'id': 1473824, 'book_id': 'jhn', 'chapter': '7', 'verse': '24', 'word_num': 8, 'word': 'κρίνετε', 'occurrence': 2, 'strong': 'G29190', 'lemma': 'κρίνω', 'morph': 'Gr,V,MPA2,,P,'}]","κρίνετε",1,0,"[{'id': 1259186, 'book_id': 'jhn', 'chapter': '7', 'verse': '24', 'word_num': 7, 'word': 'judge', 'occurrence': 2}]","judge",1,"κρίνετε = judge",0.046296296296296294,0,0
