"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"476686","luk","10","14","8",",1457517,",",1237836,",0,"[{'id': 1457517, 'book_id': 'luk', 'chapter': '10', 'verse': '14', 'word_num': 8, 'word': 'κρίσει', 'occurrence': 1, 'strong': 'G29200', 'lemma': 'κρίσις', 'morph': 'Gr,N,,,,,DFS,'}]","κρίσει",1,0,"[{'id': 1237836, 'book_id': 'luk', 'chapter': '10', 'verse': '14', 'word_num': 12, 'word': 'judgment', 'occurrence': 1}]","judgment",1,"κρίσει = judgment",0.08571428571428572,0,0
"477724","luk","11","31","5",",1458592,",",1239268,",0,"[{'id': 1458592, 'book_id': 'luk', 'chapter': '11', 'verse': '31', 'word_num': 5, 'word': 'κρίσει', 'occurrence': 1, 'strong': 'G29200', 'lemma': 'κρίσις', 'morph': 'Gr,N,,,,,DFS,'}]","κρίσει",1,0,"[{'id': 1239268, 'book_id': 'luk', 'chapter': '11', 'verse': '31', 'word_num': 10, 'word': 'judgment', 'occurrence': 1}]","judgment",1,"κρίσει = judgment",0.08571428571428572,0,0
"477756","luk","11","32","5",",1458623,",",1239310,",0,"[{'id': 1458623, 'book_id': 'luk', 'chapter': '11', 'verse': '32', 'word_num': 5, 'word': 'κρίσει', 'occurrence': 1, 'strong': 'G29200', 'lemma': 'κρίσις', 'morph': 'Gr,N,,,,,DFS,'}]","κρίσει",1,0,"[{'id': 1239310, 'book_id': 'luk', 'chapter': '11', 'verse': '32', 'word_num': 9, 'word': 'judgment', 'occurrence': 1}]","judgment",1,"κρίσει = judgment",0.08571428571428572,0,0
"477946","luk","11","42","17",",1458816,",",1239563,",0,"[{'id': 1458816, 'book_id': 'luk', 'chapter': '11', 'verse': '42', 'word_num': 18, 'word': 'κρίσιν', 'occurrence': 1, 'strong': 'G29200', 'lemma': 'κρίσις', 'morph': 'Gr,N,,,,,AFS,'}]","κρίσιν",1,0,"[{'id': 1239563, 'book_id': 'luk', 'chapter': '11', 'verse': '42', 'word_num': 21, 'word': 'justice', 'occurrence': 1}]","justice",1,"κρίσιν = justice",0.02857142857142857,0,0
"488999","jhn","3","19","5",",1470117,",",1254646,",0,"[{'id': 1470117, 'book_id': 'jhn', 'chapter': '3', 'verse': '19', 'word_num': 4, 'word': 'κρίσις', 'occurrence': 1, 'strong': 'G29200', 'lemma': 'κρίσις', 'morph': 'Gr,N,,,,,NFS,'}]","κρίσις",1,0,"[{'id': 1254646, 'book_id': 'jhn', 'chapter': '3', 'verse': '19', 'word_num': 7, 'word': 'judgment', 'occurrence': 1}]","judgment",1,"κρίσις = judgment",0.02857142857142857,0,0
"490494","jhn","5","22","9",",1471765,1471766,",",1256657,",1,"[{'id': 1471765, 'book_id': 'jhn', 'chapter': '5', 'verse': '22', 'word_num': 7, 'word': 'τὴν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AFS,'}, {'id': 1471766, 'book_id': 'jhn', 'chapter': '5', 'verse': '22', 'word_num': 8, 'word': 'κρίσιν', 'occurrence': 1, 'strong': 'G29200', 'lemma': 'κρίσις', 'morph': 'Gr,N,,,,,AFS,'}]","τὴν κρίσιν",2,0,"[{'id': 1256657, 'book_id': 'jhn', 'chapter': '5', 'verse': '22', 'word_num': 12, 'word': 'judgment', 'occurrence': 1}]","judgment",1,"τὴν κρίσιν = judgment",0.02857142857142857,0,0
"490538","jhn","5","24","20",",1471812,",",1256715,",0,"[{'id': 1471812, 'book_id': 'jhn', 'chapter': '5', 'verse': '24', 'word_num': 20, 'word': 'κρίσιν', 'occurrence': 1, 'strong': 'G29200', 'lemma': 'κρίσις', 'morph': 'Gr,N,,,,,AFS,'}]","κρίσιν",1,0,"[{'id': 1256715, 'book_id': 'jhn', 'chapter': '5', 'verse': '24', 'word_num': 25, 'word': 'judgment', 'occurrence': 1}]","judgment",1,"κρίσιν = judgment",0.14285714285714285,0,0
"490588","jhn","5","27","5",",1471868,",",1256786,",0,"[{'id': 1471868, 'book_id': 'jhn', 'chapter': '5', 'verse': '27', 'word_num': 4, 'word': 'κρίσιν', 'occurrence': 1, 'strong': 'G29200', 'lemma': 'κρίσις', 'morph': 'Gr,N,,,,,AFS,'}]","κρίσιν",1,0,"[{'id': 1256786, 'book_id': 'jhn', 'chapter': '5', 'verse': '27', 'word_num': 10, 'word': 'judgment', 'occurrence': 1}]","judgment",1,"κρίσιν = judgment",0.14285714285714285,0,0
"490624","jhn","5","29","15",",1471907,",",1256840,1256841,",0,"[{'id': 1471907, 'book_id': 'jhn', 'chapter': '5', 'verse': '29', 'word_num': 16, 'word': 'κρίσεως', 'occurrence': 1, 'strong': 'G29200', 'lemma': 'κρίσις', 'morph': 'Gr,N,,,,,GFS,'}]","κρίσεως",1,1,"[{'id': 1256840, 'book_id': 'jhn', 'chapter': '5', 'verse': '29', 'word_num': 23, 'word': 'of', 'occurrence': 2}, {'id': 1256841, 'book_id': 'jhn', 'chapter': '5', 'verse': '29', 'word_num': 24, 'word': 'judgment', 'occurrence': 1}]","of judgment",2,"κρίσεως = of judgment",0.11428571428571428,0,0
"490636","jhn","5","30","11",",1471919,1471920,",",1256855,",1,"[{'id': 1471919, 'book_id': 'jhn', 'chapter': '5', 'verse': '30', 'word_num': 11, 'word': 'ἡ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NFS,'}, {'id': 1471920, 'book_id': 'jhn', 'chapter': '5', 'verse': '30', 'word_num': 12, 'word': 'κρίσις', 'occurrence': 1, 'strong': 'G29200', 'lemma': 'κρίσις', 'morph': 'Gr,N,,,,,NFS,'}]","ἡ κρίσις",2,0,"[{'id': 1256855, 'book_id': 'jhn', 'chapter': '5', 'verse': '30', 'word_num': 13, 'word': 'judgment', 'occurrence': 1}]","judgment",1,"ἡ κρίσις = judgment",0.08571428571428572,0,0
