"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"469471","luk","1","74","0",",1450185,",",1228128,1228129,",0,"[{'id': 1450185, 'book_id': 'luk', 'chapter': '1', 'verse': '74', 'word_num': 5, 'word': 'λατρεύειν', 'occurrence': 1, 'strong': 'G30000', 'lemma': 'λατρεύω', 'morph': 'Gr,V,NPA,,,,,'}]","λατρεύειν",1,1,"[{'id': 1228128, 'book_id': 'luk', 'chapter': '1', 'verse': '74', 'word_num': 0, 'word': 'to', 'occurrence': 1}, {'id': 1228129, 'book_id': 'luk', 'chapter': '1', 'verse': '74', 'word_num': 1, 'word': 'serve', 'occurrence': 1}]","to serve",2,"λατρεύειν = to serve",0.3333333333333333,1,0,0
"506171","act","7","42","7",",1488526,",",1278035,1278036,",0,"[{'id': 1488526, 'book_id': 'act', 'chapter': '7', 'verse': '42', 'word_num': 7, 'word': 'λατρεύειν', 'occurrence': 1, 'strong': 'G30000', 'lemma': 'λατρεύω', 'morph': 'Gr,V,NPA,,,,,'}]","λατρεύειν",1,1,"[{'id': 1278035, 'book_id': 'act', 'chapter': '7', 'verse': '42', 'word_num': 7, 'word': 'to', 'occurrence': 1}, {'id': 1278036, 'book_id': 'act', 'chapter': '7', 'verse': '42', 'word_num': 8, 'word': 'worship', 'occurrence': 1}]","to worship",2,"λατρεύειν = to worship",0.3333333333333333,1,0,0
"553503","heb","9","14","22",",1537677,1537678,",",1346061,",1,"[{'id': 1537677, 'book_id': 'heb', 'chapter': '9', 'verse': '14', 'word_num': 23, 'word': 'τὸ', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RD,,,,ANS,'}, {'id': 1537678, 'book_id': 'heb', 'chapter': '9', 'verse': '14', 'word_num': 24, 'word': 'λατρεύειν', 'occurrence': 1, 'strong': 'G30000', 'lemma': 'λατρεύω', 'morph': 'Gr,V,NPA,,,,,'}]","τὸ λατρεύειν",2,0,"[{'id': 1346061, 'book_id': 'heb', 'chapter': '9', 'verse': '14', 'word_num': 26, 'word': 'serve', 'occurrence': 1}]","serve",1,"τὸ λατρεύειν = serve",0.3333333333333333,1,0,0
"470126","luk","2","37","11",",1450869,",",1229043,",0,"[{'id': 1450869, 'book_id': 'luk', 'chapter': '2', 'verse': '37', 'word_num': 15, 'word': 'λατρεύουσα', 'occurrence': 1, 'strong': 'G30000', 'lemma': 'λατρεύω', 'morph': 'Gr,V,PPA,NFS,'}]","λατρεύουσα",1,0,"[{'id': 1229043, 'book_id': 'luk', 'chapter': '2', 'verse': '37', 'word_num': 13, 'word': 'serving', 'occurrence': 1}]","serving",1,"λατρεύουσα = serving",1.0,1,0,0
"471079","luk","4","8","11",",1451830,",",1230278,1230279,1230280,",0,"[{'id': 1451830, 'book_id': 'luk', 'chapter': '4', 'verse': '8', 'word_num': 15, 'word': 'λατρεύσεις', 'occurrence': 1, 'strong': 'G30000', 'lemma': 'λατρεύω', 'morph': 'Gr,V,IFA2,,S,'}]","λατρεύσεις",1,2,"[{'id': 1230278, 'book_id': 'luk', 'chapter': '4', 'verse': '8', 'word_num': 17, 'word': 'you', 'occurrence': 1}, {'id': 1230279, 'book_id': 'luk', 'chapter': '4', 'verse': '8', 'word_num': 18, 'word': 'will', 'occurrence': 2}, {'id': 1230280, 'book_id': 'luk', 'chapter': '4', 'verse': '8', 'word_num': 19, 'word': 'serve', 'occurrence': 1}]","you will serve",3,"λατρεύσεις = you will serve",1.0,1,0,0
"505547","act","7","7","14",",1487880,",",1277190,",0,"[{'id': 1487880, 'book_id': 'act', 'chapter': '7', 'verse': '7', 'word_num': 16, 'word': 'λατρεύσουσίν', 'occurrence': 1, 'strong': 'G30000', 'lemma': 'λατρεύω', 'morph': 'Gr,V,IFA3,,P,'}]","λατρεύσουσίν",1,0,"[{'id': 1277190, 'book_id': 'act', 'chapter': '7', 'verse': '7', 'word_num': 19, 'word': 'worship', 'occurrence': 1}]","worship",1,"λατρεύσουσίν = worship",1.0,1,0,0
"517222","act","24","14","12",",1499892,",",1293031,1293032,",0,"[{'id': 1499892, 'book_id': 'act', 'chapter': '24', 'verse': '14', 'word_num': 12, 'word': 'λατρεύω', 'occurrence': 1, 'strong': 'G30000', 'lemma': 'λατρεύω', 'morph': 'Gr,V,IPA1,,S,'}]","λατρεύω",1,1,"[{'id': 1293031, 'book_id': 'act', 'chapter': '24', 'verse': '14', 'word_num': 20, 'word': 'I', 'occurrence': 2}, {'id': 1293032, 'book_id': 'act', 'chapter': '24', 'verse': '14', 'word_num': 21, 'word': 'serve', 'occurrence': 1}]","I serve",2,"λατρεύω = I serve",0.75,3,0,0
"518958","act","27","23","11",",1501660,",",1295507,1295508,",0,"[{'id': 1501660, 'book_id': 'act', 'chapter': '27', 'verse': '23', 'word_num': 12, 'word': 'λατρεύω', 'occurrence': 1, 'strong': 'G30000', 'lemma': 'λατρεύω', 'morph': 'Gr,V,IPA1,,S,'}]","λατρεύω",1,1,"[{'id': 1295507, 'book_id': 'act', 'chapter': '27', 'verse': '23', 'word_num': 14, 'word': 'I', 'occurrence': 2}, {'id': 1295508, 'book_id': 'act', 'chapter': '27', 'verse': '23', 'word_num': 15, 'word': 'worship', 'occurrence': 1}]","I worship",2,"λατρεύω = I worship",0.25,1,0,0
"520017","rom","1","9","6",",1502750,",",1296986,1296987,",0,"[{'id': 1502750, 'book_id': 'rom', 'chapter': '1', 'verse': '9', 'word_num': 7, 'word': 'λατρεύω', 'occurrence': 1, 'strong': 'G30000', 'lemma': 'λατρεύω', 'morph': 'Gr,V,IPA1,,S,'}]","λατρεύω",1,1,"[{'id': 1296986, 'book_id': 'rom', 'chapter': '1', 'verse': '9', 'word_num': 6, 'word': 'I', 'occurrence': 1}, {'id': 1296987, 'book_id': 'rom', 'chapter': '1', 'verse': '9', 'word_num': 7, 'word': 'serve', 'occurrence': 1}]","I serve",2,"λατρεύω = I serve",0.75,3,0,0
"548800","2ti","1","3","4",",1532818,",",1339209,1339210,",0,"[{'id': 1532818, 'book_id': '2ti', 'chapter': '1', 'verse': '3', 'word_num': 5, 'word': 'λατρεύω', 'occurrence': 1, 'strong': 'G30000', 'lemma': 'λατρεύω', 'morph': 'Gr,V,IPA1,,S,'}]","λατρεύω",1,1,"[{'id': 1339209, 'book_id': '2ti', 'chapter': '1', 'verse': '3', 'word_num': 6, 'word': 'I', 'occurrence': 2}, {'id': 1339210, 'book_id': '2ti', 'chapter': '1', 'verse': '3', 'word_num': 7, 'word': 'serve', 'occurrence': 1}]","I serve",2,"λατρεύω = I serve",0.75,3,0,0
"518103","act","26","7","6",",1500790,",",1294285,1294286,",0,"[{'id': 1500790, 'book_id': 'act', 'chapter': '26', 'verse': '7', 'word_num': 10, 'word': 'λατρεῦον', 'occurrence': 1, 'strong': 'G30000', 'lemma': 'λατρεύω', 'morph': 'Gr,V,PPA,NNS,'}]","λατρεῦον",1,1,"[{'id': 1294285, 'book_id': 'act', 'chapter': '26', 'verse': '7', 'word_num': 8, 'word': 'as', 'occurrence': 1}, {'id': 1294286, 'book_id': 'act', 'chapter': '26', 'verse': '7', 'word_num': 9, 'word': 'they', 'occurrence': 1}]","as they",2,"λατρεῦον = as they",1.0,1,0,0
"520278","rom","1","25","10",",1503033,",",1297386,",0,"[{'id': 1503033, 'book_id': 'rom', 'chapter': '1', 'verse': '25', 'word_num': 12, 'word': 'ἐλάτρευσαν', 'occurrence': 1, 'strong': 'G30000', 'lemma': 'λατρεύω', 'morph': 'Gr,V,IAA3,,P,'}]","ἐλάτρευσαν",1,0,"[{'id': 1297386, 'book_id': 'rom', 'chapter': '1', 'verse': '25', 'word_num': 16, 'word': 'served', 'occurrence': 1}]","served",1,"ἐλάτρευσαν = served",1.0,1,0,0
"542868","php","3","3","7",",1526651,",",1330723,",0,"[{'id': 1526651, 'book_id': 'php', 'chapter': '3', 'verse': '3', 'word_num': 8, 'word': 'λατρεύοντες', 'occurrence': 1, 'strong': 'G30000', 'lemma': 'λατρεύω', 'morph': 'Gr,V,PPA,NMP,'}]","λατρεύοντες",1,0,"[{'id': 1330723, 'book_id': 'php', 'chapter': '3', 'verse': '3', 'word_num': 11, 'word': 'worship', 'occurrence': 1}]","worship",1,"λατρεύοντες = worship",0.5,1,0,0
"555464","heb","13","10","5",",1539719,",",1349107,1349108,",0,"[{'id': 1539719, 'book_id': 'heb', 'chapter': '13', 'verse': '10', 'word_num': 11, 'word': 'λατρεύοντες', 'occurrence': 1, 'strong': 'G30000', 'lemma': 'λατρεύω', 'morph': 'Gr,V,PPA,NMP,'}]","λατρεύοντες",1,1,"[{'id': 1349107, 'book_id': 'heb', 'chapter': '13', 'verse': '10', 'word_num': 7, 'word': 'who', 'occurrence': 1}, {'id': 1349108, 'book_id': 'heb', 'chapter': '13', 'verse': '10', 'word_num': 8, 'word': 'serve', 'occurrence': 1}]","who serve",2,"λατρεύοντες = who serve",0.5,1,0,0
"553060","heb","8","5","1",",1537215,",",1345408,",0,"[{'id': 1537215, 'book_id': 'heb', 'chapter': '8', 'verse': '5', 'word_num': 4, 'word': 'λατρεύουσιν', 'occurrence': 1, 'strong': 'G30000', 'lemma': 'λατρεύω', 'morph': 'Gr,V,IPA3,,P,'}]","λατρεύουσιν",1,0,"[{'id': 1345408, 'book_id': 'heb', 'chapter': '8', 'verse': '5', 'word_num': 1, 'word': 'serve', 'occurrence': 1}]","serve",1,"λατρεύουσιν = serve",0.5,1,0,0
"565415","rev","7","15","8",",1550533,",",1363731,1363732,",0,"[{'id': 1550533, 'book_id': 'rev', 'chapter': '7', 'verse': '15', 'word_num': 9, 'word': 'λατρεύουσιν', 'occurrence': 1, 'strong': 'G30000', 'lemma': 'λατρεύω', 'morph': 'Gr,V,IPA3,,P,'}]","λατρεύουσιν",1,1,"[{'id': 1363731, 'book_id': 'rev', 'chapter': '7', 'verse': '15', 'word_num': 11, 'word': 'they', 'occurrence': 2}, {'id': 1363732, 'book_id': 'rev', 'chapter': '7', 'verse': '15', 'word_num': 12, 'word': 'worship', 'occurrence': 1}]","they worship",2,"λατρεύουσιν = they worship",0.5,1,0,0
"553407","heb","9","9","18",",1537580,",",1345911,1345912,",0,"[{'id': 1537580, 'book_id': 'heb', 'chapter': '9', 'verse': '9', 'word_num': 20, 'word': 'λατρεύοντα', 'occurrence': 1, 'strong': 'G30000', 'lemma': 'λατρεύω', 'morph': 'Gr,V,PPA,AMS,'}]","λατρεύοντα",1,0,"[{'id': 1345911, 'book_id': 'heb', 'chapter': '9', 'verse': '9', 'word_num': 23, 'word': 'worshiper', 'occurrence': 1}, {'id': 1345912, 'book_id': 'heb', 'chapter': '9', 'verse': '9', 'word_num': 24, 'word': 's', 'occurrence': 1}]","worshiper's",1,"λατρεύοντα = worshiper's",1.0,1,0,0
"553780","heb","10","2","7",",1537968,",",1346503,",0,"[{'id': 1537968, 'book_id': 'heb', 'chapter': '10', 'verse': '2', 'word_num': 13, 'word': 'λατρεύοντας', 'occurrence': 1, 'strong': 'G30000', 'lemma': 'λατρεύω', 'morph': 'Gr,V,PPA,AMP,'}]","λατρεύοντας",1,0,"[{'id': 1346503, 'book_id': 'heb', 'chapter': '10', 'verse': '2', 'word_num': 12, 'word': 'worshipers', 'occurrence': 1}]","worshipers",1,"λατρεύοντας = worshipers",1.0,1,0,0
"555325","heb","12","28","9",",1539567,",",1348896,1348897,1348898,",0,"[{'id': 1539567, 'book_id': 'heb', 'chapter': '12', 'verse': '28', 'word_num': 8, 'word': 'λατρεύωμεν', 'occurrence': 1, 'strong': 'G30000', 'lemma': 'λατρεύω', 'morph': 'Gr,V,SPA1,,P,'}]","λατρεύωμεν",1,2,"[{'id': 1348896, 'book_id': 'heb', 'chapter': '12', 'verse': '28', 'word_num': 14, 'word': 'we', 'occurrence': 2}, {'id': 1348897, 'book_id': 'heb', 'chapter': '12', 'verse': '28', 'word_num': 15, 'word': 'may', 'occurrence': 1}, {'id': 1348898, 'book_id': 'heb', 'chapter': '12', 'verse': '28', 'word_num': 16, 'word': 'worship', 'occurrence': 1}]","we may worship",3,"λατρεύωμεν = we may worship",1.0,1,0,0
"571197","rev","22","3","19",",1556979,",",1371508,1371509,",0,"[{'id': 1556979, 'book_id': 'rev', 'chapter': '22', 'verse': '3', 'word_num': 21, 'word': 'λατρεύσουσιν', 'occurrence': 1, 'strong': 'G30000', 'lemma': 'λατρεύω', 'morph': 'Gr,V,IFA3,,P,'}]","λατρεύσουσιν",1,1,"[{'id': 1371508, 'book_id': 'rev', 'chapter': '22', 'verse': '3', 'word_num': 24, 'word': 'will', 'occurrence': 3}, {'id': 1371509, 'book_id': 'rev', 'chapter': '22', 'verse': '3', 'word_num': 25, 'word': 'serve', 'occurrence': 1}]","will serve",2,"λατρεύσουσιν = will serve",1.0,1,0,0
