"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"462070","mrk","7","6","14",",1442021,1442022,",",1217282,",1,"[{'id': 1442021, 'book_id': 'mrk', 'chapter': '7', 'verse': '6', 'word_num': 17, 'word': 'ὁ', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NMS,'}, {'id': 1442022, 'book_id': 'mrk', 'chapter': '7', 'verse': '6', 'word_num': 18, 'word': 'λαὸς', 'occurrence': 1, 'strong': 'G29920', 'lemma': 'λαός', 'morph': 'Gr,N,,,,,NMS,'}]","ὁ λαὸς",2,0,"[{'id': 1217282, 'book_id': 'mrk', 'chapter': '7', 'verse': '6', 'word_num': 18, 'word': 'people', 'occurrence': 1}]","people",1,"ὁ λαὸς = people",0.007874015748031496,0,0
"466579","mrk","14","2","12",",1446939,",",1223723,",0,"[{'id': 1446939, 'book_id': 'mrk', 'chapter': '14', 'verse': '2', 'word_num': 10, 'word': 'λαοῦ', 'occurrence': 1, 'strong': 'G29920', 'lemma': 'λαός', 'morph': 'Gr,N,,,,,GMS,'}]","λαοῦ",1,0,"[{'id': 1223723, 'book_id': 'mrk', 'chapter': '14', 'verse': '2', 'word_num': 18, 'word': 'people', 'occurrence': 1}]","people",1,"λαοῦ = people",0.15748031496062992,0,0
"468550","luk","1","10","4",",1449220,",",1226861,",0,"[{'id': 1449220, 'book_id': 'luk', 'chapter': '1', 'verse': '10', 'word_num': 6, 'word': 'λαοῦ', 'occurrence': 1, 'strong': 'G29920', 'lemma': 'λαός', 'morph': 'Gr,N,,,,,GMS,'}]","λαοῦ",1,0,"[{'id': 1226861, 'book_id': 'luk', 'chapter': '1', 'verse': '10', 'word_num': 4, 'word': 'of', 'occurrence': 1}]","of",1,"λαοῦ = of",0.06299212598425197,0,0
"468681","luk","1","17","24",",1449344,",",1227045,1227046,",0,"[{'id': 1449344, 'book_id': 'luk', 'chapter': '1', 'verse': '17', 'word_num': 22, 'word': 'λαὸν', 'occurrence': 1, 'strong': 'G29920', 'lemma': 'λαός', 'morph': 'Gr,N,,,,,AMS,'}]","λαὸν",1,1,"[{'id': 1227045, 'book_id': 'luk', 'chapter': '1', 'verse': '17', 'word_num': 39, 'word': 'a', 'occurrence': 1}, {'id': 1227046, 'book_id': 'luk', 'chapter': '1', 'verse': '17', 'word_num': 40, 'word': 'people', 'occurrence': 1}]","a people",2,"λαὸν = a people",0.023622047244094488,0,0
"468753","luk","1","21","2",",1449421,",",1227143,",0,"[{'id': 1449421, 'book_id': 'luk', 'chapter': '1', 'verse': '21', 'word_num': 3, 'word': 'λαὸς', 'occurrence': 1, 'strong': 'G29920', 'lemma': 'λαός', 'morph': 'Gr,N,,,,,NMS,'}]","λαὸς",1,0,"[{'id': 1227143, 'book_id': 'luk', 'chapter': '1', 'verse': '21', 'word_num': 2, 'word': 'people', 'occurrence': 1}]","people",1,"λαὸς = people",0.09448818897637795,0,0
"469419","luk","1","68","13",",1450125,",",1228058,",0,"[{'id': 1450125, 'book_id': 'luk', 'chapter': '1', 'verse': '68', 'word_num': 12, 'word': 'λαῷ', 'occurrence': 1, 'strong': 'G29920', 'lemma': 'λαός', 'morph': 'Gr,N,,,,,DMS,'}]","λαῷ",1,0,"[{'id': 1228058, 'book_id': 'luk', 'chapter': '1', 'verse': '68', 'word_num': 18, 'word': 'people', 'occurrence': 1}]","people",1,"λαῷ = people",0.08661417322834646,0,0
"469507","luk","1","77","5",",1450216,",",1228187,",0,"[{'id': 1450216, 'book_id': 'luk', 'chapter': '1', 'verse': '77', 'word_num': 5, 'word': 'λαῷ', 'occurrence': 1, 'strong': 'G29920', 'lemma': 'λαός', 'morph': 'Gr,N,,,,,DMS,'}]","λαῷ",1,0,"[{'id': 1228187, 'book_id': 'luk', 'chapter': '1', 'verse': '77', 'word_num': 8, 'word': 'people', 'occurrence': 1}]","people",1,"λαῷ = people",0.08661417322834646,0,0
"469703","luk","2","10","19",",1450422,",",1228466,",0,"[{'id': 1450422, 'book_id': 'luk', 'chapter': '2', 'verse': '10', 'word_num': 17, 'word': 'λαῷ', 'occurrence': 1, 'strong': 'G29920', 'lemma': 'λαός', 'morph': 'Gr,N,,,,,DMS,'}]","λαῷ",1,0,"[{'id': 1228466, 'book_id': 'luk', 'chapter': '2', 'verse': '10', 'word_num': 26, 'word': 'people', 'occurrence': 1}]","people",1,"λαῷ = people",0.08661417322834646,0,0
"470030","luk","2","31","7",",1450766,",",1228919,",0,"[{'id': 1450766, 'book_id': 'luk', 'chapter': '2', 'verse': '31', 'word_num': 6, 'word': 'λαῶν', 'occurrence': 1, 'strong': 'G29920', 'lemma': 'λαός', 'morph': 'Gr,N,,,,,GMP,'}]","λαῶν",1,0,"[{'id': 1228919, 'book_id': 'luk', 'chapter': '2', 'verse': '31', 'word_num': 10, 'word': 'peoples', 'occurrence': 1}]","peoples",1,"λαῶν = peoples",0.007874015748031496,0,0
"470037","luk","2","32","6",",1450773,",",1228929,",0,"[{'id': 1450773, 'book_id': 'luk', 'chapter': '2', 'verse': '32', 'word_num': 6, 'word': 'λαοῦ', 'occurrence': 1, 'strong': 'G29920', 'lemma': 'λαός', 'morph': 'Gr,N,,,,,GMS,'}]","λαοῦ",1,0,"[{'id': 1228929, 'book_id': 'luk', 'chapter': '2', 'verse': '32', 'word_num': 9, 'word': 'to', 'occurrence': 2}]","to",1,"λαοῦ = to",0.007874015748031496,0,0
