"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"467514","mrk","14","63","13",",1447937,",",1225053,1225054,",0,"[{'id': 1447937, 'book_id': 'mrk', 'chapter': '14', 'verse': '63', 'word_num': 12, 'word': 'μαρτύρων', 'occurrence': 1, 'strong': 'G31440', 'lemma': 'μάρτυρος', 'morph': 'Gr,N,,,,,GMP,'}]","μαρτύρων",1,1,"[{'id': 1225053, 'book_id': 'mrk', 'chapter': '14', 'verse': '63', 'word_num': 15, 'word': 'for', 'occurrence': 1}, {'id': 1225054, 'book_id': 'mrk', 'chapter': '14', 'verse': '63', 'word_num': 16, 'word': 'witnesses', 'occurrence': 1}]","for witnesses",2,"μαρτύρων = for witnesses",0.14285714285714285,1,0,0
"537171","2co","13","1","13",",1520811,",",1322620,",0,"[{'id': 1520811, 'book_id': '2co', 'chapter': '13', 'verse': '1', 'word_num': 8, 'word': 'μαρτύρων', 'occurrence': 1, 'strong': 'G31440', 'lemma': 'μάρτυρος', 'morph': 'Gr,N,,,,,GMP,'}]","μαρτύρων",1,0,"[{'id': 1322620, 'book_id': '2co', 'chapter': '13', 'verse': '1', 'word_num': 23, 'word': 'witnesses', 'occurrence': 1}]","witnesses",1,"μαρτύρων = witnesses",0.7142857142857143,5,0,0
"548343","1ti","5","19","10",",1532357,",",1338570,",0,"[{'id': 1532357, 'book_id': '1ti', 'chapter': '5', 'verse': '19', 'word_num': 12, 'word': 'μαρτύρων', 'occurrence': 1, 'strong': 'G31440', 'lemma': 'μάρτυρος', 'morph': 'Gr,N,,,,,GMP,'}]","μαρτύρων",1,0,"[{'id': 1338570, 'book_id': '1ti', 'chapter': '5', 'verse': '19', 'word_num': 14, 'word': 'witnesses', 'occurrence': 1}]","witnesses",1,"μαρτύρων = witnesses",0.7142857142857143,5,0,0
"548628","1ti","6","12","22",",1532643,",",1338966,",0,"[{'id': 1532643, 'book_id': '1ti', 'chapter': '6', 'verse': '12', 'word_num': 20, 'word': 'μαρτύρων', 'occurrence': 1, 'strong': 'G31440', 'lemma': 'μάρτυρος', 'morph': 'Gr,N,,,,,GMP,'}]","μαρτύρων",1,0,"[{'id': 1338966, 'book_id': '1ti', 'chapter': '6', 'verse': '12', 'word_num': 28, 'word': 'witnesses', 'occurrence': 1}]","witnesses",1,"μαρτύρων = witnesses",0.7142857142857143,5,0,0
"549101","2ti","2","2","7",",1533120,",",1339611,",0,"[{'id': 1533120, 'book_id': '2ti', 'chapter': '2', 'verse': '2', 'word_num': 7, 'word': 'μαρτύρων', 'occurrence': 1, 'strong': 'G31440', 'lemma': 'μάρτυρος', 'morph': 'Gr,N,,,,,GMP,'}]","μαρτύρων",1,0,"[{'id': 1339611, 'book_id': '2ti', 'chapter': '2', 'verse': '2', 'word_num': 10, 'word': 'witnesses', 'occurrence': 1}]","witnesses",1,"μαρτύρων = witnesses",0.7142857142857143,5,0,0
"554881","heb","12","1","6",",1539117,",",1348221,1348222,",0,"[{'id': 1539117, 'book_id': 'heb', 'chapter': '12', 'verse': '1', 'word_num': 8, 'word': 'μαρτύρων', 'occurrence': 1, 'strong': 'G31440', 'lemma': 'μάρτυρος', 'morph': 'Gr,N,,,,,GMP,'}]","μαρτύρων",1,1,"[{'id': 1348221, 'book_id': 'heb', 'chapter': '12', 'verse': '1', 'word_num': 8, 'word': 'of', 'occurrence': 1}, {'id': 1348222, 'book_id': 'heb', 'chapter': '12', 'verse': '1', 'word_num': 9, 'word': 'witnesses', 'occurrence': 1}]","of witnesses",2,"μαρτύρων = of witnesses",0.14285714285714285,1,0,0
"568944","rev","17","6","14",",1554451,",",1368455,",0,"[{'id': 1554451, 'book_id': 'rev', 'chapter': '17', 'verse': '6', 'word_num': 15, 'word': 'μαρτύρων', 'occurrence': 1, 'strong': 'G31440', 'lemma': 'μάρτυρος', 'morph': 'Gr,N,,,,,GMP,'}]","μαρτύρων",1,0,"[{'id': 1368455, 'book_id': 'rev', 'chapter': '17', 'verse': '6', 'word_num': 19, 'word': 'witnesses', 'occurrence': 1}]","witnesses",1,"μαρτύρων = witnesses",0.7142857142857143,5,0,0
"487466","luk","24","48","1",",1468457,",",1252617,",0,"[{'id': 1468457, 'book_id': 'luk', 'chapter': '24', 'verse': '48', 'word_num': 1, 'word': 'μάρτυρες', 'occurrence': 1, 'strong': 'G31440', 'lemma': 'μάρτυρος', 'morph': 'Gr,N,,,,,NMP,'}]","μάρτυρες",1,0,"[{'id': 1252617, 'book_id': 'luk', 'chapter': '24', 'verse': '48', 'word_num': 2, 'word': 'witnesses', 'occurrence': 1}]","witnesses",1,"μάρτυρες = witnesses",0.75,6,0,0
"502082","act","1","8","13",",1484291,",",1272600,1272601,",0,"[{'id': 1484291, 'book_id': 'act', 'chapter': '1', 'verse': '8', 'word_num': 12, 'word': 'μάρτυρες', 'occurrence': 1, 'strong': 'G31440', 'lemma': 'μάρτυρος', 'morph': 'Gr,N,,,,,NMP,'}]","μάρτυρες",1,1,"[{'id': 1272600, 'book_id': 'act', 'chapter': '1', 'verse': '8', 'word_num': 16, 'word': 'my', 'occurrence': 1}, {'id': 1272601, 'book_id': 'act', 'chapter': '1', 'verse': '8', 'word_num': 17, 'word': 'witnesses', 'occurrence': 1}]","my witnesses",2,"μάρτυρες = my witnesses",0.125,1,0,0
"502964","act","2","32","8",",1485223,",",1273776,",0,"[{'id': 1485223, 'book_id': 'act', 'chapter': '2', 'verse': '32', 'word_num': 10, 'word': 'μάρτυρες', 'occurrence': 1, 'strong': 'G31440', 'lemma': 'μάρτυρος', 'morph': 'Gr,N,,,,,NMP,'}]","μάρτυρες",1,0,"[{'id': 1273776, 'book_id': 'act', 'chapter': '2', 'verse': '32', 'word_num': 11, 'word': 'witnesses', 'occurrence': 1}]","witnesses",1,"μάρτυρες = witnesses",0.75,6,0,0
