"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"508640","act","10","41","6",",1491051,",",1281345,1281346,1281347,",0,"[{'id': 1491051, 'book_id': 'act', 'chapter': '10', 'verse': '41', 'word_num': 5, 'word': 'μάρτυσι', 'occurrence': 1, 'strong': 'G31440', 'lemma': 'μάρτυς', 'morph': 'Gr,N,,,,,DMP,'}]","μάρτυσι",1,2,"[{'id': 1281345, 'book_id': 'act', 'chapter': '10', 'verse': '41', 'word_num': 6, 'word': 'by', 'occurrence': 2}, {'id': 1281346, 'book_id': 'act', 'chapter': '10', 'verse': '41', 'word_num': 7, 'word': 'the', 'occurrence': 2}, {'id': 1281347, 'book_id': 'act', 'chapter': '10', 'verse': '41', 'word_num': 8, 'word': 'witnesses', 'occurrence': 1}]","by the witnesses",3,"μάρτυσι = by the witnesses",1.0,1,0,0
"516065","act","22","15","2",",1498717,",",1291400,1291401,",0,"[{'id': 1498717, 'book_id': 'act', 'chapter': '22', 'verse': '15', 'word_num': 2, 'word': 'μάρτυς', 'occurrence': 1, 'strong': 'G31440', 'lemma': 'μάρτυς', 'morph': 'Gr,N,,,,,NMS,'}]","μάρτυς",1,1,"[{'id': 1291400, 'book_id': 'act', 'chapter': '22', 'verse': '15', 'word_num': 4, 'word': 'a', 'occurrence': 1}, {'id': 1291401, 'book_id': 'act', 'chapter': '22', 'verse': '15', 'word_num': 5, 'word': 'witness', 'occurrence': 1}]","a witness",2,"μάρτυς = a witness",0.25,2,0,0
"520015","rom","1","9","4",",1502743,",",1296984,",0,"[{'id': 1502743, 'book_id': 'rom', 'chapter': '1', 'verse': '9', 'word_num': 0, 'word': 'μάρτυς', 'occurrence': 1, 'strong': 'G31440', 'lemma': 'μάρτυς', 'morph': 'Gr,N,,,,,NMS,'}]","μάρτυς",1,0,"[{'id': 1296984, 'book_id': 'rom', 'chapter': '1', 'verse': '9', 'word_num': 4, 'word': 'witness', 'occurrence': 1}]","witness",1,"μάρτυς = witness",0.375,3,0,0
"542051","php","1","8","3",",1525803,",",1329501,",0,"[{'id': 1525803, 'book_id': 'php', 'chapter': '1', 'verse': '8', 'word_num': 0, 'word': 'μάρτυς', 'occurrence': 1, 'strong': 'G31440', 'lemma': 'μάρτυς', 'morph': 'Gr,N,,,,,NMS,'}]","μάρτυς",1,0,"[{'id': 1329501, 'book_id': 'php', 'chapter': '1', 'verse': '8', 'word_num': 4, 'word': 'witness', 'occurrence': 1}]","witness",1,"μάρτυς = witness",0.375,3,0,0
"545236","1th","2","5","15",",1529189,",",1334189,1334190,1334191,",0,"[{'id': 1529189, 'book_id': '1th', 'chapter': '2', 'verse': '5', 'word_num': 14, 'word': 'μάρτυς', 'occurrence': 1, 'strong': 'G31440', 'lemma': 'μάρτυς', 'morph': 'Gr,N,,,,,NMS,'}]","μάρτυς",1,2,"[{'id': 1334189, 'book_id': '1th', 'chapter': '2', 'verse': '5', 'word_num': 24, 'word': 'is', 'occurrence': 1}, {'id': 1334190, 'book_id': '1th', 'chapter': '2', 'verse': '5', 'word_num': 25, 'word': 'our', 'occurrence': 1}, {'id': 1334191, 'book_id': '1th', 'chapter': '2', 'verse': '5', 'word_num': 26, 'word': 'witness', 'occurrence': 1}]","is our witness",3,"μάρτυς = is our witness",0.125,1,0,0
"558713","1pe","5","1","7",",1543178,",",1354084,1354085,",0,"[{'id': 1543178, 'book_id': '1pe', 'chapter': '5', 'verse': '1', 'word_num': 8, 'word': 'μάρτυς', 'occurrence': 1, 'strong': 'G31440', 'lemma': 'μάρτυς', 'morph': 'Gr,N,,,,,NMS,'}]","μάρτυς",1,1,"[{'id': 1354084, 'book_id': '1pe', 'chapter': '5', 'verse': '1', 'word_num': 15, 'word': 'a', 'occurrence': 2}, {'id': 1354085, 'book_id': '1pe', 'chapter': '5', 'verse': '1', 'word_num': 16, 'word': 'witness', 'occurrence': 1}]","a witness",2,"μάρτυς = a witness",0.25,2,0,0
"562806","rev","1","5","6",",1547632,",",1360057,",0,"[{'id': 1547632, 'book_id': 'rev', 'chapter': '1', 'verse': '5', 'word_num': 5, 'word': 'μάρτυς', 'occurrence': 1, 'strong': 'G31440', 'lemma': 'μάρτυς', 'morph': 'Gr,N,,,,,NMS,'}]","μάρτυς",1,0,"[{'id': 1360057, 'book_id': 'rev', 'chapter': '1', 'verse': '5', 'word_num': 6, 'word': 'witness', 'occurrence': 1}]","witness",1,"μάρτυς = witness",0.375,3,0,0
"563392","rev","2","13","25",",1548289,1548290,",",1360896,",1,"[{'id': 1548289, 'book_id': 'rev', 'chapter': '2', 'verse': '13', 'word_num': 24, 'word': 'ὁ', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NMS,'}, {'id': 1548290, 'book_id': 'rev', 'chapter': '2', 'verse': '13', 'word_num': 25, 'word': 'μάρτυς', 'occurrence': 1, 'strong': 'G31440', 'lemma': 'μάρτυς', 'morph': 'Gr,N,,,,,NMS,'}]","ὁ μάρτυς",2,0,"[{'id': 1360896, 'book_id': 'rev', 'chapter': '2', 'verse': '13', 'word_num': 34, 'word': 'witness', 'occurrence': 1}]","witness",1,"ὁ μάρτυς = witness",0.125,1,0,0
"563998","rev","3","14","10",",1548973,",",1361783,",0,"[{'id': 1548973, 'book_id': 'rev', 'chapter': '3', 'verse': '14', 'word_num': 13, 'word': 'μάρτυς', 'occurrence': 1, 'strong': 'G31440', 'lemma': 'μάρτυς', 'morph': 'Gr,N,,,,,NMS,'}]","μάρτυς",1,0,"[{'id': 1361783, 'book_id': 'rev', 'chapter': '3', 'verse': '14', 'word_num': 12, 'word': 'reliable', 'occurrence': 1}]","reliable",1,"μάρτυς = reliable",0.125,1,0,0
"554114","heb","10","28","11",",1538315,",",1347030,",0,"[{'id': 1538315, 'book_id': 'heb', 'chapter': '10', 'verse': '28', 'word_num': 10, 'word': 'μάρτυσιν', 'occurrence': 1, 'strong': 'G31440', 'lemma': 'μάρτυς', 'morph': 'Gr,N,,,,,DMP,'}]","μάρτυσιν",1,0,"[{'id': 1347030, 'book_id': 'heb', 'chapter': '10', 'verse': '28', 'word_num': 18, 'word': 'witnesses', 'occurrence': 1}]","witnesses",1,"μάρτυσιν = witnesses",1.0,1,0,0
