"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"459774","mrk","4","4","3",",1439602,1439603,",",1214107,1214108,",1,"[{'id': 1439602, 'book_id': 'mrk', 'chapter': '4', 'verse': '4', 'word_num': 5, 'word': 'ὃ', 'occurrence': 1, 'strong': 'G37390', 'lemma': 'ὅς', 'morph': 'Gr,RI,,,,NNS,'}, {'id': 1439603, 'book_id': 'mrk', 'chapter': '4', 'verse': '4', 'word_num': 6, 'word': 'μὲν', 'occurrence': 1, 'strong': 'G33030', 'lemma': 'μέν', 'morph': 'Gr,D,,,,,,,,,'}]","ὃ μὲν",2,1,"[{'id': 1214107, 'book_id': 'mrk', 'chapter': '4', 'verse': '4', 'word_num': 6, 'word': 'some', 'occurrence': 1}, {'id': 1214108, 'book_id': 'mrk', 'chapter': '4', 'verse': '4', 'word_num': 7, 'word': 'seed', 'occurrence': 1}]","some seed",2,"ὃ μὲν = some seed",0.008849557522123894,1,0,0
"463309","mrk","9","12","4",",1443360,1443361,",",1219001,1219002,",1,"[{'id': 1443360, 'book_id': 'mrk', 'chapter': '9', 'verse': '12', 'word_num': 5, 'word': 'μὲν', 'occurrence': 1, 'strong': 'G33030', 'lemma': 'μέν', 'morph': 'Gr,T,,,,,,,,,'}, {'id': 1443361, 'book_id': 'mrk', 'chapter': '9', 'verse': '12', 'word_num': 6, 'word': 'ἐλθὼν', 'occurrence': 1, 'strong': 'G20640', 'lemma': 'ἔρχομαι', 'morph': 'Gr,V,PAA,NMS,'}]","μὲν ἐλθὼν",2,1,"[{'id': 1219001, 'book_id': 'mrk', 'chapter': '9', 'verse': '12', 'word_num': 5, 'word': 'does', 'occurrence': 1}, {'id': 1219002, 'book_id': 'mrk', 'chapter': '9', 'verse': '12', 'word_num': 6, 'word': 'come', 'occurrence': 1}]","does come",2,"μὲν ἐλθὼν = does come",0.008849557522123894,1,0,0
"465318","mrk","12","5","7",",1445571,1445572,",",1221964,",1,"[{'id': 1445571, 'book_id': 'mrk', 'chapter': '12', 'verse': '5', 'word_num': 8, 'word': 'οὓς', 'occurrence': 1, 'strong': 'G37390', 'lemma': 'ὅς', 'morph': 'Gr,RI,,,,AMP,'}, {'id': 1445572, 'book_id': 'mrk', 'chapter': '12', 'verse': '5', 'word_num': 9, 'word': 'μὲν', 'occurrence': 1, 'strong': 'G33030', 'lemma': 'μέν', 'morph': 'Gr,DO,,,,,,,,'}]","οὓς μὲν",2,0,"[{'id': 1221964, 'book_id': 'mrk', 'chapter': '12', 'verse': '5', 'word_num': 15, 'word': 'some', 'occurrence': 1}]","some",1,"οὓς μὲν = some",0.008849557522123894,1,0,0
"466875","mrk","14","21","2",",1447247,1447248,",",1224153,",1,"[{'id': 1447247, 'book_id': 'mrk', 'chapter': '14', 'verse': '21', 'word_num': 2, 'word': 'μὲν', 'occurrence': 1, 'strong': 'G33030', 'lemma': 'μέν', 'morph': 'Gr,DO,,,,,,,,'}, {'id': 1447248, 'book_id': 'mrk', 'chapter': '14', 'verse': '21', 'word_num': 3, 'word': 'Υἱὸς', 'occurrence': 1, 'strong': 'G52070', 'lemma': 'υἱός', 'morph': 'Gr,N,,,,,NMS,'}]","μὲν Υἱὸς",2,0,"[{'id': 1224153, 'book_id': 'mrk', 'chapter': '14', 'verse': '21', 'word_num': 2, 'word': 'Son', 'occurrence': 1}]","Son",1,"μὲν Υἱὸς = Son",0.008849557522123894,1,0,0
"467148","mrk","14","38","11",",1447546,",",1224541,",0,"[{'id': 1447546, 'book_id': 'mrk', 'chapter': '14', 'verse': '38', 'word_num': 9, 'word': 'μὲν', 'occurrence': 1, 'strong': 'G33030', 'lemma': 'μέν', 'morph': 'Gr,DO,,,,,,,,'}]","μὲν",1,0,"[{'id': 1224541, 'book_id': 'mrk', 'chapter': '14', 'verse': '38', 'word_num': 14, 'word': 'indeed', 'occurrence': 1}]","indeed",1,"μὲν = indeed",0.30973451327433627,35,0,0
"470658","luk","3","16","5",",1451400,",",1229760,",0,"[{'id': 1451400, 'book_id': 'luk', 'chapter': '3', 'verse': '16', 'word_num': 6, 'word': 'μὲν', 'occurrence': 1, 'strong': 'G33030', 'lemma': 'μέν', 'morph': 'Gr,DO,,,,,,,,'}]","μὲν",1,0,"[{'id': 1229760, 'book_id': 'luk', 'chapter': '3', 'verse': '16', 'word_num': 7, 'word': 'indeed', 'occurrence': 1}]","indeed",1,"μὲν = indeed",0.30973451327433627,35,0,0
"470712","luk","3","18","3",",1451452,1451453,",",1229833,",1,"[{'id': 1451452, 'book_id': 'luk', 'chapter': '3', 'verse': '18', 'word_num': 0, 'word': 'πολλὰ', 'occurrence': 1, 'strong': 'G41830', 'lemma': 'πολλός', 'morph': 'Gr,RI,,,,ANP,'}, {'id': 1451453, 'book_id': 'luk', 'chapter': '3', 'verse': '18', 'word_num': 1, 'word': 'μὲν', 'occurrence': 1, 'strong': 'G33030', 'lemma': 'μέν', 'morph': 'Gr,D,,,,,,,,,'}]","πολλὰ μὲν",2,0,"[{'id': 1229833, 'book_id': 'luk', 'chapter': '3', 'verse': '18', 'word_num': 3, 'word': 'many', 'occurrence': 1}]","many",1,"πολλὰ μὲν = many",0.008849557522123894,1,0,0
"474327","luk","8","5","10",",1455124,1455125,",",1234710,",1,"[{'id': 1455124, 'book_id': 'luk', 'chapter': '8', 'verse': '5', 'word_num': 13, 'word': 'ὃ', 'occurrence': 1, 'strong': 'G37390', 'lemma': 'ὅς', 'morph': 'Gr,RI,,,,NNS,'}, {'id': 1455125, 'book_id': 'luk', 'chapter': '8', 'verse': '5', 'word_num': 14, 'word': 'μὲν', 'occurrence': 1, 'strong': 'G33030', 'lemma': 'μέν', 'morph': 'Gr,D,,,,,,,,,'}]","ὃ μὲν",2,0,"[{'id': 1234710, 'book_id': 'luk', 'chapter': '8', 'verse': '5', 'word_num': 12, 'word': 'some', 'occurrence': 1}]","some",1,"ὃ μὲν = some",0.008849557522123894,1,0,0
"476481","luk","10","2","4",",1457301,1457302,",",1237564,1237565,",1,"[{'id': 1457301, 'book_id': 'luk', 'chapter': '10', 'verse': '2', 'word_num': 5, 'word': 'μὲν', 'occurrence': 1, 'strong': 'G33030', 'lemma': 'μέν', 'morph': 'Gr,DO,,,,,,,,'}, {'id': 1457302, 'book_id': 'luk', 'chapter': '10', 'verse': '2', 'word_num': 6, 'word': 'θερισμὸς', 'occurrence': 1, 'strong': 'G23260', 'lemma': 'θερισμός', 'morph': 'Gr,N,,,,,NMS,'}]","μὲν θερισμὸς",2,1,"[{'id': 1237564, 'book_id': 'luk', 'chapter': '10', 'verse': '2', 'word_num': 5, 'word': 'harvest', 'occurrence': 1}, {'id': 1237565, 'book_id': 'luk', 'chapter': '10', 'verse': '2', 'word_num': 6, 'word': 'is', 'occurrence': 1}]","harvest is",2,"μὲν θερισμὸς = harvest is",0.008849557522123894,1,0,0
"478054","luk","11","48","12",",1458925,",",1239709,",0,"[{'id': 1458925, 'book_id': 'luk', 'chapter': '11', 'verse': '48', 'word_num': 11, 'word': 'μὲν', 'occurrence': 1, 'strong': 'G33030', 'lemma': 'μέν', 'morph': 'Gr,DO,,,,,,,,'}]","μὲν",1,0,"[{'id': 1239709, 'book_id': 'luk', 'chapter': '11', 'verse': '48', 'word_num': 15, 'word': 'indeed', 'occurrence': 1}]","indeed",1,"μὲν = indeed",0.30973451327433627,35,0,0
