"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"471280","luk","4","22","2",",1452038,",",1230567,1230568,",0,"[{'id': 1452038, 'book_id': 'luk', 'chapter': '4', 'verse': '22', 'word_num': 2, 'word': 'ἐμαρτύρουν', 'occurrence': 1, 'strong': 'G31400', 'lemma': 'μαρτυρέω', 'morph': 'Gr,V,IIA3,,P,'}]","ἐμαρτύρουν",1,1,"[{'id': 1230567, 'book_id': 'luk', 'chapter': '4', 'verse': '22', 'word_num': 2, 'word': 'spoke', 'occurrence': 1}, {'id': 1230568, 'book_id': 'luk', 'chapter': '4', 'verse': '22', 'word_num': 3, 'word': 'well', 'occurrence': 1}]","spoke well",2,"ἐμαρτύρουν = spoke well",0.013157894736842105,0,0
"478043","luk","11","48","1",",1458915,",",1239695,1239696,1239697,",0,"[{'id': 1458915, 'book_id': 'luk', 'chapter': '11', 'verse': '48', 'word_num': 1, 'word': 'μαρτυρεῖτε', 'occurrence': 1, 'strong': 'G31400', 'lemma': 'μαρτυρέω', 'morph': 'Gr,V,IPA2,,P,'}]","μαρτυρεῖτε",1,2,"[{'id': 1239695, 'book_id': 'luk', 'chapter': '11', 'verse': '48', 'word_num': 1, 'word': 'you', 'occurrence': 1}, {'id': 1239696, 'book_id': 'luk', 'chapter': '11', 'verse': '48', 'word_num': 2, 'word': 'are', 'occurrence': 1}, {'id': 1239697, 'book_id': 'luk', 'chapter': '11', 'verse': '48', 'word_num': 3, 'word': 'witnesses', 'occurrence': 1}]","you are witnesses",3,"μαρτυρεῖτε = you are witnesses",0.013157894736842105,0,0
"487604","jhn","1","7","5",",1468603,",",1252797,",0,"[{'id': 1468603, 'book_id': 'jhn', 'chapter': '1', 'verse': '7', 'word_num': 5, 'word': 'μαρτυρήσῃ', 'occurrence': 1, 'strong': 'G31400', 'lemma': 'μαρτυρέω', 'morph': 'Gr,V,SAA3,,S,'}]","μαρτυρήσῃ",1,0,"[{'id': 1252797, 'book_id': 'jhn', 'chapter': '1', 'verse': '7', 'word_num': 8, 'word': 'testify', 'occurrence': 1}]","testify",1,"μαρτυρήσῃ = testify",0.013157894736842105,0,0
"487620","jhn","1","8","7",",1468619,",",1252815,1252816,1252817,",0,"[{'id': 1468619, 'book_id': 'jhn', 'chapter': '1', 'verse': '8', 'word_num': 7, 'word': 'μαρτυρήσῃ', 'occurrence': 1, 'strong': 'G31400', 'lemma': 'μαρτυρέω', 'morph': 'Gr,V,SAA3,,S,'}]","μαρτυρήσῃ",1,2,"[{'id': 1252815, 'book_id': 'jhn', 'chapter': '1', 'verse': '8', 'word_num': 8, 'word': 'he', 'occurrence': 1}, {'id': 1252816, 'book_id': 'jhn', 'chapter': '1', 'verse': '8', 'word_num': 9, 'word': 'might', 'occurrence': 1}, {'id': 1252817, 'book_id': 'jhn', 'chapter': '1', 'verse': '8', 'word_num': 10, 'word': 'testify', 'occurrence': 1}]","he might testify",3,"μαρτυρήσῃ = he might testify",0.013157894736842105,0,0
"487713","jhn","1","15","1",",1468718,",",1252940,",0,"[{'id': 1468718, 'book_id': 'jhn', 'chapter': '1', 'verse': '15', 'word_num': 1, 'word': 'μαρτυρεῖ', 'occurrence': 1, 'strong': 'G31400', 'lemma': 'μαρτυρέω', 'morph': 'Gr,V,IPA3,,S,'}]","μαρτυρεῖ",1,0,"[{'id': 1252940, 'book_id': 'jhn', 'chapter': '1', 'verse': '15', 'word_num': 1, 'word': 'testified', 'occurrence': 1}]","testified",1,"μαρτυρεῖ = testified",0.013157894736842105,0,0
"487974","jhn","1","32","1",",1468991,1468992,",",1253292,",1,"[{'id': 1468991, 'book_id': 'jhn', 'chapter': '1', 'verse': '32', 'word_num': 0, 'word': 'καὶ', 'occurrence': 1, 'strong': 'G25320', 'lemma': 'καί', 'morph': 'Gr,CC,,,,,,,,'}, {'id': 1468992, 'book_id': 'jhn', 'chapter': '1', 'verse': '32', 'word_num': 1, 'word': 'ἐμαρτύρησεν', 'occurrence': 1, 'strong': 'G31400', 'lemma': 'μαρτυρέω', 'morph': 'Gr,V,IAA3,,S,'}]","καὶ ἐμαρτύρησεν",2,0,"[{'id': 1253292, 'book_id': 'jhn', 'chapter': '1', 'verse': '32', 'word_num': 1, 'word': 'testified', 'occurrence': 1}]","testified",1,"καὶ ἐμαρτύρησεν = testified",0.013157894736842105,0,0
"488023","jhn","1","34","5",",1469043,",",1253353,",0,"[{'id': 1469043, 'book_id': 'jhn', 'chapter': '1', 'verse': '34', 'word_num': 3, 'word': 'μεμαρτύρηκα', 'occurrence': 1, 'strong': 'G31400', 'lemma': 'μαρτυρέω', 'morph': 'Gr,V,IEA1,,S,'}]","μεμαρτύρηκα",1,0,"[{'id': 1253353, 'book_id': 'jhn', 'chapter': '1', 'verse': '34', 'word_num': 5, 'word': 'testified', 'occurrence': 1}]","testified",1,"μεμαρτύρηκα = testified",0.013157894736842105,0,0
"488683","jhn","2","25","7",",1469774,",",1254219,1254220,",0,"[{'id': 1469774, 'book_id': 'jhn', 'chapter': '2', 'verse': '25', 'word_num': 7, 'word': 'μαρτυρήσῃ', 'occurrence': 1, 'strong': 'G31400', 'lemma': 'μαρτυρέω', 'morph': 'Gr,V,SAA3,,S,'}]","μαρτυρήσῃ",1,1,"[{'id': 1254219, 'book_id': 'jhn', 'chapter': '2', 'verse': '25', 'word_num': 8, 'word': 'to', 'occurrence': 1}, {'id': 1254220, 'book_id': 'jhn', 'chapter': '2', 'verse': '25', 'word_num': 9, 'word': 'testify', 'occurrence': 1}]","to testify",2,"μαρτυρήσῃ = to testify",0.013157894736842105,0,0
"488868","jhn","3","11","7",",1469980,",",1254474,1254475,1254476,",0,"[{'id': 1469980, 'book_id': 'jhn', 'chapter': '3', 'verse': '11', 'word_num': 11, 'word': 'μαρτυροῦμεν', 'occurrence': 1, 'strong': 'G31400', 'lemma': 'μαρτυρέω', 'morph': 'Gr,V,IPA1,,P,'}]","μαρτυροῦμεν",1,2,"[{'id': 1254474, 'book_id': 'jhn', 'chapter': '3', 'verse': '11', 'word_num': 12, 'word': 'we', 'occurrence': 3}, {'id': 1254475, 'book_id': 'jhn', 'chapter': '3', 'verse': '11', 'word_num': 13, 'word': 'testify', 'occurrence': 1}, {'id': 1254476, 'book_id': 'jhn', 'chapter': '3', 'verse': '11', 'word_num': 14, 'word': 'about', 'occurrence': 1}]","we testify about",3,"μαρτυροῦμεν = we testify about",0.013157894736842105,0,0
"489127","jhn","3","26","17",",1470258,",",1254814,1254815,",0,"[{'id': 1470258, 'book_id': 'jhn', 'chapter': '3', 'verse': '26', 'word_num': 18, 'word': 'μεμαρτύρηκας', 'occurrence': 1, 'strong': 'G31400', 'lemma': 'μαρτυρέω', 'morph': 'Gr,V,IEA2,,S,'}]","μεμαρτύρηκας",1,1,"[{'id': 1254814, 'book_id': 'jhn', 'chapter': '3', 'verse': '26', 'word_num': 27, 'word': 'have', 'occurrence': 1}, {'id': 1254815, 'book_id': 'jhn', 'chapter': '3', 'verse': '26', 'word_num': 28, 'word': 'testified', 'occurrence': 1}]","have testified",2,"μεμαρτύρηκας = have testified",0.013157894736842105,0,0
