"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"467391","mrk","14","55","8",",1447807,",",1224884,",0,"[{'id': 1447807, 'book_id': 'mrk', 'chapter': '14', 'verse': '55', 'word_num': 11, 'word': 'μαρτυρίαν', 'occurrence': 1, 'strong': 'G31410', 'lemma': 'μαρτυρία', 'morph': 'Gr,N,,,,,AFS,'}]","μαρτυρίαν",1,0,"[{'id': 1224884, 'book_id': 'mrk', 'chapter': '14', 'verse': '55', 'word_num': 11, 'word': 'testimony', 'occurrence': 1}]","testimony",1,"μαρτυρίαν = testimony",0.24324324324324326,0,0
"467409","mrk","14","56","7",",1447823,",",1224908,",0,"[{'id': 1447823, 'book_id': 'mrk', 'chapter': '14', 'verse': '56', 'word_num': 8, 'word': 'μαρτυρίαι', 'occurrence': 1, 'strong': 'G31410', 'lemma': 'μαρτυρία', 'morph': 'Gr,N,,,,,NFP,'}]","μαρτυρίαι",1,0,"[{'id': 1224908, 'book_id': 'mrk', 'chapter': '14', 'verse': '56', 'word_num': 10, 'word': 'testimony', 'occurrence': 2}]","testimony",1,"μαρτυρίαι = testimony",0.02702702702702703,0,0
"467438","mrk","14","59","3",",1447858,1447859,",",1224950,",1,"[{'id': 1447858, 'book_id': 'mrk', 'chapter': '14', 'verse': '59', 'word_num': 5, 'word': 'ἡ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NFS,'}, {'id': 1447859, 'book_id': 'mrk', 'chapter': '14', 'verse': '59', 'word_num': 6, 'word': 'μαρτυρία', 'occurrence': 1, 'strong': 'G31410', 'lemma': 'μαρτυρία', 'morph': 'Gr,N,,,,,NFS,'}]","ἡ μαρτυρία",2,0,"[{'id': 1224950, 'book_id': 'mrk', 'chapter': '14', 'verse': '59', 'word_num': 5, 'word': 'testimony', 'occurrence': 1}]","testimony",1,"ἡ μαρτυρία = testimony",0.16216216216216217,0,0
"485900","luk","22","71","8",",1466861,",",1250559,1250560,1250561,",0,"[{'id': 1466861, 'book_id': 'luk', 'chapter': '22', 'verse': '71', 'word_num': 6, 'word': 'μαρτυρίας', 'occurrence': 1, 'strong': 'G31410', 'lemma': 'μαρτυρία', 'morph': 'Gr,N,,,,,GFS,'}]","μαρτυρίας",1,2,"[{'id': 1250559, 'book_id': 'luk', 'chapter': '22', 'verse': '71', 'word_num': 9, 'word': 'of', 'occurrence': 1}, {'id': 1250560, 'book_id': 'luk', 'chapter': '22', 'verse': '71', 'word_num': 10, 'word': 'a', 'occurrence': 1}, {'id': 1250561, 'book_id': 'luk', 'chapter': '22', 'verse': '71', 'word_num': 11, 'word': 'witness', 'occurrence': 1}]","of a witness",3,"μαρτυρίας = of a witness",0.02702702702702703,0,0
"487602","jhn","1","7","3",",1468601,",",1252792,1252793,",0,"[{'id': 1468601, 'book_id': 'jhn', 'chapter': '1', 'verse': '7', 'word_num': 3, 'word': 'μαρτυρίαν', 'occurrence': 1, 'strong': 'G31410', 'lemma': 'μαρτυρία', 'morph': 'Gr,N,,,,,AFS,'}]","μαρτυρίαν",1,1,"[{'id': 1252792, 'book_id': 'jhn', 'chapter': '1', 'verse': '7', 'word_num': 3, 'word': 'a', 'occurrence': 1}, {'id': 1252793, 'book_id': 'jhn', 'chapter': '1', 'verse': '7', 'word_num': 4, 'word': 'witness', 'occurrence': 1}]","a witness",2,"μαρτυρίαν = a witness",0.02702702702702703,0,0
"487777","jhn","1","19","3",",1468785,",",1253024,",0,"[{'id': 1468785, 'book_id': 'jhn', 'chapter': '1', 'verse': '19', 'word_num': 4, 'word': 'μαρτυρία', 'occurrence': 1, 'strong': 'G31410', 'lemma': 'μαρτυρία', 'morph': 'Gr,N,,,,,NFS,'}]","μαρτυρία",1,0,"[{'id': 1253024, 'book_id': 'jhn', 'chapter': '1', 'verse': '19', 'word_num': 3, 'word': 'testimony', 'occurrence': 1}]","testimony",1,"μαρτυρία = testimony",0.13513513513513514,0,0
"488875","jhn","3","11","14",",1469982,1469983,",",1254487,",1,"[{'id': 1469982, 'book_id': 'jhn', 'chapter': '3', 'verse': '11', 'word_num': 13, 'word': 'τὴν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AFS,'}, {'id': 1469983, 'book_id': 'jhn', 'chapter': '3', 'verse': '11', 'word_num': 14, 'word': 'μαρτυρίαν', 'occurrence': 1, 'strong': 'G31410', 'lemma': 'μαρτυρία', 'morph': 'Gr,N,,,,,AFS,'}]","τὴν μαρτυρίαν",2,0,"[{'id': 1254487, 'book_id': 'jhn', 'chapter': '3', 'verse': '11', 'word_num': 25, 'word': 'testimony', 'occurrence': 1}]","testimony",1,"τὴν μαρτυρίαν = testimony",0.10810810810810811,0,0
"489238","jhn","3","32","11",",1470373,1470374,",",1254955,",1,"[{'id': 1470373, 'book_id': 'jhn', 'chapter': '3', 'verse': '32', 'word_num': 7, 'word': 'τὴν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AFS,'}, {'id': 1470374, 'book_id': 'jhn', 'chapter': '3', 'verse': '32', 'word_num': 8, 'word': 'μαρτυρίαν', 'occurrence': 1, 'strong': 'G31410', 'lemma': 'μαρτυρία', 'morph': 'Gr,N,,,,,AFS,'}]","τὴν μαρτυρίαν",2,0,"[{'id': 1254955, 'book_id': 'jhn', 'chapter': '3', 'verse': '32', 'word_num': 14, 'word': 'testimony', 'occurrence': 1}]","testimony",1,"τὴν μαρτυρίαν = testimony",0.10810810810810811,0,0
"489241","jhn","3","33","2",",1470381,1470382,",",1254961,",1,"[{'id': 1470381, 'book_id': 'jhn', 'chapter': '3', 'verse': '33', 'word_num': 3, 'word': 'τὴν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AFS,'}, {'id': 1470382, 'book_id': 'jhn', 'chapter': '3', 'verse': '33', 'word_num': 4, 'word': 'μαρτυρίαν', 'occurrence': 1, 'strong': 'G31410', 'lemma': 'μαρτυρία', 'morph': 'Gr,N,,,,,AFS,'}]","τὴν μαρτυρίαν",2,0,"[{'id': 1254961, 'book_id': 'jhn', 'chapter': '3', 'verse': '33', 'word_num': 5, 'word': 'testimony', 'occurrence': 1}]","testimony",1,"τὴν μαρτυρίαν = testimony",0.10810810810810811,0,0
"490657","jhn","5","31","6",",1471943,1471944,",",1256881,",1,"[{'id': 1471943, 'book_id': 'jhn', 'chapter': '5', 'verse': '31', 'word_num': 5, 'word': 'ἡ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NFS,'}, {'id': 1471944, 'book_id': 'jhn', 'chapter': '5', 'verse': '31', 'word_num': 6, 'word': 'μαρτυρία', 'occurrence': 1, 'strong': 'G31410', 'lemma': 'μαρτυρία', 'morph': 'Gr,N,,,,,NFS,'}]","ἡ μαρτυρία",2,0,"[{'id': 1256881, 'book_id': 'jhn', 'chapter': '5', 'verse': '31', 'word_num': 7, 'word': 'testimony', 'occurrence': 1}]","testimony",1,"ἡ μαρτυρία = testimony",0.16216216216216217,0,0
