"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"476814","luk","10","21","28",",1457654,",",1238003,1238004,1238005,",0,"[{'id': 1457654, 'book_id': 'luk', 'chapter': '10', 'verse': '21', 'word_num': 30, 'word': 'νηπίοις', 'occurrence': 1, 'strong': 'G35160', 'lemma': 'νήπιος', 'morph': 'Gr,NS,,,,DMP,'}]","νηπίοις",1,2,"[{'id': 1238003, 'book_id': 'luk', 'chapter': '10', 'verse': '21', 'word_num': 34, 'word': 'to', 'occurrence': 1}, {'id': 1238004, 'book_id': 'luk', 'chapter': '10', 'verse': '21', 'word_num': 35, 'word': 'little', 'occurrence': 1}, {'id': 1238005, 'book_id': 'luk', 'chapter': '10', 'verse': '21', 'word_num': 36, 'word': 'children', 'occurrence': 1}]","to little children",3,"νηπίοις = to little children",0.07692307692307693,0,0
"520679","rom","2","20","3",",1503473,",",1298021,1298022,1298023,",0,"[{'id': 1503473, 'book_id': 'rom', 'chapter': '2', 'verse': '20', 'word_num': 3, 'word': 'νηπίων', 'occurrence': 1, 'strong': 'G35160', 'lemma': 'νήπιος', 'morph': 'Gr,NS,,,,GMP,'}]","νηπίων",1,2,"[{'id': 1298021, 'book_id': 'rom', 'chapter': '2', 'verse': '20', 'word_num': 7, 'word': 'of', 'occurrence': 2}, {'id': 1298022, 'book_id': 'rom', 'chapter': '2', 'verse': '20', 'word_num': 8, 'word': 'little', 'occurrence': 1}, {'id': 1298023, 'book_id': 'rom', 'chapter': '2', 'verse': '20', 'word_num': 9, 'word': 'children', 'occurrence': 1}]","of little children",3,"νηπίων = of little children",0.07692307692307693,0,0
"527167","1co","3","1","12",",1510542,",",1307889,1307890,",0,"[{'id': 1510542, 'book_id': '1co', 'chapter': '3', 'verse': '1', 'word_num': 12, 'word': 'νηπίοις', 'occurrence': 1, 'strong': 'G35160', 'lemma': 'νήπιος', 'morph': 'Gr,NS,,,,DMP,'}]","νηπίοις",1,1,"[{'id': 1307889, 'book_id': '1co', 'chapter': '3', 'verse': '1', 'word_num': 17, 'word': 'to', 'occurrence': 4}, {'id': 1307890, 'book_id': '1co', 'chapter': '3', 'verse': '1', 'word_num': 18, 'word': 'infants', 'occurrence': 1}]","to infants",2,"νηπίοις = to infants",0.07692307692307693,0,0
"531269","1co","13","11","2",",1514740,",",1313987,1313988,",0,"[{'id': 1514740, 'book_id': '1co', 'chapter': '13', 'verse': '11', 'word_num': 2, 'word': 'νήπιος', 'occurrence': 1, 'strong': 'G35160', 'lemma': 'νήπιος', 'morph': 'Gr,NP,,,,NMS,'}]","νήπιος",1,1,"[{'id': 1313987, 'book_id': '1co', 'chapter': '13', 'verse': '11', 'word_num': 3, 'word': 'a', 'occurrence': 1}, {'id': 1313988, 'book_id': '1co', 'chapter': '13', 'verse': '11', 'word_num': 4, 'word': 'child', 'occurrence': 1}]","a child",2,"νήπιος = a child",0.3076923076923077,0,0
"531272","1co","13","11","5",",1514743,",",1313992,1313993,",0,"[{'id': 1514743, 'book_id': '1co', 'chapter': '13', 'verse': '11', 'word_num': 5, 'word': 'νήπιος', 'occurrence': 2, 'strong': 'G35160', 'lemma': 'νήπιος', 'morph': 'Gr,NS,,,,NMS,'}]","νήπιος",1,1,"[{'id': 1313992, 'book_id': '1co', 'chapter': '13', 'verse': '11', 'word_num': 8, 'word': 'a', 'occurrence': 2}, {'id': 1313993, 'book_id': '1co', 'chapter': '13', 'verse': '11', 'word_num': 9, 'word': 'child', 'occurrence': 2}]","a child",2,"νήπιος = a child",0.3076923076923077,0,0
"531275","1co","13","11","8",",1514746,",",1313997,1313998,",0,"[{'id': 1514746, 'book_id': '1co', 'chapter': '13', 'verse': '11', 'word_num': 8, 'word': 'νήπιος', 'occurrence': 3, 'strong': 'G35160', 'lemma': 'νήπιος', 'morph': 'Gr,NS,,,,NMS,'}]","νήπιος",1,1,"[{'id': 1313997, 'book_id': '1co', 'chapter': '13', 'verse': '11', 'word_num': 13, 'word': 'a', 'occurrence': 3}, {'id': 1313998, 'book_id': '1co', 'chapter': '13', 'verse': '11', 'word_num': 14, 'word': 'child', 'occurrence': 3}]","a child",2,"νήπιος = a child",0.3076923076923077,0,0
"531278","1co","13","11","11",",1514749,",",1314002,1314003,",0,"[{'id': 1514749, 'book_id': '1co', 'chapter': '13', 'verse': '11', 'word_num': 11, 'word': 'νήπιος', 'occurrence': 4, 'strong': 'G35160', 'lemma': 'νήπιος', 'morph': 'Gr,NS,,,,NMS,'}]","νήπιος",1,1,"[{'id': 1314002, 'book_id': '1co', 'chapter': '13', 'verse': '11', 'word_num': 18, 'word': 'a', 'occurrence': 4}, {'id': 1314003, 'book_id': '1co', 'chapter': '13', 'verse': '11', 'word_num': 19, 'word': 'child', 'occurrence': 4}]","a child",2,"νήπιος = a child",0.3076923076923077,0,0
"531283","1co","13","11","16",",1514755,1514756,",",1314012,",1,"[{'id': 1514755, 'book_id': '1co', 'chapter': '13', 'verse': '11', 'word_num': 17, 'word': 'τοῦ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,GMS,'}, {'id': 1514756, 'book_id': '1co', 'chapter': '13', 'verse': '11', 'word_num': 18, 'word': 'νηπίου', 'occurrence': 1, 'strong': 'G35160', 'lemma': 'νήπιος', 'morph': 'Gr,NS,,,,GMS,'}]","τοῦ νηπίου",2,0,"[{'id': 1314012, 'book_id': '1co', 'chapter': '13', 'verse': '11', 'word_num': 28, 'word': 'childish', 'occurrence': 1}]","childish",1,"τοῦ νηπίου = childish",0.07692307692307693,0,0
"538537","gal","4","1","6",",1522247,",",1324726,1324727,",0,"[{'id': 1522247, 'book_id': 'gal', 'chapter': '4', 'verse': '1', 'word_num': 7, 'word': 'νήπιός', 'occurrence': 1, 'strong': 'G35160', 'lemma': 'νήπιος', 'morph': 'Gr,NP,,,,NMS,'}]","νήπιός",1,1,"[{'id': 1324726, 'book_id': 'gal', 'chapter': '4', 'verse': '1', 'word_num': 12, 'word': 'a', 'occurrence': 1}, {'id': 1324727, 'book_id': 'gal', 'chapter': '4', 'verse': '1', 'word_num': 13, 'word': 'child', 'occurrence': 1}]","a child",2,"νήπιός = a child",0.07692307692307693,0,0
"538559","gal","4","3","4",",1522271,",",1324761,",0,"[{'id': 1522271, 'book_id': 'gal', 'chapter': '4', 'verse': '3', 'word_num': 5, 'word': 'νήπιοι', 'occurrence': 1, 'strong': 'G35160', 'lemma': 'νήπιος', 'morph': 'Gr,NP,,,,NMP,'}]","νήπιοι",1,0,"[{'id': 1324761, 'book_id': 'gal', 'chapter': '4', 'verse': '3', 'word_num': 5, 'word': 'children', 'occurrence': 1}]","children",1,"νήπιοι = children",0.15384615384615385,0,0
