"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"469572","luk","2","1","13",",1450283,",",1228281,",0,"[{'id': 1450283, 'book_id': 'luk', 'chapter': '2', 'verse': '1', 'word_num': 14, 'word': 'οἰκουμένην', 'occurrence': 1, 'strong': 'G36250', 'lemma': 'οἰκουμένη', 'morph': 'Gr,N,,,,,AFS,'}]","οἰκουμένην",1,0,"[{'id': 1228281, 'book_id': 'luk', 'chapter': '2', 'verse': '1', 'word_num': 19, 'word': 'world', 'occurrence': 1}]","world",1,"οἰκουμένην = world",1.0,8,0,0
"509251","act","11","28","19",",1491683,",",1282150,",0,"[{'id': 1491683, 'book_id': 'act', 'chapter': '11', 'verse': '28', 'word_num': 18, 'word': 'οἰκουμένην', 'occurrence': 1, 'strong': 'G36250', 'lemma': 'οἰκουμένη', 'morph': 'Gr,N,,,,,AFS,'}]","οἰκουμένην",1,0,"[{'id': 1282150, 'book_id': 'act', 'chapter': '11', 'verse': '28', 'word_num': 23, 'word': 'world', 'occurrence': 1}]","world",1,"οἰκουμένην = world",1.0,8,0,0
"512630","act","17","6","17",",1495155,",",1286774,",0,"[{'id': 1495155, 'book_id': 'act', 'chapter': '17', 'verse': '6', 'word_num': 16, 'word': 'οἰκουμένην', 'occurrence': 1, 'strong': 'G36250', 'lemma': 'οἰκουμένη', 'morph': 'Gr,N,,,,,AFS,'}]","οἰκουμένην",1,0,"[{'id': 1286774, 'book_id': 'act', 'chapter': '17', 'verse': '6', 'word_num': 25, 'word': 'world', 'occurrence': 1}]","world",1,"οἰκουμένην = world",1.0,8,0,0
"513097","act","17","31","8",",1495648,",",1287399,",0,"[{'id': 1495648, 'book_id': 'act', 'chapter': '17', 'verse': '31', 'word_num': 8, 'word': 'οἰκουμένην', 'occurrence': 1, 'strong': 'G36250', 'lemma': 'οἰκουμένη', 'morph': 'Gr,N,,,,,AFS,'}]","οἰκουμένην",1,0,"[{'id': 1287399, 'book_id': 'act', 'chapter': '17', 'verse': '31', 'word_num': 14, 'word': 'world', 'occurrence': 1}]","world",1,"οἰκουμένην = world",1.0,8,0,0
"517086","act","24","5","16",",1499758,",",1292828,",0,"[{'id': 1499758, 'book_id': 'act', 'chapter': '24', 'verse': '5', 'word_num': 15, 'word': 'οἰκουμένην', 'occurrence': 1, 'strong': 'G36250', 'lemma': 'οἰκουμένη', 'morph': 'Gr,N,,,,,AFS,'}]","οἰκουμένην",1,0,"[{'id': 1292828, 'book_id': 'act', 'chapter': '24', 'verse': '5', 'word_num': 23, 'word': 'world', 'occurrence': 1}]","world",1,"οἰκουμένην = world",1.0,8,0,0
"551071","heb","1","6","8",",1535123,",",1342439,",0,"[{'id': 1535123, 'book_id': 'heb', 'chapter': '1', 'verse': '6', 'word_num': 8, 'word': 'οἰκουμένην', 'occurrence': 1, 'strong': 'G36250', 'lemma': 'οἰκουμένη', 'morph': 'Gr,N,,,,,AFS,'}]","οἰκουμένην",1,0,"[{'id': 1342439, 'book_id': 'heb', 'chapter': '1', 'verse': '6', 'word_num': 9, 'word': 'world', 'occurrence': 1}]","world",1,"οἰκουμένην = world",1.0,8,0,0
"551272","heb","2","5","5",",1535341,",",1342734,",0,"[{'id': 1535341, 'book_id': 'heb', 'chapter': '2', 'verse': '5', 'word_num': 5, 'word': 'οἰκουμένην', 'occurrence': 1, 'strong': 'G36250', 'lemma': 'οἰκουμένη', 'morph': 'Gr,N,,,,,AFS,'}]","οἰκουμένην",1,0,"[{'id': 1342734, 'book_id': 'heb', 'chapter': '2', 'verse': '5', 'word_num': 11, 'word': 'world', 'occurrence': 1}]","world",1,"οἰκουμένην = world",1.0,8,0,0
"567060","rev","12","9","15",",1552397,",",1365962,",0,"[{'id': 1552397, 'book_id': 'rev', 'chapter': '12', 'verse': '9', 'word_num': 19, 'word': 'οἰκουμένην', 'occurrence': 1, 'strong': 'G36250', 'lemma': 'οἰκουμένη', 'morph': 'Gr,N,,,,,AFS,'}]","οἰκουμένην",1,0,"[{'id': 1365962, 'book_id': 'rev', 'chapter': '12', 'verse': '9', 'word_num': 23, 'word': 'world', 'occurrence': 1}]","world",1,"οἰκουμένην = world",1.0,8,0,0
"471030","luk","4","5","9",",1451778,",",1230203,",0,"[{'id': 1451778, 'book_id': 'luk', 'chapter': '4', 'verse': '5', 'word_num': 9, 'word': 'οἰκουμένης', 'occurrence': 1, 'strong': 'G36250', 'lemma': 'οἰκουμένη', 'morph': 'Gr,N,,,,,GFS,'}]","οἰκουμένης",1,0,"[{'id': 1230203, 'book_id': 'luk', 'chapter': '4', 'verse': '5', 'word_num': 11, 'word': 'of', 'occurrence': 1}]","of",1,"οἰκουμένης = of",0.25,1,0,0
"524075","rom","10","18","20",",1507177,",",1303249,",0,"[{'id': 1507177, 'book_id': 'rom', 'chapter': '10', 'verse': '18', 'word_num': 19, 'word': 'οἰκουμένης', 'occurrence': 1, 'strong': 'G36250', 'lemma': 'οἰκουμένη', 'morph': 'Gr,N,,,,,GFS,'}]","οἰκουμένης",1,0,"[{'id': 1303249, 'book_id': 'rom', 'chapter': '10', 'verse': '18', 'word_num': 27, 'word': 'world', 'occurrence': 1}]","world",1,"οἰκουμένης = world",0.75,3,0,0
