"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"534971","2co","6","18","13",",1518558,",",1319336,",0,"[{'id': 1518558, 'book_id': '2co', 'chapter': '6', 'verse': '18', 'word_num': 15, 'word': 'Παντοκράτωρ', 'occurrence': 1, 'strong': 'G38410', 'lemma': 'παντοκράτωρ', 'morph': 'Gr,N,,,,,NMS,'}]","Παντοκράτωρ",1,0,"[{'id': 1319336, 'book_id': '2co', 'chapter': '6', 'verse': '18', 'word_num': 19, 'word': 'Almighty', 'occurrence': 1}]","Almighty",1,"Παντοκράτωρ = Almighty",0.3,0,0
"562886","rev","1","8","17",",1547725,",",1360164,",0,"[{'id': 1547725, 'book_id': 'rev', 'chapter': '1', 'verse': '8', 'word_num': 20, 'word': 'Παντοκράτωρ', 'occurrence': 1, 'strong': 'G38410', 'lemma': 'παντοκράτωρ', 'morph': 'Gr,N,,,,,NMS,'}]","Παντοκράτωρ",1,0,"[{'id': 1360164, 'book_id': 'rev', 'chapter': '1', 'verse': '8', 'word_num': 24, 'word': 'Almighty', 'occurrence': 1}]","Almighty",1,"Παντοκράτωρ = Almighty",0.3,0,0
"564330","rev","4","8","21",",1549350,1549351,",",1362244,",1,"[{'id': 1549350, 'book_id': 'rev', 'chapter': '4', 'verse': '8', 'word_num': 31, 'word': 'ὁ', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NMS,'}, {'id': 1549351, 'book_id': 'rev', 'chapter': '4', 'verse': '8', 'word_num': 32, 'word': 'Παντοκράτωρ', 'occurrence': 1, 'strong': 'G38410', 'lemma': 'παντοκράτωρ', 'morph': 'Gr,N,,,,,NMS,'}]","ὁ Παντοκράτωρ",2,0,"[{'id': 1362244, 'book_id': 'rev', 'chapter': '4', 'verse': '8', 'word_num': 30, 'word': 'Almighty', 'occurrence': 1}]","Almighty",1,"ὁ Παντοκράτωρ = Almighty",0.5,0,0
"566806","rev","11","17","5",",1552103,1552104,",",1365615,",1,"[{'id': 1552103, 'book_id': 'rev', 'chapter': '11', 'verse': '17', 'word_num': 6, 'word': 'ὁ', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,VMS,'}, {'id': 1552104, 'book_id': 'rev', 'chapter': '11', 'verse': '17', 'word_num': 7, 'word': 'Παντοκράτωρ', 'occurrence': 1, 'strong': 'G38410', 'lemma': 'παντοκράτωρ', 'morph': 'Gr,N,,,,,VMS,'}]","ὁ Παντοκράτωρ",2,0,"[{'id': 1365615, 'book_id': 'rev', 'chapter': '11', 'verse': '17', 'word_num': 9, 'word': 'Almighty', 'occurrence': 1}]","Almighty",1,"ὁ Παντοκράτωρ = Almighty",0.5,0,0
"568257","rev","15","3","22",",1553711,",",1367550,",0,"[{'id': 1553711, 'book_id': 'rev', 'chapter': '15', 'verse': '3', 'word_num': 25, 'word': 'Παντοκράτωρ', 'occurrence': 1, 'strong': 'G38410', 'lemma': 'παντοκράτωρ', 'morph': 'Gr,N,,,,,VMS,'}]","Παντοκράτωρ",1,0,"[{'id': 1367550, 'book_id': 'rev', 'chapter': '15', 'verse': '3', 'word_num': 27, 'word': 'Almighty', 'occurrence': 1}]","Almighty",1,"Παντοκράτωρ = Almighty",0.3,0,0
"568505","rev","16","7","8",",1553982,1553983,",",1367869,",1,"[{'id': 1553982, 'book_id': 'rev', 'chapter': '16', 'verse': '7', 'word_num': 9, 'word': 'ὁ', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,VMS,'}, {'id': 1553983, 'book_id': 'rev', 'chapter': '16', 'verse': '7', 'word_num': 10, 'word': 'Παντοκράτωρ', 'occurrence': 1, 'strong': 'G38410', 'lemma': 'παντοκράτωρ', 'morph': 'Gr,N,,,,,VMS,'}]","ὁ Παντοκράτωρ",2,0,"[{'id': 1367869, 'book_id': 'rev', 'chapter': '16', 'verse': '7', 'word_num': 9, 'word': 'Almighty', 'occurrence': 1}]","Almighty",1,"ὁ Παντοκράτωρ = Almighty",0.5,0,0
"568667","rev","16","14","24",",1554160,1554161,",",1368086,",1,"[{'id': 1554160, 'book_id': 'rev', 'chapter': '16', 'verse': '14', 'word_num': 25, 'word': 'τοῦ', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,GMS,'}, {'id': 1554161, 'book_id': 'rev', 'chapter': '16', 'verse': '14', 'word_num': 26, 'word': 'Παντοκράτορος', 'occurrence': 1, 'strong': 'G38410', 'lemma': 'παντοκράτωρ', 'morph': 'Gr,N,,,,,GMS,'}]","τοῦ Παντοκράτορος",2,0,"[{'id': 1368086, 'book_id': 'rev', 'chapter': '16', 'verse': '14', 'word_num': 35, 'word': 'Almighty', 'occurrence': 1}]","Almighty",1,"τοῦ Παντοκράτορος = Almighty",0.2,0,0
"569878","rev","19","6","23",",1555512,1555513,",",1369723,",1,"[{'id': 1555512, 'book_id': 'rev', 'chapter': '19', 'verse': '6', 'word_num': 24, 'word': 'ὁ', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NMS,'}, {'id': 1555513, 'book_id': 'rev', 'chapter': '19', 'verse': '6', 'word_num': 25, 'word': 'Παντοκράτωρ', 'occurrence': 1, 'strong': 'G38410', 'lemma': 'παντοκράτωρ', 'morph': 'Gr,N,,,,,NMS,'}]","ὁ Παντοκράτωρ",2,0,"[{'id': 1369723, 'book_id': 'rev', 'chapter': '19', 'verse': '6', 'word_num': 32, 'word': 'Almighty', 'occurrence': 1}]","Almighty",1,"ὁ Παντοκράτωρ = Almighty",0.5,0,0
"570065","rev","19","15","31",",1555721,1555722,",",1369980,",1,"[{'id': 1555721, 'book_id': 'rev', 'chapter': '19', 'verse': '15', 'word_num': 34, 'word': 'τοῦ', 'occurrence': 5, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,GMS,'}, {'id': 1555722, 'book_id': 'rev', 'chapter': '19', 'verse': '15', 'word_num': 35, 'word': 'Παντοκράτορος', 'occurrence': 1, 'strong': 'G38410', 'lemma': 'παντοκράτωρ', 'morph': 'Gr,N,,,,,GMS,'}]","τοῦ Παντοκράτορος",2,0,"[{'id': 1369980, 'book_id': 'rev', 'chapter': '19', 'verse': '15', 'word_num': 39, 'word': 'Almighty', 'occurrence': 1}]","Almighty",1,"τοῦ Παντοκράτορος = Almighty",0.2,0,0
"571045","rev","21","22","10",",1556805,1556806,",",1371294,",1,"[{'id': 1556805, 'book_id': 'rev', 'chapter': '21', 'verse': '22', 'word_num': 11, 'word': 'ὁ', 'occurrence': 3, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NMS,'}, {'id': 1556806, 'book_id': 'rev', 'chapter': '21', 'verse': '22', 'word_num': 12, 'word': 'Παντοκράτωρ', 'occurrence': 1, 'strong': 'G38410', 'lemma': 'παντοκράτωρ', 'morph': 'Gr,N,,,,,NMS,'}]","ὁ Παντοκράτωρ",2,0,"[{'id': 1371294, 'book_id': 'rev', 'chapter': '21', 'verse': '22', 'word_num': 12, 'word': 'Almighty', 'occurrence': 1}]","Almighty",1,"ὁ Παντοκράτωρ = Almighty",0.5,0,0
