"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"459552","mrk","3","23","7",",1439347,",",1213812,",0,"[{'id': 1439347, 'book_id': 'mrk', 'chapter': '3', 'verse': '23', 'word_num': 4, 'word': 'παραβολαῖς', 'occurrence': 1, 'strong': 'G38500', 'lemma': 'παραβολή', 'morph': 'Gr,N,,,,,DFP,'}]","παραβολαῖς",1,0,"[{'id': 1213812, 'book_id': 'mrk', 'chapter': '3', 'verse': '23', 'word_num': 11, 'word': 'parables', 'occurrence': 1}]","parables",1,"παραβολαῖς = parables",0.18181818181818182,0,0
"459758","mrk","4","2","4",",1439582,",",1214082,",0,"[{'id': 1439582, 'book_id': 'mrk', 'chapter': '4', 'verse': '2', 'word_num': 4, 'word': 'παραβολαῖς', 'occurrence': 1, 'strong': 'G38500', 'lemma': 'παραβολή', 'morph': 'Gr,N,,,,,DFP,'}]","παραβολαῖς",1,0,"[{'id': 1214082, 'book_id': 'mrk', 'chapter': '4', 'verse': '2', 'word_num': 6, 'word': 'parables', 'occurrence': 1}]","parables",1,"παραβολαῖς = parables",0.18181818181818182,0,0
"459873","mrk","4","10","12",",1439710,",",1214238,",0,"[{'id': 1439710, 'book_id': 'mrk', 'chapter': '4', 'verse': '10', 'word_num': 14, 'word': 'παραβολάς', 'occurrence': 1, 'strong': 'G38500', 'lemma': 'παραβολή', 'morph': 'Gr,N,,,,,AFP,'}]","παραβολάς",1,0,"[{'id': 1214238, 'book_id': 'mrk', 'chapter': '4', 'verse': '10', 'word_num': 17, 'word': 'parables', 'occurrence': 1}]","parables",1,"παραβολάς = parables",0.030303030303030304,0,0
"459891","mrk","4","11","17",",1439727,",",1214264,",0,"[{'id': 1439727, 'book_id': 'mrk', 'chapter': '4', 'verse': '11', 'word_num': 16, 'word': 'παραβολαῖς', 'occurrence': 1, 'strong': 'G38500', 'lemma': 'παραβολή', 'morph': 'Gr,N,,,,,DFP,'}]","παραβολαῖς",1,0,"[{'id': 1214264, 'book_id': 'mrk', 'chapter': '4', 'verse': '11', 'word_num': 25, 'word': 'parables', 'occurrence': 1}]","parables",1,"παραβολαῖς = parables",0.18181818181818182,0,0
"459918","mrk","4","13","8",",1439753,1439754,",",1214305,",1,"[{'id': 1439753, 'book_id': 'mrk', 'chapter': '4', 'verse': '13', 'word_num': 5, 'word': 'τὴν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AFS,'}, {'id': 1439754, 'book_id': 'mrk', 'chapter': '4', 'verse': '13', 'word_num': 6, 'word': 'παραβολὴν', 'occurrence': 1, 'strong': 'G38500', 'lemma': 'παραβολή', 'morph': 'Gr,N,,,,,AFS,'}]","τὴν παραβολὴν",2,0,"[{'id': 1214305, 'book_id': 'mrk', 'chapter': '4', 'verse': '13', 'word_num': 10, 'word': 'parable', 'occurrence': 1}]","parable",1,"τὴν παραβολὴν = parable",0.18181818181818182,0,0
"459924","mrk","4","13","14",",1439760,",",1214314,",0,"[{'id': 1439760, 'book_id': 'mrk', 'chapter': '4', 'verse': '13', 'word_num': 12, 'word': 'παραβολὰς', 'occurrence': 1, 'strong': 'G38500', 'lemma': 'παραβολή', 'morph': 'Gr,N,,,,,AFP,'}]","παραβολὰς",1,0,"[{'id': 1214314, 'book_id': 'mrk', 'chapter': '4', 'verse': '13', 'word_num': 19, 'word': 'parables', 'occurrence': 1}]","parables",1,"παραβολὰς = parables",0.030303030303030304,0,0
"460193","mrk","4","30","10",",1440040,",",1214689,",0,"[{'id': 1440040, 'book_id': 'mrk', 'chapter': '4', 'verse': '30', 'word_num': 12, 'word': 'παραβολῇ', 'occurrence': 1, 'strong': 'G38500', 'lemma': 'παραβολή', 'morph': 'Gr,N,,,,,DFS,'}]","παραβολῇ",1,0,"[{'id': 1214689, 'book_id': 'mrk', 'chapter': '4', 'verse': '30', 'word_num': 15, 'word': 'parable', 'occurrence': 1}]","parable",1,"παραβολῇ = parable",0.030303030303030304,0,0
"460242","mrk","4","33","3",",1440087,",",1214757,",0,"[{'id': 1440087, 'book_id': 'mrk', 'chapter': '4', 'verse': '33', 'word_num': 2, 'word': 'παραβολαῖς', 'occurrence': 1, 'strong': 'G38500', 'lemma': 'παραβολή', 'morph': 'Gr,N,,,,,DFP,'}]","παραβολαῖς",1,0,"[{'id': 1214757, 'book_id': 'mrk', 'chapter': '4', 'verse': '33', 'word_num': 3, 'word': 'parables', 'occurrence': 1}]","parables",1,"παραβολαῖς = parables",0.18181818181818182,0,0
"460257","mrk","4","34","6",",1440098,",",1214780,1214781,",0,"[{'id': 1440098, 'book_id': 'mrk', 'chapter': '4', 'verse': '34', 'word_num': 2, 'word': 'παραβολῆς', 'occurrence': 1, 'strong': 'G38500', 'lemma': 'παραβολή', 'morph': 'Gr,N,,,,,GFS,'}]","παραβολῆς",1,1,"[{'id': 1214780, 'book_id': 'mrk', 'chapter': '4', 'verse': '34', 'word_num': 8, 'word': 'a', 'occurrence': 1}, {'id': 1214781, 'book_id': 'mrk', 'chapter': '4', 'verse': '34', 'word_num': 9, 'word': 'parable', 'occurrence': 1}]","a parable",2,"παραβολῆς = a parable",0.06060606060606061,0,0
"462217","mrk","7","17","13",",1442186,",",1217501,",0,"[{'id': 1442186, 'book_id': 'mrk', 'chapter': '7', 'verse': '17', 'word_num': 14, 'word': 'παραβολήν', 'occurrence': 1, 'strong': 'G38500', 'lemma': 'παραβολή', 'morph': 'Gr,N,,,,,AFS,'}]","παραβολήν",1,0,"[{'id': 1217501, 'book_id': 'mrk', 'chapter': '7', 'verse': '17', 'word_num': 17, 'word': 'parable', 'occurrence': 1}]","parable",1,"παραβολήν = parable",0.06060606060606061,0,0
"465258","mrk","12","1","5",",1445507,",",1221857,",0,"[{'id': 1445507, 'book_id': 'mrk', 'chapter': '12', 'verse': '1', 'word_num': 4, 'word': 'παραβολαῖς', 'occurrence': 1, 'strong': 'G38500', 'lemma': 'παραβολή', 'morph': 'Gr,N,,,,,DFP,'}]","παραβολαῖς",1,0,"[{'id': 1221857, 'book_id': 'mrk', 'chapter': '12', 'verse': '1', 'word_num': 8, 'word': 'parables', 'occurrence': 1}]","parables",1,"παραβολαῖς = parables",0.18181818181818182,0,0
"465421","mrk","12","12","13",",1445679,",",1222101,",0,"[{'id': 1445679, 'book_id': 'mrk', 'chapter': '12', 'verse': '12', 'word_num': 14, 'word': 'παραβολὴν', 'occurrence': 1, 'strong': 'G38500', 'lemma': 'παραβολή', 'morph': 'Gr,N,,,,,AFS,'}]","παραβολὴν",1,0,"[{'id': 1222101, 'book_id': 'mrk', 'chapter': '12', 'verse': '12', 'word_num': 19, 'word': 'parable', 'occurrence': 1}]","parable",1,"παραβολὴν = parable",0.030303030303030304,0,0
"466408","mrk","13","28","2",",1446758,",",1223479,",0,"[{'id': 1446758, 'book_id': 'mrk', 'chapter': '13', 'verse': '28', 'word_num': 6, 'word': 'παραβολήν', 'occurrence': 1, 'strong': 'G38500', 'lemma': 'παραβολή', 'morph': 'Gr,N,,,,,AFS,'}]","παραβολήν",1,0,"[{'id': 1223479, 'book_id': 'mrk', 'chapter': '13', 'verse': '28', 'word_num': 2, 'word': 'parable', 'occurrence': 1}]","parable",1,"παραβολήν = parable",0.06060606060606061,0,0
"471307","luk","4","23","7",",1452067,1452068,",",1230606,",1,"[{'id': 1452067, 'book_id': 'luk', 'chapter': '4', 'verse': '23', 'word_num': 7, 'word': 'τὴν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AFS,'}, {'id': 1452068, 'book_id': 'luk', 'chapter': '4', 'verse': '23', 'word_num': 8, 'word': 'παραβολὴν', 'occurrence': 1, 'strong': 'G38500', 'lemma': 'παραβολή', 'morph': 'Gr,N,,,,,AFS,'}]","τὴν παραβολὴν",2,0,"[{'id': 1230606, 'book_id': 'luk', 'chapter': '4', 'verse': '23', 'word_num': 10, 'word': 'proverb', 'occurrence': 1}]","proverb",1,"τὴν παραβολὴν = proverb",0.030303030303030304,0,0
"472368","luk","5","36","4",",1453144,",",1232015,1232016,",0,"[{'id': 1453144, 'book_id': 'luk', 'chapter': '5', 'verse': '36', 'word_num': 3, 'word': 'παραβολὴν', 'occurrence': 1, 'strong': 'G38500', 'lemma': 'παραβολή', 'morph': 'Gr,N,,,,,AFS,'}]","παραβολὴν",1,1,"[{'id': 1232015, 'book_id': 'luk', 'chapter': '5', 'verse': '36', 'word_num': 4, 'word': 'a', 'occurrence': 1}, {'id': 1232016, 'book_id': 'luk', 'chapter': '5', 'verse': '36', 'word_num': 5, 'word': 'parable', 'occurrence': 1}]","a parable",2,"παραβολὴν = a parable",0.18181818181818182,0,0
"473105","luk","6","39","5",",1453893,",",1233011,1233012,",0,"[{'id': 1453893, 'book_id': 'luk', 'chapter': '6', 'verse': '39', 'word_num': 3, 'word': 'παραβολὴν', 'occurrence': 1, 'strong': 'G38500', 'lemma': 'παραβολή', 'morph': 'Gr,N,,,,,AFS,'}]","παραβολὴν",1,1,"[{'id': 1233011, 'book_id': 'luk', 'chapter': '6', 'verse': '39', 'word_num': 5, 'word': 'a', 'occurrence': 1}, {'id': 1233012, 'book_id': 'luk', 'chapter': '6', 'verse': '39', 'word_num': 6, 'word': 'parable', 'occurrence': 1}]","a parable",2,"παραβολὴν = a parable",0.18181818181818182,0,0
"474316","luk","8","4","15",",1455110,",",1234696,1234697,",0,"[{'id': 1455110, 'book_id': 'luk', 'chapter': '8', 'verse': '4', 'word_num': 13, 'word': 'παραβολῆς', 'occurrence': 1, 'strong': 'G38500', 'lemma': 'παραβολή', 'morph': 'Gr,N,,,,,GFS,'}]","παραβολῆς",1,1,"[{'id': 1234696, 'book_id': 'luk', 'chapter': '8', 'verse': '4', 'word_num': 17, 'word': 'a', 'occurrence': 2}, {'id': 1234697, 'book_id': 'luk', 'chapter': '8', 'verse': '4', 'word_num': 18, 'word': 'parable', 'occurrence': 1}]","a parable",2,"παραβολῆς = a parable",0.06060606060606061,0,0
"474397","luk","8","9","8",",1455196,1455197,",",1234812,",1,"[{'id': 1455196, 'book_id': 'luk', 'chapter': '8', 'verse': '9', 'word_num': 9, 'word': 'ἡ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NFS,'}, {'id': 1455197, 'book_id': 'luk', 'chapter': '8', 'verse': '9', 'word_num': 10, 'word': 'παραβολή', 'occurrence': 1, 'strong': 'G38500', 'lemma': 'παραβολή', 'morph': 'Gr,N,,,,,NFS,'}]","ἡ παραβολή",2,0,"[{'id': 1234812, 'book_id': 'luk', 'chapter': '8', 'verse': '9', 'word_num': 8, 'word': 'parable', 'occurrence': 1}]","parable",1,"ἡ παραβολή = parable",0.030303030303030304,0,0
"474416","luk","8","10","18",",1455214,",",1234837,",0,"[{'id': 1455214, 'book_id': 'luk', 'chapter': '8', 'verse': '10', 'word_num': 16, 'word': 'παραβολαῖς', 'occurrence': 1, 'strong': 'G38500', 'lemma': 'παραβολή', 'morph': 'Gr,N,,,,,DFP,'}]","παραβολαῖς",1,0,"[{'id': 1234837, 'book_id': 'luk', 'chapter': '8', 'verse': '10', 'word_num': 24, 'word': 'parables', 'occurrence': 1}]","parables",1,"παραβολαῖς = parables",0.18181818181818182,0,0
"474429","luk","8","11","2",",1455227,",",1234853,",0,"[{'id': 1455227, 'book_id': 'luk', 'chapter': '8', 'verse': '11', 'word_num': 4, 'word': 'παραβολή', 'occurrence': 1, 'strong': 'G38500', 'lemma': 'παραβολή', 'morph': 'Gr,N,,,,,NFS,'}]","παραβολή",1,0,"[{'id': 1234853, 'book_id': 'luk', 'chapter': '8', 'verse': '11', 'word_num': 2, 'word': 'parable', 'occurrence': 1}]","parable",1,"παραβολή = parable",0.030303030303030304,0,0
"478438","luk","12","16","4",",1459315,",",1240223,1240224,",0,"[{'id': 1459315, 'book_id': 'luk', 'chapter': '12', 'verse': '16', 'word_num': 2, 'word': 'παραβολὴν', 'occurrence': 1, 'strong': 'G38500', 'lemma': 'παραβολή', 'morph': 'Gr,N,,,,,AFS,'}]","παραβολὴν",1,1,"[{'id': 1240223, 'book_id': 'luk', 'chapter': '12', 'verse': '16', 'word_num': 5, 'word': 'a', 'occurrence': 1}, {'id': 1240224, 'book_id': 'luk', 'chapter': '12', 'verse': '16', 'word_num': 6, 'word': 'parable', 'occurrence': 1}]","a parable",2,"παραβολὴν = a parable",0.18181818181818182,0,0
"478837","luk","12","41","6",",1459726,1459727,",",1240794,",1,"[{'id': 1459726, 'book_id': 'luk', 'chapter': '12', 'verse': '41', 'word_num': 7, 'word': 'τὴν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AFS,'}, {'id': 1459727, 'book_id': 'luk', 'chapter': '12', 'verse': '41', 'word_num': 8, 'word': 'παραβολὴν', 'occurrence': 1, 'strong': 'G38500', 'lemma': 'παραβολή', 'morph': 'Gr,N,,,,,AFS,'}]","τὴν παραβολὴν",2,0,"[{'id': 1240794, 'book_id': 'luk', 'chapter': '12', 'verse': '41', 'word_num': 8, 'word': 'parable', 'occurrence': 1}]","parable",1,"τὴν παραβολὴν = parable",0.18181818181818182,0,0
