"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"458265","mrk","1","14","3",",1437972,1437973,",",1212002,1212003,",1,"[{'id': 1437972, 'book_id': 'mrk', 'chapter': '1', 'verse': '14', 'word_num': 2, 'word': 'τὸ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RD,,,,ANS,'}, {'id': 1437973, 'book_id': 'mrk', 'chapter': '1', 'verse': '14', 'word_num': 3, 'word': 'παραδοθῆναι', 'occurrence': 1, 'strong': 'G38600', 'lemma': 'παραδίδωμι', 'morph': 'Gr,V,NAP,,,,,'}]","τὸ παραδοθῆναι",2,1,"[{'id': 1212002, 'book_id': 'mrk', 'chapter': '1', 'verse': '14', 'word_num': 3, 'word': 'was', 'occurrence': 1}, {'id': 1212003, 'book_id': 'mrk', 'chapter': '1', 'verse': '14', 'word_num': 4, 'word': 'arrested', 'occurrence': 1}]","was arrested",2,"τὸ παραδοθῆναι = was arrested",0.011363636363636364,0,0
"459499","mrk","3","19","5",",1439292,",",1213733,",0,"[{'id': 1439292, 'book_id': 'mrk', 'chapter': '3', 'verse': '19', 'word_num': 5, 'word': 'παρέδωκεν', 'occurrence': 1, 'strong': 'G38600', 'lemma': 'παραδίδωμι', 'morph': 'Gr,V,IAA3,,S,'}]","παρέδωκεν",1,0,"[{'id': 1213733, 'book_id': 'mrk', 'chapter': '3', 'verse': '19', 'word_num': 5, 'word': 'betrayed', 'occurrence': 1}]","betrayed",1,"παρέδωκεν = betrayed",0.011363636363636364,0,0
"460173","mrk","4","29","4",",1440017,",",1214661,1214662,",0,"[{'id': 1440017, 'book_id': 'mrk', 'chapter': '4', 'verse': '29', 'word_num': 2, 'word': 'παραδοῖ', 'occurrence': 1, 'strong': 'G38600', 'lemma': 'παραδίδωμι', 'morph': 'Gr,V,SAA3,,S,'}]","παραδοῖ",1,1,"[{'id': 1214661, 'book_id': 'mrk', 'chapter': '4', 'verse': '29', 'word_num': 4, 'word': 'is', 'occurrence': 1}, {'id': 1214662, 'book_id': 'mrk', 'chapter': '4', 'verse': '29', 'word_num': 5, 'word': 'ripe', 'occurrence': 1}]","is ripe",2,"παραδοῖ = is ripe",0.011363636363636364,0,0
"462163","mrk","7","13","10",",1442125,",",1217414,1217415,1217416,1217417,",0,"[{'id': 1442125, 'book_id': 'mrk', 'chapter': '7', 'verse': '13', 'word_num': 9, 'word': 'παρεδώκατε', 'occurrence': 1, 'strong': 'G38600', 'lemma': 'παραδίδωμι', 'morph': 'Gr,V,IAA2,,P,'}]","παρεδώκατε",1,3,"[{'id': 1217414, 'book_id': 'mrk', 'chapter': '7', 'verse': '13', 'word_num': 12, 'word': 'you', 'occurrence': 1}, {'id': 1217415, 'book_id': 'mrk', 'chapter': '7', 'verse': '13', 'word_num': 13, 'word': 'have', 'occurrence': 1}, {'id': 1217416, 'book_id': 'mrk', 'chapter': '7', 'verse': '13', 'word_num': 14, 'word': 'handed', 'occurrence': 1}, {'id': 1217417, 'book_id': 'mrk', 'chapter': '7', 'verse': '13', 'word_num': 15, 'word': 'down', 'occurrence': 1}]","you have handed down",4,"παρεδώκατε = you have handed down",0.011363636363636364,0,0
"463613","mrk","9","31","10",",1443693,",",1219441,1219442,1219443,",0,"[{'id': 1443693, 'book_id': 'mrk', 'chapter': '9', 'verse': '31', 'word_num': 13, 'word': 'παραδίδοται', 'occurrence': 1, 'strong': 'G38600', 'lemma': 'παραδίδωμι', 'morph': 'Gr,V,IPP3,,S,'}]","παραδίδοται",1,2,"[{'id': 1219441, 'book_id': 'mrk', 'chapter': '9', 'verse': '31', 'word_num': 14, 'word': 'will', 'occurrence': 1}, {'id': 1219442, 'book_id': 'mrk', 'chapter': '9', 'verse': '31', 'word_num': 15, 'word': 'be', 'occurrence': 1}, {'id': 1219443, 'book_id': 'mrk', 'chapter': '9', 'verse': '31', 'word_num': 16, 'word': 'delivered', 'occurrence': 1}]","will be delivered",3,"παραδίδοται = will be delivered",0.011363636363636364,0,0
"464414","mrk","10","33","8",",1444575,",",1220615,1220616,1220617,",0,"[{'id': 1444575, 'book_id': 'mrk', 'chapter': '10', 'verse': '33', 'word_num': 10, 'word': 'παραδοθήσεται', 'occurrence': 1, 'strong': 'G38600', 'lemma': 'παραδίδωμι', 'morph': 'Gr,V,IFP3,,S,'}]","παραδοθήσεται",1,2,"[{'id': 1220615, 'book_id': 'mrk', 'chapter': '10', 'verse': '33', 'word_num': 12, 'word': 'will', 'occurrence': 1}, {'id': 1220616, 'book_id': 'mrk', 'chapter': '10', 'verse': '33', 'word_num': 13, 'word': 'be', 'occurrence': 1}, {'id': 1220617, 'book_id': 'mrk', 'chapter': '10', 'verse': '33', 'word_num': 14, 'word': 'delivered', 'occurrence': 1}]","will be delivered",3,"παραδοθήσεται = will be delivered",0.011363636363636364,0,0
"464423","mrk","10","33","17",",1444585,",",1220632,",0,"[{'id': 1444585, 'book_id': 'mrk', 'chapter': '10', 'verse': '33', 'word_num': 20, 'word': 'παραδώσουσιν', 'occurrence': 1, 'strong': 'G38600', 'lemma': 'παραδίδωμι', 'morph': 'Gr,V,IFA3,,P,'}]","παραδώσουσιν",1,0,"[{'id': 1220632, 'book_id': 'mrk', 'chapter': '10', 'verse': '33', 'word_num': 29, 'word': 'deliver', 'occurrence': 1}]","deliver",1,"παραδώσουσιν = deliver",0.011363636363636364,0,0
"466111","mrk","13","9","3",",1446434,",",1223055,1223056,1223057,",0,"[{'id': 1446434, 'book_id': 'mrk', 'chapter': '13', 'verse': '9', 'word_num': 4, 'word': 'παραδώσουσιν', 'occurrence': 1, 'strong': 'G38600', 'lemma': 'παραδίδωμι', 'morph': 'Gr,V,IFA3,,P,'}]","παραδώσουσιν",1,2,"[{'id': 1223055, 'book_id': 'mrk', 'chapter': '13', 'verse': '9', 'word_num': 6, 'word': 'They', 'occurrence': 1}, {'id': 1223056, 'book_id': 'mrk', 'chapter': '13', 'verse': '9', 'word_num': 7, 'word': 'will', 'occurrence': 1}, {'id': 1223057, 'book_id': 'mrk', 'chapter': '13', 'verse': '9', 'word_num': 8, 'word': 'deliver', 'occurrence': 1}]","They will deliver",3,"παραδώσουσιν = They will deliver",0.011363636363636364,0,0
"466144","mrk","13","11","3",",1446467,",",1223100,1223101,1223102,1223103,",0,"[{'id': 1446467, 'book_id': 'mrk', 'chapter': '13', 'verse': '11', 'word_num': 4, 'word': 'παραδιδόντες', 'occurrence': 1, 'strong': 'G38600', 'lemma': 'παραδίδωμι', 'morph': 'Gr,V,PPA,NMP,'}]","παραδιδόντες",1,3,"[{'id': 1223100, 'book_id': 'mrk', 'chapter': '13', 'verse': '11', 'word_num': 4, 'word': 'and', 'occurrence': 1}, {'id': 1223101, 'book_id': 'mrk', 'chapter': '13', 'verse': '11', 'word_num': 5, 'word': 'hand', 'occurrence': 1}, {'id': 1223102, 'book_id': 'mrk', 'chapter': '13', 'verse': '11', 'word_num': 6, 'word': 'you', 'occurrence': 2}, {'id': 1223103, 'book_id': 'mrk', 'chapter': '13', 'verse': '11', 'word_num': 7, 'word': 'over', 'occurrence': 1}]","and hand you over",4,"παραδιδόντες = and hand you over",0.011363636363636364,0,0
"466169","mrk","13","12","1",",1446494,1446495,",",1223139,1223140,1223141,",1,"[{'id': 1446494, 'book_id': 'mrk', 'chapter': '13', 'verse': '12', 'word_num': 0, 'word': 'καὶ', 'occurrence': 1, 'strong': 'G25320', 'lemma': 'καί', 'morph': 'Gr,CC,,,,,,,,'}, {'id': 1446495, 'book_id': 'mrk', 'chapter': '13', 'verse': '12', 'word_num': 1, 'word': 'παραδώσει', 'occurrence': 1, 'strong': 'G38600', 'lemma': 'παραδίδωμι', 'morph': 'Gr,V,IFA3,,S,'}]","καὶ παραδώσει",2,2,"[{'id': 1223139, 'book_id': 'mrk', 'chapter': '13', 'verse': '12', 'word_num': 1, 'word': 'will', 'occurrence': 1}, {'id': 1223140, 'book_id': 'mrk', 'chapter': '13', 'verse': '12', 'word_num': 2, 'word': 'deliver', 'occurrence': 1}, {'id': 1223141, 'book_id': 'mrk', 'chapter': '13', 'verse': '12', 'word_num': 3, 'word': 'up', 'occurrence': 1}]","will deliver up",3,"καὶ παραδώσει = will deliver up",0.011363636363636364,0,0
