"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"468849","luk","1","27","1",",1449521,",",1227278,1227279,",0,"[{'id': 1449521, 'book_id': 'luk', 'chapter': '1', 'verse': '27', 'word_num': 1, 'word': 'παρθένον', 'occurrence': 1, 'strong': 'G39330', 'lemma': 'παρθένος', 'morph': 'Gr,N,,,,,AFS,'}]","παρθένον",1,1,"[{'id': 1227278, 'book_id': 'luk', 'chapter': '1', 'verse': '27', 'word_num': 1, 'word': 'a', 'occurrence': 1}, {'id': 1227279, 'book_id': 'luk', 'chapter': '1', 'verse': '27', 'word_num': 2, 'word': 'virgin', 'occurrence': 1}]","a virgin",2,"παρθένον = a virgin",0.09090909090909091,0,0
"468861","luk","1","27","13",",1449534,",",1227296,",0,"[{'id': 1449534, 'book_id': 'luk', 'chapter': '1', 'verse': '27', 'word_num': 14, 'word': 'παρθένου', 'occurrence': 1, 'strong': 'G39330', 'lemma': 'παρθένος', 'morph': 'Gr,N,,,,,GFS,'}]","παρθένου",1,0,"[{'id': 1227296, 'book_id': 'luk', 'chapter': '1', 'verse': '27', 'word_num': 19, 'word': 'of', 'occurrence': 3}]","of",1,"παρθένου = of",0.09090909090909091,0,0
"515176","act","21","9","4",",1497804,",",1290207,",0,"[{'id': 1497804, 'book_id': 'act', 'chapter': '21', 'verse': '9', 'word_num': 5, 'word': 'παρθένοι', 'occurrence': 1, 'strong': 'G39330', 'lemma': 'παρθένος', 'morph': 'Gr,N,,,,,NFP,'}]","παρθένοι",1,0,"[{'id': 1290207, 'book_id': 'act', 'chapter': '21', 'verse': '9', 'word_num': 5, 'word': 'virgin', 'occurrence': 1}]","virgin",1,"παρθένοι = virgin",0.09090909090909091,0,0
"528744","1co","7","25","3",",1512155,",",1310217,",0,"[{'id': 1512155, 'book_id': '1co', 'chapter': '7', 'verse': '25', 'word_num': 3, 'word': 'παρθένων', 'occurrence': 1, 'strong': 'G39330', 'lemma': 'παρθένος', 'morph': 'Gr,N,,,,,GFP,'}]","παρθένων",1,0,"[{'id': 1310217, 'book_id': '1co', 'chapter': '7', 'verse': '25', 'word_num': 3, 'word': 'virgins', 'occurrence': 1}]","virgins",1,"παρθένων = virgins",0.09090909090909091,0,0
"528794","1co","7","28","9",",1512204,1512205,",",1310300,1310301,",1,"[{'id': 1512204, 'book_id': '1co', 'chapter': '7', 'verse': '28', 'word_num': 9, 'word': 'ἡ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NFS,'}, {'id': 1512205, 'book_id': '1co', 'chapter': '7', 'verse': '28', 'word_num': 10, 'word': 'παρθένος', 'occurrence': 1, 'strong': 'G39330', 'lemma': 'παρθένος', 'morph': 'Gr,N,,,,,NFS,'}]","ἡ παρθένος",2,1,"[{'id': 1310300, 'book_id': '1co', 'chapter': '7', 'verse': '28', 'word_num': 11, 'word': 'a', 'occurrence': 1}, {'id': 1310301, 'book_id': '1co', 'chapter': '7', 'verse': '28', 'word_num': 12, 'word': 'virgin', 'occurrence': 1}]","a virgin",2,"ἡ παρθένος = a virgin",0.09090909090909091,0,0
"528893","1co","7","33","18",",1512306,",",1310455,",0,"[{'id': 1512306, 'book_id': '1co', 'chapter': '7', 'verse': '33', 'word_num': 20, 'word': 'παρθένος', 'occurrence': 1, 'strong': 'G39330', 'lemma': 'παρθένος', 'morph': 'Gr,N,,,,,NFS,'}]","παρθένος",1,0,"[{'id': 1310455, 'book_id': '1co', 'chapter': '7', 'verse': '33', 'word_num': 26, 'word': 'virgin', 'occurrence': 1}]","virgin",1,"παρθένος = virgin",0.09090909090909091,0,0
"528945","1co","7","36","7",",1512358,1512359,",",1310538,",1,"[{'id': 1512358, 'book_id': '1co', 'chapter': '7', 'verse': '36', 'word_num': 5, 'word': 'τὴν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AFS,'}, {'id': 1512359, 'book_id': '1co', 'chapter': '7', 'verse': '36', 'word_num': 6, 'word': 'παρθένον', 'occurrence': 1, 'strong': 'G39330', 'lemma': 'παρθένος', 'morph': 'Gr,N,,,,,AFS,'}]","τὴν παρθένον",2,0,"[{'id': 1310538, 'book_id': '1co', 'chapter': '7', 'verse': '36', 'word_num': 10, 'word': 'virgin', 'occurrence': 1}]","virgin",1,"τὴν παρθένον = virgin",0.09090909090909091,0,0
"528986","1co","7","37","26",",1512403,",",1310597,",0,"[{'id': 1512403, 'book_id': '1co', 'chapter': '7', 'verse': '37', 'word_num': 28, 'word': 'παρθένον', 'occurrence': 1, 'strong': 'G39330', 'lemma': 'παρθένος', 'morph': 'Gr,N,,,,,AFS,'}]","παρθένον",1,0,"[{'id': 1310597, 'book_id': '1co', 'chapter': '7', 'verse': '37', 'word_num': 32, 'word': 'virgin', 'occurrence': 1}]","virgin",1,"παρθένον = virgin",0.18181818181818182,0,0
"528994","1co","7","38","5",",1512412,",",1310610,",0,"[{'id': 1512412, 'book_id': '1co', 'chapter': '7', 'verse': '38', 'word_num': 6, 'word': 'παρθένον', 'occurrence': 1, 'strong': 'G39330', 'lemma': 'παρθένος', 'morph': 'Gr,N,,,,,AFS,'}]","παρθένον",1,0,"[{'id': 1310610, 'book_id': '1co', 'chapter': '7', 'verse': '38', 'word_num': 8, 'word': 'virgin', 'occurrence': 1}]","virgin",1,"παρθένον = virgin",0.18181818181818182,0,0
"536272","2co","11","2","13",",1519911,",",1321242,1321243,",0,"[{'id': 1519911, 'book_id': '2co', 'chapter': '11', 'verse': '2', 'word_num': 10, 'word': 'παρθένον', 'occurrence': 1, 'strong': 'G39330', 'lemma': 'παρθένος', 'morph': 'Gr,N,,,,,AFS,'}]","παρθένον",1,1,"[{'id': 1321242, 'book_id': '2co', 'chapter': '11', 'verse': '2', 'word_num': 22, 'word': 'as', 'occurrence': 1}, {'id': 1321243, 'book_id': '2co', 'chapter': '11', 'verse': '2', 'word_num': 23, 'word': 'a', 'occurrence': 2}]","as a",2,"παρθένον = as a",0.09090909090909091,0,0
"567779","rev","14","4","10",",1553179,",",1366922,",0,"[{'id': 1553179, 'book_id': 'rev', 'chapter': '14', 'verse': '4', 'word_num': 7, 'word': 'παρθένοι', 'occurrence': 1, 'strong': 'G39330', 'lemma': 'παρθένος', 'morph': 'Gr,N,,,,,NMP,'}]","παρθένοι",1,0,"[{'id': 1366922, 'book_id': 'rev', 'chapter': '14', 'verse': '4', 'word_num': 14, 'word': 'virgins', 'occurrence': 1}]","virgins",1,"παρθένοι = virgins",0.09090909090909091,0,0
