"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"136095","act","1","4","12",",769794,",",753246,753248,",0,"[{'id': 769794, 'book_id': 'act', 'chapter': '1', 'verse': '4', 'word_num': 13, 'word': 'Πατρὸς', 'occurrence': 1, 'strong': 'G39620', 'lemma': 'πατήρ', 'morph': 'Gr,N,,,,,GMS,'}]","Πατρὸς",1,2,"[{'id': 753246, 'book_id': 'act', 'chapter': '1', 'verse': '4', 'word_num': 20, 'word': 'of', 'occurrence': 1}, {'id': 753248, 'book_id': 'act', 'chapter': '1', 'verse': '4', 'word_num': 22, 'word': 'Father', 'occurrence': 1}]","of Father",2,"Πατρὸς = of Father",0.01098901098901099,0,1
"136144","act","1","7","13",",769845,",",753312,",0,"[{'id': 769845, 'book_id': 'act', 'chapter': '1', 'verse': '7', 'word_num': 13, 'word': 'Πατὴρ', 'occurrence': 1, 'strong': 'G39620', 'lemma': 'πατήρ', 'morph': 'Gr,N,,,,,NMS,'}]","Πατὴρ",1,0,"[{'id': 753312, 'book_id': 'act', 'chapter': '1', 'verse': '7', 'word_num': 19, 'word': 'Father', 'occurrence': 1}]","Father",1,"Πατὴρ = Father",0.06593406593406594,0,0
"137013","act","2","33","15",",770812,",",754533,",0,"[{'id': 770812, 'book_id': 'act', 'chapter': '2', 'verse': '33', 'word_num': 16, 'word': 'Πατρὸς', 'occurrence': 1, 'strong': 'G39620', 'lemma': 'πατήρ', 'morph': 'Gr,N,,,,,GMS,'}]","Πατρὸς",1,0,"[{'id': 754533, 'book_id': 'act', 'chapter': '2', 'verse': '33', 'word_num': 21, 'word': 'Father', 'occurrence': 1}]","Father",1,"Πατρὸς = Father",0.06593406593406594,0,0
"137474","act","3","13","12",",771306,",",755144,",0,"[{'id': 771306, 'book_id': 'act', 'chapter': '3', 'verse': '13', 'word_num': 12, 'word': 'πατέρων', 'occurrence': 1, 'strong': 'G39620', 'lemma': 'πατήρ', 'morph': 'Gr,N,,,,,GMP,'}]","πατέρων",1,0,"[{'id': 755144, 'book_id': 'act', 'chapter': '3', 'verse': '13', 'word_num': 18, 'word': 'fathers', 'occurrence': 1}]","fathers",1,"πατέρων = fathers",0.06593406593406594,0,0
"137672","act","3","25","13",",771532,771533,",",755444,",1,"[{'id': 771532, 'book_id': 'act', 'chapter': '3', 'verse': '25', 'word_num': 14, 'word': 'τοὺς', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AMP,'}, {'id': 771533, 'book_id': 'act', 'chapter': '3', 'verse': '25', 'word_num': 15, 'word': 'πατέρας', 'occurrence': 1, 'strong': 'G39620', 'lemma': 'πατήρ', 'morph': 'Gr,N,,,,,AMP,'}]","τοὺς πατέρας",2,0,"[{'id': 755444, 'book_id': 'act', 'chapter': '3', 'verse': '25', 'word_num': 16, 'word': 'ancestors', 'occurrence': 1}]","ancestors",1,"τοὺς πατέρας = ancestors",0.01098901098901099,0,0
"138107","act","4","25","2",",772002,",",756048,",0,"[{'id': 772002, 'book_id': 'act', 'chapter': '4', 'verse': '25', 'word_num': 2, 'word': 'πατρὸς', 'occurrence': 1, 'strong': 'G39620', 'lemma': 'πατήρ', 'morph': 'Gr,N,,,,,GMS,'}]","πατρὸς",1,0,"[{'id': 756048, 'book_id': 'act', 'chapter': '4', 'verse': '25', 'word_num': 4, 'word': 'father', 'occurrence': 1}]","father",1,"πατρὸς = father",0.03296703296703297,0,0
"138847","act","5","30","3",",772794,",",757055,",0,"[{'id': 772794, 'book_id': 'act', 'chapter': '5', 'verse': '30', 'word_num': 3, 'word': 'πατέρων', 'occurrence': 1, 'strong': 'G39620', 'lemma': 'πατήρ', 'morph': 'Gr,N,,,,,GMP,'}]","πατέρων",1,0,"[{'id': 757055, 'book_id': 'act', 'chapter': '5', 'verse': '30', 'word_num': 4, 'word': 'fathers', 'occurrence': 1}]","fathers",1,"πατέρων = fathers",0.06593406593406594,0,0
"139334","act","7","2","6",",773318,",",757751,",0,"[{'id': 773318, 'book_id': 'act', 'chapter': '7', 'verse': '2', 'word_num': 6, 'word': 'πατέρες', 'occurrence': 1, 'strong': 'G39620', 'lemma': 'πατήρ', 'morph': 'Gr,N,,,,,VMP,'}]","πατέρες",1,0,"[{'id': 757751, 'book_id': 'act', 'chapter': '7', 'verse': '2', 'word_num': 6, 'word': 'fathers', 'occurrence': 1}]","fathers",1,"πατέρες = fathers",0.04395604395604396,0,0
"139342","act","7","2","14",",773326,",",757762,",0,"[{'id': 773326, 'book_id': 'act', 'chapter': '7', 'verse': '2', 'word_num': 14, 'word': 'πατρὶ', 'occurrence': 1, 'strong': 'G39620', 'lemma': 'πατήρ', 'morph': 'Gr,N,,,,,DMS,'}]","πατρὶ",1,0,"[{'id': 757762, 'book_id': 'act', 'chapter': '7', 'verse': '2', 'word_num': 17, 'word': 'father', 'occurrence': 1}]","father",1,"πατρὶ = father",0.02197802197802198,0,0
"139388","act","7","4","13",",773375,",",757820,",0,"[{'id': 773375, 'book_id': 'act', 'chapter': '7', 'verse': '4', 'word_num': 13, 'word': 'πατέρα', 'occurrence': 1, 'strong': 'G39620', 'lemma': 'πατήρ', 'morph': 'Gr,N,,,,,AMS,'}]","πατέρα",1,0,"[{'id': 757820, 'book_id': 'act', 'chapter': '7', 'verse': '4', 'word_num': 21, 'word': 'father', 'occurrence': 1}]","father",1,"πατέρα = father",0.03296703296703297,0,0
