"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"477565","luk","11","22","12",",1458432,",",1239045,1239046,",0,"[{'id': 1458432, 'book_id': 'luk', 'chapter': '11', 'verse': '22', 'word_num': 13, 'word': 'ἐπεποίθει', 'occurrence': 1, 'strong': 'G39820', 'lemma': 'πείθω', 'morph': 'Gr,V,ILA3,,S,'}]","ἐπεποίθει",1,1,"[{'id': 1239045, 'book_id': 'luk', 'chapter': '11', 'verse': '22', 'word_num': 20, 'word': 'he', 'occurrence': 2}, {'id': 1239046, 'book_id': 'luk', 'chapter': '11', 'verse': '22', 'word_num': 21, 'word': 'trusted', 'occurrence': 1}]","he trusted",2,"ἐπεποίθει = he trusted",1.0,1,0,0
"481568","luk","16","31","12",",1462497,",",1244531,1244532,1244533,1244534,",0,"[{'id': 1462497, 'book_id': 'luk', 'chapter': '16', 'verse': '31', 'word_num': 16, 'word': 'πεισθήσονται', 'occurrence': 1, 'strong': 'G39820', 'lemma': 'πείθω', 'morph': 'Gr,V,IFP3,,P,'}]","πεισθήσονται",1,3,"[{'id': 1244531, 'book_id': 'luk', 'chapter': '16', 'verse': '31', 'word_num': 16, 'word': 'will', 'occurrence': 1}, {'id': 1244532, 'book_id': 'luk', 'chapter': '16', 'verse': '31', 'word_num': 17, 'word': 'they', 'occurrence': 2}, {'id': 1244533, 'book_id': 'luk', 'chapter': '16', 'verse': '31', 'word_num': 18, 'word': 'be', 'occurrence': 1}, {'id': 1244534, 'book_id': 'luk', 'chapter': '16', 'verse': '31', 'word_num': 19, 'word': 'persuaded', 'occurrence': 1}]","will they be persuaded",4,"πεισθήσονται = will they be persuaded",1.0,1,0,0
"482289","luk","18","9","9",",1463215,",",1245542,1245543,",0,"[{'id': 1463215, 'book_id': 'luk', 'chapter': '18', 'verse': '9', 'word_num': 6, 'word': 'πεποιθότας', 'occurrence': 1, 'strong': 'G39820', 'lemma': 'πείθω', 'morph': 'Gr,V,PEA,AMP,'}]","πεποιθότας",1,1,"[{'id': 1245542, 'book_id': 'luk', 'chapter': '18', 'verse': '9', 'word_num': 9, 'word': 'were', 'occurrence': 1}, {'id': 1245543, 'book_id': 'luk', 'chapter': '18', 'verse': '9', 'word_num': 10, 'word': 'persuaded', 'occurrence': 1}]","were persuaded",2,"πεποιθότας = were persuaded",0.5,1,0,0
"542134","php","1","14","3",",1525897,",",1329616,",0,"[{'id': 1525897, 'book_id': 'php', 'chapter': '1', 'verse': '14', 'word_num': 7, 'word': 'πεποιθότας', 'occurrence': 1, 'strong': 'G39820', 'lemma': 'πείθω', 'morph': 'Gr,V,PEA,AMP,'}]","πεποιθότας",1,0,"[{'id': 1329616, 'book_id': 'php', 'chapter': '1', 'verse': '14', 'word_num': 4, 'word': 'have', 'occurrence': 1}]","have",1,"πεποιθότας = have",0.5,1,0,0
"483643","luk","20","6","12",",1464595,",",1247453,1247454,",0,"[{'id': 1464595, 'book_id': 'luk', 'chapter': '20', 'verse': '6', 'word_num': 10, 'word': 'πεπεισμένος', 'occurrence': 1, 'strong': 'G39820', 'lemma': 'πείθω', 'morph': 'Gr,V,PEP,NMS,'}]","πεπεισμένος",1,1,"[{'id': 1247453, 'book_id': 'luk', 'chapter': '20', 'verse': '6', 'word_num': 15, 'word': 'persuaded', 'occurrence': 1}, {'id': 1247454, 'book_id': 'luk', 'chapter': '20', 'verse': '6', 'word_num': 16, 'word': 'that', 'occurrence': 1}]","persuaded that",2,"πεπεισμένος = persuaded that",1.0,1,0,0
"505010","act","5","36","20",",1487333,1487334,",",1276472,1276473,1276474,1276475,",1,"[{'id': 1487333, 'book_id': 'act', 'chapter': '5', 'verse': '36', 'word_num': 21, 'word': 'ὅσοι', 'occurrence': 1, 'strong': 'G37450', 'lemma': 'ὅσος', 'morph': 'Gr,RR,,,,NMP,'}, {'id': 1487334, 'book_id': 'act', 'chapter': '5', 'verse': '36', 'word_num': 22, 'word': 'ἐπείθοντο', 'occurrence': 1, 'strong': 'G39820', 'lemma': 'πείθω', 'morph': 'Gr,V,IIP3,,P,'}]","ὅσοι ἐπείθοντο",2,3,"[{'id': 1276472, 'book_id': 'act', 'chapter': '5', 'verse': '36', 'word_num': 25, 'word': 'who', 'occurrence': 1}, {'id': 1276473, 'book_id': 'act', 'chapter': '5', 'verse': '36', 'word_num': 26, 'word': 'had', 'occurrence': 1}, {'id': 1276474, 'book_id': 'act', 'chapter': '5', 'verse': '36', 'word_num': 27, 'word': 'been', 'occurrence': 1}, {'id': 1276475, 'book_id': 'act', 'chapter': '5', 'verse': '36', 'word_num': 28, 'word': 'obeying', 'occurrence': 1}]","who had been obeying",4,"ὅσοι ἐπείθοντο = who had been obeying",0.6666666666666666,2,0,0
"505038","act","5","37","21",",1487361,1487362,",",1276509,1276510,1276511,1276512,",1,"[{'id': 1487361, 'book_id': 'act', 'chapter': '5', 'verse': '37', 'word_num': 20, 'word': 'ὅσοι', 'occurrence': 1, 'strong': 'G37450', 'lemma': 'ὅσος', 'morph': 'Gr,RR,,,,NMP,'}, {'id': 1487362, 'book_id': 'act', 'chapter': '5', 'verse': '37', 'word_num': 21, 'word': 'ἐπείθοντο', 'occurrence': 1, 'strong': 'G39820', 'lemma': 'πείθω', 'morph': 'Gr,V,IIP3,,P,'}]","ὅσοι ἐπείθοντο",2,3,"[{'id': 1276509, 'book_id': 'act', 'chapter': '5', 'verse': '37', 'word_num': 26, 'word': 'who', 'occurrence': 1}, {'id': 1276510, 'book_id': 'act', 'chapter': '5', 'verse': '37', 'word_num': 27, 'word': 'had', 'occurrence': 1}, {'id': 1276511, 'book_id': 'act', 'chapter': '5', 'verse': '37', 'word_num': 28, 'word': 'been', 'occurrence': 1}, {'id': 1276512, 'book_id': 'act', 'chapter': '5', 'verse': '37', 'word_num': 29, 'word': 'obeying', 'occurrence': 1}]","who had been obeying",4,"ὅσοι ἐπείθοντο = who had been obeying",0.6666666666666666,2,0,0
"519761","act","28","24","1",",1502483,",",1296623,1296624,1296625,",0,"[{'id': 1502483, 'book_id': 'act', 'chapter': '28', 'verse': '24', 'word_num': 3, 'word': 'ἐπείθοντο', 'occurrence': 1, 'strong': 'G39820', 'lemma': 'πείθω', 'morph': 'Gr,V,IIP3,,P,'}]","ἐπείθοντο",1,2,"[{'id': 1296623, 'book_id': 'act', 'chapter': '28', 'verse': '24', 'word_num': 1, 'word': 'were', 'occurrence': 1}, {'id': 1296624, 'book_id': 'act', 'chapter': '28', 'verse': '24', 'word_num': 2, 'word': 'convinced', 'occurrence': 1}, {'id': 1296625, 'book_id': 'act', 'chapter': '28', 'verse': '24', 'word_num': 3, 'word': 'about', 'occurrence': 1}]","were convinced about",3,"ἐπείθοντο = were convinced about",0.3333333333333333,1,0,0
"505080","act","5","39","16",",1487404,",",1276571,1276572,1276573,",0,"[{'id': 1487404, 'book_id': 'act', 'chapter': '5', 'verse': '39', 'word_num': 13, 'word': 'ἐπείσθησαν', 'occurrence': 1, 'strong': 'G39820', 'lemma': 'πείθω', 'morph': 'Gr,V,IAP3,,P,'}]","ἐπείσθησαν",1,2,"[{'id': 1276571, 'book_id': 'act', 'chapter': '5', 'verse': '39', 'word_num': 26, 'word': 'they', 'occurrence': 1}, {'id': 1276572, 'book_id': 'act', 'chapter': '5', 'verse': '39', 'word_num': 27, 'word': 'were', 'occurrence': 1}, {'id': 1276573, 'book_id': 'act', 'chapter': '5', 'verse': '39', 'word_num': 28, 'word': 'persuaded', 'occurrence': 1}]","they were persuaded",3,"ἐπείσθησαν = they were persuaded",0.5,1,0,0
"512564","act","17","4","3",",1495092,",",1286686,1286687,",0,"[{'id': 1495092, 'book_id': 'act', 'chapter': '17', 'verse': '4', 'word_num': 4, 'word': 'ἐπείσθησαν', 'occurrence': 1, 'strong': 'G39820', 'lemma': 'πείθω', 'morph': 'Gr,V,IAP3,,P,'}]","ἐπείσθησαν",1,1,"[{'id': 1286686, 'book_id': 'act', 'chapter': '17', 'verse': '4', 'word_num': 3, 'word': 'were', 'occurrence': 1}, {'id': 1286687, 'book_id': 'act', 'chapter': '17', 'verse': '4', 'word_num': 4, 'word': 'persuaded', 'occurrence': 1}]","were persuaded",2,"ἐπείσθησαν = were persuaded",0.5,1,0,0
"509676","act","12","20","11",",1492124,",",1282743,1282744,",0,"[{'id': 1492124, 'book_id': 'act', 'chapter': '12', 'verse': '20', 'word_num': 12, 'word': 'πείσαντες', 'occurrence': 1, 'strong': 'G39820', 'lemma': 'πείθω', 'morph': 'Gr,V,PAA,NMP,'}]","πείσαντες",1,1,"[{'id': 1282743, 'book_id': 'act', 'chapter': '12', 'verse': '20', 'word_num': 18, 'word': 'They', 'occurrence': 1}, {'id': 1282744, 'book_id': 'act', 'chapter': '12', 'verse': '20', 'word_num': 19, 'word': 'persuaded', 'occurrence': 1}]","They persuaded",2,"πείσαντες = They persuaded",0.5,1,0,0
"511001","act","14","19","8",",1493463,",",1284538,",0,"[{'id': 1493463, 'book_id': 'act', 'chapter': '14', 'verse': '19', 'word_num': 8, 'word': 'πείσαντες', 'occurrence': 1, 'strong': 'G39820', 'lemma': 'πείθω', 'morph': 'Gr,V,PAA,NMP,'}]","πείσαντες",1,0,"[{'id': 1284538, 'book_id': 'act', 'chapter': '14', 'verse': '19', 'word_num': 9, 'word': 'persuaded', 'occurrence': 1}]","persuaded",1,"πείσαντες = persuaded",0.5,1,0,0
"510511","act","13","43","19",",1492973,",",1283887,1283888,",0,"[{'id': 1492973, 'book_id': 'act', 'chapter': '13', 'verse': '43', 'word_num': 20, 'word': 'ἔπειθον', 'occurrence': 1, 'strong': 'G39820', 'lemma': 'πείθω', 'morph': 'Gr,V,IIA3,,P,'}]","ἔπειθον",1,1,"[{'id': 1283887, 'book_id': 'act', 'chapter': '13', 'verse': '43', 'word_num': 21, 'word': 'and', 'occurrence': 3}, {'id': 1283888, 'book_id': 'act', 'chapter': '13', 'verse': '43', 'word_num': 22, 'word': 'urged', 'occurrence': 1}]","and urged",2,"ἔπειθον = and urged",1.0,1,0,0
