"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"458250","mrk","1","13","6",",1437956,",",1211984,1211985,",0,"[{'id': 1437956, 'book_id': 'mrk', 'chapter': '1', 'verse': '13', 'word_num': 7, 'word': 'πειραζόμενος', 'occurrence': 1, 'strong': 'G39850', 'lemma': 'πειράζω', 'morph': 'Gr,V,PPP,NMS,'}]","πειραζόμενος",1,1,"[{'id': 1211984, 'book_id': 'mrk', 'chapter': '1', 'verse': '13', 'word_num': 7, 'word': 'being', 'occurrence': 1}, {'id': 1211985, 'book_id': 'mrk', 'chapter': '1', 'verse': '13', 'word_num': 8, 'word': 'tempted', 'occurrence': 1}]","being tempted",2,"πειραζόμενος = being tempted",0.25,1,0,0
"470973","luk","4","2","0",",1451721,",",1230130,",0,"[{'id': 1451721, 'book_id': 'luk', 'chapter': '4', 'verse': '2', 'word_num': 2, 'word': 'πειραζόμενος', 'occurrence': 1, 'strong': 'G39850', 'lemma': 'πειράζω', 'morph': 'Gr,V,PPP,NMS,'}]","πειραζόμενος",1,0,"[{'id': 1230130, 'book_id': 'luk', 'chapter': '4', 'verse': '2', 'word_num': 0, 'word': 'where', 'occurrence': 1}]","where",1,"πειραζόμενος = where",0.25,1,0,0
"554539","heb","11","17","2",",1538770,",",1347703,1347704,1347705,1347706,",0,"[{'id': 1538770, 'book_id': 'heb', 'chapter': '11', 'verse': '17', 'word_num': 5, 'word': 'πειραζόμενος', 'occurrence': 1, 'strong': 'G39850', 'lemma': 'πειράζω', 'morph': 'Gr,V,PPP,NMS,'}]","πειραζόμενος",1,3,"[{'id': 1347703, 'book_id': 'heb', 'chapter': '11', 'verse': '17', 'word_num': 3, 'word': 'when', 'occurrence': 1}, {'id': 1347704, 'book_id': 'heb', 'chapter': '11', 'verse': '17', 'word_num': 4, 'word': 'he', 'occurrence': 1}, {'id': 1347705, 'book_id': 'heb', 'chapter': '11', 'verse': '17', 'word_num': 5, 'word': 'was', 'occurrence': 1}, {'id': 1347706, 'book_id': 'heb', 'chapter': '11', 'verse': '17', 'word_num': 6, 'word': 'tested', 'occurrence': 1}]","when he was tested",4,"πειραζόμενος = when he was tested",0.25,1,0,0
"555858","jas","1","13","3",",1540133,",",1349686,1349687,1349688,1349689,",0,"[{'id': 1540133, 'book_id': 'jas', 'chapter': '1', 'verse': '13', 'word_num': 1, 'word': 'πειραζόμενος', 'occurrence': 1, 'strong': 'G39850', 'lemma': 'πειράζω', 'morph': 'Gr,V,PPP,NMS,'}]","πειραζόμενος",1,3,"[{'id': 1349686, 'book_id': 'jas', 'chapter': '1', 'verse': '13', 'word_num': 4, 'word': 'when', 'occurrence': 1}, {'id': 1349687, 'book_id': 'jas', 'chapter': '1', 'verse': '13', 'word_num': 5, 'word': 'he', 'occurrence': 1}, {'id': 1349688, 'book_id': 'jas', 'chapter': '1', 'verse': '13', 'word_num': 6, 'word': 'is', 'occurrence': 1}, {'id': 1349689, 'book_id': 'jas', 'chapter': '1', 'verse': '13', 'word_num': 7, 'word': 'tempted', 'occurrence': 1}]","when he is tempted",4,"πειραζόμενος = when he is tempted",0.25,1,0,0
"462686","mrk","8","11","14",",1442683,",",1218148,1218149,",0,"[{'id': 1442683, 'book_id': 'mrk', 'chapter': '8', 'verse': '11', 'word_num': 15, 'word': 'πειράζοντες', 'occurrence': 1, 'strong': 'G39850', 'lemma': 'πειράζω', 'morph': 'Gr,V,PPA,NMP,'}]","πειράζοντες",1,1,"[{'id': 1218148, 'book_id': 'mrk', 'chapter': '8', 'verse': '11', 'word_num': 19, 'word': 'to', 'occurrence': 2}, {'id': 1218149, 'book_id': 'mrk', 'chapter': '8', 'verse': '11', 'word_num': 20, 'word': 'test', 'occurrence': 1}]","to test",2,"πειράζοντες = to test",0.6666666666666666,2,0,0
"463947","mrk","10","2","3",",1444079,",",1219947,1219948,",0,"[{'id': 1444079, 'book_id': 'mrk', 'chapter': '10', 'verse': '2', 'word_num': 10, 'word': 'πειράζοντες', 'occurrence': 1, 'strong': 'G39850', 'lemma': 'πειράζω', 'morph': 'Gr,V,PPA,NMP,'}]","πειράζοντες",1,1,"[{'id': 1219947, 'book_id': 'mrk', 'chapter': '10', 'verse': '2', 'word_num': 5, 'word': 'to', 'occurrence': 2}, {'id': 1219948, 'book_id': 'mrk', 'chapter': '10', 'verse': '2', 'word_num': 6, 'word': 'test', 'occurrence': 1}]","to test",2,"πειράζοντες = to test",0.6666666666666666,2,0,0
"477461","luk","11","16","1",",1458321,",",1238909,1238910,",0,"[{'id': 1458321, 'book_id': 'luk', 'chapter': '11', 'verse': '16', 'word_num': 2, 'word': 'πειράζοντες', 'occurrence': 1, 'strong': 'G39850', 'lemma': 'πειράζω', 'morph': 'Gr,V,PPA,NMP,'}]","πειράζοντες",1,1,"[{'id': 1238909, 'book_id': 'luk', 'chapter': '11', 'verse': '16', 'word_num': 1, 'word': 'tested', 'occurrence': 1}, {'id': 1238910, 'book_id': 'luk', 'chapter': '11', 'verse': '16', 'word_num': 2, 'word': 'him', 'occurrence': 1}]","tested him",2,"πειράζοντες = tested him",0.3333333333333333,1,0,0
"465488","mrk","12","15","8",",1445748,",",1222196,1222197,",0,"[{'id': 1445748, 'book_id': 'mrk', 'chapter': '12', 'verse': '15', 'word_num': 10, 'word': 'πειράζετε', 'occurrence': 1, 'strong': 'G39850', 'lemma': 'πειράζω', 'morph': 'Gr,V,IPA2,,P,'}]","πειράζετε",1,1,"[{'id': 1222196, 'book_id': 'mrk', 'chapter': '12', 'verse': '15', 'word_num': 11, 'word': 'you', 'occurrence': 1}, {'id': 1222197, 'book_id': 'mrk', 'chapter': '12', 'verse': '15', 'word_num': 12, 'word': 'test', 'occurrence': 1}]","you test",2,"πειράζετε = you test",0.6666666666666666,2,0,0
"511335","act","15","10","3",",1493813,",",1284991,1284992,",0,"[{'id': 1493813, 'book_id': 'act', 'chapter': '15', 'verse': '10', 'word_num': 3, 'word': 'πειράζετε', 'occurrence': 1, 'strong': 'G39850', 'lemma': 'πειράζω', 'morph': 'Gr,V,IPA2,,P,'}]","πειράζετε",1,1,"[{'id': 1284991, 'book_id': 'act', 'chapter': '15', 'verse': '10', 'word_num': 4, 'word': 'you', 'occurrence': 1}, {'id': 1284992, 'book_id': 'act', 'chapter': '15', 'verse': '10', 'word_num': 5, 'word': 'test', 'occurrence': 1}]","you test",2,"πειράζετε = you test",0.6666666666666666,2,0,0
"537241","2co","13","5","0",",1520884,",",1322715,",0,"[{'id': 1520884, 'book_id': '2co', 'chapter': '13', 'verse': '5', 'word_num': 1, 'word': 'πειράζετε', 'occurrence': 1, 'strong': 'G39850', 'lemma': 'πειράζω', 'morph': 'Gr,V,MPA2,,P,'}]","πειράζετε",1,0,"[{'id': 1322715, 'book_id': '2co', 'chapter': '13', 'verse': '5', 'word_num': 0, 'word': 'Examine', 'occurrence': 1}]","Examine",1,"πειράζετε = Examine",0.3333333333333333,1,0,0
