"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"467145","mrk","14","38","8",",1447544,",",1224538,",0,"[{'id': 1447544, 'book_id': 'mrk', 'chapter': '14', 'verse': '38', 'word_num': 7, 'word': 'πειρασμόν', 'occurrence': 1, 'strong': 'G39860', 'lemma': 'πειρασμός', 'morph': 'Gr,N,,,,,AMS,'}]","πειρασμόν",1,0,"[{'id': 1224538, 'book_id': 'mrk', 'chapter': '14', 'verse': '38', 'word_num': 11, 'word': 'temptation', 'occurrence': 1}]","temptation",1,"πειρασμόν = temptation",0.21052631578947367,0,0
"471145","luk","4","13","5",",1451897,",",1230373,",0,"[{'id': 1451897, 'book_id': 'luk', 'chapter': '4', 'verse': '13', 'word_num': 3, 'word': 'πειρασμὸν', 'occurrence': 1, 'strong': 'G39860', 'lemma': 'πειρασμός', 'morph': 'Gr,N,,,,,AMS,'}]","πειρασμὸν",1,0,"[{'id': 1230373, 'book_id': 'luk', 'chapter': '4', 'verse': '13', 'word_num': 6, 'word': 'temptation', 'occurrence': 1}]","temptation",1,"πειρασμὸν = temptation",0.10526315789473684,0,0
"474488","luk","8","13","25",",1455284,",",1234926,1234927,",0,"[{'id': 1455284, 'book_id': 'luk', 'chapter': '8', 'verse': '13', 'word_num': 25, 'word': 'πειρασμοῦ', 'occurrence': 1, 'strong': 'G39860', 'lemma': 'πειρασμός', 'morph': 'Gr,N,,,,,GMS,'}]","πειρασμοῦ",1,1,"[{'id': 1234926, 'book_id': 'luk', 'chapter': '8', 'verse': '13', 'word_num': 31, 'word': 'of', 'occurrence': 1}, {'id': 1234927, 'book_id': 'luk', 'chapter': '8', 'verse': '13', 'word_num': 32, 'word': 'testing', 'occurrence': 1}]","of testing",2,"πειρασμοῦ = of testing",0.05263157894736842,0,0
"477266","luk","11","4","17",",1458126,",",1238610,",0,"[{'id': 1458126, 'book_id': 'luk', 'chapter': '11', 'verse': '4', 'word_num': 18, 'word': 'πειρασμόν', 'occurrence': 1, 'strong': 'G39860', 'lemma': 'πειρασμός', 'morph': 'Gr,N,,,,,AMS,'}]","πειρασμόν",1,0,"[{'id': 1238610, 'book_id': 'luk', 'chapter': '11', 'verse': '4', 'word_num': 22, 'word': 'temptation', 'occurrence': 1}]","temptation",1,"πειρασμόν = temptation",0.21052631578947367,0,0
"485233","luk","22","28","9",",1466193,1466194,",",1249671,",1,"[{'id': 1466193, 'book_id': 'luk', 'chapter': '22', 'verse': '28', 'word_num': 8, 'word': 'τοῖς', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,DMP,'}, {'id': 1466194, 'book_id': 'luk', 'chapter': '22', 'verse': '28', 'word_num': 9, 'word': 'πειρασμοῖς', 'occurrence': 1, 'strong': 'G39860', 'lemma': 'πειρασμός', 'morph': 'Gr,N,,,,,DMP,'}]","τοῖς πειρασμοῖς",2,0,"[{'id': 1249671, 'book_id': 'luk', 'chapter': '22', 'verse': '28', 'word_num': 12, 'word': 'trials', 'occurrence': 1}]","trials",1,"τοῖς πειρασμοῖς = trials",0.05263157894736842,0,0
"485431","luk","22","40","12",",1466397,",",1249941,",0,"[{'id': 1466397, 'book_id': 'luk', 'chapter': '22', 'verse': '40', 'word_num': 11, 'word': 'πειρασμόν', 'occurrence': 1, 'strong': 'G39860', 'lemma': 'πειρασμός', 'morph': 'Gr,N,,,,,AMS,'}]","πειρασμόν",1,0,"[{'id': 1249941, 'book_id': 'luk', 'chapter': '22', 'verse': '40', 'word_num': 18, 'word': 'temptation', 'occurrence': 1}]","temptation",1,"πειρασμόν = temptation",0.21052631578947367,0,0
"485514","luk","22","46","12",",1466482,",",1250050,",0,"[{'id': 1466482, 'book_id': 'luk', 'chapter': '22', 'verse': '46', 'word_num': 11, 'word': 'πειρασμόν', 'occurrence': 1, 'strong': 'G39860', 'lemma': 'πειρασμός', 'morph': 'Gr,N,,,,,AMS,'}]","πειρασμόν",1,0,"[{'id': 1250050, 'book_id': 'luk', 'chapter': '22', 'verse': '46', 'word_num': 19, 'word': 'temptation', 'occurrence': 1}]","temptation",1,"πειρασμόν = temptation",0.21052631578947367,0,0
"514693","act","20","19","9",",1497307,",",1289554,1289555,",0,"[{'id': 1497307, 'book_id': 'act', 'chapter': '20', 'verse': '19', 'word_num': 9, 'word': 'πειρασμῶν', 'occurrence': 1, 'strong': 'G39860', 'lemma': 'πειρασμός', 'morph': 'Gr,N,,,,,GMP,'}]","πειρασμῶν",1,1,"[{'id': 1289554, 'book_id': 'act', 'chapter': '20', 'verse': '19', 'word_num': 12, 'word': 'with', 'occurrence': 3}, {'id': 1289555, 'book_id': 'act', 'chapter': '20', 'verse': '19', 'word_num': 13, 'word': 'sufferings', 'occurrence': 1}]","with sufferings",2,"πειρασμῶν = with sufferings",0.05263157894736842,0,0
"529863","1co","10","13","1",",1513300,",",1311926,",0,"[{'id': 1513300, 'book_id': '1co', 'chapter': '10', 'verse': '13', 'word_num': 0, 'word': 'πειρασμὸς', 'occurrence': 1, 'strong': 'G39860', 'lemma': 'πειρασμός', 'morph': 'Gr,N,,,,,NMS,'}]","πειρασμὸς",1,0,"[{'id': 1311926, 'book_id': '1co', 'chapter': '10', 'verse': '13', 'word_num': 1, 'word': 'temptation', 'occurrence': 1}]","temptation",1,"πειρασμὸς = temptation",0.05263157894736842,0,0
"529883","1co","10","13","21",",1513323,",",1311956,",0,"[{'id': 1513323, 'book_id': '1co', 'chapter': '10', 'verse': '13', 'word_num': 23, 'word': 'πειρασμῷ', 'occurrence': 1, 'strong': 'G39860', 'lemma': 'πειρασμός', 'morph': 'Gr,N,,,,,DMS,'}]","πειρασμῷ",1,0,"[{'id': 1311956, 'book_id': '1co', 'chapter': '10', 'verse': '13', 'word_num': 31, 'word': 'temptation', 'occurrence': 2}]","temptation",1,"πειρασμῷ = temptation",0.05263157894736842,0,0
"538703","gal","4","14","5",",1522417,",",1324996,",0,"[{'id': 1522417, 'book_id': 'gal', 'chapter': '4', 'verse': '14', 'word_num': 2, 'word': 'πειρασμὸν', 'occurrence': 1, 'strong': 'G39860', 'lemma': 'πειρασμός', 'morph': 'Gr,N,,,,,AMS,'}]","πειρασμὸν",1,0,"[{'id': 1324996, 'book_id': 'gal', 'chapter': '4', 'verse': '14', 'word_num': 8, 'word': 'test', 'occurrence': 1}]","test",1,"πειρασμὸν = test",0.05263157894736842,0,0
"548555","1ti","6","9","6",",1532571,",",1338868,",0,"[{'id': 1532571, 'book_id': '1ti', 'chapter': '6', 'verse': '9', 'word_num': 6, 'word': 'πειρασμὸν', 'occurrence': 1, 'strong': 'G39860', 'lemma': 'πειρασμός', 'morph': 'Gr,N,,,,,AMS,'}]","πειρασμὸν",1,0,"[{'id': 1338868, 'book_id': '1ti', 'chapter': '6', 'verse': '9', 'word_num': 8, 'word': 'temptation', 'occurrence': 1}]","temptation",1,"πειρασμὸν = temptation",0.10526315789473684,0,0
"551618","heb","3","8","12",",1535701,",",1343265,",0,"[{'id': 1535701, 'book_id': 'heb', 'chapter': '3', 'verse': '8', 'word_num': 13, 'word': 'πειρασμοῦ', 'occurrence': 1, 'strong': 'G39860', 'lemma': 'πειρασμός', 'morph': 'Gr,N,,,,,GMS,'}]","πειρασμοῦ",1,0,"[{'id': 1343265, 'book_id': 'heb', 'chapter': '3', 'verse': '8', 'word_num': 13, 'word': 'testing', 'occurrence': 1}]","testing",1,"πειρασμοῦ = testing",0.05263157894736842,0,0
"555718","jas","1","2","8",",1539980,",",1349469,",0,"[{'id': 1539980, 'book_id': 'jas', 'chapter': '1', 'verse': '2', 'word_num': 6, 'word': 'πειρασμοῖς', 'occurrence': 1, 'strong': 'G39860', 'lemma': 'πειρασμός', 'morph': 'Gr,N,,,,,DMP,'}]","πειρασμοῖς",1,0,"[{'id': 1349469, 'book_id': 'jas', 'chapter': '1', 'verse': '2', 'word_num': 10, 'word': 'troubles', 'occurrence': 1}]","troubles",1,"πειρασμοῖς = troubles",0.10526315789473684,0,0
"555843","jas","1","12","4",",1540118,",",1349658,",0,"[{'id': 1540118, 'book_id': 'jas', 'chapter': '1', 'verse': '12', 'word_num': 4, 'word': 'πειρασμόν', 'occurrence': 1, 'strong': 'G39860', 'lemma': 'πειρασμός', 'morph': 'Gr,N,,,,,AMS,'}]","πειρασμόν",1,0,"[{'id': 1349658, 'book_id': 'jas', 'chapter': '1', 'verse': '12', 'word_num': 6, 'word': 'testing', 'occurrence': 1}]","testing",1,"πειρασμόν = testing",0.05263157894736842,0,0
"557426","1pe","1","6","11",",1541795,",",1351972,",0,"[{'id': 1541795, 'book_id': '1pe', 'chapter': '1', 'verse': '6', 'word_num': 10, 'word': 'πειρασμοῖς', 'occurrence': 1, 'strong': 'G39860', 'lemma': 'πειρασμός', 'morph': 'Gr,N,,,,,DMP,'}]","πειρασμοῖς",1,0,"[{'id': 1351972, 'book_id': '1pe', 'chapter': '1', 'verse': '6', 'word_num': 21, 'word': 'troubles', 'occurrence': 1}]","troubles",1,"πειρασμοῖς = troubles",0.10526315789473684,0,0
"558596","1pe","4","12","3",",1543043,1543044,",",1353891,1353892,",1,"[{'id': 1543043, 'book_id': '1pe', 'chapter': '4', 'verse': '12', 'word_num': 7, 'word': 'πρὸς', 'occurrence': 1, 'strong': 'G43140', 'lemma': 'πρός', 'morph': 'Gr,P,,,,,A,,,'}, {'id': 1543044, 'book_id': '1pe', 'chapter': '4', 'verse': '12', 'word_num': 8, 'word': 'πειρασμὸν', 'occurrence': 1, 'strong': 'G39860', 'lemma': 'πειρασμός', 'morph': 'Gr,N,,,,,AMS,'}]","πρὸς πειρασμὸν",2,1,"[{'id': 1353891, 'book_id': '1pe', 'chapter': '4', 'verse': '12', 'word_num': 6, 'word': 'the', 'occurrence': 1}, {'id': 1353892, 'book_id': '1pe', 'chapter': '4', 'verse': '12', 'word_num': 7, 'word': 'testing', 'occurrence': 1}]","the testing",2,"πρὸς πειρασμὸν = the testing",0.05263157894736842,0,0
"559366","2pe","2","9","5",",1543895,",",1355141,",0,"[{'id': 1543895, 'book_id': '2pe', 'chapter': '2', 'verse': '9', 'word_num': 4, 'word': 'πειρασμοῦ', 'occurrence': 1, 'strong': 'G39860', 'lemma': 'πειρασμός', 'morph': 'Gr,N,,,,,GMS,'}]","πειρασμοῦ",1,0,"[{'id': 1355141, 'book_id': '2pe', 'chapter': '2', 'verse': '9', 'word_num': 10, 'word': 'trials', 'occurrence': 1}]","trials",1,"πειρασμοῦ = trials",0.05263157894736842,0,0
"563912","rev","3","10","13",",1548872,1548873,",",1361660,1361661,",1,"[{'id': 1548872, 'book_id': 'rev', 'chapter': '3', 'verse': '10', 'word_num': 13, 'word': 'τοῦ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,GMS,'}, {'id': 1548873, 'book_id': 'rev', 'chapter': '3', 'verse': '10', 'word_num': 14, 'word': 'πειρασμοῦ', 'occurrence': 1, 'strong': 'G39860', 'lemma': 'πειρασμός', 'morph': 'Gr,N,,,,,GMS,'}]","τοῦ πειρασμοῦ",2,1,"[{'id': 1361660, 'book_id': 'rev', 'chapter': '3', 'verse': '10', 'word_num': 17, 'word': 'of', 'occurrence': 1}, {'id': 1361661, 'book_id': 'rev', 'chapter': '3', 'verse': '10', 'word_num': 18, 'word': 'testing', 'occurrence': 1}]","of testing",2,"τοῦ πειρασμοῦ = of testing",0.05263157894736842,0,0
