"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"469285","luk","1","59","7",",1449982,",",1227879,1227880,",0,"[{'id': 1449982, 'book_id': 'luk', 'chapter': '1', 'verse': '59', 'word_num': 8, 'word': 'περιτεμεῖν', 'occurrence': 1, 'strong': 'G40590', 'lemma': 'περιτέμνω', 'morph': 'Gr,V,NAA,,,,,'}]","περιτεμεῖν",1,1,"[{'id': 1227879, 'book_id': 'luk', 'chapter': '1', 'verse': '59', 'word_num': 10, 'word': 'to', 'occurrence': 1}, {'id': 1227880, 'book_id': 'luk', 'chapter': '1', 'verse': '59', 'word_num': 11, 'word': 'circumcise', 'occurrence': 1}]","to circumcise",2,"περιτεμεῖν = to circumcise",0.058823529411764705,0,0
"469857","luk","2","21","5",",1450585,1450586,",",1228689,1228690,",1,"[{'id': 1450585, 'book_id': 'luk', 'chapter': '2', 'verse': '21', 'word_num': 5, 'word': 'τοῦ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RD,,,,GNS,'}, {'id': 1450586, 'book_id': 'luk', 'chapter': '2', 'verse': '21', 'word_num': 6, 'word': 'περιτεμεῖν', 'occurrence': 1, 'strong': 'G40590', 'lemma': 'περιτέμνω', 'morph': 'Gr,V,NAA,,,,,'}]","τοῦ περιτεμεῖν",2,1,"[{'id': 1228689, 'book_id': 'luk', 'chapter': '2', 'verse': '21', 'word_num': 7, 'word': 'to', 'occurrence': 1}, {'id': 1228690, 'book_id': 'luk', 'chapter': '2', 'verse': '21', 'word_num': 8, 'word': 'circumcize', 'occurrence': 1}]","to circumcize",2,"τοῦ περιτεμεῖν = to circumcize",0.058823529411764705,0,0
"492363","jhn","7","22","18",",1473793,",",1259142,1259143,",0,"[{'id': 1473793, 'book_id': 'jhn', 'chapter': '7', 'verse': '22', 'word_num': 20, 'word': 'περιτέμνετε', 'occurrence': 1, 'strong': 'G40590', 'lemma': 'περιτέμνω', 'morph': 'Gr,V,IPA2,,P,'}]","περιτέμνετε",1,1,"[{'id': 1259142, 'book_id': 'jhn', 'chapter': '7', 'verse': '22', 'word_num': 21, 'word': 'you', 'occurrence': 2}, {'id': 1259143, 'book_id': 'jhn', 'chapter': '7', 'verse': '22', 'word_num': 22, 'word': 'circumcise', 'occurrence': 1}]","you circumcise",2,"περιτέμνετε = you circumcise",0.058823529411764705,0,0
"505563","act","7","8","11",",1487897,",",1277212,",0,"[{'id': 1487897, 'book_id': 'act', 'chapter': '7', 'verse': '8', 'word_num': 11, 'word': 'περιέτεμεν', 'occurrence': 1, 'strong': 'G40590', 'lemma': 'περιτέμνω', 'morph': 'Gr,V,IAA3,,S,'}]","περιέτεμεν",1,0,"[{'id': 1277212, 'book_id': 'act', 'chapter': '7', 'verse': '8', 'word_num': 17, 'word': 'circumcised', 'occurrence': 1}]","circumcised",1,"περιέτεμεν = circumcised",0.058823529411764705,0,0
"511160","act","15","1","9",",1493624,",",1284760,1284761,1284762,",0,"[{'id': 1493624, 'book_id': 'act', 'chapter': '15', 'verse': '1', 'word_num': 12, 'word': 'περιτμηθῆτε', 'occurrence': 1, 'strong': 'G40590', 'lemma': 'περιτέμνω', 'morph': 'Gr,V,SAP2,,P,'}]","περιτμηθῆτε",1,2,"[{'id': 1284760, 'book_id': 'act', 'chapter': '15', 'verse': '1', 'word_num': 12, 'word': 'you', 'occurrence': 1}, {'id': 1284761, 'book_id': 'act', 'chapter': '15', 'verse': '1', 'word_num': 13, 'word': 'are', 'occurrence': 1}, {'id': 1284762, 'book_id': 'act', 'chapter': '15', 'verse': '1', 'word_num': 14, 'word': 'circumcised', 'occurrence': 1}]","you are circumcised",3,"περιτμηθῆτε = you are circumcised",0.058823529411764705,0,0
"511256","act","15","5","13",",1493727,",",1284886,1284887,",0,"[{'id': 1493727, 'book_id': 'act', 'chapter': '15', 'verse': '5', 'word_num': 13, 'word': 'περιτέμνειν', 'occurrence': 1, 'strong': 'G40590', 'lemma': 'περιτέμνω', 'morph': 'Gr,V,NPA,,,,,'}]","περιτέμνειν",1,1,"[{'id': 1284886, 'book_id': 'act', 'chapter': '15', 'verse': '5', 'word_num': 19, 'word': 'to', 'occurrence': 1}, {'id': 1284887, 'book_id': 'act', 'chapter': '15', 'verse': '5', 'word_num': 20, 'word': 'circumcise', 'occurrence': 1}]","to circumcise",2,"περιτέμνειν = to circumcise",0.11764705882352941,0,0
"511858","act","16","3","8",",1494357,",",1285702,1285703,",0,"[{'id': 1494357, 'book_id': 'act', 'chapter': '16', 'verse': '3', 'word_num': 9, 'word': 'περιέτεμεν', 'occurrence': 1, 'strong': 'G40590', 'lemma': 'περιτέμνω', 'morph': 'Gr,V,IAA3,,S,'}]","περιέτεμεν",1,1,"[{'id': 1285702, 'book_id': 'act', 'chapter': '16', 'verse': '3', 'word_num': 11, 'word': 'and', 'occurrence': 1}, {'id': 1285703, 'book_id': 'act', 'chapter': '16', 'verse': '3', 'word_num': 12, 'word': 'circumcised', 'occurrence': 1}]","and circumcised",2,"περιέτεμεν = and circumcised",0.058823529411764705,0,0
"515384","act","21","21","17",",1498029,",",1290493,1290494,",0,"[{'id': 1498029, 'book_id': 'act', 'chapter': '21', 'verse': '21', 'word_num': 17, 'word': 'περιτέμνειν', 'occurrence': 1, 'strong': 'G40590', 'lemma': 'περιτέμνω', 'morph': 'Gr,V,NPA,,,,,'}]","περιτέμνειν",1,1,"[{'id': 1290493, 'book_id': 'act', 'chapter': '21', 'verse': '21', 'word_num': 24, 'word': 'to', 'occurrence': 2}, {'id': 1290494, 'book_id': 'act', 'chapter': '21', 'verse': '21', 'word_num': 25, 'word': 'circumcise', 'occurrence': 1}]","to circumcise",2,"περιτέμνειν = to circumcise",0.11764705882352941,0,0
"528663","1co","7","18","3",",1512074,",",1310078,1310079,1310080,1310081,",0,"[{'id': 1512074, 'book_id': '1co', 'chapter': '7', 'verse': '18', 'word_num': 0, 'word': 'περιτετμημένος', 'occurrence': 1, 'strong': 'G40590', 'lemma': 'περιτέμνω', 'morph': 'Gr,V,PEP,NMS,'}]","περιτετμημένος",1,3,"[{'id': 1310078, 'book_id': '1co', 'chapter': '7', 'verse': '18', 'word_num': 3, 'word': 'when', 'occurrence': 1}, {'id': 1310079, 'book_id': '1co', 'chapter': '7', 'verse': '18', 'word_num': 4, 'word': 'he', 'occurrence': 1}, {'id': 1310080, 'book_id': '1co', 'chapter': '7', 'verse': '18', 'word_num': 5, 'word': 'was', 'occurrence': 1}, {'id': 1310081, 'book_id': '1co', 'chapter': '7', 'verse': '18', 'word_num': 6, 'word': 'circumcised', 'occurrence': 1}]","when he was circumcised",4,"περιτετμημένος = when he was circumcised",0.058823529411764705,0,0
"528672","1co","7","18","12",",1512084,",",1310092,1310093,",0,"[{'id': 1512084, 'book_id': '1co', 'chapter': '7', 'verse': '18', 'word_num': 10, 'word': 'περιτεμνέσθω', 'occurrence': 1, 'strong': 'G40590', 'lemma': 'περιτέμνω', 'morph': 'Gr,V,MPP3,,S,'}]","περιτεμνέσθω",1,1,"[{'id': 1310092, 'book_id': '1co', 'chapter': '7', 'verse': '18', 'word_num': 17, 'word': 'Let', 'occurrence': 2}, {'id': 1310093, 'book_id': '1co', 'chapter': '7', 'verse': '18', 'word_num': 18, 'word': 'him', 'occurrence': 2}]","Let him",2,"περιτεμνέσθω = Let him",0.058823529411764705,0,0
"537782","gal","2","3","9",",1521449,",",1323515,1323516,1323517,",0,"[{'id': 1521449, 'book_id': 'gal', 'chapter': '2', 'verse': '3', 'word_num': 9, 'word': 'περιτμηθῆναι', 'occurrence': 1, 'strong': 'G40590', 'lemma': 'περιτέμνω', 'morph': 'Gr,V,NAP,,,,,'}]","περιτμηθῆναι",1,2,"[{'id': 1323515, 'book_id': 'gal', 'chapter': '2', 'verse': '3', 'word_num': 15, 'word': 'to', 'occurrence': 1}, {'id': 1323516, 'book_id': 'gal', 'chapter': '2', 'verse': '3', 'word_num': 16, 'word': 'be', 'occurrence': 1}, {'id': 1323517, 'book_id': 'gal', 'chapter': '2', 'verse': '3', 'word_num': 17, 'word': 'circumcised', 'occurrence': 1}]","to be circumcised",3,"περιτμηθῆναι = to be circumcised",0.058823529411764705,0,0
"538979","gal","5","2","7",",1522704,",",1325435,1325436,1325437,1325438,1325439,",0,"[{'id': 1522704, 'book_id': 'gal', 'chapter': '5', 'verse': '2', 'word_num': 7, 'word': 'περιτέμνησθε', 'occurrence': 1, 'strong': 'G40590', 'lemma': 'περιτέμνω', 'morph': 'Gr,V,SPP2,,P,'}]","περιτέμνησθε",1,4,"[{'id': 1325435, 'book_id': 'gal', 'chapter': '5', 'verse': '2', 'word_num': 8, 'word': 'you', 'occurrence': 2}, {'id': 1325436, 'book_id': 'gal', 'chapter': '5', 'verse': '2', 'word_num': 9, 'word': 'let', 'occurrence': 1}, {'id': 1325437, 'book_id': 'gal', 'chapter': '5', 'verse': '2', 'word_num': 10, 'word': 'yourselves', 'occurrence': 1}, {'id': 1325438, 'book_id': 'gal', 'chapter': '5', 'verse': '2', 'word_num': 11, 'word': 'be', 'occurrence': 1}, {'id': 1325439, 'book_id': 'gal', 'chapter': '5', 'verse': '2', 'word_num': 12, 'word': 'circumcised', 'occurrence': 1}]","you let yourselves be circumcised",5,"περιτέμνησθε = you let yourselves be circumcised",0.058823529411764705,0,0
