"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"137193","act","2","44","3",",771004,",",754761,",0,"[{'id': 771004, 'book_id': 'act', 'chapter': '2', 'verse': '44', 'word_num': 3, 'word': 'πιστεύοντες', 'occurrence': 1, 'strong': 'G41000', 'lemma': 'πιστεύω', 'morph': 'Gr,V,PPA,NMP,'}]","πιστεύοντες",1,0,"[{'id': 754761, 'book_id': 'act', 'chapter': '2', 'verse': '44', 'word_num': 2, 'word': 'believed', 'occurrence': 1}]","believed",1,"πιστεύοντες = believed",0.016129032258064516,0,0
"137754","act","4","4","6",",771626,",",755556,",0,"[{'id': 771626, 'book_id': 'act', 'chapter': '4', 'verse': '4', 'word_num': 6, 'word': 'ἐπίστευσαν', 'occurrence': 1, 'strong': 'G41000', 'lemma': 'πιστεύω', 'morph': 'Gr,V,IAA3,,P,'}]","ἐπίστευσαν",1,0,"[{'id': 755556, 'book_id': 'act', 'chapter': '4', 'verse': '4', 'word_num': 9, 'word': 'believed', 'occurrence': 1}]","believed",1,"ἐπίστευσαν = believed",0.08064516129032258,0,0
"138237","act","4","32","4",",772148,",",756214,",0,"[{'id': 772148, 'book_id': 'act', 'chapter': '4', 'verse': '32', 'word_num': 4, 'word': 'πιστευσάντων', 'occurrence': 1, 'strong': 'G41000', 'lemma': 'πιστεύω', 'morph': 'Gr,V,PAA,GMP,'}]","πιστευσάντων",1,0,"[{'id': 756214, 'book_id': 'act', 'chapter': '4', 'verse': '32', 'word_num': 6, 'word': 'believed', 'occurrence': 1}]","believed",1,"πιστευσάντων = believed",0.016129032258064516,0,0
"138567","act","5","14","3",",772498,",",756676,",0,"[{'id': 772498, 'book_id': 'act', 'chapter': '5', 'verse': '14', 'word_num': 3, 'word': 'πιστεύοντες', 'occurrence': 1, 'strong': 'G41000', 'lemma': 'πιστεύω', 'morph': 'Gr,V,PPA,NMP,'}]","πιστεύοντες",1,0,"[{'id': 756676, 'book_id': 'act', 'chapter': '5', 'verse': '14', 'word_num': 2, 'word': 'believers', 'occurrence': 1}]","believers",1,"πιστεύοντες = believers",0.016129032258064516,0,0
"140513","act","8","12","2",",774600,",",759441,759442,",0,"[{'id': 774600, 'book_id': 'act', 'chapter': '8', 'verse': '12', 'word_num': 2, 'word': 'ἐπίστευσαν', 'occurrence': 1, 'strong': 'G41000', 'lemma': 'πιστεύω', 'morph': 'Gr,V,IAA3,,P,'}]","ἐπίστευσαν",1,1,"[{'id': 759441, 'book_id': 'act', 'chapter': '8', 'verse': '12', 'word_num': 2, 'word': 'they', 'occurrence': 1}, {'id': 759442, 'book_id': 'act', 'chapter': '8', 'verse': '12', 'word_num': 3, 'word': 'believed', 'occurrence': 1}]","they believed",2,"ἐπίστευσαν = they believed",0.016129032258064516,0,0
"140535","act","8","13","4",",774624,",",759470,",0,"[{'id': 774624, 'book_id': 'act', 'chapter': '8', 'verse': '13', 'word_num': 5, 'word': 'ἐπίστευσεν', 'occurrence': 1, 'strong': 'G41000', 'lemma': 'πιστεύω', 'morph': 'Gr,V,IAA3,,S,'}]","ἐπίστευσεν",1,0,"[{'id': 759470, 'book_id': 'act', 'chapter': '8', 'verse': '13', 'word_num': 4, 'word': 'believed', 'occurrence': 1}]","believed",1,"ἐπίστευσεν = believed",0.04838709677419355,0,0
"140939","act","8","37","5",",775061,",",760008,760009,",0,"[{'id': 775061, 'book_id': 'act', 'chapter': '8', 'verse': '37', 'word_num': 6, 'word': 'πιστεύεις', 'occurrence': 1, 'strong': 'G41000', 'lemma': 'πιστεύω', 'morph': 'Gr,V,IPA2,,S,'}]","πιστεύεις",1,1,"[{'id': 760008, 'book_id': 'act', 'chapter': '8', 'verse': '37', 'word_num': 3, 'word': 'you', 'occurrence': 1}, {'id': 760009, 'book_id': 'act', 'chapter': '8', 'verse': '37', 'word_num': 4, 'word': 'believe', 'occurrence': 1}]","you believe",2,"πιστεύεις = you believe",0.03225806451612903,0,0
"140948","act","8","37","14",",775071,",",760022,760023,",0,"[{'id': 775071, 'book_id': 'act', 'chapter': '8', 'verse': '37', 'word_num': 16, 'word': 'Πιστεύω', 'occurrence': 1, 'strong': 'G41000', 'lemma': 'πιστεύω', 'morph': 'Gr,V,IPA1,,S,'}]","Πιστεύω",1,1,"[{'id': 760022, 'book_id': 'act', 'chapter': '8', 'verse': '37', 'word_num': 17, 'word': 'I', 'occurrence': 1}, {'id': 760023, 'book_id': 'act', 'chapter': '8', 'verse': '37', 'word_num': 18, 'word': 'believe', 'occurrence': 2}]","I believe",2,"Πιστεύω = I believe",0.016129032258064516,0,0
"141449","act","9","26","13",",775599,",",760707,",0,"[{'id': 775599, 'book_id': 'act', 'chapter': '9', 'verse': '26', 'word_num': 13, 'word': 'πιστεύοντες', 'occurrence': 1, 'strong': 'G41000', 'lemma': 'πιστεύω', 'morph': 'Gr,V,PPA,NMP,'}]","πιστεύοντες",1,0,"[{'id': 760707, 'book_id': 'act', 'chapter': '9', 'verse': '26', 'word_num': 20, 'word': 'believing', 'occurrence': 1}]","believing",1,"πιστεύοντες = believing",0.016129032258064516,0,0
"141745","act","9","42","7",",775910,",",761119,",0,"[{'id': 775910, 'book_id': 'act', 'chapter': '9', 'verse': '42', 'word_num': 8, 'word': 'ἐπίστευσαν', 'occurrence': 1, 'strong': 'G41000', 'lemma': 'πιστεύω', 'morph': 'Gr,V,IAA3,,P,'}]","ἐπίστευσαν",1,0,"[{'id': 761119, 'book_id': 'act', 'chapter': '9', 'verse': '42', 'word_num': 10, 'word': 'believed', 'occurrence': 1}]","believed",1,"ἐπίστευσαν = believed",0.08064516129032258,0,0
