"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"478852","luk","12","42","8",",1459742,",",1240809,",0,"[{'id': 1459742, 'book_id': 'luk', 'chapter': '12', 'verse': '42', 'word_num': 8, 'word': 'πιστὸς', 'occurrence': 1, 'strong': 'G41030', 'lemma': 'πιστός', 'morph': 'Gr,AA,,,,NMS,'}]","πιστὸς",1,0,"[{'id': 1240809, 'book_id': 'luk', 'chapter': '12', 'verse': '42', 'word_num': 8, 'word': 'faithful', 'occurrence': 1}]","faithful",1,"πιστὸς = faithful",0.34782608695652173,8,0,0
"481176","luk","16","10","1",",1462092,",",1243983,1243984,",0,"[{'id': 1462092, 'book_id': 'luk', 'chapter': '16', 'verse': '10', 'word_num': 1, 'word': 'πιστὸς', 'occurrence': 1, 'strong': 'G41030', 'lemma': 'πιστός', 'morph': 'Gr,NP,,,,NMS,'}]","πιστὸς",1,1,"[{'id': 1243983, 'book_id': 'luk', 'chapter': '16', 'verse': '10', 'word_num': 2, 'word': 'is', 'occurrence': 1}, {'id': 1243984, 'book_id': 'luk', 'chapter': '16', 'verse': '10', 'word_num': 3, 'word': 'faithful', 'occurrence': 1}]","is faithful",2,"πιστὸς = is faithful",0.21739130434782608,5,0,0
"483060","luk","19","17","8",",1464017,",",1246646,",0,"[{'id': 1464017, 'book_id': 'luk', 'chapter': '19', 'verse': '17', 'word_num': 9, 'word': 'πιστὸς', 'occurrence': 1, 'strong': 'G41030', 'lemma': 'πιστός', 'morph': 'Gr,NP,,,,NMS,'}]","πιστὸς",1,0,"[{'id': 1246646, 'book_id': 'luk', 'chapter': '19', 'verse': '17', 'word_num': 12, 'word': 'faithful', 'occurrence': 1}]","faithful",1,"πιστὸς = faithful",0.34782608695652173,8,0,0
"526536","1co","1","9","1",",1509868,",",1307009,1307010,",0,"[{'id': 1509868, 'book_id': '1co', 'chapter': '1', 'verse': '9', 'word_num': 0, 'word': 'πιστὸς', 'occurrence': 1, 'strong': 'G41030', 'lemma': 'πιστός', 'morph': 'Gr,NP,,,,NMS,'}]","πιστὸς",1,1,"[{'id': 1307009, 'book_id': '1co', 'chapter': '1', 'verse': '9', 'word_num': 1, 'word': 'is', 'occurrence': 1}, {'id': 1307010, 'book_id': '1co', 'chapter': '1', 'verse': '9', 'word_num': 2, 'word': 'faithful', 'occurrence': 1}]","is faithful",2,"πιστὸς = is faithful",0.21739130434782608,5,0,0
"528758","1co","7","25","17",",1512167,",",1310242,",0,"[{'id': 1512167, 'book_id': '1co', 'chapter': '7', 'verse': '25', 'word_num': 15, 'word': 'πιστὸς', 'occurrence': 1, 'strong': 'G41030', 'lemma': 'πιστός', 'morph': 'Gr,NP,,,,NMS,'}]","πιστὸς",1,0,"[{'id': 1310242, 'book_id': '1co', 'chapter': '7', 'verse': '25', 'word_num': 28, 'word': 'trustworthy', 'occurrence': 1}]","trustworthy",1,"πιστὸς = trustworthy",0.043478260869565216,1,0,0
"529870","1co","10","13","8",",1513307,",",1311938,1311939,",0,"[{'id': 1513307, 'book_id': '1co', 'chapter': '10', 'verse': '13', 'word_num': 7, 'word': 'πιστὸς', 'occurrence': 1, 'strong': 'G41030', 'lemma': 'πιστός', 'morph': 'Gr,NP,,,,NMS,'}]","πιστὸς",1,1,"[{'id': 1311938, 'book_id': '1co', 'chapter': '10', 'verse': '13', 'word_num': 13, 'word': 'is', 'occurrence': 2}, {'id': 1311939, 'book_id': '1co', 'chapter': '10', 'verse': '13', 'word_num': 14, 'word': 'faithful', 'occurrence': 1}]","is faithful",2,"πιστὸς = is faithful",0.21739130434782608,5,0,0
"533388","2co","1","18","2",",1516929,",",1317088,1317089,",0,"[{'id': 1516929, 'book_id': '2co', 'chapter': '1', 'verse': '18', 'word_num': 0, 'word': 'πιστὸς', 'occurrence': 1, 'strong': 'G41030', 'lemma': 'πιστός', 'morph': 'Gr,NP,,,,NMS,'}]","πιστὸς",1,1,"[{'id': 1317088, 'book_id': '2co', 'chapter': '1', 'verse': '18', 'word_num': 2, 'word': 'is', 'occurrence': 1}, {'id': 1317089, 'book_id': '2co', 'chapter': '1', 'verse': '18', 'word_num': 3, 'word': 'faithful', 'occurrence': 1}]","is faithful",2,"πιστὸς = is faithful",0.21739130434782608,5,0,0
"541886","eph","6","21","15",",1525635,",",1329284,",0,"[{'id': 1525635, 'book_id': 'eph', 'chapter': '6', 'verse': '21', 'word_num': 18, 'word': 'πιστὸς', 'occurrence': 1, 'strong': 'G41030', 'lemma': 'πιστός', 'morph': 'Gr,AA,,,,NMS,'}]","πιστὸς",1,0,"[{'id': 1329284, 'book_id': 'eph', 'chapter': '6', 'verse': '21', 'word_num': 20, 'word': 'faithful', 'occurrence': 1}]","faithful",1,"πιστὸς = faithful",0.34782608695652173,8,0,0
"543616","col","1","7","10",",1527429,",",1331857,",0,"[{'id': 1527429, 'book_id': 'col', 'chapter': '1', 'verse': '7', 'word_num': 10, 'word': 'πιστὸς', 'occurrence': 1, 'strong': 'G41030', 'lemma': 'πιστός', 'morph': 'Gr,NP,,,,NMS,'}]","πιστὸς",1,0,"[{'id': 1331857, 'book_id': 'col', 'chapter': '1', 'verse': '7', 'word_num': 17, 'word': 'faithful', 'occurrence': 1}]","faithful",1,"πιστὸς = faithful",0.34782608695652173,8,0,0
"544777","col","4","7","11",",1528694,",",1333565,1333566,",0,"[{'id': 1528694, 'book_id': 'col', 'chapter': '4', 'verse': '7', 'word_num': 11, 'word': 'πιστὸς', 'occurrence': 1, 'strong': 'G41030', 'lemma': 'πιστός', 'morph': 'Gr,AA,,,,NMS,'}]","πιστὸς",1,1,"[{'id': 1333565, 'book_id': 'col', 'chapter': '4', 'verse': '7', 'word_num': 20, 'word': 'a', 'occurrence': 2}, {'id': 1333566, 'book_id': 'col', 'chapter': '4', 'verse': '7', 'word_num': 21, 'word': 'faithful', 'occurrence': 1}]","a faithful",2,"πιστὸς = a faithful",0.043478260869565216,1,0,0
