"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"460164","mrk","4","28","9",",1440010,",",1214651,1214652,",0,"[{'id': 1440010, 'book_id': 'mrk', 'chapter': '4', 'verse': '28', 'word_num': 9, 'word': 'πλήρης', 'occurrence': 1, 'strong': 'G41340', 'lemma': 'πλήρης', 'morph': 'Gr,AA,,,,NMS,'}]","πλήρης",1,1,"[{'id': 1214651, 'book_id': 'mrk', 'chapter': '4', 'verse': '28', 'word_num': 13, 'word': 'the', 'occurrence': 3}, {'id': 1214652, 'book_id': 'mrk', 'chapter': '4', 'verse': '28', 'word_num': 14, 'word': 'mature', 'occurrence': 1}]","the mature",2,"πλήρης = the mature",0.07142857142857142,0,0
"462805","mrk","8","19","10",",1442798,",",1218317,",0,"[{'id': 1442798, 'book_id': 'mrk', 'chapter': '8', 'verse': '19', 'word_num': 11, 'word': 'πλήρεις', 'occurrence': 1, 'strong': 'G41340', 'lemma': 'πλήρης', 'morph': 'Gr,NS,,,,AMP,'}]","πλήρεις",1,0,"[{'id': 1218317, 'book_id': 'mrk', 'chapter': '8', 'verse': '19', 'word_num': 13, 'word': 'full', 'occurrence': 1}]","full",1,"πλήρεις = full",0.14285714285714285,0,0
"470957","luk","4","1","2",",1451704,",",1230111,",0,"[{'id': 1451704, 'book_id': 'luk', 'chapter': '4', 'verse': '1', 'word_num': 2, 'word': 'πλήρης', 'occurrence': 1, 'strong': 'G41340', 'lemma': 'πλήρης', 'morph': 'Gr,NS,,,,NMS,'}]","πλήρης",1,0,"[{'id': 1230111, 'book_id': 'luk', 'chapter': '4', 'verse': '1', 'word_num': 2, 'word': 'full', 'occurrence': 1}]","full",1,"πλήρης = full",0.5714285714285714,0,0
"471922","luk","5","12","12",",1452690,",",1231417,",0,"[{'id': 1452690, 'book_id': 'luk', 'chapter': '5', 'verse': '12', 'word_num': 13, 'word': 'πλήρης', 'occurrence': 1, 'strong': 'G41340', 'lemma': 'πλήρης', 'morph': 'Gr,NS,,,,NMS,'}]","πλήρης",1,0,"[{'id': 1231417, 'book_id': 'luk', 'chapter': '5', 'verse': '12', 'word_num': 17, 'word': 'full', 'occurrence': 1}]","full",1,"πλήρης = full",0.5714285714285714,0,0
"487708","jhn","1","14","15",",1468713,",",1252934,",0,"[{'id': 1468713, 'book_id': 'jhn', 'chapter': '1', 'verse': '14', 'word_num': 19, 'word': 'πλήρης', 'occurrence': 1, 'strong': 'G41340', 'lemma': 'πλήρης', 'morph': 'Gr,NS,,,,NMS,'}]","πλήρης",1,0,"[{'id': 1252934, 'book_id': 'jhn', 'chapter': '1', 'verse': '14', 'word_num': 24, 'word': 'full', 'occurrence': 1}]","full",1,"πλήρης = full",0.5714285714285714,0,0
"505183","act","6","3","8",",1487507,",",1276719,",0,"[{'id': 1487507, 'book_id': 'act', 'chapter': '6', 'verse': '3', 'word_num': 8, 'word': 'πλήρεις', 'occurrence': 1, 'strong': 'G41340', 'lemma': 'πλήρης', 'morph': 'Gr,NS,,,,AMP,'}]","πλήρεις",1,0,"[{'id': 1276719, 'book_id': 'act', 'chapter': '6', 'verse': '3', 'word_num': 11, 'word': 'full', 'occurrence': 1}]","full",1,"πλήρεις = full",0.14285714285714285,0,0
"505215","act","6","5","11",",1487539,",",1276760,",0,"[{'id': 1487539, 'book_id': 'act', 'chapter': '6', 'verse': '5', 'word_num': 12, 'word': 'πλήρης', 'occurrence': 1, 'strong': 'G41340', 'lemma': 'πλήρης', 'morph': 'Gr,NS,,,,NMS,'}]","πλήρης",1,0,"[{'id': 1276760, 'book_id': 'act', 'chapter': '6', 'verse': '5', 'word_num': 14, 'word': 'full', 'occurrence': 1}]","full",1,"πλήρης = full",0.5714285714285714,0,0
"505275","act","6","8","2",",1487594,",",1276831,",0,"[{'id': 1487594, 'book_id': 'act', 'chapter': '6', 'verse': '8', 'word_num': 2, 'word': 'πλήρης', 'occurrence': 1, 'strong': 'G41340', 'lemma': 'πλήρης', 'morph': 'Gr,NS,,,,NMS,'}]","πλήρης",1,0,"[{'id': 1276831, 'book_id': 'act', 'chapter': '6', 'verse': '8', 'word_num': 2, 'word': 'full', 'occurrence': 1}]","full",1,"πλήρης = full",0.5714285714285714,0,0
"506401","act","7","55","2",",1488753,",",1278346,",0,"[{'id': 1488753, 'book_id': 'act', 'chapter': '7', 'verse': '55', 'word_num': 2, 'word': 'πλήρης', 'occurrence': 1, 'strong': 'G41340', 'lemma': 'πλήρης', 'morph': 'Gr,NP,,,,NMS,'}]","πλήρης",1,0,"[{'id': 1278346, 'book_id': 'act', 'chapter': '7', 'verse': '55', 'word_num': 2, 'word': 'full', 'occurrence': 1}]","full",1,"πλήρης = full",0.5714285714285714,0,0
"507813","act","9","36","15",",1490207,",",1280216,",0,"[{'id': 1490207, 'book_id': 'act', 'chapter': '9', 'verse': '36', 'word_num': 14, 'word': 'πλήρης', 'occurrence': 1, 'strong': 'G41340', 'lemma': 'πλήρης', 'morph': 'Gr,NP,,,,NFS,'}]","πλήρης",1,0,"[{'id': 1280216, 'book_id': 'act', 'chapter': '9', 'verse': '36', 'word_num': 17, 'word': 'full', 'occurrence': 1}]","full",1,"πλήρης = full",0.5714285714285714,0,0
"509176","act","11","24","6",",1491610,",",1282052,",0,"[{'id': 1491610, 'book_id': 'act', 'chapter': '11', 'verse': '24', 'word_num': 5, 'word': 'πλήρης', 'occurrence': 1, 'strong': 'G41340', 'lemma': 'πλήρης', 'morph': 'Gr,NS,,,,NMS,'}]","πλήρης",1,0,"[{'id': 1282052, 'book_id': 'act', 'chapter': '11', 'verse': '24', 'word_num': 7, 'word': 'full', 'occurrence': 1}]","full",1,"πλήρης = full",0.5714285714285714,0,0
"509931","act","13","10","4",",1492378,",",1283089,1283090,",0,"[{'id': 1492378, 'book_id': 'act', 'chapter': '13', 'verse': '10', 'word_num': 2, 'word': 'πλήρης', 'occurrence': 1, 'strong': 'G41340', 'lemma': 'πλήρης', 'morph': 'Gr,NS,,,,VMS,'}]","πλήρης",1,1,"[{'id': 1283089, 'book_id': 'act', 'chapter': '13', 'verse': '10', 'word_num': 8, 'word': 'are', 'occurrence': 1}, {'id': 1283090, 'book_id': 'act', 'chapter': '13', 'verse': '10', 'word_num': 9, 'word': 'full', 'occurrence': 1}]","are full",2,"πλήρης = are full",0.07142857142857142,0,0
"514153","act","19","28","3",",1496744,",",1288769,",0,"[{'id': 1496744, 'book_id': 'act', 'chapter': '19', 'verse': '28', 'word_num': 4, 'word': 'πλήρεις', 'occurrence': 1, 'strong': 'G41340', 'lemma': 'πλήρης', 'morph': 'Gr,NP,,,,NMP,'}]","πλήρεις",1,0,"[{'id': 1288769, 'book_id': 'act', 'chapter': '19', 'verse': '28', 'word_num': 4, 'word': 'filled', 'occurrence': 1}]","filled",1,"πλήρεις = filled",0.07142857142857142,0,0
"561976","2jn","1","8","11",",1546762,",",1358829,",0,"[{'id': 1546762, 'book_id': '2jn', 'chapter': '1', 'verse': '8', 'word_num': 9, 'word': 'πλήρη', 'occurrence': 1, 'strong': 'G41340', 'lemma': 'πλήρης', 'morph': 'Gr,AA,,,,AMS,'}]","πλήρη",1,0,"[{'id': 1358829, 'book_id': '2jn', 'chapter': '1', 'verse': '8', 'word_num': 23, 'word': 'full', 'occurrence': 1}]","full",1,"πλήρη = full",0.07142857142857142,0,0
