"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"459087","mrk","2","21","12",",1438855,",",1213163,",0,"[{'id': 1438855, 'book_id': 'mrk', 'chapter': '2', 'verse': '21', 'word_num': 13, 'word': 'πλήρωμα', 'occurrence': 1, 'strong': 'G41380', 'lemma': 'πλήρωμα', 'morph': 'Gr,N,,,,,ANS,'}]","πλήρωμα",1,0,"[{'id': 1213163, 'book_id': 'mrk', 'chapter': '2', 'verse': '21', 'word_num': 14, 'word': 'patch', 'occurrence': 1}]","patch",1,"πλήρωμα = patch",0.0625,0,0
"461752","mrk","6","43","4",",1441686,",",1216868,",0,"[{'id': 1441686, 'book_id': 'mrk', 'chapter': '6', 'verse': '43', 'word_num': 5, 'word': 'πληρώματα', 'occurrence': 1, 'strong': 'G41380', 'lemma': 'πλήρωμα', 'morph': 'Gr,N,,,,,ANP,'}]","πληρώματα",1,0,"[{'id': 1216868, 'book_id': 'mrk', 'chapter': '6', 'verse': '43', 'word_num': 6, 'word': 'full', 'occurrence': 1}]","full",1,"πληρώματα = full",0.0625,0,0
"462818","mrk","8","20","7",",1442811,1442812,",",1218342,",1,"[{'id': 1442811, 'book_id': 'mrk', 'chapter': '8', 'verse': '20', 'word_num': 8, 'word': 'σπυρίδων', 'occurrence': 1, 'strong': 'G47110', 'lemma': 'σπυρίς', 'morph': 'Gr,N,,,,,GFP,'}, {'id': 1442812, 'book_id': 'mrk', 'chapter': '8', 'verse': '20', 'word_num': 9, 'word': 'πληρώματα', 'occurrence': 1, 'strong': 'G41380', 'lemma': 'πλήρωμα', 'morph': 'Gr,N,,,,,ANP,'}]","σπυρίδων πληρώματα",2,0,"[{'id': 1218342, 'book_id': 'mrk', 'chapter': '8', 'verse': '20', 'word_num': 12, 'word': 'basketfuls', 'occurrence': 1}]","basketfuls",1,"σπυρίδων πληρώματα = basketfuls",0.0625,0,0
"487737","jhn","1","16","3",",1468741,1468742,",",1252973,",1,"[{'id': 1468741, 'book_id': 'jhn', 'chapter': '1', 'verse': '16', 'word_num': 2, 'word': 'τοῦ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,GNS,'}, {'id': 1468742, 'book_id': 'jhn', 'chapter': '1', 'verse': '16', 'word_num': 3, 'word': 'πληρώματος', 'occurrence': 1, 'strong': 'G41380', 'lemma': 'πλήρωμα', 'morph': 'Gr,N,,,,,GNS,'}]","τοῦ πληρώματος",2,0,"[{'id': 1252973, 'book_id': 'jhn', 'chapter': '1', 'verse': '16', 'word_num': 3, 'word': 'fullness', 'occurrence': 1}]","fullness",1,"τοῦ πληρώματος = fullness",0.0625,0,0
"524318","rom","11","12","13",",1507443,1507444,",",1303619,",1,"[{'id': 1507443, 'book_id': 'rom', 'chapter': '11', 'verse': '12', 'word_num': 15, 'word': 'τὸ', 'occurrence': 3, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NNS,'}, {'id': 1507444, 'book_id': 'rom', 'chapter': '11', 'verse': '12', 'word_num': 16, 'word': 'πλήρωμα', 'occurrence': 1, 'strong': 'G41380', 'lemma': 'πλήρωμα', 'morph': 'Gr,N,,,,,NNS,'}]","τὸ πλήρωμα",2,0,"[{'id': 1303619, 'book_id': 'rom', 'chapter': '11', 'verse': '12', 'word_num': 23, 'word': 'will', 'occurrence': 1}]","will",1,"τὸ πλήρωμα = will",0.0625,0,0
"524527","rom","11","25","25",",1507667,",",1303969,",0,"[{'id': 1507667, 'book_id': 'rom', 'chapter': '11', 'verse': '25', 'word_num': 25, 'word': 'πλήρωμα', 'occurrence': 1, 'strong': 'G41380', 'lemma': 'πλήρωμα', 'morph': 'Gr,N,,,,,NNS,'}]","πλήρωμα",1,0,"[{'id': 1303969, 'book_id': 'rom', 'chapter': '11', 'verse': '25', 'word_num': 38, 'word': 'completion', 'occurrence': 1}]","completion",1,"πλήρωμα = completion",0.0625,0,0
"525097","rom","13","10","7",",1508310,",",1304858,1304859,",0,"[{'id': 1508310, 'book_id': 'rom', 'chapter': '13', 'verse': '10', 'word_num': 7, 'word': 'πλήρωμα', 'occurrence': 1, 'strong': 'G41380', 'lemma': 'πλήρωμα', 'morph': 'Gr,N,,,,,NNS,'}]","πλήρωμα",1,1,"[{'id': 1304858, 'book_id': 'rom', 'chapter': '13', 'verse': '10', 'word_num': 12, 'word': 'the', 'occurrence': 1}, {'id': 1304859, 'book_id': 'rom', 'chapter': '13', 'verse': '10', 'word_num': 13, 'word': 'fulfillment', 'occurrence': 1}]","the fulfillment",2,"πλήρωμα = the fulfillment",0.0625,0,0
"525962","rom","15","29","8",",1509240,",",1306223,1306224,",0,"[{'id': 1509240, 'book_id': 'rom', 'chapter': '15', 'verse': '29', 'word_num': 7, 'word': 'πληρώματι', 'occurrence': 1, 'strong': 'G41380', 'lemma': 'πλήρωμα', 'morph': 'Gr,N,,,,,DNS,'}]","πληρώματι",1,1,"[{'id': 1306223, 'book_id': 'rom', 'chapter': '15', 'verse': '29', 'word_num': 13, 'word': 'the', 'occurrence': 1}, {'id': 1306224, 'book_id': 'rom', 'chapter': '15', 'verse': '29', 'word_num': 14, 'word': 'fullness', 'occurrence': 1}]","the fullness",2,"πληρώματι = the fullness",0.0625,0,0
"530048","1co","10","26","7",",1513491,",",1312217,",0,"[{'id': 1513491, 'book_id': '1co', 'chapter': '10', 'verse': '26', 'word_num': 7, 'word': 'πλήρωμα', 'occurrence': 1, 'strong': 'G41380', 'lemma': 'πλήρωμα', 'morph': 'Gr,N,,,,,NNS,'}]","πλήρωμα",1,0,"[{'id': 1312217, 'book_id': '1co', 'chapter': '10', 'verse': '26', 'word_num': 9, 'word': 'fullness', 'occurrence': 1}]","fullness",1,"πλήρωμα = fullness",0.375,0,0
"538571","gal","4","4","3",",1522283,",",1324775,",0,"[{'id': 1522283, 'book_id': 'gal', 'chapter': '4', 'verse': '4', 'word_num': 4, 'word': 'πλήρωμα', 'occurrence': 1, 'strong': 'G41380', 'lemma': 'πλήρωμα', 'morph': 'Gr,N,,,,,NNS,'}]","πλήρωμα",1,0,"[{'id': 1324775, 'book_id': 'gal', 'chapter': '4', 'verse': '4', 'word_num': 3, 'word': 'fullness', 'occurrence': 1}]","fullness",1,"πλήρωμα = fullness",0.375,0,0
