"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"461773","mrk","6","45","9",",1441710,",",1216895,1216896,1216897,1216898,",0,"[{'id': 1441710, 'book_id': 'mrk', 'chapter': '6', 'verse': '45', 'word_num': 11, 'word': 'προάγειν', 'occurrence': 1, 'strong': 'G42540', 'lemma': 'προάγω', 'morph': 'Gr,V,NPA,,,,,'}]","προάγειν",1,3,"[{'id': 1216895, 'book_id': 'mrk', 'chapter': '6', 'verse': '45', 'word_num': 10, 'word': 'go', 'occurrence': 1}, {'id': 1216896, 'book_id': 'mrk', 'chapter': '6', 'verse': '45', 'word_num': 11, 'word': 'ahead', 'occurrence': 1}, {'id': 1216897, 'book_id': 'mrk', 'chapter': '6', 'verse': '45', 'word_num': 12, 'word': 'of', 'occurrence': 1}, {'id': 1216898, 'book_id': 'mrk', 'chapter': '6', 'verse': '45', 'word_num': 13, 'word': 'him', 'occurrence': 1}]","go ahead of him",4,"προάγειν = go ahead of him",0.07142857142857142,0,0
"464386","mrk","10","32","10",",1444543,",",1220568,1220569,",0,"[{'id': 1444543, 'book_id': 'mrk', 'chapter': '10', 'verse': '32', 'word_num': 10, 'word': 'προάγων', 'occurrence': 1, 'strong': 'G42540', 'lemma': 'προάγω', 'morph': 'Gr,V,PPA,NMS,'}]","προάγων",1,1,"[{'id': 1220568, 'book_id': 'mrk', 'chapter': '10', 'verse': '32', 'word_num': 12, 'word': 'going', 'occurrence': 2}, {'id': 1220569, 'book_id': 'mrk', 'chapter': '10', 'verse': '32', 'word_num': 13, 'word': 'ahead', 'occurrence': 1}]","going ahead",2,"προάγων = going ahead",0.07142857142857142,0,0
"464861","mrk","11","9","1",",1445059,1445060,",",1221278,1221279,1221280,1221281,1221282,",1,"[{'id': 1445059, 'book_id': 'mrk', 'chapter': '11', 'verse': '9', 'word_num': 1, 'word': 'οἱ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RD,,,,NMP,'}, {'id': 1445060, 'book_id': 'mrk', 'chapter': '11', 'verse': '9', 'word_num': 2, 'word': 'προάγοντες', 'occurrence': 1, 'strong': 'G42540', 'lemma': 'προάγω', 'morph': 'Gr,V,PPA,NMP,'}]","οἱ προάγοντες",2,4,"[{'id': 1221278, 'book_id': 'mrk', 'chapter': '11', 'verse': '9', 'word_num': 1, 'word': 'those', 'occurrence': 1}, {'id': 1221279, 'book_id': 'mrk', 'chapter': '11', 'verse': '9', 'word_num': 2, 'word': 'who', 'occurrence': 1}, {'id': 1221280, 'book_id': 'mrk', 'chapter': '11', 'verse': '9', 'word_num': 3, 'word': 'went', 'occurrence': 1}, {'id': 1221281, 'book_id': 'mrk', 'chapter': '11', 'verse': '9', 'word_num': 4, 'word': 'before', 'occurrence': 1}, {'id': 1221282, 'book_id': 'mrk', 'chapter': '11', 'verse': '9', 'word_num': 5, 'word': 'him', 'occurrence': 1}]","those who went before him",5,"οἱ προάγοντες = those who went before him",0.07142857142857142,0,0
"466990","mrk","14","28","4",",1447376,",",1224327,1224328,1224329,1224330,",0,"[{'id': 1447376, 'book_id': 'mrk', 'chapter': '14', 'verse': '28', 'word_num': 5, 'word': 'προάξω', 'occurrence': 1, 'strong': 'G42540', 'lemma': 'προάγω', 'morph': 'Gr,V,IFA1,,S,'}]","προάξω",1,3,"[{'id': 1224327, 'book_id': 'mrk', 'chapter': '14', 'verse': '28', 'word_num': 6, 'word': 'I', 'occurrence': 2}, {'id': 1224328, 'book_id': 'mrk', 'chapter': '14', 'verse': '28', 'word_num': 7, 'word': 'will', 'occurrence': 1}, {'id': 1224329, 'book_id': 'mrk', 'chapter': '14', 'verse': '28', 'word_num': 8, 'word': 'go', 'occurrence': 1}, {'id': 1224330, 'book_id': 'mrk', 'chapter': '14', 'verse': '28', 'word_num': 9, 'word': 'ahead', 'occurrence': 1}]","I will go ahead",4,"προάξω = I will go ahead",0.07142857142857142,0,0
"468386","mrk","16","7","7",",1448882,1448883,",",1226360,1226361,1226362,1226363,",1,"[{'id': 1448882, 'book_id': 'mrk', 'chapter': '16', 'verse': '7', 'word_num': 9, 'word': 'ὅτι', 'occurrence': 1, 'strong': 'G37540', 'lemma': 'ὅτι', 'morph': 'Gr,CS,,,,,,,,'}, {'id': 1448883, 'book_id': 'mrk', 'chapter': '16', 'verse': '7', 'word_num': 10, 'word': 'προάγει', 'occurrence': 1, 'strong': 'G42540', 'lemma': 'προάγω', 'morph': 'Gr,V,IPA3,,S,'}]","ὅτι προάγει",2,3,"[{'id': 1226360, 'book_id': 'mrk', 'chapter': '16', 'verse': '7', 'word_num': 7, 'word': 'He', 'occurrence': 1}, {'id': 1226361, 'book_id': 'mrk', 'chapter': '16', 'verse': '7', 'word_num': 8, 'word': 'is', 'occurrence': 1}, {'id': 1226362, 'book_id': 'mrk', 'chapter': '16', 'verse': '7', 'word_num': 9, 'word': 'going', 'occurrence': 1}, {'id': 1226363, 'book_id': 'mrk', 'chapter': '16', 'verse': '7', 'word_num': 10, 'word': 'ahead', 'occurrence': 1}]","He is going ahead",4,"ὅτι προάγει = He is going ahead",0.07142857142857142,0,0
"482740","luk","18","39","2",",1463685,",",1246177,1246178,1246179,",0,"[{'id': 1463685, 'book_id': 'luk', 'chapter': '18', 'verse': '39', 'word_num': 2, 'word': 'προάγοντες', 'occurrence': 1, 'strong': 'G42540', 'lemma': 'προάγω', 'morph': 'Gr,V,PPA,NMP,'}]","προάγοντες",1,2,"[{'id': 1246177, 'book_id': 'luk', 'chapter': '18', 'verse': '39', 'word_num': 4, 'word': 'were', 'occurrence': 1}, {'id': 1246178, 'book_id': 'luk', 'chapter': '18', 'verse': '39', 'word_num': 5, 'word': 'walking', 'occurrence': 1}, {'id': 1246179, 'book_id': 'luk', 'chapter': '18', 'verse': '39', 'word_num': 6, 'word': 'ahead', 'occurrence': 1}]","were walking ahead",3,"προάγοντες = were walking ahead",0.07142857142857142,0,0
"509369","act","12","6","6",",1491802,",",1282314,1282315,",0,"[{'id': 1491802, 'book_id': 'act', 'chapter': '12', 'verse': '6', 'word_num': 3, 'word': 'προαγαγεῖν', 'occurrence': 1, 'strong': 'G42540', 'lemma': 'προάγω', 'morph': 'Gr,V,NAA,,,,,'}]","προαγαγεῖν",1,1,"[{'id': 1282314, 'book_id': 'act', 'chapter': '12', 'verse': '6', 'word_num': 8, 'word': 'to', 'occurrence': 1}, {'id': 1282315, 'book_id': 'act', 'chapter': '12', 'verse': '6', 'word_num': 9, 'word': 'bring', 'occurrence': 1}]","to bring",2,"προαγαγεῖν = to bring",0.14285714285714285,0,0
"512331","act","16","30","1",",1494853,",",1286366,",0,"[{'id': 1494853, 'book_id': 'act', 'chapter': '16', 'verse': '30', 'word_num': 1, 'word': 'προαγαγὼν', 'occurrence': 1, 'strong': 'G42540', 'lemma': 'προάγω', 'morph': 'Gr,V,PAA,NMS,'}]","προαγαγὼν",1,0,"[{'id': 1286366, 'book_id': 'act', 'chapter': '16', 'verse': '30', 'word_num': 1, 'word': 'brought', 'occurrence': 1}]","brought",1,"προαγαγὼν = brought",0.07142857142857142,0,0
"512607","act","17","5","24",",1495135,",",1286742,1286743,",0,"[{'id': 1495135, 'book_id': 'act', 'chapter': '17', 'verse': '5', 'word_num': 23, 'word': 'προαγαγεῖν', 'occurrence': 1, 'strong': 'G42540', 'lemma': 'προάγω', 'morph': 'Gr,V,NAA,,,,,'}]","προαγαγεῖν",1,1,"[{'id': 1286742, 'book_id': 'act', 'chapter': '17', 'verse': '5', 'word_num': 34, 'word': 'to', 'occurrence': 1}, {'id': 1286743, 'book_id': 'act', 'chapter': '17', 'verse': '5', 'word_num': 35, 'word': 'bring', 'occurrence': 1}]","to bring",2,"προαγαγεῖν = to bring",0.14285714285714285,0,0
"517964","act","25","26","11",",1500644,",",1294086,1294087,1294088,",0,"[{'id': 1500644, 'book_id': 'act', 'chapter': '25', 'verse': '26', 'word_num': 10, 'word': 'προήγαγον', 'occurrence': 1, 'strong': 'G42540', 'lemma': 'προάγω', 'morph': 'Gr,V,IAA1,,S,'}]","προήγαγον",1,2,"[{'id': 1294086, 'book_id': 'act', 'chapter': '25', 'verse': '26', 'word_num': 16, 'word': 'I', 'occurrence': 2}, {'id': 1294087, 'book_id': 'act', 'chapter': '25', 'verse': '26', 'word_num': 17, 'word': 'have', 'occurrence': 2}, {'id': 1294088, 'book_id': 'act', 'chapter': '25', 'verse': '26', 'word_num': 18, 'word': 'brought', 'occurrence': 1}]","I have brought",3,"προήγαγον = I have brought",0.07142857142857142,0,0
