"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"458581","mrk","1","35","13",",1438313,",",1212442,1212443,",0,"[{'id': 1438313, 'book_id': 'mrk', 'chapter': '1', 'verse': '35', 'word_num': 12, 'word': 'προσηύχετο', 'occurrence': 1, 'strong': 'G43360', 'lemma': 'προσεύχομαι', 'morph': 'Gr,V,IIM3,,S,'}]","προσηύχετο",1,1,"[{'id': 1212442, 'book_id': 'mrk', 'chapter': '1', 'verse': '35', 'word_num': 22, 'word': 'he', 'occurrence': 2}, {'id': 1212443, 'book_id': 'mrk', 'chapter': '1', 'verse': '35', 'word_num': 23, 'word': 'prayed', 'occurrence': 1}]","he prayed",2,"προσηύχετο = he prayed",0.013888888888888888,0,0
"461792","mrk","6","46","7",",1441728,",",1216920,1216921,",0,"[{'id': 1441728, 'book_id': 'mrk', 'chapter': '6', 'verse': '46', 'word_num': 7, 'word': 'προσεύξασθαι', 'occurrence': 1, 'strong': 'G43360', 'lemma': 'προσεύχομαι', 'morph': 'Gr,V,NAM,,,,,'}]","προσεύξασθαι",1,1,"[{'id': 1216920, 'book_id': 'mrk', 'chapter': '6', 'verse': '46', 'word_num': 9, 'word': 'to', 'occurrence': 2}, {'id': 1216921, 'book_id': 'mrk', 'chapter': '6', 'verse': '46', 'word_num': 10, 'word': 'pray', 'occurrence': 1}]","to pray",2,"προσεύξασθαι = to pray",0.06944444444444445,0,0
"465104","mrk","11","24","4",",1445325,",",1221632,1221633,",0,"[{'id': 1445325, 'book_id': 'mrk', 'chapter': '11', 'verse': '24', 'word_num': 6, 'word': 'προσεύχεσθε', 'occurrence': 1, 'strong': 'G43360', 'lemma': 'προσεύχομαι', 'morph': 'Gr,V,IPM2,,P,'}]","προσεύχεσθε",1,1,"[{'id': 1221632, 'book_id': 'mrk', 'chapter': '11', 'verse': '24', 'word_num': 6, 'word': 'you', 'occurrence': 2}, {'id': 1221633, 'book_id': 'mrk', 'chapter': '11', 'verse': '24', 'word_num': 7, 'word': 'pray', 'occurrence': 1}]","you pray",2,"προσεύχεσθε = you pray",0.013888888888888888,0,0
"465115","mrk","11","25","2",",1445337,",",1221651,1221652,",0,"[{'id': 1445337, 'book_id': 'mrk', 'chapter': '11', 'verse': '25', 'word_num': 3, 'word': 'προσευχόμενοι', 'occurrence': 1, 'strong': 'G43360', 'lemma': 'προσεύχομαι', 'morph': 'Gr,V,PPM,NMP,'}]","προσευχόμενοι",1,1,"[{'id': 1221651, 'book_id': 'mrk', 'chapter': '11', 'verse': '25', 'word_num': 3, 'word': 'and', 'occurrence': 1}, {'id': 1221652, 'book_id': 'mrk', 'chapter': '11', 'verse': '25', 'word_num': 4, 'word': 'pray', 'occurrence': 1}]","and pray",2,"προσευχόμενοι = and pray",0.027777777777777776,0,0
"465914","mrk","12","40","5",",1446217,",",1222760,1222761,",0,"[{'id': 1446217, 'book_id': 'mrk', 'chapter': '12', 'verse': '40', 'word_num': 9, 'word': 'προσευχόμενοι', 'occurrence': 1, 'strong': 'G43360', 'lemma': 'προσεύχομαι', 'morph': 'Gr,V,PPM,NMP,'}]","προσευχόμενοι",1,1,"[{'id': 1222760, 'book_id': 'mrk', 'chapter': '12', 'verse': '40', 'word_num': 5, 'word': 'they', 'occurrence': 1}, {'id': 1222761, 'book_id': 'mrk', 'chapter': '12', 'verse': '40', 'word_num': 6, 'word': 'pray', 'occurrence': 1}]","they pray",2,"προσευχόμενοι = they pray",0.013888888888888888,0,0
"466255","mrk","13","18","0",",1446592,1446593,",",1223269,",1,"[{'id': 1446592, 'book_id': 'mrk', 'chapter': '13', 'verse': '18', 'word_num': 0, 'word': 'προσεύχεσθε', 'occurrence': 1, 'strong': 'G43360', 'lemma': 'προσεύχομαι', 'morph': 'Gr,V,MPM2,,P,'}, {'id': 1446593, 'book_id': 'mrk', 'chapter': '13', 'verse': '18', 'word_num': 1, 'word': 'δὲ', 'occurrence': 1, 'strong': 'G11610', 'lemma': 'δέ', 'morph': 'Gr,CC,,,,,,,,'}]","προσεύχεσθε δὲ",2,0,"[{'id': 1223269, 'book_id': 'mrk', 'chapter': '13', 'verse': '18', 'word_num': 0, 'word': 'Pray', 'occurrence': 1}]","Pray",1,"προσεύχεσθε δὲ = Pray",0.013888888888888888,0,0
"466484","mrk","13","33","3",",1446842,",",1223577,",0,"[{'id': 1446842, 'book_id': 'mrk', 'chapter': '13', 'verse': '33', 'word_num': 3, 'word': 'προσεύχεσθε', 'occurrence': 1, 'strong': 'G43360', 'lemma': 'προσεύχομαι', 'morph': 'Gr,V,MPM2,,P,'}]","προσεύχεσθε",1,0,"[{'id': 1223577, 'book_id': 'mrk', 'chapter': '13', 'verse': '33', 'word_num': 4, 'word': 'pray', 'occurrence': 1}]","pray",1,"προσεύχεσθε = pray",0.06944444444444445,0,0
"467056","mrk","14","32","15",",1447450,",",1224417,1224418,",0,"[{'id': 1447450, 'book_id': 'mrk', 'chapter': '14', 'verse': '32', 'word_num': 16, 'word': 'προσεύξωμαι', 'occurrence': 1, 'strong': 'G43360', 'lemma': 'προσεύχομαι', 'morph': 'Gr,V,SAM1,,S,'}]","προσεύξωμαι",1,1,"[{'id': 1224417, 'book_id': 'mrk', 'chapter': '14', 'verse': '32', 'word_num': 19, 'word': 'I', 'occurrence': 1}, {'id': 1224418, 'book_id': 'mrk', 'chapter': '14', 'verse': '32', 'word_num': 20, 'word': 'pray', 'occurrence': 1}]","I pray",2,"προσεύξωμαι = I pray",0.013888888888888888,0,0
"467090","mrk","14","35","9",",1447488,",",1224466,",0,"[{'id': 1447488, 'book_id': 'mrk', 'chapter': '14', 'verse': '35', 'word_num': 8, 'word': 'προσηύχετο', 'occurrence': 1, 'strong': 'G43360', 'lemma': 'προσεύχομαι', 'morph': 'Gr,V,IIM3,,S,'}]","προσηύχετο",1,0,"[{'id': 1224466, 'book_id': 'mrk', 'chapter': '14', 'verse': '35', 'word_num': 11, 'word': 'prayed', 'occurrence': 1}]","prayed",1,"προσηύχετο = prayed",0.013888888888888888,0,0
"467139","mrk","14","38","2",",1447539,",",1224530,",0,"[{'id': 1447539, 'book_id': 'mrk', 'chapter': '14', 'verse': '38', 'word_num': 2, 'word': 'προσεύχεσθε', 'occurrence': 1, 'strong': 'G43360', 'lemma': 'προσεύχομαι', 'morph': 'Gr,V,MPM2,,P,'}]","προσεύχεσθε",1,0,"[{'id': 1224530, 'book_id': 'mrk', 'chapter': '14', 'verse': '38', 'word_num': 3, 'word': 'pray', 'occurrence': 1}]","pray",1,"προσεύχεσθε = pray",0.06944444444444445,0,0
"467155","mrk","14","39","1",",1447556,",",1224552,1224553,",0,"[{'id': 1447556, 'book_id': 'mrk', 'chapter': '14', 'verse': '39', 'word_num': 3, 'word': 'προσηύξατο', 'occurrence': 1, 'strong': 'G43360', 'lemma': 'προσεύχομαι', 'morph': 'Gr,V,IAM3,,S,'}]","προσηύξατο",1,1,"[{'id': 1224552, 'book_id': 'mrk', 'chapter': '14', 'verse': '39', 'word_num': 3, 'word': 'and', 'occurrence': 1}, {'id': 1224553, 'book_id': 'mrk', 'chapter': '14', 'verse': '39', 'word_num': 4, 'word': 'prayed', 'occurrence': 1}]","and prayed",2,"προσηύξατο = and prayed",0.027777777777777776,0,0
"468554","luk","1","10","8",",1449221,",",1226865,",0,"[{'id': 1449221, 'book_id': 'luk', 'chapter': '1', 'verse': '10', 'word_num': 7, 'word': 'προσευχόμενον', 'occurrence': 1, 'strong': 'G43360', 'lemma': 'προσεύχομαι', 'morph': 'Gr,V,PPM,NNS,'}]","προσευχόμενον",1,0,"[{'id': 1226865, 'book_id': 'luk', 'chapter': '1', 'verse': '10', 'word_num': 8, 'word': 'praying', 'occurrence': 1}]","praying",1,"προσευχόμενον = praying",0.041666666666666664,0,0
"470761","luk","3","21","11",",1451506,",",1229897,1229898,1229899,1229900,",0,"[{'id': 1451506, 'book_id': 'luk', 'chapter': '3', 'verse': '21', 'word_num': 12, 'word': 'προσευχομένου', 'occurrence': 1, 'strong': 'G43360', 'lemma': 'προσεύχομαι', 'morph': 'Gr,V,PPM,GMS,'}]","προσευχομένου",1,3,"[{'id': 1229897, 'book_id': 'luk', 'chapter': '3', 'verse': '21', 'word_num': 15, 'word': 'while', 'occurrence': 1}, {'id': 1229898, 'book_id': 'luk', 'chapter': '3', 'verse': '21', 'word_num': 16, 'word': 'he', 'occurrence': 1}, {'id': 1229899, 'book_id': 'luk', 'chapter': '3', 'verse': '21', 'word_num': 17, 'word': 'was', 'occurrence': 2}, {'id': 1229900, 'book_id': 'luk', 'chapter': '3', 'verse': '21', 'word_num': 18, 'word': 'praying', 'occurrence': 1}]","while he was praying",4,"προσευχομένου = while he was praying",0.013888888888888888,0,0
"472007","luk","5","16","7",",1452774,",",1231530,",0,"[{'id': 1452774, 'book_id': 'luk', 'chapter': '5', 'verse': '16', 'word_num': 8, 'word': 'προσευχόμενος', 'occurrence': 1, 'strong': 'G43360', 'lemma': 'προσεύχομαι', 'morph': 'Gr,V,PPM,NMS,'}]","προσευχόμενος",1,0,"[{'id': 1231530, 'book_id': 'luk', 'chapter': '5', 'verse': '16', 'word_num': 9, 'word': 'prayed', 'occurrence': 1}]","prayed",1,"προσευχόμενος = prayed",0.013888888888888888,0,0
"472661","luk","6","12","10",",1453439,",",1232404,1232405,",0,"[{'id': 1453439, 'book_id': 'luk', 'chapter': '6', 'verse': '12', 'word_num': 11, 'word': 'προσεύξασθαι', 'occurrence': 1, 'strong': 'G43360', 'lemma': 'προσεύχομαι', 'morph': 'Gr,V,NAM,,,,,'}]","προσεύξασθαι",1,1,"[{'id': 1232404, 'book_id': 'luk', 'chapter': '6', 'verse': '12', 'word_num': 13, 'word': 'to', 'occurrence': 2}, {'id': 1232405, 'book_id': 'luk', 'chapter': '6', 'verse': '12', 'word_num': 14, 'word': 'pray', 'occurrence': 1}]","to pray",2,"προσεύξασθαι = to pray",0.06944444444444445,0,0
"472924","luk","6","28","4",",1453711,",",1232747,1232748,",0,"[{'id': 1453711, 'book_id': 'luk', 'chapter': '6', 'verse': '28', 'word_num': 4, 'word': 'προσεύχεσθε', 'occurrence': 1, 'strong': 'G43360', 'lemma': 'προσεύχομαι', 'morph': 'Gr,V,MPM2,,P,'}]","προσεύχεσθε",1,1,"[{'id': 1232747, 'book_id': 'luk', 'chapter': '6', 'verse': '28', 'word_num': 5, 'word': 'and', 'occurrence': 1}, {'id': 1232748, 'book_id': 'luk', 'chapter': '6', 'verse': '28', 'word_num': 6, 'word': 'pray', 'occurrence': 1}]","and pray",2,"προσεύχεσθε = and pray",0.027777777777777776,0,0
