"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"462062","mrk","7","6","6",",1442011,",",1217272,",0,"[{'id': 1442011, 'book_id': 'mrk', 'chapter': '7', 'verse': '6', 'word_num': 7, 'word': 'ἐπροφήτευσεν', 'occurrence': 1, 'strong': 'G43950', 'lemma': 'προφητεύω', 'morph': 'Gr,V,IAA3,,S,'}]","ἐπροφήτευσεν",1,0,"[{'id': 1217272, 'book_id': 'mrk', 'chapter': '7', 'verse': '6', 'word_num': 8, 'word': 'prophesied', 'occurrence': 1}]","prophesied",1,"ἐπροφήτευσεν = prophesied",0.75,3,0,0
"469404","luk","1","67","9",",1450111,",",1228038,",0,"[{'id': 1450111, 'book_id': 'luk', 'chapter': '1', 'verse': '67', 'word_num': 9, 'word': 'ἐπροφήτευσεν', 'occurrence': 1, 'strong': 'G43950', 'lemma': 'προφητεύω', 'morph': 'Gr,V,IAA3,,S,'}]","ἐπροφήτευσεν",1,0,"[{'id': 1228038, 'book_id': 'luk', 'chapter': '1', 'verse': '67', 'word_num': 11, 'word': 'prophesied', 'occurrence': 1}]","prophesied",1,"ἐπροφήτευσεν = prophesied",0.75,3,0,0
"495759","jhn","11","51","11",",1477562,",",1263867,1263868,",0,"[{'id': 1477562, 'book_id': 'jhn', 'chapter': '11', 'verse': '51', 'word_num': 12, 'word': 'ἐπροφήτευσεν', 'occurrence': 1, 'strong': 'G43950', 'lemma': 'προφητεύω', 'morph': 'Gr,V,IAA3,,S,'}]","ἐπροφήτευσεν",1,1,"[{'id': 1263867, 'book_id': 'jhn', 'chapter': '11', 'verse': '51', 'word_num': 13, 'word': 'he', 'occurrence': 2}, {'id': 1263868, 'book_id': 'jhn', 'chapter': '11', 'verse': '51', 'word_num': 14, 'word': 'prophesied', 'occurrence': 1}]","he prophesied",2,"ἐπροφήτευσεν = he prophesied",0.25,1,0,0
"562545","jud","1","14","6",",1547339,",",1359676,",0,"[{'id': 1547339, 'book_id': 'jud', 'chapter': '1', 'verse': '14', 'word_num': 0, 'word': 'ἐπροφήτευσεν', 'occurrence': 1, 'strong': 'G43950', 'lemma': 'προφητεύω', 'morph': 'Gr,V,IAA3,,S,'}]","ἐπροφήτευσεν",1,0,"[{'id': 1359676, 'book_id': 'jud', 'chapter': '1', 'verse': '14', 'word_num': 7, 'word': 'prophesied', 'occurrence': 1}]","prophesied",1,"ἐπροφήτευσεν = prophesied",0.75,3,0,0
"467543","mrk","14","65","15",",1447968,",",1225092,",0,"[{'id': 1447968, 'book_id': 'mrk', 'chapter': '14', 'verse': '65', 'word_num': 16, 'word': 'προφήτευσον', 'occurrence': 1, 'strong': 'G43950', 'lemma': 'προφητεύω', 'morph': 'Gr,V,MAA2,,S,'}]","προφήτευσον",1,0,"[{'id': 1225092, 'book_id': 'mrk', 'chapter': '14', 'verse': '65', 'word_num': 19, 'word': 'Prophesy', 'occurrence': 1}]","Prophesy",1,"προφήτευσον = Prophesy",1.0,2,0,0
"485799","luk","22","64","5",",1466763,",",1250434,",0,"[{'id': 1466763, 'book_id': 'luk', 'chapter': '22', 'verse': '64', 'word_num': 5, 'word': 'προφήτευσον', 'occurrence': 1, 'strong': 'G43950', 'lemma': 'προφητεύω', 'morph': 'Gr,V,MAA2,,S,'}]","προφήτευσον",1,0,"[{'id': 1250434, 'book_id': 'luk', 'chapter': '22', 'verse': '64', 'word_num': 11, 'word': 'Prophesy', 'occurrence': 1}]","Prophesy",1,"προφήτευσον = Prophesy",1.0,2,0,0
"502693","act","2","17","19",",1484926,",",1273400,1273401,",0,"[{'id': 1484926, 'book_id': 'act', 'chapter': '2', 'verse': '17', 'word_num': 18, 'word': 'προφητεύσουσιν', 'occurrence': 1, 'strong': 'G43950', 'lemma': 'προφητεύω', 'morph': 'Gr,V,IFA3,,P,'}]","προφητεύσουσιν",1,1,"[{'id': 1273400, 'book_id': 'act', 'chapter': '2', 'verse': '17', 'word_num': 24, 'word': 'will', 'occurrence': 3}, {'id': 1273401, 'book_id': 'act', 'chapter': '2', 'verse': '17', 'word_num': 25, 'word': 'prophesy', 'occurrence': 1}]","will prophesy",2,"προφητεύσουσιν = will prophesy",0.3333333333333333,1,0,0
"502720","act","2","18","16",",1484967,",",1273436,1273437,1273438,",0,"[{'id': 1484967, 'book_id': 'act', 'chapter': '2', 'verse': '18', 'word_num': 21, 'word': 'προφητεύσουσιν', 'occurrence': 1, 'strong': 'G43950', 'lemma': 'προφητεύω', 'morph': 'Gr,V,IFA3,,P,'}]","προφητεύσουσιν",1,2,"[{'id': 1273436, 'book_id': 'act', 'chapter': '2', 'verse': '18', 'word_num': 20, 'word': 'they', 'occurrence': 1}, {'id': 1273437, 'book_id': 'act', 'chapter': '2', 'verse': '18', 'word_num': 21, 'word': 'will', 'occurrence': 2}, {'id': 1273438, 'book_id': 'act', 'chapter': '2', 'verse': '18', 'word_num': 22, 'word': 'prophesy', 'occurrence': 1}]","they will prophesy",3,"προφητεύσουσιν = they will prophesy",0.6666666666666666,2,0,0
"566505","rev","11","3","7",",1551756,",",1365213,1365214,1365215,",0,"[{'id': 1551756, 'book_id': 'rev', 'chapter': '11', 'verse': '3', 'word_num': 7, 'word': 'προφητεύσουσιν', 'occurrence': 1, 'strong': 'G43950', 'lemma': 'προφητεύω', 'morph': 'Gr,V,IFA3,,P,'}]","προφητεύσουσιν",1,2,"[{'id': 1365213, 'book_id': 'rev', 'chapter': '11', 'verse': '3', 'word_num': 10, 'word': 'they', 'occurrence': 1}, {'id': 1365214, 'book_id': 'rev', 'chapter': '11', 'verse': '3', 'word_num': 11, 'word': 'will', 'occurrence': 2}, {'id': 1365215, 'book_id': 'rev', 'chapter': '11', 'verse': '3', 'word_num': 12, 'word': 'prophesy', 'occurrence': 1}]","they will prophesy",3,"προφητεύσουσιν = they will prophesy",0.6666666666666666,2,0,0
"513750","act","19","6","16",",1496317,",",1288262,",0,"[{'id': 1496317, 'book_id': 'act', 'chapter': '19', 'verse': '6', 'word_num': 17, 'word': 'ἐπροφήτευον', 'occurrence': 1, 'strong': 'G43950', 'lemma': 'προφητεύω', 'morph': 'Gr,V,IIA3,,P,'}]","ἐπροφήτευον",1,0,"[{'id': 1288262, 'book_id': 'act', 'chapter': '19', 'verse': '6', 'word_num': 22, 'word': 'prophesied', 'occurrence': 1}]","prophesied",1,"ἐπροφήτευον = prophesied",1.0,1,0,0
"515178","act","21","9","6",",1497805,",",1290209,1290210,",0,"[{'id': 1497805, 'book_id': 'act', 'chapter': '21', 'verse': '9', 'word_num': 6, 'word': 'προφητεύουσαι', 'occurrence': 1, 'strong': 'G43950', 'lemma': 'προφητεύω', 'morph': 'Gr,V,PPA,NFP,'}]","προφητεύουσαι",1,1,"[{'id': 1290209, 'book_id': 'act', 'chapter': '21', 'verse': '9', 'word_num': 7, 'word': 'who', 'occurrence': 1}, {'id': 1290210, 'book_id': 'act', 'chapter': '21', 'verse': '9', 'word_num': 8, 'word': 'prophesied', 'occurrence': 1}]","who prophesied",2,"προφητεύουσαι = who prophesied",1.0,1,0,0
"530197","1co","11","4","4",",1513646,",",1312458,",0,"[{'id': 1513646, 'book_id': '1co', 'chapter': '11', 'verse': '4', 'word_num': 4, 'word': 'προφητεύων', 'occurrence': 1, 'strong': 'G43950', 'lemma': 'προφητεύω', 'morph': 'Gr,V,PPA,NMS,'}]","προφητεύων",1,0,"[{'id': 1312458, 'book_id': '1co', 'chapter': '11', 'verse': '4', 'word_num': 5, 'word': 'prophesies', 'occurrence': 1}]","prophesies",1,"προφητεύων = prophesies",0.25,1,0,0
"531346","1co","14","3","2",",1514822,",",1314105,1314106,",0,"[{'id': 1514822, 'book_id': '1co', 'chapter': '14', 'verse': '3', 'word_num': 2, 'word': 'προφητεύων', 'occurrence': 1, 'strong': 'G43950', 'lemma': 'προφητεύω', 'morph': 'Gr,V,PPA,NMS,'}]","προφητεύων",1,1,"[{'id': 1314105, 'book_id': '1co', 'chapter': '14', 'verse': '3', 'word_num': 3, 'word': 'who', 'occurrence': 1}, {'id': 1314106, 'book_id': '1co', 'chapter': '14', 'verse': '3', 'word_num': 4, 'word': 'prophesies', 'occurrence': 1}]","who prophesies",2,"προφητεύων = who prophesies",0.5,2,0,0
