"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"476808","luk","10","21","22",",1457648,",",1237996,1237997,",0,"[{'id': 1457648, 'book_id': 'luk', 'chapter': '10', 'verse': '21', 'word_num': 24, 'word': 'σοφῶν', 'occurrence': 1, 'strong': 'G46800', 'lemma': 'σοφός', 'morph': 'Gr,NS,,,,GMP,'}]","σοφῶν",1,1,"[{'id': 1237996, 'book_id': 'luk', 'chapter': '10', 'verse': '21', 'word_num': 27, 'word': 'the', 'occurrence': 2}, {'id': 1237997, 'book_id': 'luk', 'chapter': '10', 'verse': '21', 'word_num': 28, 'word': 'wise', 'occurrence': 1}]","the wise",2,"σοφῶν = the wise",0.058823529411764705,0,0
"520109","rom","1","14","7",",1502848,",",1297122,1297123,1297124,",0,"[{'id': 1502848, 'book_id': 'rom', 'chapter': '1', 'verse': '14', 'word_num': 4, 'word': 'σοφοῖς', 'occurrence': 1, 'strong': 'G46800', 'lemma': 'σοφός', 'morph': 'Gr,NS,,,,DMP,'}]","σοφοῖς",1,2,"[{'id': 1297122, 'book_id': 'rom', 'chapter': '1', 'verse': '14', 'word_num': 11, 'word': 'to', 'occurrence': 3}, {'id': 1297123, 'book_id': 'rom', 'chapter': '1', 'verse': '14', 'word_num': 12, 'word': 'the', 'occurrence': 1}, {'id': 1297124, 'book_id': 'rom', 'chapter': '1', 'verse': '14', 'word_num': 13, 'word': 'wise', 'occurrence': 1}]","to the wise",3,"σοφοῖς = to the wise",0.058823529411764705,0,0
"520230","rom","1","22","2",",1502981,",",1297315,",0,"[{'id': 1502981, 'book_id': 'rom', 'chapter': '1', 'verse': '22', 'word_num': 2, 'word': 'σοφοὶ', 'occurrence': 1, 'strong': 'G46800', 'lemma': 'σοφός', 'morph': 'Gr,NP,,,,NMP,'}]","σοφοὶ",1,0,"[{'id': 1297315, 'book_id': 'rom', 'chapter': '1', 'verse': '22', 'word_num': 4, 'word': 'wise', 'occurrence': 1}]","wise",1,"σοφοὶ = wise",0.058823529411764705,0,0
"526294","rom","16","19","11",",1509602,",",1306666,",0,"[{'id': 1509602, 'book_id': 'rom', 'chapter': '16', 'verse': '19', 'word_num': 14, 'word': 'σοφοὺς', 'occurrence': 1, 'strong': 'G46800', 'lemma': 'σοφός', 'morph': 'Gr,NP,,,,AMP,'}]","σοφοὺς",1,0,"[{'id': 1306666, 'book_id': 'rom', 'chapter': '16', 'verse': '19', 'word_num': 16, 'word': 'wise', 'occurrence': 1}]","wise",1,"σοφοὺς = wise",0.11764705882352941,0,0
"526406","rom","16","27","1",",1509733,",",1306830,",0,"[{'id': 1509733, 'book_id': 'rom', 'chapter': '16', 'verse': '27', 'word_num': 1, 'word': 'σοφῷ', 'occurrence': 1, 'strong': 'G46800', 'lemma': 'σοφός', 'morph': 'Gr,AA,,,,DMS,'}]","σοφῷ",1,0,"[{'id': 1306830, 'book_id': 'rom', 'chapter': '16', 'verse': '27', 'word_num': 3, 'word': 'wise', 'occurrence': 1}]","wise",1,"σοφῷ = wise",0.058823529411764705,0,0
"526705","1co","1","19","6",",1510044,",",1307247,",0,"[{'id': 1510044, 'book_id': '1co', 'chapter': '1', 'verse': '19', 'word_num': 6, 'word': 'σοφῶν', 'occurrence': 1, 'strong': 'G46800', 'lemma': 'σοφός', 'morph': 'Gr,NS,,,,GMP,'}]","σοφῶν",1,0,"[{'id': 1307247, 'book_id': '1co', 'chapter': '1', 'verse': '19', 'word_num': 11, 'word': 'wise', 'occurrence': 1}]","wise",1,"σοφῶν = wise",0.11764705882352941,0,0
"526713","1co","1","20","1",",1510052,",",1307259,1307260,1307261,",0,"[{'id': 1510052, 'book_id': '1co', 'chapter': '1', 'verse': '20', 'word_num': 1, 'word': 'σοφός', 'occurrence': 1, 'strong': 'G46800', 'lemma': 'σοφός', 'morph': 'Gr,NS,,,,NMS,'}]","σοφός",1,2,"[{'id': 1307259, 'book_id': '1co', 'chapter': '1', 'verse': '20', 'word_num': 2, 'word': 'the', 'occurrence': 1}, {'id': 1307260, 'book_id': '1co', 'chapter': '1', 'verse': '20', 'word_num': 3, 'word': 'wise', 'occurrence': 1}, {'id': 1307261, 'book_id': '1co', 'chapter': '1', 'verse': '20', 'word_num': 4, 'word': 'person', 'occurrence': 1}]","the wise person",3,"σοφός = the wise person",0.058823529411764705,0,0
"526803","1co","1","26","8",",1510155,",",1307386,1307387,",0,"[{'id': 1510155, 'book_id': '1co', 'chapter': '1', 'verse': '26', 'word_num': 9, 'word': 'σοφοὶ', 'occurrence': 1, 'strong': 'G46800', 'lemma': 'σοφός', 'morph': 'Gr,NS,,,,NMP,'}]","σοφοὶ",1,1,"[{'id': 1307386, 'book_id': '1co', 'chapter': '1', 'verse': '26', 'word_num': 10, 'word': 'were', 'occurrence': 1}, {'id': 1307387, 'book_id': '1co', 'chapter': '1', 'verse': '26', 'word_num': 11, 'word': 'wise', 'occurrence': 1}]","were wise",2,"σοφοὶ = were wise",0.058823529411764705,0,0
"526822","1co","1","27","10",",1510175,",",1307417,",0,"[{'id': 1510175, 'book_id': '1co', 'chapter': '1', 'verse': '27', 'word_num': 11, 'word': 'σοφούς', 'occurrence': 1, 'strong': 'G46800', 'lemma': 'σοφός', 'morph': 'Gr,NS,,,,AMP,'}]","σοφούς",1,0,"[{'id': 1307417, 'book_id': '1co', 'chapter': '1', 'verse': '27', 'word_num': 14, 'word': 'wise', 'occurrence': 1}]","wise",1,"σοφούς = wise",0.058823529411764705,0,0
"527284","1co","3","10","8",",1510665,",",1308057,1308058,",0,"[{'id': 1510665, 'book_id': '1co', 'chapter': '3', 'verse': '10', 'word_num': 9, 'word': 'σοφὸς', 'occurrence': 1, 'strong': 'G46800', 'lemma': 'σοφός', 'morph': 'Gr,AA,,,,NMS,'}]","σοφὸς",1,1,"[{'id': 1308057, 'book_id': '1co', 'chapter': '3', 'verse': '10', 'word_num': 12, 'word': 'a', 'occurrence': 1}, {'id': 1308058, 'book_id': '1co', 'chapter': '3', 'verse': '10', 'word_num': 13, 'word': 'skilled', 'occurrence': 1}]","a skilled",2,"σοφὸς = a skilled",0.058823529411764705,0,0
