"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"469514","luk","1","78","1",",1450223,",",1228196,1228197,",0,"[{'id': 1450223, 'book_id': 'luk', 'chapter': '1', 'verse': '78', 'word_num': 1, 'word': 'σπλάγχνα', 'occurrence': 1, 'strong': 'G46980', 'lemma': 'σπλάγχνον', 'morph': 'Gr,N,,,,,ANP,'}]","σπλάγχνα",1,1,"[{'id': 1228196, 'book_id': 'luk', 'chapter': '1', 'verse': '78', 'word_num': 2, 'word': 'the', 'occurrence': 1}, {'id': 1228197, 'book_id': 'luk', 'chapter': '1', 'verse': '78', 'word_num': 3, 'word': 'tender', 'occurrence': 1}]","the tender",2,"σπλάγχνα = the tender",0.09090909090909091,0,0
"502290","act","1","18","19",",1484514,1484515,",",1272884,1272885,",1,"[{'id': 1484514, 'book_id': 'act', 'chapter': '1', 'verse': '18', 'word_num': 17, 'word': 'τὰ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NNP,'}, {'id': 1484515, 'book_id': 'act', 'chapter': '1', 'verse': '18', 'word_num': 18, 'word': 'σπλάγχνα', 'occurrence': 1, 'strong': 'G46980', 'lemma': 'σπλάγχνον', 'morph': 'Gr,N,,,,,NNP,'}]","τὰ σπλάγχνα",2,1,"[{'id': 1272884, 'book_id': 'act', 'chapter': '1', 'verse': '18', 'word_num': 25, 'word': 'inward', 'occurrence': 1}, {'id': 1272885, 'book_id': 'act', 'chapter': '1', 'verse': '18', 'word_num': 26, 'word': 'parts', 'occurrence': 1}]","inward parts",2,"τὰ σπλάγχνα = inward parts",0.2727272727272727,0,0
"534863","2co","6","12","9",",1518454,1518455,",",1319194,1319195,",1,"[{'id': 1518454, 'book_id': '2co', 'chapter': '6', 'verse': '12', 'word_num': 7, 'word': 'τοῖς', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,DNP,'}, {'id': 1518455, 'book_id': '2co', 'chapter': '6', 'verse': '12', 'word_num': 8, 'word': 'σπλάγχνοις', 'occurrence': 1, 'strong': 'G46980', 'lemma': 'σπλάγχνον', 'morph': 'Gr,N,,,,,DNP,'}]","τοῖς σπλάγχνοις",2,1,"[{'id': 1319194, 'book_id': '2co', 'chapter': '6', 'verse': '12', 'word_num': 12, 'word': 'inward', 'occurrence': 1}, {'id': 1319195, 'book_id': '2co', 'chapter': '6', 'verse': '12', 'word_num': 13, 'word': 'parts', 'occurrence': 1}]","inward parts",2,"τοῖς σπλάγχνοις = inward parts",0.09090909090909091,0,0
"535262","2co","7","15","2",",1518861,1518862,",",1319772,",1,"[{'id': 1518861, 'book_id': '2co', 'chapter': '7', 'verse': '15', 'word_num': 1, 'word': 'τὰ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NNP,'}, {'id': 1518862, 'book_id': '2co', 'chapter': '7', 'verse': '15', 'word_num': 2, 'word': 'σπλάγχνα', 'occurrence': 1, 'strong': 'G46980', 'lemma': 'σπλάγχνον', 'morph': 'Gr,N,,,,,NNP,'}]","τὰ σπλάγχνα",2,0,"[{'id': 1319772, 'book_id': '2co', 'chapter': '7', 'verse': '15', 'word_num': 2, 'word': 'affections', 'occurrence': 1}]","affections",1,"τὰ σπλάγχνα = affections",0.09090909090909091,0,0
"542057","php","1","8","9",",1525813,",",1329510,1329511,",0,"[{'id': 1525813, 'book_id': 'php', 'chapter': '1', 'verse': '8', 'word_num': 10, 'word': 'σπλάγχνοις', 'occurrence': 1, 'strong': 'G46980', 'lemma': 'σπλάγχνον', 'morph': 'Gr,N,,,,,DNP,'}]","σπλάγχνοις",1,1,"[{'id': 1329510, 'book_id': 'php', 'chapter': '1', 'verse': '8', 'word_num': 13, 'word': 'the', 'occurrence': 1}, {'id': 1329511, 'book_id': 'php', 'chapter': '1', 'verse': '8', 'word_num': 14, 'word': 'affections', 'occurrence': 1}]","the affections",2,"σπλάγχνοις = the affections",0.09090909090909091,0,0
"542420","php","2","1","16",",1526200,",",1330046,",0,"[{'id': 1526200, 'book_id': 'php', 'chapter': '2', 'verse': '1', 'word_num': 16, 'word': 'σπλάγχνα', 'occurrence': 1, 'strong': 'G46980', 'lemma': 'σπλάγχνον', 'morph': 'Gr,N,,,,,NNP,'}]","σπλάγχνα",1,0,"[{'id': 1330046, 'book_id': 'php', 'chapter': '2', 'verse': '1', 'word_num': 28, 'word': 'affections', 'occurrence': 1}]","affections",1,"σπλάγχνα = affections",0.09090909090909091,0,0
"544500","col","3","12","8",",1528398,",",1333166,1333167,",0,"[{'id': 1528398, 'book_id': 'col', 'chapter': '3', 'verse': '12', 'word_num': 9, 'word': 'σπλάγχνα', 'occurrence': 1, 'strong': 'G46980', 'lemma': 'σπλάγχνον', 'morph': 'Gr,N,,,,,ANP,'}]","σπλάγχνα",1,1,"[{'id': 1333166, 'book_id': 'col', 'chapter': '3', 'verse': '12', 'word_num': 11, 'word': 'inward', 'occurrence': 1}, {'id': 1333167, 'book_id': 'col', 'chapter': '3', 'verse': '12', 'word_num': 12, 'word': 'parts', 'occurrence': 1}]","inward parts",2,"σπλάγχνα = inward parts",0.2727272727272727,0,0
"550747","phm","1","7","11",",1534779,",",1341928,1341929,",0,"[{'id': 1534779, 'book_id': 'phm', 'chapter': '1', 'verse': '7', 'word_num': 12, 'word': 'σπλάγχνα', 'occurrence': 1, 'strong': 'G46980', 'lemma': 'σπλάγχνον', 'morph': 'Gr,N,,,,,NNP,'}]","σπλάγχνα",1,1,"[{'id': 1341928, 'book_id': 'phm', 'chapter': '1', 'verse': '7', 'word_num': 14, 'word': 'inward', 'occurrence': 1}, {'id': 1341929, 'book_id': 'phm', 'chapter': '1', 'verse': '7', 'word_num': 15, 'word': 'parts', 'occurrence': 1}]","inward parts",2,"σπλάγχνα = inward parts",0.2727272727272727,0,0
"550807","phm","1","12","8",",1534843,",",1342025,1342026,",0,"[{'id': 1534843, 'book_id': 'phm', 'chapter': '1', 'verse': '12', 'word_num': 8, 'word': 'σπλάγχνα', 'occurrence': 1, 'strong': 'G46980', 'lemma': 'σπλάγχνον', 'morph': 'Gr,N,,,,,NNP,'}]","σπλάγχνα",1,1,"[{'id': 1342025, 'book_id': 'phm', 'chapter': '1', 'verse': '12', 'word_num': 13, 'word': 'inward', 'occurrence': 1}, {'id': 1342026, 'book_id': 'phm', 'chapter': '1', 'verse': '12', 'word_num': 14, 'word': 'parts', 'occurrence': 1}]","inward parts",2,"σπλάγχνα = inward parts",0.2727272727272727,0,0
"550914","phm","1","20","7",",1534956,1534957,",",1342199,1342200,",1,"[{'id': 1534956, 'book_id': 'phm', 'chapter': '1', 'verse': '20', 'word_num': 9, 'word': 'τὰ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,ANP,'}, {'id': 1534957, 'book_id': 'phm', 'chapter': '1', 'verse': '20', 'word_num': 10, 'word': 'σπλάγχνα', 'occurrence': 1, 'strong': 'G46980', 'lemma': 'σπλάγχνον', 'morph': 'Gr,N,,,,,ANP,'}]","τὰ σπλάγχνα",2,1,"[{'id': 1342199, 'book_id': 'phm', 'chapter': '1', 'verse': '20', 'word_num': 11, 'word': 'inward', 'occurrence': 1}, {'id': 1342200, 'book_id': 'phm', 'chapter': '1', 'verse': '20', 'word_num': 12, 'word': 'parts', 'occurrence': 1}]","inward parts",2,"τὰ σπλάγχνα = inward parts",0.2727272727272727,0,0
"560946","1jn","3","17","13",",1545600,1545601,",",1357441,1357442,",1,"[{'id': 1545600, 'book_id': '1jn', 'chapter': '3', 'verse': '17', 'word_num': 17, 'word': 'τὰ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,ANP,'}, {'id': 1545601, 'book_id': '1jn', 'chapter': '3', 'verse': '17', 'word_num': 18, 'word': 'σπλάγχνα', 'occurrence': 1, 'strong': 'G46980', 'lemma': 'σπλάγχνον', 'morph': 'Gr,N,,,,,ANP,'}]","τὰ σπλάγχνα",2,1,"[{'id': 1357441, 'book_id': '1jn', 'chapter': '3', 'verse': '17', 'word_num': 17, 'word': 'inward', 'occurrence': 1}, {'id': 1357442, 'book_id': '1jn', 'chapter': '3', 'verse': '17', 'word_num': 18, 'word': 'parts', 'occurrence': 1}]","inward parts",2,"τὰ σπλάγχνα = inward parts",0.2727272727272727,0,0
