"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"463054","mrk","8","34","19",",1443070,1443071,",",1218666,",1,"[{'id': 1443070, 'book_id': 'mrk', 'chapter': '8', 'verse': '34', 'word_num': 20, 'word': 'τὸν', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AMS,'}, {'id': 1443071, 'book_id': 'mrk', 'chapter': '8', 'verse': '34', 'word_num': 21, 'word': 'σταυρὸν', 'occurrence': 1, 'strong': 'G47160', 'lemma': 'σταυρός', 'morph': 'Gr,N,,,,,AMS,'}]","τὸν σταυρὸν",2,0,"[{'id': 1218666, 'book_id': 'mrk', 'chapter': '8', 'verse': '34', 'word_num': 28, 'word': 'cross', 'occurrence': 1}]","cross",1,"τὸν σταυρὸν = cross",0.42857142857142855,3,0,0
"467919","mrk","15","21","18",",1448379,1448380,",",1225670,",1,"[{'id': 1448379, 'book_id': 'mrk', 'chapter': '15', 'verse': '21', 'word_num': 16, 'word': 'τὸν', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AMS,'}, {'id': 1448380, 'book_id': 'mrk', 'chapter': '15', 'verse': '21', 'word_num': 17, 'word': 'σταυρὸν', 'occurrence': 1, 'strong': 'G47160', 'lemma': 'σταυρός', 'morph': 'Gr,N,,,,,AMS,'}]","τὸν σταυρὸν",2,0,"[{'id': 1225670, 'book_id': 'mrk', 'chapter': '15', 'verse': '21', 'word_num': 24, 'word': 'cross', 'occurrence': 1}]","cross",1,"τὸν σταυρὸν = cross",0.42857142857142855,3,0,0
"475749","luk","9","23","15",",1456534,1456535,",",1236617,",1,"[{'id': 1456534, 'book_id': 'luk', 'chapter': '9', 'verse': '23', 'word_num': 14, 'word': 'τὸν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AMS,'}, {'id': 1456535, 'book_id': 'luk', 'chapter': '9', 'verse': '23', 'word_num': 15, 'word': 'σταυρὸν', 'occurrence': 1, 'strong': 'G47160', 'lemma': 'σταυρός', 'morph': 'Gr,N,,,,,AMS,'}]","τὸν σταυρὸν",2,0,"[{'id': 1236617, 'book_id': 'luk', 'chapter': '9', 'verse': '23', 'word_num': 21, 'word': 'cross', 'occurrence': 1}]","cross",1,"τὸν σταυρὸν = cross",0.42857142857142855,3,0,0
"480302","luk","14","27","5",",1461202,",",1242801,",0,"[{'id': 1461202, 'book_id': 'luk', 'chapter': '14', 'verse': '27', 'word_num': 4, 'word': 'σταυρὸν', 'occurrence': 1, 'strong': 'G47160', 'lemma': 'σταυρός', 'morph': 'Gr,N,,,,,AMS,'}]","σταυρὸν",1,0,"[{'id': 1242801, 'book_id': 'luk', 'chapter': '14', 'verse': '27', 'word_num': 6, 'word': 'cross', 'occurrence': 1}]","cross",1,"σταυρὸν = cross",0.42857142857142855,3,0,0
"486285","luk","23","26","14",",1467265,",",1251058,",0,"[{'id': 1467265, 'book_id': 'luk', 'chapter': '23', 'verse': '26', 'word_num': 14, 'word': 'σταυρὸν', 'occurrence': 1, 'strong': 'G47160', 'lemma': 'σταυρός', 'morph': 'Gr,N,,,,,AMS,'}]","σταυρὸν",1,0,"[{'id': 1251058, 'book_id': 'luk', 'chapter': '23', 'verse': '26', 'word_num': 19, 'word': 'cross', 'occurrence': 1}]","cross",1,"σταυρὸν = cross",0.42857142857142855,3,0,0
"500389","jhn","19","17","3",",1482485,",",1270266,",0,"[{'id': 1482485, 'book_id': 'jhn', 'chapter': '19', 'verse': '17', 'word_num': 4, 'word': 'σταυρὸν', 'occurrence': 1, 'strong': 'G47160', 'lemma': 'σταυρός', 'morph': 'Gr,N,,,,,AMS,'}]","σταυρὸν",1,0,"[{'id': 1270266, 'book_id': 'jhn', 'chapter': '19', 'verse': '17', 'word_num': 5, 'word': 'cross', 'occurrence': 1}]","cross",1,"σταυρὸν = cross",0.42857142857142855,3,0,0
"554914","heb","12","2","16",",1539148,",",1348271,1348272,",0,"[{'id': 1539148, 'book_id': 'heb', 'chapter': '12', 'verse': '2', 'word_num': 16, 'word': 'σταυρὸν', 'occurrence': 1, 'strong': 'G47160', 'lemma': 'σταυρός', 'morph': 'Gr,N,,,,,AMS,'}]","σταυρὸν",1,1,"[{'id': 1348271, 'book_id': 'heb', 'chapter': '12', 'verse': '2', 'word_num': 23, 'word': 'the', 'occurrence': 4}, {'id': 1348272, 'book_id': 'heb', 'chapter': '12', 'verse': '2', 'word_num': 24, 'word': 'cross', 'occurrence': 1}]","the cross",2,"σταυρὸν = the cross",0.14285714285714285,1,0,0
"468009","mrk","15","30","5",",1448487,",",1225803,",0,"[{'id': 1448487, 'book_id': 'mrk', 'chapter': '15', 'verse': '30', 'word_num': 5, 'word': 'σταυροῦ', 'occurrence': 1, 'strong': 'G47160', 'lemma': 'σταυρός', 'morph': 'Gr,N,,,,,GMS,'}]","σταυροῦ",1,0,"[{'id': 1225803, 'book_id': 'mrk', 'chapter': '15', 'verse': '30', 'word_num': 7, 'word': 'cross', 'occurrence': 1}]","cross",1,"σταυροῦ = cross",0.8,8,0,0
"468038","mrk","15","32","10",",1448514,",",1225844,",0,"[{'id': 1448514, 'book_id': 'mrk', 'chapter': '15', 'verse': '32', 'word_num': 9, 'word': 'σταυροῦ', 'occurrence': 1, 'strong': 'G47160', 'lemma': 'σταυρός', 'morph': 'Gr,N,,,,,GMS,'}]","σταυροῦ",1,0,"[{'id': 1225844, 'book_id': 'mrk', 'chapter': '15', 'verse': '32', 'word_num': 12, 'word': 'cross', 'occurrence': 1}]","cross",1,"σταυροῦ = cross",0.8,8,0,0
"500421","jhn","19","19","9",",1482521,",",1270314,",0,"[{'id': 1482521, 'book_id': 'jhn', 'chapter': '19', 'verse': '19', 'word_num': 10, 'word': 'σταυροῦ', 'occurrence': 1, 'strong': 'G47160', 'lemma': 'σταυρός', 'morph': 'Gr,N,,,,,GMS,'}]","σταυροῦ",1,0,"[{'id': 1270314, 'book_id': 'jhn', 'chapter': '19', 'verse': '19', 'word_num': 11, 'word': 'cross', 'occurrence': 1}]","cross",1,"σταυροῦ = cross",0.8,8,0,0
"500655","jhn","19","31","14",",1482773,",",1270645,",0,"[{'id': 1482773, 'book_id': 'jhn', 'chapter': '19', 'verse': '31', 'word_num': 11, 'word': 'σταυροῦ', 'occurrence': 1, 'strong': 'G47160', 'lemma': 'σταυρός', 'morph': 'Gr,N,,,,,GMS,'}]","σταυροῦ",1,0,"[{'id': 1270645, 'book_id': 'jhn', 'chapter': '19', 'verse': '31', 'word_num': 20, 'word': 'cross', 'occurrence': 1}]","cross",1,"σταυροῦ = cross",0.8,8,0,0
"526688","1co","1","18","4",",1510025,",",1307215,",0,"[{'id': 1510025, 'book_id': '1co', 'chapter': '1', 'verse': '18', 'word_num': 5, 'word': 'σταυροῦ', 'occurrence': 1, 'strong': 'G47160', 'lemma': 'σταυρός', 'morph': 'Gr,N,,,,,GMS,'}]","σταυροῦ",1,0,"[{'id': 1307215, 'book_id': '1co', 'chapter': '1', 'verse': '18', 'word_num': 5, 'word': 'cross', 'occurrence': 1}]","cross",1,"σταυροῦ = cross",0.8,8,0,0
"539086","gal","5","11","15",",1522811,",",1325600,",0,"[{'id': 1522811, 'book_id': 'gal', 'chapter': '5', 'verse': '11', 'word_num': 15, 'word': 'σταυροῦ', 'occurrence': 1, 'strong': 'G47160', 'lemma': 'σταυρός', 'morph': 'Gr,N,,,,,GMS,'}]","σταυροῦ",1,0,"[{'id': 1325600, 'book_id': 'gal', 'chapter': '5', 'verse': '11', 'word_num': 21, 'word': 'cross', 'occurrence': 1}]","cross",1,"σταυροῦ = cross",0.8,8,0,0
"540196","eph","2","16","10",",1523945,",",1327116,",0,"[{'id': 1523945, 'book_id': 'eph', 'chapter': '2', 'verse': '16', 'word_num': 11, 'word': 'σταυροῦ', 'occurrence': 1, 'strong': 'G47160', 'lemma': 'σταυρός', 'morph': 'Gr,N,,,,,GMS,'}]","σταυροῦ",1,0,"[{'id': 1327116, 'book_id': 'eph', 'chapter': '2', 'verse': '16', 'word_num': 14, 'word': 'cross', 'occurrence': 1}]","cross",1,"σταυροῦ = cross",0.8,8,0,0
"542503","php","2","8","8",",1526286,",",1330178,1330179,1330180,",0,"[{'id': 1526286, 'book_id': 'php', 'chapter': '2', 'verse': '8', 'word_num': 8, 'word': 'σταυροῦ', 'occurrence': 1, 'strong': 'G47160', 'lemma': 'σταυρός', 'morph': 'Gr,N,,,,,GMS,'}]","σταυροῦ",1,2,"[{'id': 1330178, 'book_id': 'php', 'chapter': '2', 'verse': '8', 'word_num': 13, 'word': 'on', 'occurrence': 1}, {'id': 1330179, 'book_id': 'php', 'chapter': '2', 'verse': '8', 'word_num': 14, 'word': 'a', 'occurrence': 1}, {'id': 1330180, 'book_id': 'php', 'chapter': '2', 'verse': '8', 'word_num': 15, 'word': 'cross', 'occurrence': 1}]","on a cross",3,"σταυροῦ = on a cross",0.1,1,0,0
"543105","php","3","18","15",",1526890,",",1331095,",0,"[{'id': 1526890, 'book_id': 'php', 'chapter': '3', 'verse': '18', 'word_num': 15, 'word': 'σταυροῦ', 'occurrence': 1, 'strong': 'G47160', 'lemma': 'σταυρός', 'morph': 'Gr,N,,,,,GMS,'}]","σταυροῦ",1,0,"[{'id': 1331095, 'book_id': 'php', 'chapter': '3', 'verse': '18', 'word_num': 25, 'word': 'cross', 'occurrence': 1}]","cross",1,"σταυροῦ = cross",0.8,8,0,0
