"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"516365","act","23","1","12",",1499023,",",1291823,",0,"[{'id': 1499023, 'book_id': 'act', 'chapter': '23', 'verse': '1', 'word_num': 11, 'word': 'συνειδήσει', 'occurrence': 1, 'strong': 'G48930', 'lemma': 'συνείδησις', 'morph': 'Gr,N,,,,,DFS,'}]","συνειδήσει",1,0,"[{'id': 1291823, 'book_id': 'act', 'chapter': '23', 'verse': '1', 'word_num': 20, 'word': 'in', 'occurrence': 1}]","in",1,"συνειδήσει = in",0.03333333333333333,0,0
"517262","act","24","16","8",",1499931,",",1293098,",0,"[{'id': 1499931, 'book_id': 'act', 'chapter': '24', 'verse': '16', 'word_num': 6, 'word': 'συνείδησιν', 'occurrence': 1, 'strong': 'G48930', 'lemma': 'συνείδησις', 'morph': 'Gr,N,,,,,AFS,'}]","συνείδησιν",1,0,"[{'id': 1293098, 'book_id': 'act', 'chapter': '24', 'verse': '16', 'word_num': 12, 'word': 'conscience', 'occurrence': 1}]","conscience",1,"συνείδησιν = conscience",0.13333333333333333,0,0
"520619","rom","2","15","11",",1503409,",",1297920,",0,"[{'id': 1503409, 'book_id': 'rom', 'chapter': '2', 'verse': '15', 'word_num': 14, 'word': 'συνειδήσεως', 'occurrence': 1, 'strong': 'G48930', 'lemma': 'συνείδησις', 'morph': 'Gr,N,,,,,GFS,'}]","συνειδήσεως",1,0,"[{'id': 1297920, 'book_id': 'rom', 'chapter': '2', 'verse': '15', 'word_num': 17, 'word': 'conscience', 'occurrence': 1}]","conscience",1,"συνειδήσεως = conscience",0.06666666666666667,0,0
"523340","rom","9","1","8",",1506379,1506380,",",1302121,",1,"[{'id': 1506379, 'book_id': 'rom', 'chapter': '9', 'verse': '1', 'word_num': 8, 'word': 'τῆς', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,GFS,'}, {'id': 1506380, 'book_id': 'rom', 'chapter': '9', 'verse': '1', 'word_num': 9, 'word': 'συνειδήσεώς', 'occurrence': 1, 'strong': 'G48930', 'lemma': 'συνείδησις', 'morph': 'Gr,N,,,,,GFS,'}]","τῆς συνειδήσεώς",2,0,"[{'id': 1302121, 'book_id': 'rom', 'chapter': '9', 'verse': '1', 'word_num': 12, 'word': 'conscience', 'occurrence': 1}]","conscience",1,"τῆς συνειδήσεώς = conscience",0.03333333333333333,0,0
"525023","rom","13","5","12",",1508222,1508223,",",1304738,",1,"[{'id': 1508222, 'book_id': 'rom', 'chapter': '13', 'verse': '5', 'word_num': 11, 'word': 'τὴν', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AFS,'}, {'id': 1508223, 'book_id': 'rom', 'chapter': '13', 'verse': '5', 'word_num': 12, 'word': 'συνείδησιν', 'occurrence': 1, 'strong': 'G48930', 'lemma': 'συνείδησις', 'morph': 'Gr,N,,,,,AFS,'}]","τὴν συνείδησιν",2,0,"[{'id': 1304738, 'book_id': 'rom', 'chapter': '13', 'verse': '5', 'word_num': 14, 'word': 'conscience', 'occurrence': 1}]","conscience",1,"τὴν συνείδησιν = conscience",0.1,0,0
"529153","1co","8","7","17",",1512578,1512579,",",1310846,",1,"[{'id': 1512578, 'book_id': '1co', 'chapter': '8', 'verse': '7', 'word_num': 18, 'word': 'ἡ', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NFS,'}, {'id': 1512579, 'book_id': '1co', 'chapter': '8', 'verse': '7', 'word_num': 19, 'word': 'συνείδησις', 'occurrence': 1, 'strong': 'G48930', 'lemma': 'συνείδησις', 'morph': 'Gr,N,,,,,NFS,'}]","ἡ συνείδησις",2,0,"[{'id': 1310846, 'book_id': '1co', 'chapter': '8', 'verse': '7', 'word_num': 34, 'word': 'conscience', 'occurrence': 1}]","conscience",1,"ἡ συνείδησις = conscience",0.06666666666666667,0,0
"529196","1co","8","10","11",",1512623,1512624,",",1310911,",1,"[{'id': 1512623, 'book_id': '1co', 'chapter': '8', 'verse': '10', 'word_num': 11, 'word': 'ἡ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NFS,'}, {'id': 1512624, 'book_id': '1co', 'chapter': '8', 'verse': '10', 'word_num': 12, 'word': 'συνείδησις', 'occurrence': 1, 'strong': 'G48930', 'lemma': 'συνείδησις', 'morph': 'Gr,N,,,,,NFS,'}]","ἡ συνείδησις",2,0,"[{'id': 1310911, 'book_id': '1co', 'chapter': '8', 'verse': '10', 'word_num': 17, 'word': 'conscience', 'occurrence': 1}]","conscience",1,"ἡ συνείδησις = conscience",0.06666666666666667,0,0
"529226","1co","8","12","9",",1512657,1512658,",",1310955,",1,"[{'id': 1512657, 'book_id': '1co', 'chapter': '8', 'verse': '12', 'word_num': 9, 'word': 'τὴν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AFS,'}, {'id': 1512658, 'book_id': '1co', 'chapter': '8', 'verse': '12', 'word_num': 10, 'word': 'συνείδησιν', 'occurrence': 1, 'strong': 'G48930', 'lemma': 'συνείδησις', 'morph': 'Gr,N,,,,,AFS,'}]","τὴν συνείδησιν",2,0,"[{'id': 1310955, 'book_id': '1co', 'chapter': '8', 'verse': '12', 'word_num': 11, 'word': 'consciences', 'occurrence': 1}]","consciences",1,"τὴν συνείδησιν = consciences",0.03333333333333333,0,0
"530040","1co","10","25","10",",1513483,",",1312207,",0,"[{'id': 1513483, 'book_id': '1co', 'chapter': '10', 'verse': '25', 'word_num': 10, 'word': 'συνείδησιν', 'occurrence': 1, 'strong': 'G48930', 'lemma': 'συνείδησις', 'morph': 'Gr,N,,,,,AFS,'}]","συνείδησιν",1,0,"[{'id': 1312207, 'book_id': '1co', 'chapter': '10', 'verse': '25', 'word_num': 17, 'word': 'conscience', 'occurrence': 1}]","conscience",1,"συνείδησιν = conscience",0.13333333333333333,0,0
"530068","1co","10","27","18",",1513511,",",1312250,",0,"[{'id': 1513511, 'book_id': '1co', 'chapter': '10', 'verse': '27', 'word_num': 18, 'word': 'συνείδησιν', 'occurrence': 1, 'strong': 'G48930', 'lemma': 'συνείδησις', 'morph': 'Gr,N,,,,,AFS,'}]","συνείδησιν",1,0,"[{'id': 1312250, 'book_id': '1co', 'chapter': '10', 'verse': '27', 'word_num': 30, 'word': 'conscience', 'occurrence': 1}]","conscience",1,"συνείδησιν = conscience",0.13333333333333333,0,0
