"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"209149","luk","1","69","3",",1174206,",",859734,859735,",0,"[{'id': 1174206, 'book_id': 'luk', 'chapter': '1', 'verse': '69', 'word_num': 3, 'word': 'σωτηρίας', 'occurrence': 1, 'strong': 'G49910', 'lemma': 'σωτηρία', 'morph': 'Gr,N,,,,,GFS,'}]","σωτηρίας",1,1,"[{'id': 859734, 'book_id': 'luk', 'chapter': '1', 'verse': '69', 'word_num': 7, 'word': 'of', 'occurrence': 1}, {'id': 859735, 'book_id': 'luk', 'chapter': '1', 'verse': '69', 'word_num': 8, 'word': 'salvation', 'occurrence': 1}]","of salvation",2,"σωτηρίας = of salvation",0.13333333333333333,0,0
"209167","luk","1","71","0",",1174223,",",859758,",0,"[{'id': 1174223, 'book_id': 'luk', 'chapter': '1', 'verse': '71', 'word_num': 0, 'word': 'σωτηρίαν', 'occurrence': 1, 'strong': 'G49910', 'lemma': 'σωτηρία', 'morph': 'Gr,N,,,,,AFS,'}]","σωτηρίαν",1,0,"[{'id': 859758, 'book_id': 'luk', 'chapter': '1', 'verse': '71', 'word_num': 0, 'word': 'salvation', 'occurrence': 1}]","salvation",1,"σωτηρίαν = salvation",0.2222222222222222,0,0
"209230","luk","1","77","2",",1174290,",",859851,859852,",0,"[{'id': 1174290, 'book_id': 'luk', 'chapter': '1', 'verse': '77', 'word_num': 3, 'word': 'σωτηρίας', 'occurrence': 1, 'strong': 'G49910', 'lemma': 'σωτηρία', 'morph': 'Gr,N,,,,,GFS,'}]","σωτηρίας",1,1,"[{'id': 859851, 'book_id': 'luk', 'chapter': '1', 'verse': '77', 'word_num': 4, 'word': 'of', 'occurrence': 1}, {'id': 859852, 'book_id': 'luk', 'chapter': '1', 'verse': '77', 'word_num': 5, 'word': 'salvation', 'occurrence': 1}]","of salvation",2,"σωτηρίας = of salvation",0.13333333333333333,0,0
"222648","luk","19","9","6",",1187953,",",878117,",0,"[{'id': 1187953, 'book_id': 'luk', 'chapter': '19', 'verse': '9', 'word_num': 8, 'word': 'σωτηρία', 'occurrence': 1, 'strong': 'G49910', 'lemma': 'σωτηρία', 'morph': 'Gr,N,,,,,NFS,'}]","σωτηρία",1,0,"[{'id': 878117, 'book_id': 'luk', 'chapter': '19', 'verse': '9', 'word_num': 6, 'word': 'salvation', 'occurrence': 1}]","salvation",1,"σωτηρία = salvation",0.044444444444444446,0,0
"229375","jhn","4","22","11",",1194896,1194897,",",887159,",1,"[{'id': 1194896, 'book_id': 'jhn', 'chapter': '4', 'verse': '22', 'word_num': 10, 'word': 'ἡ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NFS,'}, {'id': 1194897, 'book_id': 'jhn', 'chapter': '4', 'verse': '22', 'word_num': 11, 'word': 'σωτηρία', 'occurrence': 1, 'strong': 'G49910', 'lemma': 'σωτηρία', 'morph': 'Gr,N,,,,,NFS,'}]","ἡ σωτηρία",2,0,"[{'id': 887159, 'book_id': 'jhn', 'chapter': '4', 'verse': '22', 'word_num': 13, 'word': 'salvation', 'occurrence': 1}]","salvation",1,"ἡ σωτηρία = salvation",0.08888888888888889,0,0
"243621","act","4","12","2",",1210268,1210269,",",906666,",1,"[{'id': 1210268, 'book_id': 'act', 'chapter': '4', 'verse': '12', 'word_num': 6, 'word': 'ἡ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NFS,'}, {'id': 1210269, 'book_id': 'act', 'chapter': '4', 'verse': '12', 'word_num': 7, 'word': 'σωτηρία', 'occurrence': 1, 'strong': 'G49910', 'lemma': 'σωτηρία', 'morph': 'Gr,N,,,,,NFS,'}]","ἡ σωτηρία",2,0,"[{'id': 906666, 'book_id': 'act', 'chapter': '4', 'verse': '12', 'word_num': 3, 'word': 'salvation', 'occurrence': 1}]","salvation",1,"ἡ σωτηρία = salvation",0.08888888888888889,0,0
"245566","act","7","25","11",",1212268,",",909243,",0,"[{'id': 1212268, 'book_id': 'act', 'chapter': '7', 'verse': '25', 'word_num': 12, 'word': 'σωτηρίαν', 'occurrence': 1, 'strong': 'G49910', 'lemma': 'σωτηρία', 'morph': 'Gr,N,,,,,AFS,'}]","σωτηρίαν",1,0,"[{'id': 909243, 'book_id': 'act', 'chapter': '7', 'verse': '25', 'word_num': 14, 'word': 'deliverance', 'occurrence': 1}]","deliverance",1,"σωτηρίαν = deliverance",0.044444444444444446,0,0
"249974","act","13","26","17",",1216779,",",915184,",0,"[{'id': 1216779, 'book_id': 'act', 'chapter': '13', 'verse': '26', 'word_num': 16, 'word': 'σωτηρίας', 'occurrence': 1, 'strong': 'G49910', 'lemma': 'σωτηρία', 'morph': 'Gr,N,,,,,GFS,'}]","σωτηρίας",1,0,"[{'id': 915184, 'book_id': 'act', 'chapter': '13', 'verse': '26', 'word_num': 21, 'word': 'salvation', 'occurrence': 1}]","salvation",1,"σωτηρίας = salvation",0.17777777777777778,0,0
"250326","act","13","47","16",",1217133,",",915676,",0,"[{'id': 1217133, 'book_id': 'act', 'chapter': '13', 'verse': '47', 'word_num': 15, 'word': 'σωτηρίαν', 'occurrence': 1, 'strong': 'G49910', 'lemma': 'σωτηρία', 'morph': 'Gr,N,,,,,AFS,'}]","σωτηρίαν",1,0,"[{'id': 915676, 'book_id': 'act', 'chapter': '13', 'verse': '47', 'word_num': 22, 'word': 'salvation', 'occurrence': 1}]","salvation",1,"σωτηρίαν = salvation",0.2222222222222222,0,0
"251849","act","16","17","20",",1218714,",",917748,917749,",0,"[{'id': 1218714, 'book_id': 'act', 'chapter': '16', 'verse': '17', 'word_num': 21, 'word': 'σωτηρίας', 'occurrence': 1, 'strong': 'G49910', 'lemma': 'σωτηρία', 'morph': 'Gr,N,,,,,GFS,'}]","σωτηρίας",1,1,"[{'id': 917748, 'book_id': 'act', 'chapter': '16', 'verse': '17', 'word_num': 25, 'word': 'of', 'occurrence': 2}, {'id': 917749, 'book_id': 'act', 'chapter': '16', 'verse': '17', 'word_num': 26, 'word': 'salvation', 'occurrence': 1}]","of salvation",2,"σωτηρίας = of salvation",0.13333333333333333,0,0
