"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"459276","mrk","3","4","9",",1439050,",",1213428,1213429,",0,"[{'id': 1439050, 'book_id': 'mrk', 'chapter': '3', 'verse': '4', 'word_num': 10, 'word': 'σῶσαι', 'occurrence': 1, 'strong': 'G49820', 'lemma': 'σῴζω', 'morph': 'Gr,V,NAA,,,,,'}]","σῶσαι",1,1,"[{'id': 1213428, 'book_id': 'mrk', 'chapter': '3', 'verse': '4', 'word_num': 20, 'word': 'to', 'occurrence': 4}, {'id': 1213429, 'book_id': 'mrk', 'chapter': '3', 'verse': '4', 'word_num': 21, 'word': 'save', 'occurrence': 1}]","to save",2,"σῶσαι = to save",0.8181818181818182,9,0,0
"463060","mrk","8","35","2",",1443083,",",1218673,1218674,",0,"[{'id': 1443083, 'book_id': 'mrk', 'chapter': '8', 'verse': '35', 'word_num': 7, 'word': 'σῶσαι', 'occurrence': 1, 'strong': 'G49820', 'lemma': 'σῴζω', 'morph': 'Gr,V,NAA,,,,,'}]","σῶσαι",1,1,"[{'id': 1218673, 'book_id': 'mrk', 'chapter': '8', 'verse': '35', 'word_num': 3, 'word': 'to', 'occurrence': 1}, {'id': 1218674, 'book_id': 'mrk', 'chapter': '8', 'verse': '35', 'word_num': 4, 'word': 'save', 'occurrence': 1}]","to save",2,"σῶσαι = to save",0.8181818181818182,9,0,0
"468024","mrk","15","31","14",",1448504,",",1225827,1225828,",0,"[{'id': 1448504, 'book_id': 'mrk', 'chapter': '15', 'verse': '31', 'word_num': 16, 'word': 'σῶσαι', 'occurrence': 1, 'strong': 'G49820', 'lemma': 'σῴζω', 'morph': 'Gr,V,NAA,,,,,'}]","σῶσαι",1,1,"[{'id': 1225827, 'book_id': 'mrk', 'chapter': '15', 'verse': '31', 'word_num': 23, 'word': 'but', 'occurrence': 1}, {'id': 1225828, 'book_id': 'mrk', 'chapter': '15', 'verse': '31', 'word_num': 24, 'word': 'he', 'occurrence': 1}]","but he",2,"σῶσαι = but he",0.09090909090909091,1,0,0
"472619","luk","6","9","15",",1453394,",",1232340,1232341,",0,"[{'id': 1453394, 'book_id': 'luk', 'chapter': '6', 'verse': '9', 'word_num': 16, 'word': 'σῶσαι', 'occurrence': 1, 'strong': 'G49820', 'lemma': 'σῴζω', 'morph': 'Gr,V,NAA,,,,,'}]","σῶσαι",1,1,"[{'id': 1232340, 'book_id': 'luk', 'chapter': '6', 'verse': '9', 'word_num': 21, 'word': 'to', 'occurrence': 4}, {'id': 1232341, 'book_id': 'luk', 'chapter': '6', 'verse': '9', 'word_num': 22, 'word': 'save', 'occurrence': 1}]","to save",2,"σῶσαι = to save",0.8181818181818182,9,0,0
"475757","luk","9","24","3",",1456549,",",1236626,1236627,",0,"[{'id': 1456549, 'book_id': 'luk', 'chapter': '9', 'verse': '24', 'word_num': 7, 'word': 'σῶσαι', 'occurrence': 1, 'strong': 'G49820', 'lemma': 'σῴζω', 'morph': 'Gr,V,NAA,,,,,'}]","σῶσαι",1,1,"[{'id': 1236626, 'book_id': 'luk', 'chapter': '9', 'verse': '24', 'word_num': 4, 'word': 'to', 'occurrence': 1}, {'id': 1236627, 'book_id': 'luk', 'chapter': '9', 'verse': '24', 'word_num': 5, 'word': 'save', 'occurrence': 1}]","to save",2,"σῶσαι = to save",0.8181818181818182,9,0,0
"482941","luk","19","10","8",",1463896,",",1246472,1246473,",0,"[{'id': 1463896, 'book_id': 'luk', 'chapter': '19', 'verse': '10', 'word_num': 8, 'word': 'σῶσαι', 'occurrence': 1, 'strong': 'G49820', 'lemma': 'σῴζω', 'morph': 'Gr,V,NAA,,,,,'}]","σῶσαι",1,1,"[{'id': 1246472, 'book_id': 'luk', 'chapter': '19', 'verse': '10', 'word_num': 9, 'word': 'to', 'occurrence': 2}, {'id': 1246473, 'book_id': 'luk', 'chapter': '19', 'verse': '10', 'word_num': 10, 'word': 'save', 'occurrence': 1}]","to save",2,"σῶσαι = to save",0.8181818181818182,9,0,0
"526744","1co","1","21","15",",1510092,",",1307302,1307303,",0,"[{'id': 1510092, 'book_id': '1co', 'chapter': '1', 'verse': '21', 'word_num': 24, 'word': 'σῶσαι', 'occurrence': 1, 'strong': 'G49820', 'lemma': 'σῴζω', 'morph': 'Gr,V,NAA,,,,,'}]","σῶσαι",1,1,"[{'id': 1307302, 'book_id': '1co', 'chapter': '1', 'verse': '21', 'word_num': 18, 'word': 'to', 'occurrence': 1}, {'id': 1307303, 'book_id': '1co', 'chapter': '1', 'verse': '21', 'word_num': 19, 'word': 'save', 'occurrence': 1}]","to save",2,"σῶσαι = to save",0.8181818181818182,9,0,0
"547362","1ti","1","15","15",",1531406,",",1337177,1337178,",0,"[{'id': 1531406, 'book_id': '1ti', 'chapter': '1', 'verse': '15', 'word_num': 15, 'word': 'σῶσαι', 'occurrence': 1, 'strong': 'G49820', 'lemma': 'σῴζω', 'morph': 'Gr,V,NAA,,,,,'}]","σῶσαι",1,1,"[{'id': 1337177, 'book_id': '1ti', 'chapter': '1', 'verse': '15', 'word_num': 16, 'word': 'to', 'occurrence': 1}, {'id': 1337178, 'book_id': '1ti', 'chapter': '1', 'verse': '15', 'word_num': 17, 'word': 'save', 'occurrence': 1}]","to save",2,"σῶσαι = to save",0.8181818181818182,9,0,0
"555970","jas","1","21","14",",1540254,",",1349862,1349863,",0,"[{'id': 1540254, 'book_id': 'jas', 'chapter': '1', 'verse': '21', 'word_num': 15, 'word': 'σῶσαι', 'occurrence': 1, 'strong': 'G49820', 'lemma': 'σῴζω', 'morph': 'Gr,V,NAA,,,,,'}]","σῶσαι",1,1,"[{'id': 1349862, 'book_id': 'jas', 'chapter': '1', 'verse': '21', 'word_num': 20, 'word': 'to', 'occurrence': 1}, {'id': 1349863, 'book_id': 'jas', 'chapter': '1', 'verse': '21', 'word_num': 21, 'word': 'save', 'occurrence': 1}]","to save",2,"σῶσαι = to save",0.8181818181818182,9,0,0
"556283","jas","2","14","16",",1540583,",",1350322,",0,"[{'id': 1540583, 'book_id': 'jas', 'chapter': '2', 'verse': '14', 'word_num': 18, 'word': 'σῶσαι', 'occurrence': 1, 'strong': 'G49820', 'lemma': 'σῴζω', 'morph': 'Gr,V,NAA,,,,,'}]","σῶσαι",1,0,"[{'id': 1350322, 'book_id': 'jas', 'chapter': '2', 'verse': '14', 'word_num': 20, 'word': 'save', 'occurrence': 1}]","save",1,"σῶσαι = save",0.09090909090909091,1,0,0
"556916","jas","4","12","6",",1541264,",",1351212,1351213,",0,"[{'id': 1541264, 'book_id': 'jas', 'chapter': '4', 'verse': '12', 'word_num': 7, 'word': 'σῶσαι', 'occurrence': 1, 'strong': 'G49820', 'lemma': 'σῴζω', 'morph': 'Gr,V,NAA,,,,,'}]","σῶσαι",1,1,"[{'id': 1351212, 'book_id': 'jas', 'chapter': '4', 'verse': '12', 'word_num': 14, 'word': 'to', 'occurrence': 1}, {'id': 1351213, 'book_id': 'jas', 'chapter': '4', 'verse': '12', 'word_num': 15, 'word': 'save', 'occurrence': 1}]","to save",2,"σῶσαι = to save",0.8181818181818182,9,0,0
"460750","mrk","5","23","14",",1440608,",",1215468,1215469,1215470,1215471,",0,"[{'id': 1440608, 'book_id': 'mrk', 'chapter': '5', 'verse': '23', 'word_num': 18, 'word': 'σωθῇ', 'occurrence': 1, 'strong': 'G49820', 'lemma': 'σῴζω', 'morph': 'Gr,V,SAP3,,S,'}]","σωθῇ",1,3,"[{'id': 1215468, 'book_id': 'mrk', 'chapter': '5', 'verse': '23', 'word_num': 23, 'word': 'she', 'occurrence': 1}, {'id': 1215469, 'book_id': 'mrk', 'chapter': '5', 'verse': '23', 'word_num': 24, 'word': 'may', 'occurrence': 1}, {'id': 1215470, 'book_id': 'mrk', 'chapter': '5', 'verse': '23', 'word_num': 25, 'word': 'be', 'occurrence': 1}, {'id': 1215471, 'book_id': 'mrk', 'chapter': '5', 'verse': '23', 'word_num': 26, 'word': 'healed', 'occurrence': 1}]","she may be healed",4,"σωθῇ = she may be healed",0.3333333333333333,1,0,0
"488964","jhn","3","17","15",",1470085,",",1254602,",0,"[{'id': 1470085, 'book_id': 'jhn', 'chapter': '3', 'verse': '17', 'word_num': 16, 'word': 'σωθῇ', 'occurrence': 1, 'strong': 'G49820', 'lemma': 'σῴζω', 'morph': 'Gr,V,SAP3,,S,'}]","σωθῇ",1,0,"[{'id': 1254602, 'book_id': 'jhn', 'chapter': '3', 'verse': '17', 'word_num': 20, 'word': 'save', 'occurrence': 1}]","save",1,"σωθῇ = save",0.3333333333333333,1,0,0
"527909","1co","5","5","11",",1511302,",",1308989,1308990,1308991,",0,"[{'id': 1511302, 'book_id': '1co', 'chapter': '5', 'verse': '5', 'word_num': 12, 'word': 'σωθῇ', 'occurrence': 1, 'strong': 'G49820', 'lemma': 'σῴζω', 'morph': 'Gr,V,SAP3,,S,'}]","σωθῇ",1,2,"[{'id': 1308989, 'book_id': '1co', 'chapter': '5', 'verse': '5', 'word_num': 16, 'word': 'may', 'occurrence': 1}, {'id': 1308990, 'book_id': '1co', 'chapter': '5', 'verse': '5', 'word_num': 17, 'word': 'be', 'occurrence': 1}, {'id': 1308991, 'book_id': '1co', 'chapter': '5', 'verse': '5', 'word_num': 18, 'word': 'saved', 'occurrence': 1}]","may be saved",3,"σωθῇ = may be saved",0.3333333333333333,1,0,0
"460811","mrk","5","28","7",",1440675,",",1215555,1215556,1215557,1215558,",0,"[{'id': 1440675, 'book_id': 'mrk', 'chapter': '5', 'verse': '28', 'word_num': 9, 'word': 'σωθήσομαι', 'occurrence': 1, 'strong': 'G49820', 'lemma': 'σῴζω', 'morph': 'Gr,V,IFP1,,S,'}]","σωθήσομαι",1,3,"[{'id': 1215555, 'book_id': 'mrk', 'chapter': '5', 'verse': '28', 'word_num': 9, 'word': 'I', 'occurrence': 2}, {'id': 1215556, 'book_id': 'mrk', 'chapter': '5', 'verse': '28', 'word_num': 10, 'word': 'will', 'occurrence': 1}, {'id': 1215557, 'book_id': 'mrk', 'chapter': '5', 'verse': '28', 'word_num': 11, 'word': 'be', 'occurrence': 1}, {'id': 1215558, 'book_id': 'mrk', 'chapter': '5', 'verse': '28', 'word_num': 12, 'word': 'healed', 'occurrence': 1}]","I will be healed",4,"σωθήσομαι = I will be healed",1.0,1,0,0
