"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"459592","mrk","3","26","14",",1439392,",",1213866,1213867,",0,"[{'id': 1439392, 'book_id': 'mrk', 'chapter': '3', 'verse': '26', 'word_num': 13, 'word': 'τέλος', 'occurrence': 1, 'strong': 'G50560', 'lemma': 'τέλος', 'morph': 'Gr,N,,,,,ANS,'}]","τέλος",1,1,"[{'id': 1213866, 'book_id': 'mrk', 'chapter': '3', 'verse': '26', 'word_num': 21, 'word': 'an', 'occurrence': 1}, {'id': 1213867, 'book_id': 'mrk', 'chapter': '3', 'verse': '26', 'word_num': 22, 'word': 'end', 'occurrence': 1}]","an end",2,"τέλος = an end",0.029411764705882353,0,0
"466088","mrk","13","7","13",",1446411,",",1223016,",0,"[{'id': 1446411, 'book_id': 'mrk', 'chapter': '13', 'verse': '7', 'word_num': 14, 'word': 'τέλος', 'occurrence': 1, 'strong': 'G50560', 'lemma': 'τέλος', 'morph': 'Gr,N,,,,,NNS,'}]","τέλος",1,0,"[{'id': 1223016, 'book_id': 'mrk', 'chapter': '13', 'verse': '7', 'word_num': 18, 'word': 'end', 'occurrence': 1}]","end",1,"τέλος = end",0.2647058823529412,0,0
"466195","mrk","13","13","11",",1446524,",",1223179,1223180,",0,"[{'id': 1446524, 'book_id': 'mrk', 'chapter': '13', 'verse': '13', 'word_num': 13, 'word': 'τέλος', 'occurrence': 1, 'strong': 'G50560', 'lemma': 'τέλος', 'morph': 'Gr,N,,,,,ANS,'}]","τέλος",1,1,"[{'id': 1223179, 'book_id': 'mrk', 'chapter': '13', 'verse': '13', 'word_num': 14, 'word': 'the', 'occurrence': 1}, {'id': 1223180, 'book_id': 'mrk', 'chapter': '13', 'verse': '13', 'word_num': 15, 'word': 'end', 'occurrence': 1}]","the end",2,"τέλος = the end",0.08823529411764706,0,0
"468944","luk","1","33","10",",1449624,",",1227414,",0,"[{'id': 1449624, 'book_id': 'luk', 'chapter': '1', 'verse': '33', 'word_num': 15, 'word': 'τέλος', 'occurrence': 1, 'strong': 'G50560', 'lemma': 'τέλος', 'morph': 'Gr,N,,,,,NNS,'}]","τέλος",1,0,"[{'id': 1227414, 'book_id': 'luk', 'chapter': '1', 'verse': '33', 'word_num': 15, 'word': 'end', 'occurrence': 1}]","end",1,"τέλος = end",0.2647058823529412,0,0
"482227","luk","18","5","16",",1463151,",",1245466,",0,"[{'id': 1463151, 'book_id': 'luk', 'chapter': '18', 'verse': '5', 'word_num': 14, 'word': 'τέλος', 'occurrence': 1, 'strong': 'G50560', 'lemma': 'τέλος', 'morph': 'Gr,N,,,,,ANS,'}]","τέλος",1,0,"[{'id': 1245466, 'book_id': 'luk', 'chapter': '18', 'verse': '5', 'word_num': 22, 'word': 'continually', 'occurrence': 1}]","continually",1,"τέλος = continually",0.029411764705882353,0,0
"484397","luk","21","9","18",",1465345,",",1248493,",0,"[{'id': 1465345, 'book_id': 'luk', 'chapter': '21', 'verse': '9', 'word_num': 17, 'word': 'τέλος', 'occurrence': 1, 'strong': 'G50560', 'lemma': 'τέλος', 'morph': 'Gr,N,,,,,NNS,'}]","τέλος",1,0,"[{'id': 1248493, 'book_id': 'luk', 'chapter': '21', 'verse': '9', 'word_num': 25, 'word': 'end', 'occurrence': 1}]","end",1,"τέλος = end",0.2647058823529412,0,0
"485387","luk","22","37","20",",1466353,1466354,",",1249883,1249884,1249885,",1,"[{'id': 1466353, 'book_id': 'luk', 'chapter': '22', 'verse': '37', 'word_num': 21, 'word': 'τέλος', 'occurrence': 1, 'strong': 'G50560', 'lemma': 'τέλος', 'morph': 'Gr,N,,,,,ANS,'}, {'id': 1466354, 'book_id': 'luk', 'chapter': '22', 'verse': '37', 'word_num': 22, 'word': 'ἔχει', 'occurrence': 1, 'strong': 'G21920', 'lemma': 'ἔχω', 'morph': 'Gr,V,IPA3,,S,'}]","τέλος ἔχει",2,2,"[{'id': 1249883, 'book_id': 'luk', 'chapter': '22', 'verse': '37', 'word_num': 28, 'word': 'are', 'occurrence': 1}, {'id': 1249884, 'book_id': 'luk', 'chapter': '22', 'verse': '37', 'word_num': 29, 'word': 'being', 'occurrence': 1}, {'id': 1249885, 'book_id': 'luk', 'chapter': '22', 'verse': '37', 'word_num': 30, 'word': 'completed', 'occurrence': 1}]","are being completed",3,"τέλος ἔχει = are being completed",0.029411764705882353,0,0
"496728","jhn","13","1","29",",1478607,",",1265183,1265184,",0,"[{'id': 1478607, 'book_id': 'jhn', 'chapter': '13', 'verse': '1', 'word_num': 31, 'word': 'τέλος', 'occurrence': 1, 'strong': 'G50560', 'lemma': 'τέλος', 'morph': 'Gr,N,,,,,ANS,'}]","τέλος",1,1,"[{'id': 1265183, 'book_id': 'jhn', 'chapter': '13', 'verse': '1', 'word_num': 36, 'word': 'the', 'occurrence': 5}, {'id': 1265184, 'book_id': 'jhn', 'chapter': '13', 'verse': '1', 'word_num': 37, 'word': 'end', 'occurrence': 1}]","the end",2,"τέλος = the end",0.08823529411764706,0,0
"522228","rom","6","21","12",",1505206,",",1300430,",0,"[{'id': 1505206, 'book_id': 'rom', 'chapter': '6', 'verse': '21', 'word_num': 11, 'word': 'τέλος', 'occurrence': 1, 'strong': 'G50560', 'lemma': 'τέλος', 'morph': 'Gr,N,,,,,NNS,'}]","τέλος",1,0,"[{'id': 1300430, 'book_id': 'rom', 'chapter': '6', 'verse': '21', 'word_num': 20, 'word': 'outcome', 'occurrence': 1}]","outcome",1,"τέλος = outcome",0.058823529411764705,0,0
"522245","rom","6","22","14",",1505227,",",1300458,",0,"[{'id': 1505227, 'book_id': 'rom', 'chapter': '6', 'verse': '22', 'word_num': 18, 'word': 'τέλος', 'occurrence': 1, 'strong': 'G50560', 'lemma': 'τέλος', 'morph': 'Gr,N,,,,,ANS,'}]","τέλος",1,0,"[{'id': 1300458, 'book_id': 'rom', 'chapter': '6', 'verse': '22', 'word_num': 22, 'word': 'result', 'occurrence': 1}]","result",1,"τέλος = result",0.058823529411764705,0,0
"523858","rom","10","4","2",",1506942,",",1302937,1302938,1302939,",0,"[{'id': 1506942, 'book_id': 'rom', 'chapter': '10', 'verse': '4', 'word_num': 0, 'word': 'τέλος', 'occurrence': 1, 'strong': 'G50560', 'lemma': 'τέλος', 'morph': 'Gr,N,,,,,NNS,'}]","τέλος",1,2,"[{'id': 1302937, 'book_id': 'rom', 'chapter': '10', 'verse': '4', 'word_num': 2, 'word': 'is', 'occurrence': 1}, {'id': 1302938, 'book_id': 'rom', 'chapter': '10', 'verse': '4', 'word_num': 3, 'word': 'the', 'occurrence': 1}, {'id': 1302939, 'book_id': 'rom', 'chapter': '10', 'verse': '4', 'word_num': 4, 'word': 'fulfillment', 'occurrence': 1}]","is the fulfillment",3,"τέλος = is the fulfillment",0.029411764705882353,0,0
"525046","rom","13","7","8",",1508248,1508249,",",1304777,1304778,1304779,",1,"[{'id': 1508248, 'book_id': 'rom', 'chapter': '13', 'verse': '7', 'word_num': 10, 'word': 'τὸ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,ANS,'}, {'id': 1508249, 'book_id': 'rom', 'chapter': '13', 'verse': '7', 'word_num': 11, 'word': 'τέλος', 'occurrence': 1, 'strong': 'G50560', 'lemma': 'τέλος', 'morph': 'Gr,N,,,,,ANS,'}]","τὸ τέλος",2,2,"[{'id': 1304777, 'book_id': 'rom', 'chapter': '13', 'verse': '7', 'word_num': 17, 'word': 'toll', 'occurrence': 2}, {'id': 1304778, 'book_id': 'rom', 'chapter': '13', 'verse': '7', 'word_num': 18, 'word': 'is', 'occurrence': 3}, {'id': 1304779, 'book_id': 'rom', 'chapter': '13', 'verse': '7', 'word_num': 19, 'word': 'due', 'occurrence': 2}]","toll is due",3,"τὸ τέλος = toll is due",0.029411764705882353,0,0
"525044","rom","13","7","6",",1508250,1508251,",",1304774,",1,"[{'id': 1508250, 'book_id': 'rom', 'chapter': '13', 'verse': '7', 'word_num': 12, 'word': 'τὸ', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,ANS,'}, {'id': 1508251, 'book_id': 'rom', 'chapter': '13', 'verse': '7', 'word_num': 13, 'word': 'τέλος', 'occurrence': 2, 'strong': 'G50560', 'lemma': 'τέλος', 'morph': 'Gr,N,,,,,ANS,'}]","τὸ τέλος",2,0,"[{'id': 1304774, 'book_id': 'rom', 'chapter': '13', 'verse': '7', 'word_num': 14, 'word': 'toll', 'occurrence': 1}]","toll",1,"τὸ τέλος = toll",0.029411764705882353,0,0
"526525","1co","1","8","6",",1509858,",",1306992,1306993,",0,"[{'id': 1509858, 'book_id': '1co', 'chapter': '1', 'verse': '8', 'word_num': 5, 'word': 'τέλους', 'occurrence': 1, 'strong': 'G50560', 'lemma': 'τέλος', 'morph': 'Gr,N,,,,,GNS,'}]","τέλους",1,1,"[{'id': 1306992, 'book_id': '1co', 'chapter': '1', 'verse': '8', 'word_num': 6, 'word': 'the', 'occurrence': 1}, {'id': 1306993, 'book_id': '1co', 'chapter': '1', 'verse': '8', 'word_num': 7, 'word': 'end', 'occurrence': 1}]","the end",2,"τέλους = the end",0.11764705882352941,0,0
"529851","1co","10","11","13",",1513289,",",1311903,",0,"[{'id': 1513289, 'book_id': '1co', 'chapter': '10', 'verse': '11', 'word_num': 13, 'word': 'τέλη', 'occurrence': 1, 'strong': 'G50560', 'lemma': 'τέλος', 'morph': 'Gr,N,,,,,NNP,'}]","τέλη",1,0,"[{'id': 1311903, 'book_id': '1co', 'chapter': '10', 'verse': '11', 'word_num': 18, 'word': 'end', 'occurrence': 1}]","end",1,"τέλη = end",0.029411764705882353,0,0
"532209","1co","15","24","2",",1515717,",",1315418,",0,"[{'id': 1515717, 'book_id': '1co', 'chapter': '15', 'verse': '24', 'word_num': 2, 'word': 'τέλος', 'occurrence': 1, 'strong': 'G50560', 'lemma': 'τέλος', 'morph': 'Gr,N,,,,,NNS,'}]","τέλος",1,0,"[{'id': 1315418, 'book_id': '1co', 'chapter': '15', 'verse': '24', 'word_num': 4, 'word': 'end', 'occurrence': 1}]","end",1,"τέλος = end",0.2647058823529412,0,0
"533305","2co","1","13","17",",1516848,",",1316967,",0,"[{'id': 1516848, 'book_id': '2co', 'chapter': '1', 'verse': '13', 'word_num': 16, 'word': 'τέλους', 'occurrence': 1, 'strong': 'G50560', 'lemma': 'τέλος', 'morph': 'Gr,N,,,,,GNS,'}]","τέλους",1,0,"[{'id': 1316967, 'book_id': '2co', 'chapter': '1', 'verse': '13', 'word_num': 24, 'word': 'completely', 'occurrence': 1}]","completely",1,"τέλους = completely",0.029411764705882353,0,0
"533991","2co","3","13","19",",1517550,",",1317928,",0,"[{'id': 1517550, 'book_id': '2co', 'chapter': '3', 'verse': '13', 'word_num': 19, 'word': 'τέλος', 'occurrence': 1, 'strong': 'G50560', 'lemma': 'τέλος', 'morph': 'Gr,N,,,,,ANS,'}]","τέλος",1,0,"[{'id': 1317928, 'book_id': '2co', 'chapter': '3', 'verse': '13', 'word_num': 23, 'word': 'end', 'occurrence': 1}]","end",1,"τέλος = end",0.2647058823529412,0,0
"536482","2co","11","15","12",",1520129,1520130,",",1321562,",1,"[{'id': 1520129, 'book_id': '2co', 'chapter': '11', 'verse': '15', 'word_num': 13, 'word': 'τὸ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NNS,'}, {'id': 1520130, 'book_id': '2co', 'chapter': '11', 'verse': '15', 'word_num': 14, 'word': 'τέλος', 'occurrence': 1, 'strong': 'G50560', 'lemma': 'τέλος', 'morph': 'Gr,N,,,,,NNS,'}]","τὸ τέλος",2,0,"[{'id': 1321562, 'book_id': '2co', 'chapter': '11', 'verse': '15', 'word_num': 17, 'word': 'end', 'occurrence': 1}]","end",1,"τὸ τέλος = end",0.058823529411764705,0,0
"543108","php","3","19","1",",1526894,1526895,",",1331099,1331100,",1,"[{'id': 1526894, 'book_id': 'php', 'chapter': '3', 'verse': '19', 'word_num': 1, 'word': 'τὸ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NNS,'}, {'id': 1526895, 'book_id': 'php', 'chapter': '3', 'verse': '19', 'word_num': 2, 'word': 'τέλος', 'occurrence': 1, 'strong': 'G50560', 'lemma': 'τέλος', 'morph': 'Gr,N,,,,,NNS,'}]","τὸ τέλος",2,1,"[{'id': 1331099, 'book_id': 'php', 'chapter': '3', 'verse': '19', 'word_num': 1, 'word': 'end', 'occurrence': 1}, {'id': 1331100, 'book_id': 'php', 'chapter': '3', 'verse': '19', 'word_num': 2, 'word': 'is', 'occurrence': 1}]","end is",2,"τὸ τέλος = end is",0.029411764705882353,0,0
"545462","1th","2","16","19",",1529423,",",1334503,1334504,",0,"[{'id': 1529423, 'book_id': '1th', 'chapter': '2', 'verse': '16', 'word_num': 21, 'word': 'τέλος', 'occurrence': 1, 'strong': 'G50560', 'lemma': 'τέλος', 'morph': 'Gr,N,,,,,ANS,'}]","τέλος",1,1,"[{'id': 1334503, 'book_id': '1th', 'chapter': '2', 'verse': '16', 'word_num': 30, 'word': 'the', 'occurrence': 2}, {'id': 1334504, 'book_id': '1th', 'chapter': '2', 'verse': '16', 'word_num': 31, 'word': 'end', 'occurrence': 1}]","the end",2,"τέλος = the end",0.08823529411764706,0,0
"547210","1ti","1","5","2",",1531256,",",1336949,",0,"[{'id': 1531256, 'book_id': '1ti', 'chapter': '1', 'verse': '5', 'word_num': 2, 'word': 'τέλος', 'occurrence': 1, 'strong': 'G50560', 'lemma': 'τέλος', 'morph': 'Gr,N,,,,,NNS,'}]","τέλος",1,0,"[{'id': 1336949, 'book_id': '1ti', 'chapter': '1', 'verse': '5', 'word_num': 2, 'word': 'goal', 'occurrence': 1}]","goal",1,"τέλος = goal",0.029411764705882353,0,0
"551712","heb","3","14","13",",1535796,",",1343394,1343395,",0,"[{'id': 1535796, 'book_id': 'heb', 'chapter': '3', 'verse': '14', 'word_num': 11, 'word': 'τέλους', 'occurrence': 1, 'strong': 'G50560', 'lemma': 'τέλος', 'morph': 'Gr,N,,,,,GNS,'}]","τέλους",1,1,"[{'id': 1343394, 'book_id': 'heb', 'chapter': '3', 'verse': '14', 'word_num': 18, 'word': 'the', 'occurrence': 2}, {'id': 1343395, 'book_id': 'heb', 'chapter': '3', 'verse': '14', 'word_num': 19, 'word': 'end', 'occurrence': 1}]","the end",2,"τέλους = the end",0.11764705882352941,0,0
